"plj0587","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2013","(noch) kein Abschluss","Staedtischer Raum","17","","",""
"Sehr oft","2013","(noch) kein Abschluss","Laendlicher Raum","7","0.0362386493697986","0.0139472689553452","0.058530029784252"
"Sehr oft","2013","Hauptschule","Staedtischer Raum","119","","",""
"Sehr oft","2013","Hauptschule","Laendlicher Raum","72","0.0263475763989873","0.0206605640045335","0.0320345887934411"
"Sehr oft","2013","Realschule","Staedtischer Raum","62","0.0185074292465195","0.0143265330797954","0.0226883254132437"
"Sehr oft","2013","Realschule","Laendlicher Raum","55","0.0149328970564309","0.0107306842174993","0.0191351098953625"
"Sehr oft","2013","(Fach-)Abitur","Staedtischer Raum","40","0.0194852370118953","0.013895562783887","0.0250749112399036"
"Sehr oft","2013","(Fach-)Abitur","Laendlicher Raum","21","","",""
"Sehr oft","2013","AkademikerIn","Staedtischer Raum","48","0.0144978077041257","0.0108646369180479","0.0181309784902034"
"Sehr oft","2013","AkademikerIn","Laendlicher Raum","25","","",""
"Oft","2013","(noch) kein Abschluss","Staedtischer Raum","66","0.114117078587943","0.087149562303299","0.141084594872588"
"Oft","2013","(noch) kein Abschluss","Laendlicher Raum","28","","",""
"Oft","2013","Hauptschule","Staedtischer Raum","404","0.082567605999373","0.0746755791212658","0.0904596328774801"
"Oft","2013","Hauptschule","Laendlicher Raum","286","","",""
"Oft","2013","Realschule","Staedtischer Raum","328","0.081267668282856","0.0727913701328238","0.0897439664328883"
"Oft","2013","Realschule","Laendlicher Raum","276","","",""
"Oft","2013","(Fach-)Abitur","Staedtischer Raum","191","","",""
"Oft","2013","(Fach-)Abitur","Laendlicher Raum","67","0.0546823168294576","0.0399184116627505","0.0694462219961647"
"Oft","2013","AkademikerIn","Staedtischer Raum","294","","",""
"Oft","2013","AkademikerIn","Laendlicher Raum","104","","",""
"Manchmal","2013","(noch) kein Abschluss","Staedtischer Raum","156","","",""
"Manchmal","2013","(noch) kein Abschluss","Laendlicher Raum","88","0.340301125178402","0.283785208894335","0.396817041462469"
"Manchmal","2013","Hauptschule","Staedtischer Raum","1543","","",""
"Manchmal","2013","Hauptschule","Laendlicher Raum","1001","","",""
"Manchmal","2013","Realschule","Staedtischer Raum","1441","","",""
"Manchmal","2013","Realschule","Laendlicher Raum","1136","","",""
"Manchmal","2013","(Fach-)Abitur","Staedtischer Raum","788","0.357737174453079","0.338353102570283","0.377121246335875"
"Manchmal","2013","(Fach-)Abitur","Laendlicher Raum","307","0.370736658426495","0.339372193407525","0.402101123445465"
"Manchmal","2013","AkademikerIn","Staedtischer Raum","1329","","",""
"Manchmal","2013","AkademikerIn","Laendlicher Raum","601","0.40090620799054","0.377358956057761","0.424453459923319"
"Selten","2013","(noch) kein Abschluss","Staedtischer Raum","194","","",""
"Selten","2013","(noch) kein Abschluss","Laendlicher Raum","98","0.329737922321549","0.273662444654829","0.38581339998827"
"Selten","2013","Hauptschule","Staedtischer Raum","1636","","",""
"Selten","2013","Hauptschule","Laendlicher Raum","1086","","",""
"Selten","2013","Realschule","Staedtischer Raum","1496","","",""
"Selten","2013","Realschule","Laendlicher Raum","1240","","",""
"Selten","2013","(Fach-)Abitur","Staedtischer Raum","936","0.399764764511741","0.379955443859067","0.419574085164416"
"Selten","2013","(Fach-)Abitur","Laendlicher Raum","368","0.376423213993529","0.344962246687215","0.407884181299842"
"Selten","2013","AkademikerIn","Staedtischer Raum","1722","","",""
"Selten","2013","AkademikerIn","Laendlicher Raum","699","0.383267290971096","0.359907400632111","0.406627181310081"
"Nie","2013","(noch) kein Abschluss","Staedtischer Raum","101","","",""
"Nie","2013","(noch) kein Abschluss","Laendlicher Raum","49","0.16755315542623","0.123005918664544","0.212100392187916"
"Nie","2013","Hauptschule","Staedtischer Raum","970","0.204681778938282","0.193112488292894","0.21625106958367"
"Nie","2013","Hauptschule","Laendlicher Raum","602","0.18892898369038","0.175029758247486","0.202828209133274"
"Nie","2013","Realschule","Staedtischer Raum","665","0.143986789456397","0.133096124880736","0.154877454032058"
"Nie","2013","Realschule","Laendlicher Raum","493","0.145422435168141","0.133208248532222","0.15763662180406"
"Nie","2013","(Fach-)Abitur","Staedtischer Raum","394","0.145381780627609","0.131127423082224","0.159636138172995"
"Nie","2013","(Fach-)Abitur","Laendlicher Raum","148","","",""
"Nie","2013","AkademikerIn","Staedtischer Raum","765","0.161828195951125","0.150633830818049","0.173022561084201"
"Nie","2013","AkademikerIn","Laendlicher Raum","235","","",""
"Sehr oft","2014","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Sehr oft","2014","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Sehr oft","2014","Hauptschule","Staedtischer Raum","","","",""
"Sehr oft","2014","Hauptschule","Laendlicher Raum","","","",""
"Sehr oft","2014","Realschule","Staedtischer Raum","","","",""
"Sehr oft","2014","Realschule","Laendlicher Raum","","","",""
"Sehr oft","2014","(Fach-)Abitur","Staedtischer Raum","","","",""
"Sehr oft","2014","(Fach-)Abitur","Laendlicher Raum","","","",""
"Sehr oft","2014","AkademikerIn","Staedtischer Raum","","","",""
"Sehr oft","2014","AkademikerIn","Laendlicher Raum","","","",""
"Oft","2014","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Oft","2014","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Oft","2014","Hauptschule","Staedtischer Raum","","","",""
