,Unnamed: 0,year,sampreg,sex,plj0587,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2013,West,male,Very often,0.01482,114,25454,0.01153,0.01788
1,1,2013,West,male,Often,0.06956,607,25454,0.06259,0.07692
2,2,2013,West,male,Sometimes,0.33419,2806,25454,0.32075,0.34864
3,3,2013,West,male,Seldom,0.39782,3606,25454,0.3817,0.40972
4,4,2013,West,male,Never,0.1836,1785,25454,0.17496,0.19144
5,5,2013,West,female,Very often,0.02496,247,25454,0.02157,0.02856
6,6,2013,West,female,Often,0.08994,948,25454,0.08235,0.0955
7,7,2013,West,female,Sometimes,0.34607,3681,25454,0.33376,0.35925
8,8,2013,West,female,Seldom,0.36404,3985,25454,0.35238,0.37721
9,9,2013,West,female,Never,0.175,1974,25454,0.16666,0.18438
10,10,2013,East,male,Very often,0.01745,39,25454,0.01247,0.02252
11,11,2013,East,male,Often,0.08181,206,25454,0.0723,0.09239
12,12,2013,East,male,Sometimes,0.37784,923,25454,0.35075,0.40577
13,13,2013,East,male,Seldom,0.3887,1030,25454,0.36168,0.42403
14,14,2013,East,male,Never,0.13421,397,25454,0.1215,0.14672
15,15,2013,East,female,Very often,0.02138,76,25454,0.01706,0.02716
16,16,2013,East,female,Often,0.12192,348,25454,0.10737,0.13707
17,17,2013,East,female,Sometimes,0.39233,1179,25454,0.36578,0.41499
18,18,2013,East,female,Seldom,0.34383,1072,25454,0.32419,0.36416
19,19,2013,East,female,Never,0.12055,431,25454,0.10862,0.13151
20,20,2019,West,male,Sometimes,1.0,36,81,0.71149,1.44138
21,21,2019,West,female,Sometimes,1.0,45,81,0.63316,1.36651
22,22,2021,West,male,Very often,0.04013,484,19267,0.0332,0.04714
23,23,2021,West,male,Often,0.14325,1158,19267,0.13235,0.15608
24,24,2021,West,male,Sometimes,0.35008,2612,19267,0.32996,0.37244
25,25,2021,West,male,Seldom,0.35657,2315,19267,0.33635,0.37876
26,26,2021,West,male,Never,0.10997,927,19267,0.09932,0.12156
27,27,2021,West,female,Very often,0.05721,623,19267,0.04995,0.06587
28,28,2021,West,female,Often,0.17435,1396,19267,0.16138,0.18951
29,29,2021,West,female,Sometimes,0.36659,2878,19267,0.34745,0.38457
30,30,2021,West,female,Seldom,0.29863,2133,19267,0.28226,0.31766
31,31,2021,West,female,Never,0.10321,868,19267,0.09392,0.11152
32,32,2021,East,male,Very often,0.02734,82,19267,0.0171,0.04241
33,33,2021,East,male,Often,0.12993,242,19267,0.11055,0.15556
34,34,2021,East,male,Sometimes,0.33515,634,19267,0.30445,0.3695
35,35,2021,East,male,Seldom,0.38529,655,19267,0.34697,0.42686
36,36,2021,East,male,Never,0.1223,237,19267,0.10017,0.14746
37,37,2021,East,female,Very often,0.0511,123,19267,0.03937,0.06565
38,38,2021,East,female,Often,0.13211,290,19267,0.11595,0.15296
39,39,2021,East,female,Sometimes,0.4213,778,19267,0.38226,0.45303
40,40,2021,East,female,Seldom,0.30266,605,19267,0.27598,0.33107
41,41,2021,East,female,Never,0.09283,227,19267,0.07717,0.10832
