,Unnamed: 0,year,bula_h,pgisced97,plj0587,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2013,Schleswig-Holstein,Lower Secondary Level,Sometimes,0.60751,35,22124,0.42812,0.76144
1,1,2013,Schleswig-Holstein,Lower Secondary Level,Seldom,0.39249,33,22124,0.26753,0.52159
2,2,2013,Schleswig-Holstein,Upper Secondary Level,Often,0.09142,43,22124,0.06716,0.12779
3,3,2013,Schleswig-Holstein,Upper Secondary Level,Sometimes,0.41681,172,22124,0.35185,0.48258
4,4,2013,Schleswig-Holstein,Upper Secondary Level,Seldom,0.3757,194,22124,0.32216,0.4246
5,5,2013,Schleswig-Holstein,Upper Secondary Level,Never,0.11607,56,22124,0.09308,0.13846
6,6,2013,Schleswig-Holstein,Post-secondary Non-tertiary Level,Sometimes,0.6046,32,22124,0.38324,0.86551
7,7,2013,Schleswig-Holstein,Post-secondary Non-tertiary Level,Seldom,0.3954,35,22124,0.24938,0.55305
8,8,2013,Schleswig-Holstein,Second Stage of Tertiary Education,Sometimes,0.48228,53,22124,0.33519,0.72589
9,9,2013,Schleswig-Holstein,Second Stage of Tertiary Education,Seldom,0.51772,60,22124,0.36392,0.70831
10,10,2013,Hamburg,Upper Secondary Level,Sometimes,0.33051,48,22124,0.26286,0.42659
11,11,2013,Hamburg,Upper Secondary Level,Seldom,0.40772,56,22124,0.29844,0.51563
12,12,2013,Hamburg,Upper Secondary Level,Never,0.26177,53,22124,0.2005,0.33391
13,13,2013,Hamburg,Second Stage of Tertiary Education,Sometimes,0.25933,32,22124,0.1699,0.36291
14,14,2013,Hamburg,Second Stage of Tertiary Education,Seldom,0.4894,45,22124,0.32081,0.70805
15,15,2013,Hamburg,Second Stage of Tertiary Education,Never,0.25127,39,22124,0.16664,0.34794
16,16,2013,Lower Saxony,Lower Secondary Level,Often,0.11235,39,22124,0.06377,0.16736
17,17,2013,Lower Saxony,Lower Secondary Level,Sometimes,0.3762,94,22124,0.30776,0.45141
18,18,2013,Lower Saxony,Lower Secondary Level,Seldom,0.35812,111,22124,0.27772,0.44303
19,19,2013,Lower Saxony,Lower Secondary Level,Never,0.15333,53,22124,0.11333,0.2027
20,20,2013,Lower Saxony,Upper Secondary Level,Often,0.07974,98,22124,0.06507,0.09428
21,21,2013,Lower Saxony,Upper Secondary Level,Sometimes,0.3449,411,22124,0.30445,0.38791
22,22,2013,Lower Saxony,Upper Secondary Level,Seldom,0.4128,489,22124,0.37602,0.45425
23,23,2013,Lower Saxony,Upper Secondary Level,Never,0.16256,206,22124,0.13753,0.19476
24,24,2013,Lower Saxony,Post-secondary Non-tertiary Level,Sometimes,0.38824,46,22124,0.26372,0.51106
25,25,2013,Lower Saxony,Post-secondary Non-tertiary Level,Seldom,0.61176,69,22124,0.46188,0.74789
26,26,2013,Lower Saxony,First Stage of Tertiary Education,Sometimes,0.43752,46,22124,0.31137,0.6103
27,27,2013,Lower Saxony,First Stage of Tertiary Education,Seldom,0.56248,55,22124,0.41606,0.7116
28,28,2013,Lower Saxony,Second Stage of Tertiary Education,Often,0.10642,39,22124,0.06008,0.1703
29,29,2013,Lower Saxony,Second Stage of Tertiary Education,Sometimes,0.37566,152,22124,0.31675,0.44909
30,30,2013,Lower Saxony,Second Stage of Tertiary Education,Seldom,0.38846,199,22124,0.33046,0.45175
31,31,2013,Lower Saxony,Second Stage of Tertiary Education,Never,0.12946,87,22124,0.09471,0.17043
32,32,2013,Bremen,Upper Secondary Level,Seldom,1.0,32,22124,0.62703,1.45515
33,33,2013,North Rhine-Westphalia,Pre-primary Level,Sometimes,0.30088,31,22124,0.17442,0.45731
34,34,2013,North Rhine-Westphalia,Pre-primary Level,Seldom,0.34776,52,22124,0.23846,0.47257
35,35,2013,North Rhine-Westphalia,Pre-primary Level,Never,0.35136,31,22124,0.19069,0.5702
36,36,2013,North Rhine-Westphalia,Primary Level,Sometimes,1.0,32,22124,0.65669,1.38597
37,37,2013,North Rhine-Westphalia,Lower Secondary Level,Often,0.12162,76,22124,0.09081,0.15391
38,38,2013,North Rhine-Westphalia,Lower Secondary Level,Sometimes,0.39725,210,22124,0.33566,0.46134
39,39,2013,North Rhine-Westphalia,Lower Secondary Level,Seldom,0.27885,195,22124,0.24214,0.31854
40,40,2013,North Rhine-Westphalia,Lower Secondary Level,Never,0.20229,124,22124,0.16765,0.24829
41,41,2013,North Rhine-Westphalia,Upper Secondary Level,Very often,0.01498,36,22124,0.01135,0.0183
42,42,2013,North Rhine-Westphalia,Upper Secondary Level,Often,0.06622,156,22124,0.05621,0.07679
43,43,2013,North Rhine-Westphalia,Upper Secondary Level,Sometimes,0.35742,766,22124,0.33192,0.38405
44,44,2013,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.35716,784,22124,0.3306,0.38511
45,45,2013,North Rhine-Westphalia,Upper Secondary Level,Never,0.20422,487,22124,0.18746,0.22097
46,46,2013,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Often,0.0678,35,22124,0.04309,0.0979
47,47,2013,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Sometimes,0.34757,159,22124,0.29692,0.42916
48,48,2013,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Seldom,0.43084,216,22124,0.35687,0.52344
49,49,2013,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Never,0.15379,87,22124,0.11414,0.20242
50,50,2013,North Rhine-Westphalia,First Stage of Tertiary Education,Sometimes,0.39651,101,22124,0.31009,0.48092
51,51,2013,North Rhine-Westphalia,First Stage of Tertiary Education,Seldom,0.41368,110,22124,0.3256,0.51648
52,52,2013,North Rhine-Westphalia,First Stage of Tertiary Education,Never,0.18981,60,22124,0.14623,0.24696
53,53,2013,North Rhine-Westphalia,Second Stage of Tertiary Education,Often,0.05789,64,22124,0.04174,0.07296
54,54,2013,North Rhine-Westphalia,Second Stage of Tertiary Education,Sometimes,0.36669,353,22124,0.32455,0.40563
55,55,2013,North Rhine-Westphalia,Second Stage of Tertiary Education,Seldom,0.39021,442,22124,0.34579,0.43868
56,56,2013,North Rhine-Westphalia,Second Stage of Tertiary Education,Never,0.18521,235,22124,0.16098,0.20813
57,57,2013,Hesse,Lower Secondary Level,Sometimes,0.4921,55,22124,0.38553,0.60607
58,58,2013,Hesse,Lower Secondary Level,Seldom,0.5079,62,22124,0.36631,0.64587
59,59,2013,Hesse,Upper Secondary Level,Often,0.1076,73,22124,0.08091,0.13392
60,60,2013,Hesse,Upper Secondary Level,Sometimes,0.34278,266,22124,0.29881,0.39181
61,61,2013,Hesse,Upper Secondary Level,Seldom,0.38379,284,22124,0.33174,0.43478
62,62,2013,Hesse,Upper Secondary Level,Never,0.16583,110,22124,0.13966,0.1961
63,63,2013,Hesse,Post-secondary Non-tertiary Level,Sometimes,0.52553,53,22124,0.38096,0.70778
64,64,2013,Hesse,Post-secondary Non-tertiary Level,Seldom,0.47447,60,22124,0.36484,0.63149
65,65,2013,Hesse,First Stage of Tertiary Education,Sometimes,0.41178,33,22124,0.24885,0.58958
66,66,2013,Hesse,First Stage of Tertiary Education,Seldom,0.58822,45,22124,0.4034,0.7851
67,67,2013,Hesse,Second Stage of Tertiary Education,Sometimes,0.40817,183,22124,0.34718,0.48364
68,68,2013,Hesse,Second Stage of Tertiary Education,Seldom,0.45138,208,22124,0.37513,0.53672
69,69,2013,Hesse,Second Stage of Tertiary Education,Never,0.14045,64,22124,0.11147,0.17643
70,70,2013,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Sometimes,0.29943,52,22124,0.2196,0.39697
71,71,2013,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Seldom,0.32798,66,22124,0.26656,0.401
72,72,2013,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Never,0.37259,59,22124,0.29441,0.45551
73,73,2013,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Often,0.07979,63,22124,0.05977,0.10319
74,74,2013,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Sometimes,0.33301,207,22124,0.29109,0.38321
75,75,2013,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Seldom,0.34496,226,22124,0.30454,0.39376
76,76,2013,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Never,0.24224,195,22124,0.21725,0.27331
77,77,2013,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Sometimes,0.58049,35,22124,0.33101,0.86372
78,78,2013,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Seldom,0.41951,35,22124,0.2975,0.55144
79,79,2013,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Sometimes,0.47207,31,22124,0.29671,0.63867
80,80,2013,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Seldom,0.52793,35,22124,0.37089,0.69453
81,81,2013,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Sometimes,0.32133,77,22124,0.24449,0.41656
82,82,2013,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Seldom,0.51209,106,22124,0.41689,0.63631
83,83,2013,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Never,0.16658,55,22124,0.13185,0.19789
84,84,2013,Baden-Wuerttemberg,Lower Secondary Level,Often,0.16102,46,22124,0.12379,0.19659
85,85,2013,Baden-Wuerttemberg,Lower Secondary Level,Sometimes,0.39039,116,22124,0.32469,0.46888
86,86,2013,Baden-Wuerttemberg,Lower Secondary Level,Seldom,0.28533,114,22124,0.23932,0.3316
87,87,2013,Baden-Wuerttemberg,Lower Secondary Level,Never,0.16326,60,22124,0.12502,0.20957
88,88,2013,Baden-Wuerttemberg,Upper Secondary Level,Often,0.06369,93,22124,0.04897,0.07933
89,89,2013,Baden-Wuerttemberg,Upper Secondary Level,Sometimes,0.33667,467,22124,0.30703,0.3715
90,90,2013,Baden-Wuerttemberg,Upper Secondary Level,Seldom,0.41947,549,22124,0.3809,0.45744
91,91,2013,Baden-Wuerttemberg,Upper Secondary Level,Never,0.18018,260,22124,0.15504,0.20342
92,92,2013,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Sometimes,0.34178,59,22124,0.24827,0.44512
93,93,2013,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Seldom,0.49179,92,22124,0.3784,0.61631
94,94,2013,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Never,0.16643,37,22124,0.11845,0.22382
95,95,2013,Baden-Wuerttemberg,First Stage of Tertiary Education,Sometimes,0.44576,75,22124,0.34906,0.56945
96,96,2013,Baden-Wuerttemberg,First Stage of Tertiary Education,Seldom,0.37291,87,22124,0.28919,0.48952
97,97,2013,Baden-Wuerttemberg,First Stage of Tertiary Education,Never,0.18133,45,22124,0.13092,0.23548
98,98,2013,Baden-Wuerttemberg,Second Stage of Tertiary Education,Often,0.07743,45,22124,0.05258,0.09968
99,99,2013,Baden-Wuerttemberg,Second Stage of Tertiary Education,Sometimes,0.27167,204,22124,0.22612,0.3147
100,100,2013,Baden-Wuerttemberg,Second Stage of Tertiary Education,Seldom,0.50274,323,22124,0.4406,0.56295
101,101,2013,Baden-Wuerttemberg,Second Stage of Tertiary Education,Never,0.14816,125,22124,0.11627,0.18471
102,102,2013,Bavaria,Lower Secondary Level,Sometimes,0.27912,107,22124,0.21494,0.34064
103,103,2013,Bavaria,Lower Secondary Level,Seldom,0.46325,174,22124,0.39481,0.52367
104,104,2013,Bavaria,Lower Secondary Level,Never,0.25763,87,22124,0.2065,0.32149
105,105,2013,Bavaria,Upper Secondary Level,Often,0.07857,159,22124,0.06467,0.09009
106,106,2013,Bavaria,Upper Secondary Level,Sometimes,0.33085,726,22124,0.30367,0.35602
107,107,2013,Bavaria,Upper Secondary Level,Seldom,0.38651,789,22124,0.36086,0.419
108,108,2013,Bavaria,Upper Secondary Level,Never,0.20408,410,22124,0.18468,0.22842
109,109,2013,Bavaria,Post-secondary Non-tertiary Level,Sometimes,0.37563,78,22124,0.2933,0.45318
110,110,2013,Bavaria,Post-secondary Non-tertiary Level,Seldom,0.50454,83,22124,0.35587,0.62279
111,111,2013,Bavaria,Post-secondary Non-tertiary Level,Never,0.11983,36,22124,0.08663,0.15688
112,112,2013,Bavaria,First Stage of Tertiary Education,Sometimes,0.45579,103,22124,0.35986,0.57329
113,113,2013,Bavaria,First Stage of Tertiary Education,Seldom,0.34407,117,22124,0.27533,0.41609
114,114,2013,Bavaria,First Stage of Tertiary Education,Never,0.20014,52,22124,0.13462,0.26054
115,115,2013,Bavaria,Second Stage of Tertiary Education,Often,0.06461,46,22124,0.04526,0.08522
116,116,2013,Bavaria,Second Stage of Tertiary Education,Sometimes,0.33173,262,22124,0.28937,0.38028
117,117,2013,Bavaria,Second Stage of Tertiary Education,Seldom,0.39775,345,22124,0.34519,0.45775
118,118,2013,Bavaria,Second Stage of Tertiary Education,Never,0.20591,142,22124,0.16976,0.24526
119,119,2013,Berlin,Upper Secondary Level,Often,0.11246,43,22124,0.08106,0.15259
120,120,2013,Berlin,Upper Secondary Level,Sometimes,0.42679,153,22124,0.36643,0.47855
121,121,2013,Berlin,Upper Secondary Level,Seldom,0.3515,136,22124,0.30115,0.40262
