,Unnamed: 0,year,pgisced97,quintil_oecd,plj0587,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2013,Pre-primary Level,1st Quintile,Sometimes,0.52098,35,24202,0.34152,0.78815
1,1,2013,Pre-primary Level,1st Quintile,Seldom,0.47902,46,24202,0.38069,0.60613
2,2,2013,Pre-primary Level,2nd Quintile,Seldom,1.0,34,24202,0.74052,1.31511
3,3,2013,Pre-primary Level,3rd Quintile,Seldom,1.0,42,24202,0.72542,1.2954
4,4,2013,Pre-primary Level,4th Quintile,Seldom,1.0,37,24202,0.76663,1.27398
5,5,2013,Pre-primary Level,5th Quintile,Seldom,1.0,32,24202,0.60399,1.52675
6,6,2013,Primary Level,1st Quintile,Often,0.15293,36,24202,0.09405,0.21082
7,7,2013,Primary Level,1st Quintile,Sometimes,0.4168,76,24202,0.30775,0.52912
8,8,2013,Primary Level,1st Quintile,Seldom,0.23202,49,24202,0.15402,0.31675
9,9,2013,Primary Level,1st Quintile,Never,0.19824,38,24202,0.14074,0.26505
10,10,2013,Lower Secondary Level,1st Quintile,Very often,0.04721,51,24202,0.03233,0.06541
11,11,2013,Lower Secondary Level,1st Quintile,Often,0.11937,137,24202,0.09389,0.1453
12,12,2013,Lower Secondary Level,1st Quintile,Sometimes,0.38541,335,24202,0.33484,0.42708
13,13,2013,Lower Secondary Level,1st Quintile,Seldom,0.29436,344,24202,0.26251,0.33347
14,14,2013,Lower Secondary Level,1st Quintile,Never,0.15365,174,24202,0.13042,0.17683
15,15,2013,Lower Secondary Level,2nd Quintile,Often,0.08946,62,24202,0.06161,0.11699
16,16,2013,Lower Secondary Level,2nd Quintile,Sometimes,0.35009,214,24202,0.29291,0.4113
17,17,2013,Lower Secondary Level,2nd Quintile,Seldom,0.34371,247,24202,0.30803,0.39018
18,18,2013,Lower Secondary Level,2nd Quintile,Never,0.21674,141,24202,0.18731,0.24991
19,19,2013,Lower Secondary Level,3rd Quintile,Often,0.11595,48,24202,0.08853,0.14612
20,20,2013,Lower Secondary Level,3rd Quintile,Sometimes,0.39752,144,24202,0.34464,0.45613
21,21,2013,Lower Secondary Level,3rd Quintile,Seldom,0.33596,147,24202,0.28838,0.38608
22,22,2013,Lower Secondary Level,3rd Quintile,Never,0.15057,87,24202,0.12631,0.17399
23,23,2013,Lower Secondary Level,4th Quintile,Sometimes,0.28935,73,24202,0.23142,0.35506
24,24,2013,Lower Secondary Level,4th Quintile,Seldom,0.42386,108,24202,0.35435,0.50253
25,25,2013,Lower Secondary Level,4th Quintile,Never,0.28679,62,24202,0.24162,0.33636
26,26,2013,Lower Secondary Level,5th Quintile,Sometimes,0.34698,47,24202,0.2843,0.40646
27,27,2013,Lower Secondary Level,5th Quintile,Seldom,0.29312,46,24202,0.23625,0.3533
28,28,2013,Lower Secondary Level,5th Quintile,Never,0.35989,38,24202,0.25718,0.47701
29,29,2013,Upper Secondary Level,1st Quintile,Very often,0.04424,105,24202,0.0367,0.0526
30,30,2013,Upper Secondary Level,1st Quintile,Often,0.11667,318,24202,0.10377,0.13171
31,31,2013,Upper Secondary Level,1st Quintile,Sometimes,0.34734,958,24202,0.3259,0.37811
32,32,2013,Upper Secondary Level,1st Quintile,Seldom,0.33287,886,24202,0.30912,0.36254
33,33,2013,Upper Secondary Level,1st Quintile,Never,0.15888,462,24202,0.14182,0.1776
34,34,2013,Upper Secondary Level,2nd Quintile,Very often,0.01438,45,24202,0.01079,0.01845
35,35,2013,Upper Secondary Level,2nd Quintile,Often,0.08398,273,24202,0.07256,0.09752
36,36,2013,Upper Secondary Level,2nd Quintile,Sometimes,0.36676,1077,24202,0.34308,0.39249
37,37,2013,Upper Secondary Level,2nd Quintile,Seldom,0.35201,1033,24202,0.32845,0.37399
38,38,2013,Upper Secondary Level,2nd Quintile,Never,0.18288,521,24202,0.16434,0.19904
39,39,2013,Upper Secondary Level,3rd Quintile,Very often,0.01694,47,24202,0.01189,0.02326
40,40,2013,Upper Secondary Level,3rd Quintile,Often,0.08011,196,24202,0.0699,0.09006
41,41,2013,Upper Secondary Level,3rd Quintile,Sometimes,0.36006,934,24202,0.33607,0.39074
42,42,2013,Upper Secondary Level,3rd Quintile,Seldom,0.366,1002,24202,0.3424,0.39159
43,43,2013,Upper Secondary Level,3rd Quintile,Never,0.17689,494,24202,0.15849,0.19386
44,44,2013,Upper Secondary Level,4th Quintile,Often,0.07859,160,24202,0.06598,0.09
45,45,2013,Upper Secondary Level,4th Quintile,Sometimes,0.35753,784,24202,0.33049,0.38018
46,46,2013,Upper Secondary Level,4th Quintile,Seldom,0.39963,937,24202,0.37668,0.42291
47,47,2013,Upper Secondary Level,4th Quintile,Never,0.16424,387,24202,0.14977,0.17741
48,48,2013,Upper Secondary Level,5th Quintile,Often,0.06056,97,24202,0.05158,0.0726
