year,sex,plj0587,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,male,Very often,0.01541,153,11513,0.01316,0.01766
2013,male,Often,0.07195,813,11513,0.06723,0.07668
2013,male,Sometimes,0.34241,3729,11513,0.33374,0.35108
2013,male,Seldom,0.39664,4636,11513,0.38770,0.40557
2013,male,Never,0.17359,2182,11513,0.16667,0.18051
2013,female,Very often,0.02418,323,13941,0.02163,0.02672
2013,female,Often,0.09557,1296,13941,0.09069,0.10045
2013,female,Sometimes,0.35497,4860,13941,0.34703,0.36292
2013,female,Seldom,0.36033,5057,13941,0.35236,0.36830
2013,female,Never,0.16496,2405,13941,0.15879,0.17112
2017,male,Very often,0.01370,270,13182,0.01171,0.01568
2017,male,Often,0.06330,974,13182,0.05915,0.06746
2017,male,Sometimes,0.30052,3954,13182,0.29269,0.30834
2017,male,Seldom,0.42716,5233,13182,0.41871,0.43560
2017,male,Never,0.19533,2751,13182,0.18856,0.20209
2017,female,Very often,0.02429,464,15125,0.02183,0.02674
2017,female,Often,0.08661,1382,15125,0.08213,0.09109
2017,female,Sometimes,0.32700,4917,15125,0.31953,0.33448
2017,female,Seldom,0.37008,5429,15125,0.36239,0.37778
2017,female,Never,0.19202,2933,15125,0.18575,0.19830
2021,male,Very often,0.03787,566,9344,0.03400,0.04174
2021,male,Often,0.13980,1400,9344,0.13277,0.14683
2021,male,Sometimes,0.34801,3247,9344,0.33835,0.35767
2021,male,Seldom,0.36206,2968,9344,0.35231,0.37181
2021,male,Never,0.11225,1163,9344,0.10585,0.11865
2021,female,Very often,0.05659,746,9923,0.05205,0.06114
2021,female,Often,0.16722,1686,9923,0.15988,0.17456
2021,female,Sometimes,0.37529,3655,9923,0.36577,0.38482
2021,female,Seldom,0.29888,2740,9923,0.28987,0.30789
2021,female,Never,0.10201,1096,9923,0.09606,0.10797
