year,plb0426,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,In my current field/ field I was trained in,0.03969,654,2021,0.03118,0.04821
1994,Do something new,0.01601,277,2021,0.01053,0.02148
1994,Does not matter,0.02674,547,2021,0.01970,0.03377
1994,Does not apply/do not (yet) have a job,0.02763,543,2021,0.02048,0.03478
1996,In my current field/ field I was trained in,0.03439,614,2141,0.02667,0.04211
1996,Do something new,0.02087,318,2141,0.01481,0.02693
1996,Does not matter,0.03205,622,2141,0.02459,0.03952
1996,Does not apply/do not (yet) have a job,0.02737,587,2141,0.02046,0.03429
1997,In my current field/ field I was trained in,0.03329,563,2116,0.02564,0.04093
1997,Do something new,0.01884,279,2116,0.01304,0.02463
1997,Does not matter,0.03439,646,2116,0.02662,0.04216
1997,Does not apply/do not (yet) have a job,0.02989,628,2116,0.02263,0.03714
1998,In my current field/ field I was trained in,0.03256,631,2214,0.02517,0.03996
1998,Do something new,0.01536,272,2214,0.01024,0.02049
1998,Does not matter,0.03094,634,2214,0.02372,0.03815
1998,Does not apply/do not (yet) have a job,0.03205,677,2214,0.02471,0.03939
1999,In my current field/ field I was trained in,0.02622,495,1921,0.01907,0.03336
1999,Do something new,0.01344,239,1921,0.00829,0.01859
1999,Does not matter,0.02904,569,1921,0.02153,0.03655
1999,Does not apply/do not (yet) have a job,0.03079,618,1921,0.02307,0.03852
2000,In my current field/ field I was trained in,0.02792,946,3372,0.02236,0.03348
2000,Do something new,0.01481,466,3372,0.01073,0.01888
2000,Does not matter,0.02570,905,3372,0.02036,0.03104
2000,Does not apply/do not (yet) have a job,0.03097,1055,3372,0.02512,0.03682
2001,In my current field/ field I was trained in,0.02814,811,3005,0.02223,0.03406
2001,Do something new,0.01417,407,3005,0.00995,0.01840
2001,Does not matter,0.02625,797,3005,0.02053,0.03197
2001,Does not apply/do not (yet) have a job,0.03117,990,3005,0.02496,0.03739
2003,In my current field/ field I was trained in,0.02606,703,3093,0.02045,0.03168
2003,Do something new,0.01300,353,3093,0.00900,0.01699
2003,Does not matter,0.03598,947,3093,0.02942,0.04254
2003,Does not apply/do not (yet) have a job,0.03368,1090,3093,0.02732,0.04004
2005,In my current field/ field I was trained in,0.02093,507,2565,0.01539,0.02647
2005,Do something new,0.00962,230,2565,0.00585,0.01340
2005,Does not matter,0.03907,934,2565,0.03157,0.04657
2005,Does not apply/do not (yet) have a job,0.03244,894,2565,0.02558,0.03930
2007,In my current field/ field I was trained in,0.02093,523,2554,0.01537,0.02648
2007,Do something new,0.01150,257,2554,0.00736,0.01563
2007,Does not matter,0.03797,874,2554,0.03055,0.04538
2007,Does not apply/do not (yet) have a job,0.03408,900,2554,0.02704,0.04112
2009,In my current field/ field I was trained in,0.02112,455,2067,0.01492,0.02732
2009,Do something new,0.00995,205,2067,0.00567,0.01423
2009,Does not matter,0.03371,698,2067,0.02593,0.04149
2009,Does not apply/do not (yet) have a job,0.03234,709,2067,0.02471,0.03997
2011,In my current field/ field I was trained in,0.01099,371,1601,0.00588,0.01609
2011,Do something new,0.00650,179,1601,0.00256,0.01044
2011,Does not matter,0.01629,500,1601,0.01009,0.02250
2011,Does not apply/do not (yet) have a job,0.01683,551,1601,0.01053,0.02313
2013,In my current field/ field I was trained in,0.01586,466,1984,0.01036,0.02136
2013,Do something new,0.01025,298,1984,0.00581,0.01468
2013,Does not matter,0.02007,585,1984,0.01390,0.02624
2013,Does not apply/do not (yet) have a job,0.02025,635,1984,0.01405,0.02645
2015,In my current field/ field I was trained in,0.02298,934,3995,0.01834,0.02763
2015,Do something new,0.01413,563,3995,0.01047,0.01779
2015,Does not matter,0.02829,1247,3995,0.02315,0.03343
2015,Does not apply/do not (yet) have a job,0.02981,1251,3995,0.02453,0.03508
2017,In my current field/ field I was trained in,0.02210,758,3415,0.01717,0.02703
2017,Do something new,0.01491,551,3415,0.01084,0.01897
2017,Does not matter,0.02403,923,3415,0.01890,0.02917
2017,Does not apply/do not (yet) have a job,0.02930,1183,3415,0.02364,0.03496
