year,quintil_oecd,plb0426,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,1st Quintile,In my current field/ field I was trained in,0.04591,150,640,0.02968,0.06214
1994,1st Quintile,Do something new,0.02606,95,640,0.01371,0.03841
1994,1st Quintile,Does not matter,0.05487,225,640,0.03722,0.07253
1994,1st Quintile,Does not apply/do not (yet) have a job,0.03905,170,640,0.02403,0.05407
1994,2nd Quintile,In my current field/ field I was trained in,0.04403,151,478,0.02562,0.06244
1994,2nd Quintile,Do something new,0.01985,64,478,0.00733,0.03237
1994,2nd Quintile,Does not matter,0.03176,140,478,0.01602,0.04749
1994,2nd Quintile,Does not apply/do not (yet) have a job,0.02723,123,478,0.01263,0.04184
1994,3rd Quintile,In my current field/ field I was trained in,0.04145,139,375,0.02125,0.06165
1994,3rd Quintile,Do something new,0.01419,47,375,0.00220,0.02617
1994,3rd Quintile,Does not matter,0.01960,83,375,0.00555,0.03365
1994,3rd Quintile,Does not apply/do not (yet) have a job,0.02629,106,375,0.01007,0.04250
1994,4th Quintile,In my current field/ field I was trained in,0.03647,121,304,0.01536,0.05758
1994,4th Quintile,Do something new,0.01256,43,304,0.00002,0.02509
1994,4th Quintile,Does not matter,0.01351,56,304,0.00051,0.02650
1994,4th Quintile,Does not apply/do not (yet) have a job,0.02639,84,304,0.00834,0.04444
1994,5th Quintile,In my current field/ field I was trained in,0.03062,92,194,0.00631,0.05492
1994,5th Quintile,Does not matter,0.01400,43,194,-0.00258,0.03058
1994,5th Quintile,Does not apply/do not (yet) have a job,0.01893,59,194,-0.00030,0.03816
1996,1st Quintile,In my current field/ field I was trained in,0.04600,154,717,0.03065,0.06134
1996,1st Quintile,Do something new,0.03749,105,717,0.02358,0.05140
1996,1st Quintile,Does not matter,0.06407,259,717,0.04613,0.08201
1996,1st Quintile,Does not apply/do not (yet) have a job,0.03774,199,717,0.02378,0.05170
1996,2nd Quintile,In my current field/ field I was trained in,0.03600,144,503,0.01970,0.05229
1996,2nd Quintile,Do something new,0.02262,75,503,0.00961,0.03562
1996,2nd Quintile,Does not matter,0.03446,147,503,0.01851,0.05042
1996,2nd Quintile,Does not apply/do not (yet) have a job,0.02856,137,503,0.01399,0.04313
1996,3rd Quintile,In my current field/ field I was trained in,0.03543,118,371,0.01659,0.05426
1996,3rd Quintile,Do something new,0.01823,58,371,0.00460,0.03186
1996,3rd Quintile,Does not matter,0.02824,101,371,0.01136,0.04513
1996,3rd Quintile,Does not apply/do not (yet) have a job,0.02494,94,371,0.00905,0.04083
1996,4th Quintile,In my current field/ field I was trained in,0.02589,103,295,0.00774,0.04404
1996,4th Quintile,Do something new,0.01322,42,295,0.00017,0.02628
1996,4th Quintile,Does not matter,0.01779,70,295,0.00268,0.03291
1996,4th Quintile,Does not apply/do not (yet) have a job,0.02008,80,295,0.00404,0.03611
1996,5th Quintile,In my current field/ field I was trained in,0.02876,95,254,0.00817,0.04936
1996,5th Quintile,Do something new,0.01282,38,254,-0.00104,0.02668
1996,5th Quintile,Does not matter,0.01572,45,254,0.00039,0.03105
1996,5th Quintile,Does not apply/do not (yet) have a job,0.02548,76,254,0.00606,0.04489
1997,1st Quintile,In my current field/ field I was trained in,0.04346,138,672,0.02803,0.05888
1997,1st Quintile,Do something new,0.03247,87,672,0.01906,0.04588
1997,1st Quintile,Does not matter,0.07051,258,672,0.05114,0.08988
