year,sampreg,plb0426,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,West,In my current field/ field I was trained in,0.03964,467,1353,0.02924,0.05004
1994,West,Do something new,0.01415,179,1353,0.00785,0.02045
1994,West,Does not matter,0.01960,273,1353,0.01221,0.02698
1994,West,Does not apply/do not (yet) have a job,0.03006,434,1353,0.02096,0.03917
1994,East,In my current field/ field I was trained in,0.03991,187,668,0.02506,0.05477
1994,East,Do something new,0.02348,98,668,0.01199,0.03497
1994,East,Does not matter,0.05547,274,668,0.03810,0.07284
1994,East,Does not apply/do not (yet) have a job,0.01783,109,668,0.00779,0.02788
1996,West,In my current field/ field I was trained in,0.03262,424,1484,0.02358,0.04166
1996,West,Do something new,0.02149,228,1484,0.01411,0.02887
1996,West,Does not matter,0.02640,361,1484,0.01824,0.03456
1996,West,Does not apply/do not (yet) have a job,0.02946,471,1484,0.02085,0.03807
1996,East,In my current field/ field I was trained in,0.04194,190,657,0.02660,0.05728
1996,East,Do something new,0.01821,90,657,0.00798,0.02844
1996,East,Does not matter,0.05627,261,657,0.03864,0.07391
1996,East,Does not apply/do not (yet) have a job,0.01845,116,657,0.00815,0.02874
1997,West,In my current field/ field I was trained in,0.03166,397,1475,0.02272,0.04059
1997,West,Do something new,0.01880,200,1475,0.01187,0.02573
1997,West,Does not matter,0.02905,378,1475,0.02047,0.03762
1997,West,Does not apply/do not (yet) have a job,0.03185,500,1475,0.02289,0.04082
1997,East,In my current field/ field I was trained in,0.04035,166,641,0.02510,0.05559
1997,East,Do something new,0.01899,79,641,0.00842,0.02957
1997,East,Does not matter,0.05750,268,641,0.03946,0.07554
1997,East,Does not apply/do not (yet) have a job,0.02137,128,641,0.01017,0.03258
1998,West,In my current field/ field I was trained in,0.03005,432,1519,0.02146,0.03864
1998,West,Do something new,0.01494,192,1519,0.00883,0.02104
1998,West,Does not matter,0.02524,356,1519,0.01735,0.03313
1998,West,Does not apply/do not (yet) have a job,0.03449,539,1519,0.02531,0.04367
1998,East,In my current field/ field I was trained in,0.04330,199,695,0.02815,0.05844
1998,East,Do something new,0.01720,80,695,0.00753,0.02687
1998,East,Does not matter,0.05532,278,695,0.03831,0.07233
1998,East,Does not apply/do not (yet) have a job,0.02160,138,695,0.01078,0.03242
1999,West,In my current field/ field I was trained in,0.02460,329,1296,0.01616,0.03303
1999,West,Do something new,0.01254,163,1296,0.00648,0.01860
1999,West,Does not matter,0.02394,330,1296,0.01561,0.03226
1999,West,Does not apply/do not (yet) have a job,0.03201,474,1296,0.02242,0.04160
1999,East,In my current field/ field I was trained in,0.03335,166,625,0.01926,0.04743
1999,East,Do something new,0.01741,76,625,0.00714,0.02767
1999,East,Does not matter,0.05147,239,625,0.03413,0.06881
1999,East,Does not apply/do not (yet) have a job,0.02545,144,625,0.01309,0.03781
2000,West,In my current field/ field I was trained in,0.02685,701,2392,0.02037,0.03333
2000,West,Do something new,0.01341,321,2392,0.00880,0.01802
2000,West,Does not matter,0.02107,549,2392,0.01531,0.02683
2000,West,Does not apply/do not (yet) have a job,0.03158,821,2392,0.02457,0.03859
2000,East,In my current field/ field I was trained in,0.03256,245,980,0.02144,0.04368
