"year","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","4.02","3.5","16094","3.97","4.07"
"1985","3.62","2.5","1111","3.51","3.73"
"1986","3.48","2.5","1274","3.39","3.57"
"1987","3.41","2.5","1168","3.33","3.49"
"1988","3.46","2.5","1115","3.36","3.56"
"1989","3.43","2.5","1073","3.34","3.52"
"1990","3.34","2.5","6943","3.3","3.38"
"1991","3.69","2.5","1582","3.61","3.77"
"1992","3.63","2.5","1640","3.55","3.71"
"1993","3.75","2.5","1742","3.67","3.83"
"1994","3.65","2.5","1901","3.57","3.73"
"1995","3.71","2.5","2645","3.65","3.77"
"1996","3.7","2.5","2223","3.63","3.77"
"1997","3.63","2.5","2040","3.56","3.7"
"1998","3.95","3.5","18405","3.93","3.97"
"1999","3.93","2.5","2138","3.85","4.01"
"2000","4.11","3.5","16292","4.08","4.14"
"2001","4.06","3.5","3078","4","4.12"
"2002","4.07","3.5","29807","4.05","4.09"
"2003","4.06","3.5","28704","4.04","4.08"
"2004","4.07","3.5","27857","4.05","4.09"
"2005","4.08","3.5","26678","4.06","4.1"
"2006","4.06","3.5","28600","4.04","4.08"
"2007","4.11","3.5","26583","4.09","4.13"
"2008","4.14","3.5","24810","4.12","4.16"
"2009","4.16","3.5","23166","4.14","4.18"
"2010","4.15","3.5","37411","4.13","4.17"
"2011","4.16","3.5","43977","4.14","4.18"
"2012","4.17","3.5","42383","4.15","4.19"
"2013","4.13","3.5","47650","4.11","4.15"
"2014","4.14","3.5","41448","4.12","4.16"
"2015","4.13","3.5","41009","4.11","4.15"
"2016","4.15","3.5","45040","4.13","4.17"
"2017","4.15","3.5","50090","4.13","4.17"
"2018","4.2","3.5","47820","4.18","4.22"
"2019","4.21","3.5","48416","4.19","4.23"
"2020","4.28","3.5","49638","4.26","4.3"
