"year","regtyp","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2004","Staedtischer Raum","Ostdeutschland","3.26","2.5","2111","3.2","3.32"
"2004","Staedtischer Raum","Westdeutschland","4.03","3.5","16405","4","4.06"
"2005","Laendlicher Raum","Ostdeutschland","3.78","3.5","4093","3.73","3.83"
"2005","Laendlicher Raum","Westdeutschland","4.69","3.5","4844","4.63","4.75"
"2005","Staedtischer Raum","Ostdeutschland","3.3","2.5","2048","3.24","3.36"
"2005","Staedtischer Raum","Westdeutschland","4.01","3.5","15693","3.98","4.04"
"2006","Laendlicher Raum","Ostdeutschland","3.72","2.5","4372","3.67","3.77"
"2006","Laendlicher Raum","Westdeutschland","4.66","3.5","5448","4.61","4.71"
"2006","Staedtischer Raum","Ostdeutschland","3.26","2.5","2138","3.2","3.32"
"2006","Staedtischer Raum","Westdeutschland","4","3.5","16642","3.97","4.03"
"2007","Laendlicher Raum","Ostdeutschland","3.8","3.5","4096","3.75","3.85"
"2007","Laendlicher Raum","Westdeutschland","4.73","3.5","5053","4.67","4.79"
"2007","Staedtischer Raum","Ostdeutschland","3.25","2.5","2022","3.19","3.31"
"2007","Staedtischer Raum","Westdeutschland","4.05","3.5","15412","4.02","4.08"
"2008","Laendlicher Raum","Ostdeutschland","3.8","3.5","3851","3.75","3.85"
"2008","Laendlicher Raum","Westdeutschland","4.75","4.5","4688","4.69","4.81"
"2008","Staedtischer Raum","Ostdeutschland","3.3","2.5","1949","3.24","3.36"
"2008","Staedtischer Raum","Westdeutschland","4.09","3.5","14322","4.06","4.12"
"2009","Laendlicher Raum","Ostdeutschland","3.92","3.5","3714","3.87","3.97"
"2009","Laendlicher Raum","Westdeutschland","4.68","3.5","4457","4.62","4.74"
"2009","Staedtischer Raum","Ostdeutschland","3.24","2.5","1857","3.18","3.3"
"2009","Staedtischer Raum","Westdeutschland","4.13","3.5","13138","4.1","4.16"
"2010","Laendlicher Raum","Ostdeutschland","3.86","3.5","5179","3.82","3.9"
"2010","Laendlicher Raum","Westdeutschland","4.68","3.5","7934","4.64","4.72"
"2010","Staedtischer Raum","Ostdeutschland","3.29","2.5","2728","3.24","3.34"
"2010","Staedtischer Raum","Westdeutschland","4.11","3.5","21570","4.09","4.13"
"2011","Laendlicher Raum","Ostdeutschland","3.82","3.5","5931","3.78","3.86"
"2011","Laendlicher Raum","Westdeutschland","4.71","3.5","9879","4.67","4.75"
"2011","Staedtischer Raum","Ostdeutschland","3.3","2.5","3210","3.25","3.35"
"2011","Staedtischer Raum","Westdeutschland","4.11","3.5","24957","4.09","4.13"
"2012","Laendlicher Raum","Ostdeutschland","3.78","3.5","5791","3.74","3.82"
"2012","Laendlicher Raum","Westdeutschland","4.71","3.5","9652","4.67","4.75"
"2012","Staedtischer Raum","Ostdeutschland","3.34","2.5","3072","3.29","3.39"
"2012","Staedtischer Raum","Westdeutschland","4.13","3.5","23868","4.11","4.15"
"2013","Laendlicher Raum","Ostdeutschland","3.79","3.5","5701","3.75","3.83"
"2013","Laendlicher Raum","Westdeutschland","4.64","3.5","10446","4.6","4.68"
"2013","Staedtischer Raum","Ostdeutschland","3.3","2.5","3134","3.25","3.35"
"2013","Staedtischer Raum","Westdeutschland","4.09","3.5","28369","4.07","4.11"
"2014","Laendlicher Raum","Ostdeutschland","3.78","3.5","5185","3.74","3.82"
"2014","Laendlicher Raum","Westdeutschland","4.64","3.5","9158","4.6","4.68"
"2014","Staedtischer Raum","Ostdeutschland","3.31","2.5","2817","3.26","3.36"
"2014","Staedtischer Raum","Westdeutschland","4.12","3.5","24288","4.1","4.14"
"2015","Laendlicher Raum","Ostdeutschland","3.73","2.5","4944","3.69","3.77"
"2015","Laendlicher Raum","Westdeutschland","4.65","3.5","9165","4.61","4.69"
"2015","Staedtischer Raum","Ostdeutschland","3.31","2.5","2775","3.26","3.36"
"2015","Staedtischer Raum","Westdeutschland","4.1","3.5","24125","4.08","4.12"
