"year","quintil","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1995","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.78","2.5","454","3.62","3.94"
"1995","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.21","2.5","794","3.11","3.31"
"1995","2","Laendlicher Raum","3.95","3.5","158","3.75","4.15"
"1995","2","Staedtischer Raum","3.72","3.5","449","3.58","3.86"
"1995","3","Laendlicher Raum","3.95","3.5","117","3.69","4.21"
"1995","3","Staedtischer Raum","3.98","2.5","299","3.77","4.19"
"1995","4","Laendlicher Raum","4.53","3.5","79","4.19","4.87"
"1995","4","Staedtischer Raum","3.59","2.5","160","3.35","3.83"
"1995","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.34","5","38","4.56","6.12"
"1995","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.05","3.5","97","3.73","4.37"
"1996","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.94","3.5","325","3.75","4.13"
"1996","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.24","2.5","544","3.13","3.35"
"1996","2","Laendlicher Raum","3.69","2.5","224","3.43","3.95"
"1996","2","Staedtischer Raum","3.7","3.5","386","3.57","3.83"
"1996","3","Laendlicher Raum","3.75","3.5","109","3.5","4"
"1996","3","Staedtischer Raum","3.61","2.5","298","3.42","3.8"
"1996","4","Laendlicher Raum","3.91","2.5","54","3.46","4.36"
"1996","4","Staedtischer Raum","3.71","2.5","165","3.46","3.96"
"1996","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","","",""
"1996","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.61","4.5","98","4.26","4.96"
"1997","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.59","2.5","361","3.41","3.77"
"1997","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.27","2.5","461","3.14","3.4"
"1997","2","Laendlicher Raum","3.82","2.5","196","3.57","4.07"
"1997","2","Staedtischer Raum","3.44","2.5","305","3.28","3.6"
"1997","3","Laendlicher Raum","3.67","2.5","106","3.32","4.02"
"1997","3","Staedtischer Raum","3.55","2.5","273","3.36","3.74"
"1997","4","Laendlicher Raum","4.51","3.5","66","4.12","4.9"
"1997","4","Staedtischer Raum","3.84","2.5","157","3.62","4.06"
"1997","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","","",""
"1997","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.33","3.5","95","3.95","4.71"
"1998","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.94","3.5","2545","3.88","4"
"1998","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.56","2.5","3811","3.51","3.61"
"1998","2","Laendlicher Raum","4.15","3.5","1835","4.08","4.22"
"1998","2","Staedtischer Raum","3.7","2.5","3215","3.65","3.75"
"1998","3","Laendlicher Raum","4.34","3.5","1202","4.25","4.43"
"1998","3","Staedtischer Raum","3.9","3.5","2329","3.83","3.97"
"1998","4","Laendlicher Raum","4.87","3.5","634","4.71","5.03"
"1998","4","Staedtischer Raum","4.08","3.5","1706","4","4.16"
"1998","5 Einkommensstärkstes Quintil","Laendlicher Raum","4.89","4.5","244","4.68","5.1"
"1998","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.42","3.5","884","4.3","4.54"
"1999","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.39","2.5","286","3.21","3.57"
"1999","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.19","2.5","414","3.07","3.31"
"1999","2","Laendlicher Raum","3.98","3.5","207","3.77","4.19"
"1999","2","Staedtischer Raum","3.69","2.5","372","3.53","3.85"
"1999","3","Laendlicher Raum","4.34","3.5","133","4","4.68"
"1999","3","Staedtischer Raum","4.06","3.5","287","3.85","4.27"
"1999","4","Laendlicher Raum","3.41","2.5","75","3.05","3.77"
"1999","4","Staedtischer Raum","3.82","2.5","186","3.56","4.08"
"1999","5 Einkommensstärkstes Quintil","Laendlicher Raum","7.83","5.5","39","6.48","9.18"
"1999","5 Einkommensstärkstes Quintil","Staedtischer Raum","5.02","3.5","139","4.59","5.45"
"2000","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.94","3.5","1840","3.87","4.01"
"2000","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.54","2.5","2727","3.48","3.6"
"2000","2","Laendlicher Raum","4.37","3.5","1721","4.29","4.45"
"2000","2","Staedtischer Raum","3.9","3.5","2671","3.84","3.96"
"2000","3","Laendlicher Raum","4.51","3.5","1141","4.41","4.61"
"2000","3","Staedtischer Raum","4.17","3.5","2277","4.1","4.24"
"2000","4","Laendlicher Raum","4.65","3.5","617","4.49","4.81"
"2000","4","Staedtischer Raum","4.19","3.5","1717","4.11","4.27"
"2000","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.23","4.5","338","5.02","5.44"
"2000","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.46","3.5","1243","4.34","4.58"
"2001","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.77","2.5","317","3.6","3.94"
"2001","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.47","2.5","596","3.35","3.59"
"2001","2","Laendlicher Raum","4.41","3.5","278","4.2","4.62"
"2001","2","Staedtischer Raum","4.14","3.5","515","3.98","4.3"
"2001","3","Laendlicher Raum","4.56","3.5","200","4.25","4.87"
"2001","3","Staedtischer Raum","3.79","2.5","430","3.62","3.96"
"2001","4","Laendlicher Raum","4.74","3.5","136","4.38","5.1"
"2001","4","Staedtischer Raum","4.39","3.5","334","4.17","4.61"
"2001","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.17","4.5","69","4.77","5.57"
"2001","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.18","3.5","203","3.97","4.39"
"2002","1 Einkommensschwächstes Quintil","Laendlicher Raum","4.07","3.5","2482","4","4.14"
"2002","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.55","2.5","3666","3.5","3.6"
"2002","2","Laendlicher Raum","4.24","3.5","2462","4.17","4.31"
"2002","2","Staedtischer Raum","3.86","3.5","4052","3.81","3.91"
"2002","3","Laendlicher Raum","4.41","3.5","2075","4.34","4.48"
"2002","3","Staedtischer Raum","3.96","3.5","3842","3.91","4.01"
"2002","4","Laendlicher Raum","4.54","3.5","1830","4.46","4.62"
"2002","4","Staedtischer Raum","3.99","3.5","3974","3.94","4.04"
"2002","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.22","4.5","1158","5.1","5.34"
"2002","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.56","3.5","4266","4.5","4.62"
"2003","1 Einkommensschwächstes Quintil","Laendlicher Raum","4.02","3.5","2326","3.95","4.09"
"2003","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.49","2.5","3425","3.44","3.54"
"2003","2","Laendlicher Raum","4.27","3.5","2312","4.2","4.34"
"2003","2","Staedtischer Raum","3.78","2.5","3792","3.73","3.83"
"2003","3","Laendlicher Raum","4.36","3.5","2167","4.29","4.43"
"2003","3","Staedtischer Raum","4.08","3.5","3945","4.03","4.13"
"2003","4","Laendlicher Raum","4.47","3.5","1759","4.38","4.56"
"2003","4","Staedtischer Raum","4.01","3.5","4068","3.96","4.06"
"2003","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.05","4.5","1045","4.93","5.17"
"2003","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.6","3.5","3865","4.54","4.66"
"2004","1 Einkommensschwächstes Quintil","Laendlicher Raum","4.02","3.5","2233","3.95","4.09"
"2004","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.5","2.5","3311","3.45","3.55"
"2004","2","Laendlicher Raum","4.21","3.5","2200","4.14","4.28"
"2004","2","Staedtischer Raum","3.89","3.5","3706","3.84","3.94"
"2004","3","Laendlicher Raum","4.35","3.5","2107","4.27","4.43"
"2004","3","Staedtischer Raum","3.98","3.5","3755","3.93","4.03"
"2004","4","Laendlicher Raum","4.44","3.5","1719","4.35","4.53"
"2004","4","Staedtischer Raum","4.04","3.5","3961","3.99","4.09"
"2004","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.13","4.5","1082","5","5.26"
"2004","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.59","3.5","3783","4.53","4.65"
"2005","1 Einkommensschwächstes Quintil","Laendlicher Raum","4.03","3.5","2189","3.96","4.1"
"2005","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.5","2.5","3186","3.45","3.55"
"2005","2","Laendlicher Raum","4.24","3.5","2069","4.17","4.31"
"2005","2","Staedtischer Raum","3.85","2.5","3422","3.8","3.9"
"2005","3","Laendlicher Raum","4.46","3.5","1936","4.38","4.54"
"2005","3","Staedtischer Raum","3.93","3.5","3595","3.88","3.98"
"2005","4","Laendlicher Raum","4.54","3.5","1667","4.45","4.63"
"2005","4","Staedtischer Raum","4.09","3.5","3783","4.04","4.14"
"2005","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.03","4.5","1076","4.88","5.18"
"2005","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.51","3.5","3755","4.45","4.57"
"2006","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.95","3.5","2405","3.88","4.02"
"2006","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.34","2.5","3280","3.29","3.39"
"2006","2","Laendlicher Raum","4.33","3.5","2282","4.26","4.4"
"2006","2","Staedtischer Raum","3.86","3.5","3634","3.8","3.92"
"2006","3","Laendlicher Raum","4.39","3.5","2176","4.31","4.47"
"2006","3","Staedtischer Raum","3.94","3.5","3728","3.89","3.99"
"2006","4","Laendlicher Raum","4.46","3.5","1828","4.38","4.54"
"2006","4","Staedtischer Raum","4.09","3.5","4219","4.04","4.14"
"2006","5 Einkommensstärkstes Quintil","Laendlicher Raum","4.92","4.5","1129","4.8","5.04"
"2006","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.6","3.5","3919","4.54","4.66"
"2007","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.95","3.5","2032","3.87","4.03"
"2007","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.47","2.5","2862","3.41","3.53"
"2007","2","Laendlicher Raum","4.27","3.5","2182","4.2","4.34"
"2007","2","Staedtischer Raum","3.77","2.5","3224","3.72","3.82"
"2007","3","Laendlicher Raum","4.58","3.5","2094","4.5","4.66"
"2007","3","Staedtischer Raum","4","3.5","3493","3.95","4.05"
"2007","4","Laendlicher Raum","4.57","3.5","1741","4.49","4.65"
"2007","4","Staedtischer Raum","4.1","3.5","3987","4.05","4.15"
"2007","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.08","4.5","1098","4.95","5.21"
"2007","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.64","3.5","3867","4.58","4.7"
"2008","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.97","3.5","1766","3.89","4.05"
"2008","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.44","2.5","2503","3.38","3.5"
"2008","2","Laendlicher Raum","4.24","3.5","1862","4.16","4.32"
"2008","2","Staedtischer Raum","3.83","3.5","2796","3.77","3.89"
"2008","3","Laendlicher Raum","4.51","3.5","1953","4.43","4.59"
"2008","3","Staedtischer Raum","4.11","3.5","3428","4.06","4.16"
"2008","4","Laendlicher Raum","4.64","3.5","1854","4.55","4.73"
"2008","4","Staedtischer Raum","4.04","3.5","3680","3.99","4.09"
"2008","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.11","4.5","1104","5","5.22"
"2008","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.65","3.5","3864","4.59","4.71"
"2009","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.82","3.5","1540","3.73","3.91"
"2009","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.4","2.5","2219","3.34","3.46"
"2009","2","Laendlicher Raum","4.23","3.5","1736","4.15","4.31"
"2009","2","Staedtischer Raum","3.83","2.5","2558","3.77","3.89"
"2009","3","Laendlicher Raum","4.43","3.5","1935","4.35","4.51"
"2009","3","Staedtischer Raum","4.11","3.5","2930","4.05","4.17"
"2009","4","Laendlicher Raum","4.68","3.5","1754","4.59","4.77"
"2009","4","Staedtischer Raum","4.21","3.5","3594","4.16","4.26"
"2009","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.15","4.5","1206","5.04","5.26"
"2009","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.52","3.5","3694","4.46","4.58"
"2010","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.85","3.5","3253","3.79","3.91"
"2010","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.35","2.5","4870","3.31","3.39"
"2010","2","Laendlicher Raum","4.14","3.5","3307","4.08","4.2"
"2010","2","Staedtischer Raum","3.71","2.5","5044","3.67","3.75"
"2010","3","Laendlicher Raum","4.39","3.5","2717","4.32","4.46"
"2010","3","Staedtischer Raum","4.16","3.5","4489","4.11","4.21"
"2010","4","Laendlicher Raum","4.68","3.5","2365","4.6","4.76"
"2010","4","Staedtischer Raum","4.11","3.5","4928","4.06","4.16"
"2010","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.05","4.5","1471","4.95","5.15"
"2010","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.58","3.5","4967","4.53","4.63"
"2011","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.75","2.5","3579","3.69","3.81"
"2011","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.37","2.5","4995","3.33","3.41"
"2011","2","Laendlicher Raum","4.16","3.5","3667","4.1","4.22"
"2011","2","Staedtischer Raum","3.79","2.5","5593","3.75","3.83"
"2011","3","Laendlicher Raum","4.37","3.5","3485","4.31","4.43"
"2011","3","Staedtischer Raum","3.99","3.5","5254","3.94","4.04"
"2011","4","Laendlicher Raum","4.67","3.5","3120","4.6","4.74"
"2011","4","Staedtischer Raum","4.23","3.5","6170","4.19","4.27"
"2011","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.22","4.5","1959","5.14","5.3"
"2011","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.53","3.5","6155","4.48","4.58"
"2012","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.63","2.5","2951","3.57","3.69"
"2012","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.3","2.5","4183","3.26","3.34"
"2012","2","Laendlicher Raum","4.14","3.5","3531","4.08","4.2"
"2012","2","Staedtischer Raum","3.81","3.5","5032","3.77","3.85"
"2012","3","Laendlicher Raum","4.47","3.5","3588","4.41","4.53"
"2012","3","Staedtischer Raum","3.99","3.5","5251","3.94","4.04"
"2012","4","Laendlicher Raum","4.62","3.5","3192","4.56","4.68"
"2012","4","Staedtischer Raum","4.19","3.5","6122","4.15","4.23"
"2012","5 Einkommensstärkstes Quintil","Laendlicher Raum","5.03","4.5","2180","4.95","5.11"
"2012","5 Einkommensstärkstes Quintil","Staedtischer Raum","4.57","3.5","6352","4.52","4.62"
"2013","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.59","2.5","3119","3.53","3.65"
"2013","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.31","2.5","5660","3.27","3.35"
"2013","2","Laendlicher Raum","4.26","3.5","3494","4.2","4.32"
