"year","quintil","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1995","1 Einkommensschwächstes Quintil","3.4","2.5","1248","3.31","3.49"
"1995","2","3.78","3.5","607","3.66","3.9"
"1995","3","3.97","3.5","416","3.8","4.14"
"1995","4","3.9","3.5","239","3.7","4.1"
"1995","5 Einkommensstärkstes Quintil","4.33","3.5","135","3.99","4.67"
"1996","1 Einkommensschwächstes Quintil","3.49","2.5","869","3.39","3.59"
"1996","2","3.7","3.5","610","3.57","3.83"
"1996","3","3.65","2.5","407","3.5","3.8"
"1996","4","3.76","2.5","219","3.54","3.98"
"1996","5 Einkommensstärkstes Quintil","4.65","4.5","118","4.34","4.96"
"1997","1 Einkommensschwächstes Quintil","3.41","2.5","822","3.3","3.52"
"1997","2","3.57","2.5","501","3.43","3.71"
"1997","3","3.58","2.5","379","3.41","3.75"
"1997","4","4.02","3.5","223","3.82","4.22"
"1997","5 Einkommensstärkstes Quintil","4.28","3.5","115","3.96","4.6"
"1998","1 Einkommensschwächstes Quintil","3.71","2.5","6356","3.67","3.75"
"1998","2","3.85","3.5","5050","3.81","3.89"
"1998","3","4.03","3.5","3531","3.98","4.08"
"1998","4","4.27","3.5","2340","4.2","4.34"
"1998","5 Einkommensstärkstes Quintil","4.51","3.5","1128","4.41","4.61"
"1999","1 Einkommensschwächstes Quintil","3.27","2.5","700","3.17","3.37"
"1999","2","3.79","3.5","579","3.66","3.92"
"1999","3","4.15","3.5","420","3.97","4.33"
"1999","4","3.7","2.5","261","3.49","3.91"
"1999","5 Einkommensstärkstes Quintil","5.79","3.5","178","5.33","6.25"
"2000","1 Einkommensschwächstes Quintil","3.69","2.5","4567","3.64","3.74"
"2000","2","4.07","3.5","4392","4.02","4.12"
"2000","3","4.28","3.5","3418","4.22","4.34"
"2000","4","4.3","3.5","2334","4.23","4.37"
"2000","5 Einkommensstärkstes Quintil","4.62","3.5","1581","4.52","4.72"
"2001","1 Einkommensschwächstes Quintil","3.56","2.5","913","3.46","3.66"
"2001","2","4.23","3.5","793","4.1","4.36"
"2001","3","4.03","3.5","630","3.88","4.18"
"2001","4","4.48","3.5","470","4.29","4.67"
"2001","5 Einkommensstärkstes Quintil","4.41","3.5","272","4.22","4.6"
"2002","1 Einkommensschwächstes Quintil","3.75","2.5","6148","3.71","3.79"
"2002","2","4","3.5","6514","3.96","4.04"
"2002","3","4.1","3.5","5917","4.06","4.14"
"2002","4","4.15","3.5","5804","4.1","4.2"
"2002","5 Einkommensstärkstes Quintil","4.69","3.5","5424","4.64","4.74"
"2003","1 Einkommensschwächstes Quintil","3.69","2.5","5751","3.65","3.73"
"2003","2","3.95","3.5","6104","3.91","3.99"
