year,bula_h,hhtyp,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Lower Saxony,Single-person household,Reasonable,0.48811,41,41,0.33320,0.64302
1984,Lower Saxony,Couple with children,Inexpensive,0.33403,34,81,0.23067,0.43738
1984,Lower Saxony,Couple with children,Reasonable,0.39434,47,81,0.28724,0.50143
1984,North Rhine-Westphalia,Single-person household,Inexpensive,0.26276,80,251,0.20820,0.31732
1984,North Rhine-Westphalia,Single-person household,Reasonable,0.46309,126,251,0.40128,0.52490
1984,North Rhine-Westphalia,Single-person household,Slightly Expensive,0.13927,45,251,0.09635,0.18219
1984,North Rhine-Westphalia,Couple without children,Inexpensive,0.25809,63,222,0.20040,0.31579
1984,North Rhine-Westphalia,Couple without children,Reasonable,0.50144,120,222,0.43552,0.56736
1984,North Rhine-Westphalia,Couple without children,Slightly Expensive,0.14231,39,222,0.09625,0.18838
1984,North Rhine-Westphalia,Couple with children,Very Inexpensive,0.09120,33,444,0.06439,0.11801
1984,North Rhine-Westphalia,Couple with children,Inexpensive,0.29116,113,444,0.24886,0.33347
1984,North Rhine-Westphalia,Couple with children,Reasonable,0.47009,222,444,0.42361,0.51657
1984,North Rhine-Westphalia,Couple with children,Slightly Expensive,0.11249,76,444,0.08307,0.14192
1984,Hesse,Single-person household,Reasonable,0.49377,41,41,0.33883,0.64871
1984,Hesse,Couple without children,Reasonable,0.46509,38,38,0.30437,0.62581
1984,Hesse,Couple with children,Inexpensive,0.27883,43,153,0.20754,0.35012
1984,Hesse,Couple with children,Reasonable,0.44326,72,153,0.36429,0.52224
1984,Hesse,Couple with children,Slightly Expensive,0.14915,38,153,0.09251,0.20578
1984,Baden-Wuerttemberg,Single-person household,Inexpensive,0.25578,41,101,0.17026,0.34129
1984,Baden-Wuerttemberg,Single-person household,Reasonable,0.41496,60,101,0.31839,0.51154
1984,Baden-Wuerttemberg,Couple without children,Reasonable,0.41513,47,47,0.27273,0.55753
1984,Baden-Wuerttemberg,Couple with children,Inexpensive,0.37470,84,284,0.31830,0.43109
1984,Baden-Wuerttemberg,Couple with children,Reasonable,0.35955,138,284,0.30364,0.41545
1984,Baden-Wuerttemberg,Couple with children,Slightly Expensive,0.09689,62,284,0.06242,0.13135
1984,Bavaria,Single-person household,Inexpensive,0.26997,33,82,0.17329,0.36665
1984,Bavaria,Single-person household,Reasonable,0.38272,49,82,0.27687,0.48857
1984,Bavaria,Couple without children,Inexpensive,0.27484,36,88,0.18103,0.36865
1984,Bavaria,Couple without children,Reasonable,0.36759,52,88,0.26627,0.46891
1984,Bavaria,Couple with children,Inexpensive,0.24661,59,206,0.18760,0.30561
1984,Bavaria,Couple with children,Reasonable,0.42545,100,206,0.35777,0.49313
1984,Bavaria,Couple with children,Slightly Expensive,0.15783,47,206,0.10792,0.20773
1985,Lower Saxony,Single-person household,Reasonable,0.45398,39,39,0.29568,0.61228
1985,Lower Saxony,Couple without children,Reasonable,0.48433,35,35,0.31634,0.65232
1985,Lower Saxony,Couple with children,Reasonable,0.38014,35,35,0.21697,0.54331
1985,North Rhine-Westphalia,Single-person household,Very Inexpensive,0.12917,32,260,0.08832,0.17001
1985,North Rhine-Westphalia,Single-person household,Inexpensive,0.24751,64,260,0.19495,0.30007
1985,North Rhine-Westphalia,Single-person household,Reasonable,0.47056,125,260,0.40977,0.53134
1985,North Rhine-Westphalia,Single-person household,Slightly Expensive,0.12139,39,260,0.08162,0.16116
1985,North Rhine-Westphalia,Couple without children,Inexpensive,0.27124,59,196,0.20884,0.33364
1985,North Rhine-Westphalia,Couple without children,Reasonable,0.47256,105,196,0.40249,0.54264
1985,North Rhine-Westphalia,Couple without children,Slightly Expensive,0.12666,32,196,0.07997,0.17334
1985,North Rhine-Westphalia,Couple with children,Very Inexpensive,0.09989,33,384,0.06986,0.12992
1985,North Rhine-Westphalia,Couple with children,Inexpensive,0.31930,126,384,0.27261,0.36599
1985,North Rhine-Westphalia,Couple with children,Reasonable,0.40766,168,384,0.35845,0.45688
1985,North Rhine-Westphalia,Couple with children,Slightly Expensive,0.11756,57,384,0.08530,0.14981
1985,Hesse,Couple without children,Reasonable,0.37942,31,31,0.20578,0.55306
1985,Hesse,Couple with children,Inexpensive,0.29278,39,104,0.20490,0.38066
1985,Hesse,Couple with children,Reasonable,0.34803,65,104,0.25604,0.44003
1985,"Rhineland-Palatinate, Saarland",Couple with children,Reasonable,0.50633,31,31,0.32742,0.68524
1985,Baden-Wuerttemberg,Single-person household,Inexpensive,0.29449,35,83,0.19583,0.39315
1985,Baden-Wuerttemberg,Single-person household,Reasonable,0.38948,48,83,0.28393,0.49503
1985,Baden-Wuerttemberg,Couple without children,Reasonable,0.50082,52,52,0.36360,0.63805
