year,bula_h,sampreg,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,West,Reasonable,0.45713,39,39,0.29874,0.61552
1984,Hamburg,West,Inexpensive,0.29338,38,98,0.20277,0.38399
1984,Hamburg,West,Reasonable,0.38423,60,98,0.28743,0.48103
1984,Lower Saxony,West,Inexpensive,0.28266,87,270,0.22885,0.33647
1984,Lower Saxony,West,Reasonable,0.43882,131,270,0.37952,0.49812
1984,Lower Saxony,West,Slightly Expensive,0.15014,52,270,0.10745,0.19283
1984,Bremen,West,Reasonable,0.53868,32,32,0.36319,0.71416
1984,North Rhine-Westphalia,West,Very Inexpensive,0.08384,86,1117,0.06758,0.10011
1984,North Rhine-Westphalia,West,Inexpensive,0.26130,277,1117,0.23552,0.28708
1984,North Rhine-Westphalia,West,Reasonable,0.47336,513,1117,0.44407,0.50266
1984,North Rhine-Westphalia,West,Slightly Expensive,0.13832,180,1117,0.11806,0.15857
1984,North Rhine-Westphalia,West,Too Expensive,0.04317,61,1117,0.03125,0.05510
1984,Hesse,West,Inexpensive,0.27630,99,342,0.22883,0.32376
1984,Hesse,West,Reasonable,0.46282,167,342,0.40990,0.51575
1984,Hesse,West,Slightly Expensive,0.14694,76,342,0.10936,0.18451
1984,"Rhineland-Palatinate, Saarland",West,Inexpensive,0.27809,51,135,0.20222,0.35395
1984,"Rhineland-Palatinate, Saarland",West,Reasonable,0.48481,84,135,0.40019,0.56943
1984,Baden-Wuerttemberg,West,Very Inexpensive,0.10413,52,651,0.08065,0.12761
1984,Baden-Wuerttemberg,West,Inexpensive,0.29516,162,651,0.26009,0.33022
1984,Baden-Wuerttemberg,West,Reasonable,0.40400,275,651,0.36627,0.44172
1984,Baden-Wuerttemberg,West,Slightly Expensive,0.14776,122,651,0.12048,0.17504
1984,Baden-Wuerttemberg,West,Too Expensive,0.04896,40,651,0.03237,0.06555
1984,Bavaria,West,Very Inexpensive,0.10372,52,553,0.07828,0.12916
1984,Bavaria,West,Inexpensive,0.26454,141,553,0.22774,0.30134
1984,Bavaria,West,Reasonable,0.39645,224,553,0.35565,0.43726
1984,Bavaria,West,Slightly Expensive,0.16921,99,553,0.13794,0.20049
1984,Bavaria,West,Too Expensive,0.06607,37,553,0.04535,0.08680
1984,Berlin,West,Inexpensive,0.20402,44,179,0.14482,0.26322
1984,Berlin,West,Reasonable,0.50922,92,179,0.43578,0.58266
1984,Berlin,West,Slightly Expensive,0.18178,43,179,0.12513,0.23844
1985,Schleswig-Holstein,West,Reasonable,0.52133,50,50,0.38146,0.66121
1985,Hamburg,West,Inexpensive,0.27526,33,97,0.18591,0.36461
1985,Hamburg,West,Reasonable,0.49285,64,97,0.39284,0.59286
1985,Lower Saxony,West,Inexpensive,0.22181,68,243,0.16946,0.27415
1985,Lower Saxony,West,Reasonable,0.45635,124,243,0.39360,0.51911
1985,Lower Saxony,West,Slightly Expensive,0.16493,51,243,0.11817,0.21169
1985,North Rhine-Westphalia,West,Very Inexpensive,0.11431,97,1006,0.09464,0.13399
1985,North Rhine-Westphalia,West,Inexpensive,0.26124,263,1006,0.23408,0.28840
1985,North Rhine-Westphalia,West,Reasonable,0.45545,444,1006,0.42466,0.48624
1985,North Rhine-Westphalia,West,Slightly Expensive,0.13167,151,1006,0.11077,0.15258
1985,North Rhine-Westphalia,West,Too Expensive,0.03733,51,1006,0.02561,0.04905
1985,Hesse,West,Very Inexpensive,0.14788,42,364,0.11136,0.18440
1985,Hesse,West,Inexpensive,0.26715,85,364,0.22163,0.31267
1985,Hesse,West,Reasonable,0.37365,141,364,0.32389,0.42342
1985,Hesse,West,Slightly Expensive,0.15881,63,364,0.12121,0.19641
1985,Hesse,West,Too Expensive,0.05250,33,364,0.02956,0.07545
1985,"Rhineland-Palatinate, Saarland",West,Inexpensive,0.24194,40,114,0.16297,0.32090
1985,"Rhineland-Palatinate, Saarland",West,Reasonable,0.41918,74,114,0.32820,0.51016
1985,Baden-Wuerttemberg,West,Very Inexpensive,0.12188,52,582,0.09528,0.14848
1985,Baden-Wuerttemberg,West,Inexpensive,0.28157,145,582,0.24500,0.31814
1985,Baden-Wuerttemberg,West,Reasonable,0.39768,251,582,0.35788,0.43747
1985,Baden-Wuerttemberg,West,Slightly Expensive,0.15844,100,582,0.12875,0.18813
1985,Baden-Wuerttemberg,West,Too Expensive,0.04043,34,582,0.02441,0.05644
1985,Bavaria,West,Very Inexpensive,0.14630,66,479,0.11462,0.17798
1985,Bavaria,West,Inexpensive,0.24478,114,479,0.20624,0.28333
1985,Bavaria,West,Reasonable,0.41588,208,479,0.37169,0.46006
1985,Bavaria,West,Slightly Expensive,0.15168,91,479,0.11952,0.18384
1985,Berlin,West,Inexpensive,0.16650,33,167,0.10983,0.22317
1985,Berlin,West,Reasonable,0.53468,90,167,0.45880,0.61056
1985,Berlin,West,Slightly Expensive,0.22661,44,167,0.16292,0.29029
1986,Schleswig-Holstein,West,Reasonable,0.41853,35,35,0.25271,0.58435
1986,Hamburg,West,Inexpensive,0.31872,32,90,0.22191,0.41553
1986,Hamburg,West,Reasonable,0.41416,58,90,0.31182,0.51650
1986,Lower Saxony,West,Inexpensive,0.30557,78,233,0.24630,0.36485
1986,Lower Saxony,West,Reasonable,0.37847,105,233,0.31606,0.44088
1986,Lower Saxony,West,Slightly Expensive,0.17632,50,233,0.12728,0.22536
1986,North Rhine-Westphalia,West,Very Inexpensive,0.11434,90,947,0.09406,0.13462
1986,North Rhine-Westphalia,West,Inexpensive,0.25388,243,947,0.22614,0.28161
1986,North Rhine-Westphalia,West,Reasonable,0.46001,426,947,0.42825,0.49177
1986,North Rhine-Westphalia,West,Slightly Expensive,0.14139,156,947,0.11919,0.16360
1986,North Rhine-Westphalia,West,Too Expensive,0.03038,32,947,0.01944,0.04132
1986,Hesse,West,Very Inexpensive,0.15990,39,312,0.11917,0.20064
1986,Hesse,West,Inexpensive,0.28890,93,312,0.23853,0.33928
1986,Hesse,West,Reasonable,0.34551,115,312,0.29266,0.39837
1986,Hesse,West,Slightly Expensive,0.16191,65,312,0.12097,0.20285
1986,"Rhineland-Palatinate, Saarland",West,Inexpensive,0.31307,51,112,0.22680,0.39935
1986,"Rhineland-Palatinate, Saarland",West,Reasonable,0.33772,61,112,0.24974,0.42570
1986,Baden-Wuerttemberg,West,Very Inexpensive,0.12187,46,545,0.09438,0.14936
1986,Baden-Wuerttemberg,West,Inexpensive,0.27449,128,545,0.23699,0.31199
1986,Baden-Wuerttemberg,West,Reasonable,0.45164,254,545,0.40982,0.49346
1986,Baden-Wuerttemberg,West,Slightly Expensive,0.11734,83,545,0.09030,0.14439
1986,Baden-Wuerttemberg,West,Too Expensive,0.03466,34,545,0.01929,0.05004
1986,Bavaria,West,Very Inexpensive,0.13961,61,434,0.10696,0.17225
1986,Bavaria,West,Inexpensive,0.34678,143,434,0.30195,0.39161
1986,Bavaria,West,Reasonable,0.33777,167,434,0.29322,0.38232
1986,Bavaria,West,Slightly Expensive,0.11839,63,434,0.08796,0.14882
1986,Berlin,West,Inexpensive,0.16027,34,128,0.09647,0.22408
1986,Berlin,West,Reasonable,0.55724,94,128,0.47085,0.64363
1987,Schleswig-Holstein,West,Reasonable,0.52670,39,39,0.36795,0.68545
1987,Hamburg,West,Inexpensive,0.35148,32,74,0.24195,0.46100
1987,Hamburg,West,Reasonable,0.38642,42,74,0.27472,0.49813
1987,Lower Saxony,West,Inexpensive,0.28086,76,241,0.22400,0.33772
1987,Lower Saxony,West,Reasonable,0.40488,109,241,0.34278,0.46699
1987,Lower Saxony,West,Slightly Expensive,0.18130,56,241,0.13256,0.23004
1987,North Rhine-Westphalia,West,Very Inexpensive,0.10725,81,929,0.08734,0.12716
1987,North Rhine-Westphalia,West,Inexpensive,0.27579,250,929,0.24704,0.30454
1987,North Rhine-Westphalia,West,Reasonable,0.43899,413,929,0.40706,0.47092
1987,North Rhine-Westphalia,West,Slightly Expensive,0.13804,146,929,0.11585,0.16024
1987,North Rhine-Westphalia,West,Too Expensive,0.03992,39,929,0.02733,0.05252
1987,Hesse,West,Very Inexpensive,0.15231,35,309,0.11218,0.19244
1987,Hesse,West,Inexpensive,0.22996,81,309,0.18296,0.27696
1987,Hesse,West,Reasonable,0.48694,142,309,0.43112,0.54276
1987,Hesse,West,Slightly Expensive,0.10275,51,309,0.06884,0.13666
1987,"Rhineland-Palatinate, Saarland",West,Inexpensive,0.25384,40,109,0.17176,0.33592
1987,"Rhineland-Palatinate, Saarland",West,Reasonable,0.41303,69,109,0.32017,0.50590
1987,Baden-Wuerttemberg,West,Very Inexpensive,0.11019,49,541,0.08378,0.13661
1987,Baden-Wuerttemberg,West,Inexpensive,0.31679,155,541,0.27755,0.35603
1987,Baden-Wuerttemberg,West,Reasonable,0.36876,210,541,0.32806,0.40945
1987,Baden-Wuerttemberg,West,Slightly Expensive,0.14178,88,541,0.11235,0.17120
1987,Baden-Wuerttemberg,West,Too Expensive,0.06248,39,541,0.04207,0.08289
1987,Bavaria,West,Very Inexpensive,0.15167,56,450,0.11849,0.18485
1987,Bavaria,West,Inexpensive,0.30422,147,450,0.26166,0.34677
