year,quintil_oecd_hh,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Very Inexpensive,0.06714,50,913,0.05089,0.08338
1984,1st Quintile,Inexpensive,0.23349,198,913,0.20603,0.26094
1984,1st Quintile,Reasonable,0.48381,420,913,0.45138,0.51625
1984,1st Quintile,Slightly Expensive,0.15459,171,913,0.13113,0.17806
1984,1st Quintile,Too Expensive,0.06097,74,913,0.04544,0.07650
1984,2nd Quintile,Very Inexpensive,0.08257,58,797,0.06345,0.10169
1984,2nd Quintile,Inexpensive,0.25129,201,797,0.22116,0.28142
1984,2nd Quintile,Reasonable,0.43890,326,797,0.40442,0.47337
1984,2nd Quintile,Slightly Expensive,0.17219,159,797,0.14596,0.19842
1984,2nd Quintile,Too Expensive,0.05505,53,797,0.03921,0.07090
1984,3rd Quintile,Very Inexpensive,0.08706,63,744,0.06679,0.10733
1984,3rd Quintile,Inexpensive,0.32157,215,744,0.28799,0.35516
1984,3rd Quintile,Reasonable,0.39791,299,744,0.36272,0.43311
1984,3rd Quintile,Slightly Expensive,0.15924,136,744,0.13293,0.18555
1984,3rd Quintile,Too Expensive,0.03422,31,744,0.02115,0.04729
1984,4th Quintile,Very Inexpensive,0.09269,54,718,0.07146,0.11391
1984,4th Quintile,Inexpensive,0.28986,191,718,0.25665,0.32307
1984,4th Quintile,Reasonable,0.43505,321,718,0.39876,0.47133
1984,4th Quintile,Slightly Expensive,0.13798,118,718,0.11274,0.16323
1984,4th Quintile,Too Expensive,0.04442,34,718,0.02934,0.05950
1984,5th Quintile,Very Inexpensive,0.10409,55,495,0.07716,0.13102
1984,5th Quintile,Inexpensive,0.25047,129,495,0.21226,0.28868
1984,5th Quintile,Reasonable,0.48524,244,495,0.44117,0.52931
1984,5th Quintile,Slightly Expensive,0.12379,67,495,0.09474,0.15283
1985,1st Quintile,Very Inexpensive,0.11464,68,836,0.09303,0.13625
1985,1st Quintile,Inexpensive,0.23316,182,836,0.20448,0.26184
1985,1st Quintile,Reasonable,0.42809,355,836,0.39453,0.46165
1985,1st Quintile,Slightly Expensive,0.17683,171,836,0.15095,0.20271
1985,1st Quintile,Too Expensive,0.04728,60,836,0.03289,0.06168
1985,2nd Quintile,Very Inexpensive,0.12991,80,745,0.10575,0.15407
1985,2nd Quintile,Inexpensive,0.26707,197,745,0.23528,0.29887
1985,2nd Quintile,Reasonable,0.42603,315,745,0.39050,0.46156
1985,2nd Quintile,Slightly Expensive,0.13390,111,745,0.10943,0.15837
1985,2nd Quintile,Too Expensive,0.04308,42,745,0.02849,0.05767
1985,3rd Quintile,Very Inexpensive,0.10432,63,691,0.08152,0.12713
1985,3rd Quintile,Inexpensive,0.25721,166,691,0.22460,0.28983
1985,3rd Quintile,Reasonable,0.45421,302,691,0.41706,0.49136
1985,3rd Quintile,Slightly Expensive,0.14513,118,691,0.11885,0.17141
1985,3rd Quintile,Too Expensive,0.03912,42,691,0.02466,0.05359
1985,4th Quintile,Very Inexpensive,0.10421,61,589,0.07952,0.12891
1985,4th Quintile,Inexpensive,0.26125,153,589,0.22574,0.29676
1985,4th Quintile,Reasonable,0.44133,271,589,0.40119,0.48146
1985,4th Quintile,Slightly Expensive,0.15391,104,589,0.12474,0.18308
1985,5th Quintile,Very Inexpensive,0.14091,65,468,0.10936,0.17247
1985,5th Quintile,Inexpensive,0.22831,109,468,0.19024,0.26639
1985,5th Quintile,Reasonable,0.45699,222,468,0.41181,0.50217
1985,5th Quintile,Slightly Expensive,0.14695,72,468,0.11484,0.17906
1986,1st Quintile,Very Inexpensive,0.10350,56,768,0.08194,0.12506
1986,1st Quintile,Inexpensive,0.26625,184,768,0.23497,0.29753
1986,1st Quintile,Reasonable,0.39022,317,768,0.35570,0.42474
1986,1st Quintile,Slightly Expensive,0.18596,154,768,0.15842,0.21349
1986,1st Quintile,Too Expensive,0.05407,57,768,0.03807,0.07008
1986,2nd Quintile,Very Inexpensive,0.11109,61,679,0.08744,0.13475
1986,2nd Quintile,Inexpensive,0.32703,197,679,0.29172,0.36234
1986,2nd Quintile,Reasonable,0.38009,258,679,0.34355,0.41663
1986,2nd Quintile,Slightly Expensive,0.13863,123,679,0.11262,0.16465
1986,2nd Quintile,Too Expensive,0.04315,40,679,0.02786,0.05845
1986,3rd Quintile,Very Inexpensive,0.12211,72,675,0.09739,0.14683
1986,3rd Quintile,Inexpensive,0.29494,197,675,0.26051,0.32937
1986,3rd Quintile,Reasonable,0.41352,276,675,0.37634,0.45070
1986,3rd Quintile,Slightly Expensive,0.12633,94,675,0.10125,0.15141
1986,3rd Quintile,Too Expensive,0.04310,36,675,0.02776,0.05843
1986,4th Quintile,Very Inexpensive,0.10967,64,610,0.08485,0.13449
1986,4th Quintile,Inexpensive,0.26309,149,610,0.22812,0.29807
1986,4th Quintile,Reasonable,0.46584,283,610,0.42622,0.50546
1986,4th Quintile,Slightly Expensive,0.11428,82,610,0.08901,0.13955
1986,4th Quintile,Too Expensive,0.04711,32,610,0.03028,0.06394
1986,5th Quintile,Very Inexpensive,0.12811,55,419,0.09607,0.16015
1986,5th Quintile,Inexpensive,0.25853,107,419,0.21656,0.30051
1986,5th Quintile,Reasonable,0.45468,202,419,0.40695,0.50242
1986,5th Quintile,Slightly Expensive,0.11980,55,419,0.08867,0.15093
1987,1st Quintile,Very Inexpensive,0.10550,59,718,0.08301,0.12798
1987,1st Quintile,Inexpensive,0.29625,194,718,0.26283,0.32968
1987,1st Quintile,Reasonable,0.37067,274,718,0.33532,0.40602
1987,1st Quintile,Slightly Expensive,0.16075,134,718,0.13387,0.18764
1987,1st Quintile,Too Expensive,0.06682,57,718,0.04854,0.08510
1987,2nd Quintile,Very Inexpensive,0.12506,65,701,0.10055,0.14956
1987,2nd Quintile,Inexpensive,0.29368,204,701,0.25994,0.32742
1987,2nd Quintile,Reasonable,0.41015,287,701,0.37371,0.44658
1987,2nd Quintile,Slightly Expensive,0.13412,108,701,0.10887,0.15936
1987,2nd Quintile,Too Expensive,0.03700,37,701,0.02302,0.05098
1987,3rd Quintile,Very Inexpensive,0.12262,66,630,0.09699,0.14826
1987,3rd Quintile,Inexpensive,0.26616,175,630,0.23163,0.30070
1987,3rd Quintile,Reasonable,0.46175,283,630,0.42279,0.50071
1987,3rd Quintile,Slightly Expensive,0.11789,106,630,0.09269,0.14309
1987,4th Quintile,Very Inexpensive,0.10199,51,569,0.07710,0.12688
1987,4th Quintile,Inexpensive,0.29741,171,569,0.25981,0.33500
1987,4th Quintile,Reasonable,0.42108,256,569,0.38047,0.46168
1987,4th Quintile,Slightly Expensive,0.14575,91,569,0.11673,0.17477
1987,5th Quintile,Very Inexpensive,0.13392,60,429,0.10165,0.16618
1987,5th Quintile,Inexpensive,0.21506,102,429,0.17613,0.25398
1987,5th Quintile,Reasonable,0.49991,209,429,0.45254,0.54728
1987,5th Quintile,Slightly Expensive,0.12170,58,429,0.09072,0.15267
1988,1st Quintile,Very Inexpensive,0.10689,58,724,0.08437,0.12942
1988,1st Quintile,Inexpensive,0.25252,172,724,0.22085,0.28419
1988,1st Quintile,Reasonable,0.42890,309,724,0.39282,0.46497
1988,1st Quintile,Slightly Expensive,0.17492,142,724,0.14723,0.20262
1988,1st Quintile,Too Expensive,0.03677,43,724,0.02305,0.05049
1988,2nd Quintile,Very Inexpensive,0.09507,61,661,0.07270,0.11745
1988,2nd Quintile,Inexpensive,0.35038,201,661,0.31398,0.38677
1988,2nd Quintile,Reasonable,0.39118,270,661,0.35395,0.42842
1988,2nd Quintile,Slightly Expensive,0.12205,96,661,0.09708,0.14702
1988,2nd Quintile,Too Expensive,0.04132,33,661,0.02613,0.05650
1988,3rd Quintile,Very Inexpensive,0.15357,78,603,0.12477,0.18237
1988,3rd Quintile,Inexpensive,0.26732,166,603,0.23197,0.30267
1988,3rd Quintile,Reasonable,0.39180,252,603,0.35280,0.43079
1988,3rd Quintile,Slightly Expensive,0.15175,107,603,0.12309,0.18041
1988,4th Quintile,Very Inexpensive,0.11639,56,542,0.08937,0.14341
1988,4th Quintile,Inexpensive,0.26930,155,542,0.23192,0.30668
1988,4th Quintile,Reasonable,0.45234,256,542,0.41040,0.49428
1988,4th Quintile,Slightly Expensive,0.14279,75,542,0.11331,0.17228
1988,5th Quintile,Very Inexpensive,0.13959,58,396,0.10541,0.17376
1988,5th Quintile,Inexpensive,0.24505,100,396,0.20263,0.28747
1988,5th Quintile,Reasonable,0.45608,182,396,0.40696,0.50520
1988,5th Quintile,Slightly Expensive,0.13207,56,396,0.09868,0.16545
1989,1st Quintile,Very Inexpensive,0.08092,46,697,0.06066,0.10118
1989,1st Quintile,Inexpensive,0.26523,176,697,0.23243,0.29802
1989,1st Quintile,Reasonable,0.42882,291,697,0.39205,0.46559
1989,1st Quintile,Slightly Expensive,0.16566,140,697,0.13804,0.19328
1989,1st Quintile,Too Expensive,0.05937,44,697,0.04181,0.07693
1989,2nd Quintile,Very Inexpensive,0.13984,76,648,0.11312,0.16657
1989,2nd Quintile,Inexpensive,0.32793,204,648,0.29176,0.36411
1989,2nd Quintile,Reasonable,0.37167,256,648,0.33444,0.40891
1989,2nd Quintile,Slightly Expensive,0.13014,112,648,0.10421,0.15606
1989,3rd Quintile,Very Inexpensive,0.13247,71,572,0.10466,0.16028
1989,3rd Quintile,Inexpensive,0.28318,178,572,0.24623,0.32014
1989,3rd Quintile,Reasonable,0.42488,236,572,0.38433,0.46542
1989,3rd Quintile,Slightly Expensive,0.12319,87,572,0.09624,0.15015
1989,4th Quintile,Very Inexpensive,0.14924,69,529,0.11885,0.17963
1989,4th Quintile,Inexpensive,0.28784,164,529,0.24922,0.32646
1989,4th Quintile,Reasonable,0.41792,223,529,0.37585,0.45999
1989,4th Quintile,Slightly Expensive,0.12278,73,529,0.09479,0.15077
1989,5th Quintile,Very Inexpensive,0.15854,61,381,0.12182,0.19526
1989,5th Quintile,Inexpensive,0.29055,116,381,0.24490,0.33620
1989,5th Quintile,Reasonable,0.42253,159,381,0.37286,0.47219
1989,5th Quintile,Slightly Expensive,0.10655,45,381,0.07553,0.13757
1990,1st Quintile,Very Inexpensive,0.22251,353,1515,0.20156,0.24346
1990,1st Quintile,Inexpensive,0.33165,502,1515,0.30793,0.35536
