year,bula_h,regtyp,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,No answer / don't know,Reasonable,0.45713,39,39,0.29874,0.61552
1984,Hamburg,No answer / don't know,Inexpensive,0.29338,38,98,0.20277,0.38399
1984,Hamburg,No answer / don't know,Reasonable,0.38423,60,98,0.28743,0.48103
1984,Lower Saxony,No answer / don't know,Inexpensive,0.28266,87,270,0.22885,0.33647
1984,Lower Saxony,No answer / don't know,Reasonable,0.43882,131,270,0.37952,0.49812
1984,Lower Saxony,No answer / don't know,Slightly Expensive,0.15014,52,270,0.10745,0.19283
1984,Bremen,No answer / don't know,Reasonable,0.53868,32,32,0.36319,0.71416
1984,North Rhine-Westphalia,No answer / don't know,Very Inexpensive,0.08384,86,1117,0.06758,0.10011
1984,North Rhine-Westphalia,No answer / don't know,Inexpensive,0.26130,277,1117,0.23552,0.28708
1984,North Rhine-Westphalia,No answer / don't know,Reasonable,0.47336,513,1117,0.44407,0.50266
1984,North Rhine-Westphalia,No answer / don't know,Slightly Expensive,0.13832,180,1117,0.11806,0.15857
1984,North Rhine-Westphalia,No answer / don't know,Too Expensive,0.04317,61,1117,0.03125,0.05510
1984,Hesse,No answer / don't know,Inexpensive,0.27630,99,342,0.22883,0.32376
1984,Hesse,No answer / don't know,Reasonable,0.46282,167,342,0.40990,0.51575
1984,Hesse,No answer / don't know,Slightly Expensive,0.14694,76,342,0.10936,0.18451
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,Inexpensive,0.27809,51,135,0.20222,0.35395
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,Reasonable,0.48481,84,135,0.40019,0.56943
1984,Baden-Wuerttemberg,No answer / don't know,Very Inexpensive,0.10413,52,651,0.08065,0.12761
1984,Baden-Wuerttemberg,No answer / don't know,Inexpensive,0.29516,162,651,0.26009,0.33022
1984,Baden-Wuerttemberg,No answer / don't know,Reasonable,0.40400,275,651,0.36627,0.44172
1984,Baden-Wuerttemberg,No answer / don't know,Slightly Expensive,0.14776,122,651,0.12048,0.17504
1984,Baden-Wuerttemberg,No answer / don't know,Too Expensive,0.04896,40,651,0.03237,0.06555
1984,Bavaria,No answer / don't know,Very Inexpensive,0.10372,52,553,0.07828,0.12916
1984,Bavaria,No answer / don't know,Inexpensive,0.26454,141,553,0.22774,0.30134
1984,Bavaria,No answer / don't know,Reasonable,0.39645,224,553,0.35565,0.43726
1984,Bavaria,No answer / don't know,Slightly Expensive,0.16921,99,553,0.13794,0.20049
1984,Bavaria,No answer / don't know,Too Expensive,0.06607,37,553,0.04535,0.08680
1984,Berlin,No answer / don't know,Inexpensive,0.20402,44,179,0.14482,0.26322
1984,Berlin,No answer / don't know,Reasonable,0.50922,92,179,0.43578,0.58266
1984,Berlin,No answer / don't know,Slightly Expensive,0.18178,43,179,0.12513,0.23844
1985,Schleswig-Holstein,Urban regions,Reasonable,0.56963,31,31,0.39245,0.74681
1985,Hamburg,Urban regions,Inexpensive,0.26300,31,95,0.17400,0.35201
1985,Hamburg,Urban regions,Reasonable,0.50118,64,95,0.40010,0.60226
1985,Lower Saxony,Urban regions,Inexpensive,0.25238,39,111,0.17121,0.33356
1985,Lower Saxony,Urban regions,Reasonable,0.45174,72,111,0.35874,0.54474
1985,Lower Saxony,Rural regions,Reasonable,0.46158,52,52,0.32476,0.59840
1985,North Rhine-Westphalia,Urban regions,Very Inexpensive,0.11610,97,993,0.09617,0.13604
1985,North Rhine-Westphalia,Urban regions,Inexpensive,0.26212,260,993,0.23475,0.28949
1985,North Rhine-Westphalia,Urban regions,Reasonable,0.45224,436,993,0.42127,0.48321
1985,North Rhine-Westphalia,Urban regions,Slightly Expensive,0.13163,149,993,0.11059,0.15267
1985,North Rhine-Westphalia,Urban regions,Too Expensive,0.03791,51,993,0.02602,0.04979
1985,Hesse,Urban regions,Very Inexpensive,0.12738,34,297,0.08940,0.16536
1985,Hesse,Urban regions,Inexpensive,0.27173,76,297,0.22105,0.32240
1985,Hesse,Urban regions,Reasonable,0.37837,129,297,0.32312,0.43363
1985,Hesse,Urban regions,Slightly Expensive,0.16373,58,297,0.12157,0.20588
1985,"Rhineland-Palatinate, Saarland",Urban regions,Inexpensive,0.24909,36,101,0.16432,0.33385
1985,"Rhineland-Palatinate, Saarland",Urban regions,Reasonable,0.40557,65,101,0.30933,0.50180
1985,Baden-Wuerttemberg,Urban regions,Very Inexpensive,0.11226,45,483,0.08408,0.14044
1985,Baden-Wuerttemberg,Urban regions,Inexpensive,0.27553,124,483,0.23564,0.31542
1985,Baden-Wuerttemberg,Urban regions,Reasonable,0.40872,222,483,0.36483,0.45261
1985,Baden-Wuerttemberg,Urban regions,Slightly Expensive,0.17051,92,483,0.13693,0.20408
1985,Bavaria,Urban regions,Inexpensive,0.22482,67,254,0.17338,0.27626
1985,Bavaria,Urban regions,Reasonable,0.43936,127,254,0.37820,0.50052
1985,Bavaria,Urban regions,Slightly Expensive,0.16052,60,254,0.11529,0.20576
1985,Bavaria,Rural regions,Very Inexpensive,0.18760,37,196,0.13281,0.24240
1985,Bavaria,Rural regions,Inexpensive,0.27223,47,196,0.20975,0.33470
1985,Bavaria,Rural regions,Reasonable,0.38359,81,196,0.31534,0.45185
1985,Bavaria,Rural regions,Slightly Expensive,0.13953,31,196,0.09089,0.18816
1985,Berlin,Urban regions,Inexpensive,0.16650,33,167,0.10983,0.22317
1985,Berlin,Urban regions,Reasonable,0.53468,90,167,0.45880,0.61056
1985,Berlin,Urban regions,Slightly Expensive,0.22661,44,167,0.16292,0.29029
1986,Hamburg,Urban regions,Inexpensive,0.31668,31,89,0.21949,0.41387
1986,Hamburg,Urban regions,Reasonable,0.42193,58,89,0.31874,0.52512
1986,Lower Saxony,Urban regions,Inexpensive,0.24845,42,108,0.16658,0.33033
1986,Lower Saxony,Urban regions,Reasonable,0.42651,66,108,0.33280,0.52023
1986,Lower Saxony,Rural regions,Inexpensive,0.37780,36,75,0.26733,0.48826
1986,Lower Saxony,Rural regions,Reasonable,0.31772,39,75,0.21164,0.42380
1986,North Rhine-Westphalia,Urban regions,Very Inexpensive,0.11405,88,935,0.09366,0.13444
1986,North Rhine-Westphalia,Urban regions,Inexpensive,0.25170,239,935,0.22387,0.27953
1986,North Rhine-Westphalia,Urban regions,Reasonable,0.46177,422,935,0.42980,0.49374
1986,North Rhine-Westphalia,Urban regions,Slightly Expensive,0.14157,154,935,0.11921,0.16393
1986,North Rhine-Westphalia,Urban regions,Too Expensive,0.03091,32,935,0.01981,0.04200
1986,Hesse,Urban regions,Very Inexpensive,0.14762,33,273,0.10546,0.18978
1986,Hesse,Urban regions,Inexpensive,0.27919,80,273,0.22587,0.33250
1986,Hesse,Urban regions,Reasonable,0.34588,101,273,0.28936,0.40241
1986,Hesse,Urban regions,Slightly Expensive,0.18070,59,273,0.13497,0.22643
1986,"Rhineland-Palatinate, Saarland",Urban regions,Inexpensive,0.31303,43,96,0.21978,0.40628
1986,"Rhineland-Palatinate, Saarland",Urban regions,Reasonable,0.31950,53,96,0.22574,0.41327
1986,Baden-Wuerttemberg,Urban regions,Very Inexpensive,0.11152,38,446,0.08228,0.14077
1986,Baden-Wuerttemberg,Urban regions,Inexpensive,0.26705,113,446,0.22595,0.30816
1986,Baden-Wuerttemberg,Urban regions,Reasonable,0.47681,222,446,0.43040,0.52321
1986,Baden-Wuerttemberg,Urban regions,Slightly Expensive,0.11359,73,446,0.08411,0.14307
1986,Baden-Wuerttemberg,Rural regions,Reasonable,0.27080,32,32,0.11437,0.42723
1986,Bavaria,Urban regions,Very Inexpensive,0.11121,33,264,0.07322,0.14921
1986,Bavaria,Urban regions,Inexpensive,0.32346,83,264,0.26693,0.38000
1986,Bavaria,Urban regions,Reasonable,0.37373,107,264,0.31526,0.43221
1986,Bavaria,Urban regions,Slightly Expensive,0.11562,41,264,0.07697,0.15426
1986,Bavaria,Rural regions,Inexpensive,0.38092,60,120,0.29367,0.46817
1986,Bavaria,Rural regions,Reasonable,0.28510,60,120,0.20399,0.36622
1986,Berlin,Urban regions,Inexpensive,0.16027,34,128,0.09647,0.22408
1986,Berlin,Urban regions,Reasonable,0.55724,94,128,0.47085,0.64363
1987,Hamburg,Urban regions,Inexpensive,0.34305,31,73,0.23339,0.45270
1987,Hamburg,Urban regions,Reasonable,0.39145,42,73,0.27871,0.50419
1987,Lower Saxony,Urban regions,Inexpensive,0.22084,36,143,0.15261,0.28907
