year,sampreg,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Very Inexpensive,0.08534,282,3708,0.07635,0.09434
1984,West,Inexpensive,0.26859,937,3708,0.25432,0.28286
1984,West,Reasonable,0.44758,1617,3708,0.43157,0.46359
1984,West,Slightly Expensive,0.15115,653,3708,0.13962,0.16268
1984,West,Too Expensive,0.04734,219,3708,0.04050,0.05418
1985,West,Very Inexpensive,0.11791,337,3374,0.10703,0.12880
1985,West,Inexpensive,0.24987,809,3374,0.23526,0.26448
1985,West,Reasonable,0.44007,1467,3374,0.42331,0.45682
1985,West,Slightly Expensive,0.15213,577,3374,0.14001,0.16425
1985,West,Too Expensive,0.04002,184,3374,0.03340,0.04663
1986,West,Very Inexpensive,0.11365,308,3172,0.10260,0.12470
1986,West,Inexpensive,0.28305,836,3172,0.26737,0.29873
1986,West,Reasonable,0.41687,1337,3172,0.39971,0.43403
1986,West,Slightly Expensive,0.14015,509,3172,0.12807,0.15223
1986,West,Too Expensive,0.04628,182,3172,0.03897,0.05360
1987,West,Very Inexpensive,0.11698,301,3116,0.10570,0.12827
1987,West,Inexpensive,0.27756,847,3116,0.26184,0.29329
1987,West,Reasonable,0.42672,1310,3116,0.40935,0.44409
1987,West,Slightly Expensive,0.13759,498,3116,0.12549,0.14969
1987,West,Too Expensive,0.04114,160,3116,0.03416,0.04811
1988,West,Very Inexpensive,0.12042,311,2985,0.10875,0.13210
1988,West,Inexpensive,0.27848,794,2985,0.26240,0.29457
1988,West,Reasonable,0.42213,1271,2985,0.40441,0.43985
1988,West,Slightly Expensive,0.14611,476,2985,0.13344,0.15878
1988,West,Too Expensive,0.03285,133,2985,0.02646,0.03925
1989,West,Very Inexpensive,0.12870,323,2906,0.11652,0.14088
1989,West,Inexpensive,0.29066,838,2906,0.27415,0.30717
1989,West,Reasonable,0.41262,1166,2906,0.39472,0.43052
1989,West,Slightly Expensive,0.13228,457,2906,0.11996,0.14460
1989,West,Too Expensive,0.03575,122,2906,0.02900,0.04250
1990,West,Very Inexpensive,0.13362,336,2817,0.12105,0.14619
1990,West,Inexpensive,0.31144,873,2817,0.29433,0.32854
1990,West,Reasonable,0.40307,1115,2817,0.38495,0.42119
1990,West,Slightly Expensive,0.12180,379,2817,0.10972,0.13388
1990,West,Too Expensive,0.03007,114,2817,0.02376,0.03637
1990,East,Very Inexpensive,0.22678,350,1487,0.20549,0.24807
1990,East,Inexpensive,0.33035,493,1487,0.30644,0.35427
1990,East,Reasonable,0.37795,568,1487,0.35329,0.40260
1990,East,Slightly Expensive,0.05860,76,1487,0.04665,0.07054
1991,West,Very Inexpensive,0.15573,389,2857,0.14243,0.16903
1991,West,Inexpensive,0.31596,894,2857,0.29891,0.33301
1991,West,Reasonable,0.38470,1090,2857,0.36685,0.40254
1991,West,Slightly Expensive,0.11491,374,2857,0.10322,0.12661
1991,West,Too Expensive,0.02870,110,2857,0.02258,0.03482
1991,East,Very Inexpensive,0.23217,351,1354,0.20967,0.25467
1991,East,Inexpensive,0.42369,543,1354,0.39736,0.45002
1991,East,Reasonable,0.29959,409,1354,0.27518,0.32400
1991,East,Slightly Expensive,0.03928,51,1354,0.02893,0.04963
1992,West,Very Inexpensive,0.14326,338,2737,0.13014,0.15639
1992,West,Inexpensive,0.33064,907,2737,0.31302,0.34827
1992,West,Reasonable,0.39023,1033,2737,0.37195,0.40850
1992,West,Slightly Expensive,0.11532,373,2737,0.10335,0.12729
1992,West,Too Expensive,0.02055,86,2737,0.01523,0.02586
1992,East,Inexpensive,0.14864,188,1287,0.12920,0.16808
1992,East,Reasonable,0.51826,689,1287,0.49095,0.54557
