year,bula_h,quintil_oecd_hh,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Lower Saxony,1st Quintile,Reasonable,0.47558,46,46,0.32966,0.62149
1984,North Rhine-Westphalia,1st Quintile,Inexpensive,0.23258,66,276,0.18265,0.28252
1984,North Rhine-Westphalia,1st Quintile,Reasonable,0.47806,150,276,0.41902,0.53710
1984,North Rhine-Westphalia,1st Quintile,Slightly Expensive,0.15894,60,276,0.11572,0.20215
1984,North Rhine-Westphalia,2nd Quintile,Inexpensive,0.24699,60,216,0.18934,0.30463
1984,North Rhine-Westphalia,2nd Quintile,Reasonable,0.45397,107,216,0.38741,0.52052
1984,North Rhine-Westphalia,2nd Quintile,Slightly Expensive,0.18521,49,216,0.13329,0.23714
1984,North Rhine-Westphalia,3rd Quintile,Inexpensive,0.28831,51,137,0.21218,0.36444
1984,North Rhine-Westphalia,3rd Quintile,Reasonable,0.45940,86,137,0.37564,0.54316
1984,North Rhine-Westphalia,4th Quintile,Inexpensive,0.33787,70,161,0.26458,0.41116
1984,North Rhine-Westphalia,4th Quintile,Reasonable,0.42017,91,161,0.34369,0.49666
1984,North Rhine-Westphalia,5th Quintile,Reasonable,0.56508,76,76,0.45288,0.67728
1984,Hesse,1st Quintile,Reasonable,0.49618,43,43,0.34497,0.64739
1984,Hesse,4th Quintile,Reasonable,0.50268,35,35,0.33462,0.67075
1984,Hesse,5th Quintile,Reasonable,0.51420,34,34,0.34367,0.68473
1984,Baden-Wuerttemberg,1st Quintile,Inexpensive,0.29052,33,94,0.19825,0.38280
1984,Baden-Wuerttemberg,1st Quintile,Reasonable,0.47046,61,94,0.36901,0.57190
1984,Baden-Wuerttemberg,2nd Quintile,Reasonable,0.49043,58,58,0.36065,0.62021
1984,Baden-Wuerttemberg,3rd Quintile,Inexpensive,0.40144,42,98,0.30389,0.49899
1984,Baden-Wuerttemberg,3rd Quintile,Reasonable,0.33035,56,98,0.23675,0.42395
1984,Baden-Wuerttemberg,4th Quintile,Inexpensive,0.28705,31,88,0.19198,0.38211
1984,Baden-Wuerttemberg,4th Quintile,Reasonable,0.34716,57,88,0.24712,0.44720
1984,Baden-Wuerttemberg,5th Quintile,Reasonable,0.38776,43,43,0.24040,0.53511
1984,Bavaria,1st Quintile,Inexpensive,0.28581,34,89,0.19141,0.38020
1984,Bavaria,1st Quintile,Reasonable,0.44411,55,89,0.34030,0.54793
1984,Bavaria,2nd Quintile,Reasonable,0.45233,53,53,0.31704,0.58761
1984,Bavaria,3rd Quintile,Inexpensive,0.33957,42,83,0.23707,0.44208
1984,Bavaria,3rd Quintile,Reasonable,0.29940,41,83,0.20027,0.39854
1984,Bavaria,4th Quintile,Reasonable,0.46703,50,50,0.32734,0.60673
1985,Lower Saxony,1st Quintile,Reasonable,0.41889,35,35,0.25305,0.58474
1985,North Rhine-Westphalia,1st Quintile,Inexpensive,0.21234,63,240,0.16049,0.26419
1985,North Rhine-Westphalia,1st Quintile,Reasonable,0.46847,127,240,0.40520,0.53173
1985,North Rhine-Westphalia,1st Quintile,Slightly Expensive,0.15792,50,240,0.11169,0.20416
1985,North Rhine-Westphalia,2nd Quintile,Inexpensive,0.27617,71,177,0.21012,0.34223
1985,North Rhine-Westphalia,2nd Quintile,Reasonable,0.43850,106,177,0.36519,0.51181
1985,North Rhine-Westphalia,3rd Quintile,Inexpensive,0.27265,45,120,0.19264,0.35266
1985,North Rhine-Westphalia,3rd Quintile,Reasonable,0.46740,75,120,0.37775,0.55705
1985,North Rhine-Westphalia,4th Quintile,Inexpensive,0.30583,53,129,0.22601,0.38565
1985,North Rhine-Westphalia,4th Quintile,Reasonable,0.44162,76,129,0.35559,0.52765
1985,North Rhine-Westphalia,5th Quintile,Inexpensive,0.25526,31,91,0.16518,0.34534
1985,North Rhine-Westphalia,5th Quintile,Reasonable,0.46274,60,91,0.35973,0.56576
1985,Hesse,1st Quintile,Reasonable,0.37371,35,35,0.21109,0.53633
1985,Hesse,4th Quintile,Reasonable,0.40702,31,31,0.23122,0.58282
1985,Baden-Wuerttemberg,1st Quintile,Reasonable,0.36135,52,52,0.22950,0.49319
1985,Baden-Wuerttemberg,2nd Quintile,Inexpensive,0.37807,38,94,0.27951,0.47662
1985,Baden-Wuerttemberg,2nd Quintile,Reasonable,0.37727,56,94,0.27875,0.47578
1985,Baden-Wuerttemberg,3rd Quintile,Inexpensive,0.28311,40,99,0.19391,0.37230
1985,Baden-Wuerttemberg,3rd Quintile,Reasonable,0.34917,59,99,0.25479,0.44355
1985,Baden-Wuerttemberg,4th Quintile,Reasonable,0.44581,52,52,0.30939,0.58223
1985,Baden-Wuerttemberg,5th Quintile,Reasonable,0.51910,32,32,0.34321,0.69498
1985,Bavaria,1st Quintile,Reasonable,0.36064,38,38,0.20591,0.51537
1985,Bavaria,2nd Quintile,Reasonable,0.41289,47,47,0.27061,0.55517
1985,Bavaria,3rd Quintile,Reasonable,0.43843,41,41,0.28466,0.59220
1985,Bavaria,4th Quintile,Reasonable,0.44595,45,45,0.29908,0.59283
1985,Bavaria,5th Quintile,Reasonable,0.43951,37,37,0.27737,0.60164
1986,North Rhine-Westphalia,1st Quintile,Inexpensive,0.23634,59,222,0.18033,0.29235
