year,migback,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,No migration background,Urban regions,3495,6.91866,6.84459,6.99273,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,7.00000,7.00000
1985,No migration background,Rural regions,1104,7.12275,6.98636,7.25915,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,7.00000,8.00000
1985,Direct migration background,Urban regions,1484,6.89460,6.77807,7.01114,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,7.00000,7.00000
1985,Direct migration background,Rural regions,242,7.24449,6.96119,7.52779,5.00000,8.00000,9.00000,0.00000,10.00000,8.00000,7.00000,8.00000
1985,Indirect migration background,Urban regions,55,7.05149,6.52353,7.57945,6.00081,7.00000,8.00000,3.00204,10.00000,7.00000,7.00000,8.00000
1985,Indirect migration background,Rural regions,,,,,,,,,,,,
1986,No migration background,Urban regions,3498,6.86233,6.78943,6.93522,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1986,No migration background,Rural regions,1056,7.04282,6.91230,7.17335,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,8.00000
1986,Direct migration background,Urban regions,1475,6.75547,6.63954,6.87139,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1986,Direct migration background,Rural regions,241,7.42276,7.18420,7.66132,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,7.00000,8.00000
1986,Indirect migration background,Urban regions,68,6.19067,5.54467,6.83668,5.00000,5.00000,8.00000,0.50000,10.00000,5.00000,5.00000,8.00000
1986,Indirect migration background,Rural regions,,,,,,,,,,,,
1987,No migration background,Urban regions,3466,6.95181,6.88170,7.02192,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1987,No migration background,Rural regions,1067,7.04559,6.91788,7.17329,6.00000,7.00000,9.00000,1.50000,10.00000,7.00000,7.00000,7.02500
1987,Direct migration background,Urban regions,1442,6.90476,6.79581,7.01371,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1987,Direct migration background,Rural regions,250,7.04856,6.79038,7.30673,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,8.00000
1987,Indirect migration background,Urban regions,84,6.60890,6.15937,7.05842,5.00000,7.00000,8.00000,2.00000,10.00000,7.00000,5.00000,8.00000
1987,Indirect migration background,Rural regions,,,,,,,,,,,,
1988,No migration background,Urban regions,3320,6.77168,6.69822,6.84513,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1988,No migration background,Rural regions,987,6.90845,6.77346,7.04345,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1988,Direct migration background,Urban regions,1413,6.77903,6.67100,6.88706,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1988,Direct migration background,Rural regions,237,7.07860,6.80972,7.34748,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,8.00000
1988,Indirect migration background,Urban regions,100,6.05228,5.69141,6.41314,5.00000,5.00000,8.00000,0.50000,10.00000,5.00000,5.00000,7.00000
1988,Indirect migration background,Rural regions,,,,,,,,,,,,
1989,No migration background,Urban regions,3307,6.73320,6.66040,6.80601,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
