year,bula_h,hhtyp,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Single-person household,No,0.94840,50,50,0.88645,1.01034
1984,Schleswig-Holstein,Couple without children,No,0.97996,43,43,0.93757,1.02234
1984,Schleswig-Holstein,Couple with children,No,0.93278,75,75,0.87572,0.98983
1984,Hamburg,Single-person household,No,0.86565,46,46,0.76601,0.96529
1984,Hamburg,Couple without children,No,0.97988,45,45,0.93839,1.02137
1984,Hamburg,Couple with children,No,0.90748,49,49,0.82551,0.98946
1984,Lower Saxony,Single-person household,No,0.81601,100,100,0.73969,0.89234
1984,Lower Saxony,Couple without children,No,0.93634,133,133,0.89469,0.97799
1984,Lower Saxony,Couple with children,No,0.93498,234,234,0.90332,0.96664
1984,North Rhine-Westphalia,Single-person household,Yes,0.12753,42,367,0.09335,0.16170
1984,North Rhine-Westphalia,Single-person household,No,0.87247,325,367,0.83830,0.90665
1984,North Rhine-Westphalia,Couple without children,No,0.97712,348,348,0.96139,0.99285
1984,North Rhine-Westphalia,Single parent,No,0.81816,70,70,0.72714,0.90917
1984,North Rhine-Westphalia,Couple with children,Yes,0.06054,45,722,0.04313,0.07794
1984,North Rhine-Westphalia,Couple with children,No,0.93946,677,722,0.92206,0.95687
1984,North Rhine-Westphalia,Other Combinations,No,0.91550,31,31,0.81597,1.01503
1984,Hesse,Single-person household,No,0.93653,116,116,0.89197,0.98109
1984,Hesse,Couple without children,No,0.96943,139,139,0.94071,0.99815
1984,Hesse,Couple with children,No,0.97651,256,256,0.95792,0.99510
1984,"Rhineland-Palatinate, Saarland",Single-person household,No,0.90348,70,70,0.83380,0.97316
1984,"Rhineland-Palatinate, Saarland",Couple with children,No,0.97871,162,162,0.95641,1.00101
1984,Baden-Wuerttemberg,Single-person household,No,0.91754,195,195,0.87883,0.95625
1984,Baden-Wuerttemberg,Couple without children,No,0.99386,201,201,0.98303,1.00469
1984,Baden-Wuerttemberg,Single parent,No,0.84932,53,53,0.75209,0.94655
1984,Baden-Wuerttemberg,Couple with children,No,0.97457,527,527,0.96112,0.98802
1984,Bavaria,Single-person household,No,0.93942,181,181,0.90457,0.97427
1984,Bavaria,Couple without children,No,0.99497,239,239,0.98598,1.00396
1984,Bavaria,Single parent,No,0.91844,46,46,0.83847,0.99841
1984,Bavaria,Couple with children,No,0.97910,451,451,0.96588,0.99232
1984,Berlin,Single-person household,No,0.91502,66,66,0.84722,0.98281
1984,Berlin,Couple with children,No,0.92360,69,69,0.86047,0.98674
1985,Schleswig-Holstein,Single-person household,No,0.94158,42,42,0.86979,1.01337
1985,Schleswig-Holstein,Couple with children,No,0.88117,66,66,0.80250,0.95984
1985,Hamburg,Single-person household,No,0.91977,52,52,0.84521,0.99432
1985,Hamburg,Couple without children,No,0.98073,45,45,0.94010,1.02135
1985,Hamburg,Couple with children,No,0.97211,43,43,0.92230,1.02191
1985,Lower Saxony,Single-person household,No,0.79520,87,87,0.70990,0.88049
1985,Lower Saxony,Couple without children,No,0.92626,124,124,0.88007,0.97244
1985,Lower Saxony,Couple with children,No,0.93156,201,201,0.89657,0.96656
1985,North Rhine-Westphalia,Single-person household,Yes,0.11062,33,321,0.07625,0.14499
1985,North Rhine-Westphalia,Single-person household,No,0.88938,288,321,0.85501,0.92375
1985,North Rhine-Westphalia,Couple without children,No,0.96316,298,298,0.94173,0.98458
1985,North Rhine-Westphalia,Single parent,No,0.73242,56,56,0.61542,0.84942
1985,North Rhine-Westphalia,Couple with children,Yes,0.06752,43,655,0.04829,0.08675
1985,North Rhine-Westphalia,Couple with children,No,0.93248,612,655,0.91325,0.95171
1985,North Rhine-Westphalia,Other Combinations,No,0.85522,32,32,0.73134,0.97909
1985,Hesse,Single-person household,No,0.95053,96,96,0.90693,0.99414
1985,Hesse,Couple without children,No,0.97195,133,133,0.94378,1.00012
1985,Hesse,Couple with children,No,0.97258,230,230,0.95143,0.99373
1985,"Rhineland-Palatinate, Saarland",Single-person household,No,0.93726,65,65,0.87785,0.99667
1985,"Rhineland-Palatinate, Saarland",Couple without children,No,0.98320,89,89,0.95634,1.01005
1985,"Rhineland-Palatinate, Saarland",Couple with children,No,0.96141,143,143,0.92972,0.99309
1985,Baden-Wuerttemberg,Single-person household,No,0.90198,162,162,0.85604,0.94791
1985,Baden-Wuerttemberg,Couple without children,No,0.99446,176,176,0.98345,1.00546
1985,Baden-Wuerttemberg,Single parent,No,0.87516,45,45,0.77749,0.97283
1985,Baden-Wuerttemberg,Couple with children,No,0.97362,481,481,0.95929,0.98796
1985,Bavaria,Single-person household,No,0.94399,160,160,0.90825,0.97973
1985,Bavaria,Couple without children,No,0.99418,215,215,0.98398,1.00437
1985,Bavaria,Single parent,No,0.91023,43,43,0.82378,0.99668
1985,Bavaria,Couple with children,No,0.96656,403,403,0.94899,0.98414
1985,Berlin,Single-person household,No,0.94460,71,71,0.89102,0.99819
1985,Berlin,Couple without children,No,0.97345,42,42,0.92425,1.02266
