year,rentown,sampreg,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Owner,West,Yes,0.01849,39,2004,0.01259,0.02439
1984,Owner,West,No,0.98151,1965,2004,0.97561,0.98741
1984,Tenant,West,Yes,0.09559,283,3852,0.08630,0.10487
1984,Tenant,West,No,0.90441,3569,3852,0.89513,0.91370
1985,Owner,West,Yes,0.02429,49,1860,0.01730,0.03129
1985,Owner,West,No,0.97571,1811,1860,0.96871,0.98270
1985,Tenant,West,Yes,0.09511,257,3395,0.08524,0.10498
1985,Tenant,West,No,0.90489,3138,3395,0.89502,0.91476
1986,Owner,West,Yes,0.01498,31,1833,0.00942,0.02054
1986,Owner,West,No,0.98502,1802,1833,0.97946,0.99058
1986,Tenant,West,Yes,0.09418,244,3190,0.08404,0.10432
1986,Tenant,West,No,0.90582,2946,3190,0.89568,0.91596
1987,Owner,West,Yes,0.01879,42,1826,0.01256,0.02502
1987,Owner,West,No,0.98121,1784,1826,0.97498,0.98744
1987,Tenant,West,Yes,0.10521,274,3136,0.09447,0.11595
1987,Tenant,West,No,0.89479,2862,3136,0.88405,0.90553
1988,Owner,West,Yes,0.02006,43,1743,0.01347,0.02664
1988,Owner,West,No,0.97994,1700,1743,0.97336,0.98653
1988,Tenant,West,Yes,0.11129,284,3015,0.10006,0.12251
1988,Tenant,West,No,0.88871,2731,3015,0.87749,0.89994
1989,Owner,West,Yes,0.01717,34,1709,0.01101,0.02333
1989,Owner,West,No,0.98283,1675,1709,0.97667,0.98899
1989,Tenant,West,Yes,0.10233,258,2926,0.09134,0.11331
1989,Tenant,West,No,0.89767,2668,2926,0.88669,0.90866
1990,Owner,West,Yes,0.01888,37,1732,0.01247,0.02529
1990,Owner,West,No,0.98112,1695,1732,0.97471,0.98753
1990,Tenant,West,Yes,0.10031,241,2846,0.08927,0.11135
1990,Tenant,West,No,0.89969,2605,2846,0.88865,0.91073
1991,Owner,West,Yes,0.02265,41,1744,0.01566,0.02963
1991,Owner,West,No,0.97735,1703,1744,0.97037,0.98434
1991,Tenant,West,Yes,0.10265,249,2856,0.09151,0.11378
1991,Tenant,West,No,0.89735,2607,2856,0.88622,0.90849
1992,Owner,West,Yes,0.01923,37,1763,0.01282,0.02564
1992,Owner,West,No,0.98077,1726,1763,0.97436,0.98718
1992,Owner,East,Yes,0.23241,136,560,0.19739,0.26742
1992,Owner,East,No,0.76759,424,560,0.73258,0.80261
1992,Tenant,West,Yes,0.08922,231,2875,0.07880,0.09965
1992,Tenant,West,No,0.91078,2644,2875,0.90035,0.92120
1992,Tenant,East,Yes,0.32371,369,1380,0.29902,0.34841
1992,Tenant,East,No,0.67629,1011,1380,0.65159,0.70098
1993,Owner,West,No,0.98640,1736,1736,0.98096,0.99185
1993,Owner,East,Yes,0.21443,129,551,0.18013,0.24873
1993,Owner,East,No,0.78557,422,551,0.75127,0.81987
1993,Tenant,West,Yes,0.08486,212,2902,0.07472,0.09500
1993,Tenant,West,No,0.91514,2690,2902,0.90500,0.92528
1993,Tenant,East,Yes,0.34645,401,1330,0.32087,0.37204
1993,Tenant,East,No,0.65355,929,1330,0.62796,0.67913
1994,Owner,West,No,0.99117,1748,1748,0.98679,0.99556
1994,Owner,East,Yes,0.12540,76,556,0.09785,0.15295
1994,Owner,East,No,0.87460,480,556,0.84705,0.90215
1994,Tenant,West,Yes,0.08451,216,2844,0.07429,0.09474
1994,Tenant,West,No,0.91549,2628,2844,0.90526,0.92571
1994,Tenant,East,Yes,0.24899,286,1301,0.22548,0.27249
1994,Tenant,East,No,0.75101,1015,1301,0.72751,0.77452
1995,Owner,West,No,0.99263,1781,1781,0.98866,0.99660
1995,Owner,East,Yes,0.07242,46,557,0.05088,0.09397
1995,Owner,East,No,0.92758,511,557,0.90603,0.94912
1995,Tenant,West,Yes,0.08383,255,3058,0.07400,0.09365
1995,Tenant,West,No,0.91617,2803,3058,0.90635,0.92600
1995,Tenant,East,Yes,0.19626,223,1265,0.17437,0.21816
1995,Tenant,East,No,0.80374,1042,1265,0.78184,0.82563
1996,Owner,West,No,0.98795,1785,1785,0.98289,0.99301
1996,Owner,East,No,0.95060,553,553,0.93252,0.96867
1996,Tenant,West,Yes,0.07766,240,2974,0.06804,0.08728
1996,Tenant,West,No,0.92234,2734,2974,0.91272,0.93196
1996,Tenant,East,Yes,0.13949,167,1249,0.12026,0.15871
1996,Tenant,East,No,0.86051,1082,1249,0.84129,0.87974
1997,Owner,West,No,0.99207,1823,1823,0.98800,0.99615
1997,Owner,East,No,0.96742,578,578,0.95293,0.98191
1997,Tenant,West,Yes,0.07318,237,2873,0.06366,0.08271
1997,Tenant,West,No,0.92682,2636,2873,0.91729,0.93634
1997,Tenant,East,Yes,0.12983,150,1220,0.11096,0.14870
1997,Tenant,East,No,0.87017,1070,1220,0.85130,0.88904
1998,Owner,West,No,0.99061,2193,2193,0.98657,0.99465
1998,Owner,East,No,0.97593,665,665,0.96427,0.98759
1998,Tenant,West,Yes,0.07648,258,3231,0.06731,0.08564
1998,Tenant,West,No,0.92352,2973,3231,0.91436,0.93269
1998,Tenant,East,Yes,0.13657,164,1277,0.11773,0.15541
1998,Tenant,East,No,0.86343,1113,1277,0.84459,0.88227
1999,Owner,West,No,0.99460,2158,2158,0.99151,0.99770
1999,Owner,East,No,0.97124,657,657,0.95845,0.98403
1999,Tenant,West,Yes,0.07760,245,3015,0.06805,0.08715
1999,Tenant,West,No,0.92240,2770,3015,0.91285,0.93195
1999,Tenant,East,Yes,0.14359,163,1242,0.12408,0.16310
1999,Tenant,East,No,0.85641,1079,1242,0.83690,0.87592
2000,Owner,West,Yes,0.00561,34,4654,0.00346,0.00775
2000,Owner,West,No,0.99439,4620,4654,0.99225,0.99654
2000,Owner,East,No,0.97993,1132,1132,0.97176,0.98810
2000,Tenant,West,Yes,0.06642,366,5202,0.05965,0.07318
2000,Tenant,West,No,0.93358,4836,5202,0.92682,0.94035
2000,Tenant,East,Yes,0.12867,252,1914,0.11367,0.14368
2000,Tenant,East,No,0.87133,1662,1914,0.85632,0.88633
2001,Owner,West,Yes,0.00706,36,4158,0.00452,0.00961
2001,Owner,West,No,0.99294,4122,4158,0.99039,0.99548
2001,Owner,East,No,0.98267,1080,1080,0.97488,0.99045
2001,Tenant,West,Yes,0.07578,374,4651,0.06818,0.08339
2001,Tenant,West,No,0.92422,4277,4651,0.91661,0.93182
2001,Tenant,East,Yes,0.14653,260,1737,0.12990,0.16317
2001,Tenant,East,No,0.85347,1477,1737,0.83683,0.87010
2002,Owner,West,Yes,0.00946,40,4733,0.00670,0.01222
2002,Owner,West,No,0.99054,4693,4733,0.98778,0.99330
2002,Owner,East,No,0.97984,1088,1088,0.97149,0.98820
2002,Tenant,West,Yes,0.07420,336,4618,0.06664,0.08176
2002,Tenant,West,No,0.92580,4282,4618,0.91824,0.93336
2002,Tenant,East,Yes,0.13430,232,1728,0.11822,0.15038
2002,Tenant,East,No,0.86570,1496,1728,0.84962,0.88178
2003,Owner,West,Yes,0.00765,34,4551,0.00512,0.01019
2003,Owner,West,No,0.99235,4517,4551,0.98981,0.99488
2003,Owner,East,No,0.97330,1080,1080,0.96369,0.98292
2003,Tenant,West,Yes,0.08435,360,4428,0.07616,0.09254
2003,Tenant,West,No,0.91565,4068,4428,0.90746,0.92384
2003,Tenant,East,Yes,0.13856,235,1694,0.12210,0.15502
2003,Tenant,East,No,0.86144,1459,1694,0.84498,0.87790
2004,Owner,West,Yes,0.01082,44,4456,0.00778,0.01386
2004,Owner,West,No,0.98918,4412,4456,0.98614,0.99222
2004,Owner,East,Yes,0.03740,36,1105,0.02621,0.04859
2004,Owner,East,No,0.96260,1069,1105,0.95141,0.97379
2004,Tenant,West,Yes,0.08897,371,4310,0.08047,0.09747
2004,Tenant,West,No,0.91103,3939,4310,0.90253,0.91953
2004,Tenant,East,Yes,0.16230,255,1649,0.14450,0.18010
2004,Tenant,East,No,0.83770,1394,1649,0.81990,0.85550
2005,Owner,West,Yes,0.00939,33,4278,0.00650,0.01228
2005,Owner,West,No,0.99061,4245,4278,0.98772,0.99350
2005,Owner,East,No,0.96275,1075,1075,0.95143,0.97408
2005,Tenant,West,Yes,0.09684,369,4217,0.08791,0.10577
2005,Tenant,West,No,0.90316,3848,4217,0.89423,0.91209
2005,Tenant,East,Yes,0.16504,250,1577,0.14671,0.18336
2005,Tenant,East,No,0.83496,1327,1577,0.81664,0.85329
2006,Owner,West,No,0.99430,4769,4769,0.99217,0.99644
2006,Owner,East,No,0.96544,1177,1177,0.95500,0.97588
2006,Tenant,West,Yes,0.06598,292,4528,0.05874,0.07321
2006,Tenant,West,No,0.93402,4236,4528,0.92679,0.94126
2006,Tenant,East,Yes,0.12632,215,1709,0.11056,0.14207
2006,Tenant,East,No,0.87368,1494,1709,0.85793,0.88944
2007,Owner,West,No,0.99579,4460,4460,0.99389,0.99769
2007,Owner,East,No,0.97387,1118,1118,0.96451,0.98322
2007,Tenant,West,Yes,0.06306,247,4194,0.05571,0.07042
2007,Tenant,West,No,0.93694,3947,4194,0.92958,0.94429
2007,Tenant,East,Yes,0.11893,185,1614,0.10313,0.13473
2007,Tenant,East,No,0.88107,1429,1614,0.86527,0.89687
2008,Owner,West,No,0.99399,4251,4251,0.99166,0.99631
2008,Owner,East,No,0.98620,1087,1087,0.97926,0.99314
2008,Tenant,West,Yes,0.06080,223,3895,0.05329,0.06830
2008,Tenant,West,No,0.93920,3672,3895,0.93170,0.94671
2008,Tenant,East,Yes,0.08968,139,1546,0.07543,0.10393
2008,Tenant,East,No,0.91032,1407,1546,0.89607,0.92457
2009,Owner,West,No,0.99651,3950,3950,0.99467,0.99835
2009,Owner,East,No,0.98555,1066,1066,0.97838,0.99272
2009,Tenant,West,Yes,0.05681,200,3604,0.04925,0.06436
2009,Tenant,West,No,0.94319,3404,3604,0.93564,0.95075
2009,Tenant,East,Yes,0.09696,143,1447,0.08171,0.11222
2009,Tenant,East,No,0.90304,1304,1447,0.88778,0.91829
2010,Owner,West,Yes,0.00396,51,5090,0.00224,0.00569
2010,Owner,West,No,0.99604,5039,5090,0.99431,0.99776
2010,Owner,East,No,0.98428,1209,1209,0.97726,0.99129
2010,Tenant,West,Yes,0.05363,466,5546,0.04770,0.05955
2010,Tenant,West,No,0.94637,5080,5546,0.94045,0.95230
2010,Tenant,East,Yes,0.09852,210,1919,0.08518,0.11186
2010,Tenant,East,No,0.90148,1709,1919,0.88814,0.91482
2011,Owner,West,Yes,0.00422,66,6179,0.00260,0.00584
2011,Owner,West,No,0.99578,6113,6179,0.99416,0.99740
2011,Owner,East,Yes,0.01029,33,1382,0.00497,0.01562
2011,Owner,East,No,0.98971,1349,1382,0.98438,0.99503
2011,Tenant,West,Yes,0.05340,615,6479,0.04792,0.05887
2011,Tenant,West,No,0.94660,5864,6479,0.94113,0.95208
2011,Tenant,East,Yes,0.08547,295,2277,0.07398,0.09695
2011,Tenant,East,No,0.91453,1982,2277,0.90305,0.92602
2012,Owner,West,Yes,0.00482,73,6103,0.00308,0.00655
2012,Owner,West,No,0.99518,6030,6103,0.99345,0.99692
2012,Owner,East,No,0.99029,1310,1310,0.98497,0.99560
2012,Tenant,West,Yes,0.05005,539,6259,0.04465,0.05546
2012,Tenant,West,No,0.94995,5720,6259,0.94454,0.95535
2012,Tenant,East,Yes,0.07759,277,2279,0.06660,0.08857
2012,Tenant,East,No,0.92241,2002,2279,0.91143,0.93340
2013,Owner,West,Yes,0.00309,56,6246,0.00172,0.00447
2013,Owner,West,No,0.99691,6190,6246,0.99553,0.99828
2013,Owner,East,No,0.99150,1277,1277,0.98646,0.99653
2013,Tenant,West,Yes,0.04442,543,7728,0.03983,0.04902
2013,Tenant,West,No,0.95558,7185,7728,0.95098,0.96017
2013,Tenant,East,Yes,0.07618,248,2266,0.06525,0.08710
2013,Tenant,East,No,0.92382,2018,2266,0.91290,0.93475
2014,Owner,West,Yes,0.00232,40,5761,0.00108,0.00356
2014,Owner,West,No,0.99768,5721,5761,0.99644,0.99892
2014,Owner,East,No,0.98962,1199,1199,0.98388,0.99536
2014,Tenant,West,Yes,0.04562,449,6582,0.04058,0.05066
2014,Tenant,West,No,0.95438,6133,6582,0.94934,0.95942
2014,Tenant,East,Yes,0.06024,188,2136,0.05015,0.07033
2014,Tenant,East,No,0.93976,1948,2136,0.92967,0.94985
2015,Owner,West,No,0.99844,5368,5368,0.99738,0.99950
2015,Owner,East,No,0.99321,1133,1133,0.98843,0.99799
2015,Tenant,West,Yes,0.03784,371,6799,0.03331,0.04238
2015,Tenant,West,No,0.96216,6428,6799,0.95762,0.96669
2015,Tenant,East,Yes,0.05908,146,2034,0.04883,0.06933
2015,Tenant,East,No,0.94092,1888,2034,0.93067,0.95117
2016,Owner,West,No,0.99853,5049,5049,0.99747,0.99958
2016,Owner,East,No,0.99589,1125,1125,0.99215,0.99963
2016,Tenant,West,Yes,0.03874,320,6045,0.03387,0.04361
2016,Tenant,West,No,0.96126,5725,6045,0.95639,0.96613
2016,Tenant,East,Yes,0.04718,116,1897,0.03763,0.05672
2016,Tenant,East,No,0.95282,1781,1897,0.94328,0.96237
2017,Owner,West,No,0.99835,5666,5666,0.99730,0.99941
2017,Owner,East,No,0.99361,1288,1288,0.98926,0.99797
2017,Tenant,West,Yes,0.03441,420,7964,0.03040,0.03841
2017,Tenant,West,No,0.96559,7544,7964,0.96159,0.96960
2017,Tenant,East,Yes,0.05517,140,2385,0.04600,0.06433
2017,Tenant,East,No,0.94483,2245,2385,0.93567,0.95400
2018,Owner,West,No,0.99848,5438,5438,0.99745,0.99952
2018,Owner,East,No,0.99335,1224,1224,0.98880,0.99791
2018,Tenant,West,Yes,0.03798,664,8526,0.03393,0.04204
2018,Tenant,West,No,0.96202,7862,8526,0.95796,0.96607
2018,Tenant,East,Yes,0.05307,172,2508,0.04429,0.06184
2018,Tenant,East,No,0.94693,2336,2508,0.93816,0.95571
2019,Owner,West,No,0.99707,6253,6253,0.99573,0.99841
2019,Owner,East,No,0.99192,1523,1523,0.98743,0.99642
2019,Tenant,Does not apply,No,0.93086,46,46,0.85673,1.00498
2019,Tenant,West,Yes,0.04283,458,8104,0.03842,0.04724
2019,Tenant,West,No,0.95717,7646,8104,0.95276,0.96158
2019,Tenant,East,Yes,0.04700,129,2340,0.03843,0.05558
2019,Tenant,East,No,0.95300,2211,2340,0.94442,0.96157
2020,Owner,West,No,0.99820,5500,5500,0.99708,0.99932
2020,Owner,East,No,0.99126,1335,1335,0.98627,0.99626
2020,Tenant,West,Yes,0.03704,460,9769,0.03329,0.04078
2020,Tenant,West,No,0.96296,9309,9769,0.95922,0.96671
2020,Tenant,East,Yes,0.03851,103,2448,0.03088,0.04613
