year,rentown,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Owner,Yes,0.01849,39,2004,0.01259,0.02439
1984,Owner,No,0.98151,1965,2004,0.97561,0.98741
1984,Tenant,Yes,0.09559,283,3852,0.08630,0.10487
1984,Tenant,No,0.90441,3569,3852,0.89513,0.91370
1985,Owner,Yes,0.02429,49,1860,0.01730,0.03129
1985,Owner,No,0.97571,1811,1860,0.96871,0.98270
1985,Tenant,Yes,0.09511,257,3395,0.08524,0.10498
1985,Tenant,No,0.90489,3138,3395,0.89502,0.91476
1986,Owner,Yes,0.01498,31,1833,0.00942,0.02054
1986,Owner,No,0.98502,1802,1833,0.97946,0.99058
1986,Tenant,Yes,0.09418,244,3190,0.08404,0.10432
1986,Tenant,No,0.90582,2946,3190,0.89568,0.91596
1987,Owner,Yes,0.01879,42,1826,0.01256,0.02502
1987,Owner,No,0.98121,1784,1826,0.97498,0.98744
1987,Tenant,Yes,0.10521,274,3136,0.09447,0.11595
1987,Tenant,No,0.89479,2862,3136,0.88405,0.90553
1988,Owner,Yes,0.02006,43,1743,0.01347,0.02664
1988,Owner,No,0.97994,1700,1743,0.97336,0.98653
1988,Tenant,Yes,0.11129,284,3015,0.10006,0.12251
1988,Tenant,No,0.88871,2731,3015,0.87749,0.89994
1989,Owner,Yes,0.01717,34,1709,0.01101,0.02333
1989,Owner,No,0.98283,1675,1709,0.97667,0.98899
1989,Tenant,Yes,0.10233,258,2926,0.09134,0.11331
1989,Tenant,No,0.89767,2668,2926,0.88669,0.90866
1990,Owner,Yes,0.01888,37,1732,0.01247,0.02529
1990,Owner,No,0.98112,1695,1732,0.97471,0.98753
1990,Tenant,Yes,0.10031,241,2846,0.08927,0.11135
1990,Tenant,No,0.89969,2605,2846,0.88865,0.91073
1991,Owner,Yes,0.02265,41,1744,0.01566,0.02963
1991,Owner,No,0.97735,1703,1744,0.97037,0.98434
1991,Tenant,Yes,0.10265,249,2856,0.09151,0.11378
1991,Tenant,No,0.89735,2607,2856,0.88622,0.90849
1992,Owner,Yes,0.04625,173,2323,0.03771,0.05479
1992,Owner,No,0.95375,2150,2323,0.94521,0.96229
1992,Tenant,Yes,0.14247,600,4255,0.13197,0.15297
1992,Tenant,No,0.85753,3655,4255,0.84703,0.86803
1993,Owner,Yes,0.03984,155,2313,0.03186,0.04781
1993,Owner,No,0.96016,2158,2313,0.95219,0.96814
1993,Tenant,Yes,0.14361,613,4232,0.13304,0.15418
1993,Tenant,No,0.85639,3619,4232,0.84582,0.86696
1994,Owner,Yes,0.02360,95,2323,0.01742,0.02977
1994,Owner,No,0.97640,2228,2323,0.97023,0.98258
1994,Tenant,Yes,0.12169,502,4145,0.11173,0.13164
1994,Tenant,No,0.87831,3643,4145,0.86836,0.88827
1995,Owner,Yes,0.01576,64,2356,0.01073,0.02079
1995,Owner,No,0.98424,2292,2356,0.97921,0.98927
1995,Tenant,Yes,0.10846,478,4323,0.09919,0.11773
1995,Tenant,No,0.89154,3845,4323,0.88227,0.90081
1996,Owner,Yes,0.01678,54,2392,0.01163,0.02193
1996,Owner,No,0.98322,2338,2392,0.97807,0.98837
1996,Tenant,Yes,0.09123,407,4223,0.08254,0.09991
1996,Tenant,No,0.90877,3816,4223,0.90009,0.91746
1997,Owner,Yes,0.01113,38,2439,0.00697,0.01530
1997,Owner,No,0.98887,2401,2439,0.98470,0.99303
1997,Tenant,Yes,0.08559,387,4093,0.07702,0.09416
1997,Tenant,No,0.91441,3706,4093,0.90584,0.92298
1998,Owner,Yes,0.01146,37,2895,0.00758,0.01534
1998,Owner,No,0.98854,2858,2895,0.98466,0.99242
1998,Tenant,Yes,0.08932,422,4508,0.08099,0.09765
1998,Tenant,No,0.91068,4086,4508,0.90235,0.91901
1999,Owner,Yes,0.00866,37,2852,0.00525,0.01206
1999,Owner,No,0.99134,2815,2852,0.98794,0.99475
1999,Tenant,Yes,0.09180,408,4257,0.08312,0.10047
1999,Tenant,No,0.90820,3849,4257,0.89953,0.91688
2000,Owner,Yes,0.00770,59,5811,0.00546,0.00995
2000,Owner,No,0.99230,5752,5811,0.99005,0.99454
2000,Tenant,Yes,0.07989,618,7116,0.07359,0.08619
2000,Tenant,No,0.92011,6498,7116,0.91381,0.92641
2001,Owner,Yes,0.00857,58,5260,0.00608,0.01106
2001,Owner,No,0.99143,5202,5260,0.98894,0.99392
2001,Tenant,Yes,0.09105,634,6388,0.08399,0.09810
2001,Tenant,No,0.90895,5754,6388,0.90190,0.91601
2002,Owner,Yes,0.01097,61,5842,0.00830,0.01365
2002,Owner,No,0.98903,5781,5842,0.98635,0.99170
2002,Tenant,Yes,0.08744,568,6346,0.08049,0.09439
2002,Tenant,No,0.91256,5778,6346,0.90561,0.91951
2003,Owner,Yes,0.01039,62,5659,0.00775,0.01303
2003,Owner,No,0.98961,5597,5659,0.98697,0.99225
2003,Tenant,Yes,0.09620,595,6122,0.08881,0.10358
2003,Tenant,No,0.90380,5527,6122,0.89642,0.91119
2004,Owner,Yes,0.01458,80,5561,0.01143,0.01773
2004,Owner,No,0.98542,5481,5561,0.98227,0.98857
2004,Tenant,Yes,0.10498,626,5959,0.09720,0.11277
2004,Tenant,No,0.89502,5333,5959,0.88723,0.90280
2005,Owner,Yes,0.01340,63,5383,0.01033,0.01648
2005,Owner,No,0.98660,5320,5383,0.98352,0.98967
2005,Tenant,Yes,0.11159,619,5794,0.10348,0.11969
2005,Tenant,No,0.88841,5175,5794,0.88031,0.89652
2006,Owner,Yes,0.00991,53,5999,0.00741,0.01242
2006,Owner,No,0.99009,5946,5999,0.98758,0.99259
2006,Tenant,Yes,0.07899,507,6237,0.07229,0.08568
2006,Tenant,No,0.92101,5730,6237,0.91432,0.92771
2007,Owner,Yes,0.00740,40,5618,0.00516,0.00964
2007,Owner,No,0.99260,5578,5618,0.99036,0.99484
2007,Tenant,Yes,0.07532,432,5808,0.06853,0.08211
2007,Tenant,No,0.92468,5376,5808,0.91789,0.93147
2008,Owner,Yes,0.00714,41,5379,0.00489,0.00939
2008,Owner,No,0.99286,5338,5379,0.99061,0.99511
2008,Tenant,Yes,0.06711,362,5441,0.06046,0.07376
2008,Tenant,No,0.93289,5079,5441,0.92624,0.93954
2009,Owner,Yes,0.00513,31,5047,0.00316,0.00710
