year,regtyp,sampreg,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,West,Yes,0.06464,322,5856,0.05834,0.07093
1984,No answer / don't know,West,No,0.93536,5534,5856,0.92907,0.94166
1985,Urban regions,West,Yes,0.06757,249,4192,0.05997,0.07517
1985,Urban regions,West,No,0.93243,3943,4192,0.92483,0.94003
1985,Rural regions,West,Yes,0.06430,57,1063,0.04955,0.07905
1985,Rural regions,West,No,0.93570,1006,1063,0.92095,0.95045
1986,Urban regions,West,Yes,0.06385,225,4018,0.05629,0.07141
1986,Urban regions,West,No,0.93615,3793,4018,0.92859,0.94371
1986,Rural regions,West,Yes,0.06060,52,1009,0.04587,0.07533
1986,Rural regions,West,No,0.93940,957,1009,0.92467,0.95413
1987,Urban regions,West,Yes,0.06937,246,3967,0.06146,0.07728
1987,Urban regions,West,No,0.93063,3721,3967,0.92272,0.93854
1987,Rural regions,West,Yes,0.07712,70,997,0.06055,0.09369
1987,Rural regions,West,No,0.92288,927,997,0.90631,0.93945
1988,Urban regions,West,Yes,0.07160,253,3815,0.06342,0.07978
1988,Urban regions,West,No,0.92840,3562,3815,0.92022,0.93658
1988,Rural regions,West,Yes,0.08735,74,944,0.06933,0.10537
1988,Rural regions,West,No,0.91265,870,944,0.89463,0.93067
1989,Urban regions,West,Yes,0.06330,224,3733,0.05549,0.07111
1989,Urban regions,West,No,0.93670,3509,3733,0.92889,0.94451
1989,Rural regions,West,Yes,0.08648,69,905,0.06816,0.10480
1989,Rural regions,West,No,0.91352,836,905,0.89520,0.93184
1990,Urban regions,West,Yes,0.06395,214,3659,0.05602,0.07188
1990,Urban regions,West,No,0.93605,3445,3659,0.92812,0.94398
1990,Rural regions,West,Yes,0.07971,64,920,0.06220,0.09723
1990,Rural regions,West,No,0.92029,856,920,0.90277,0.93780
1991,Urban regions,West,Yes,0.06606,221,3672,0.05803,0.07410
1991,Urban regions,West,No,0.93394,3451,3672,0.92590,0.94197
1991,Rural regions,West,Yes,0.08474,69,929,0.06682,0.10266
1991,Rural regions,West,No,0.91526,860,929,0.89734,0.93318
1992,No answer / don't know,East,No,0.67181,38,38,0.52051,0.82311
1992,Urban regions,West,Yes,0.05492,198,3695,0.04757,0.06226
1992,Urban regions,West,No,0.94508,3497,3695,0.93774,0.95243
1992,Urban regions,East,Yes,0.32823,189,679,0.29288,0.36357
1992,Urban regions,East,No,0.67177,490,679,0.63643,0.70712
1992,Rural regions,West,Yes,0.07994,70,936,0.06256,0.09733
1992,Rural regions,West,No,0.92006,866,936,0.90267,0.93744
1992,Rural regions,East,Yes,0.28166,302,1209,0.25630,0.30703
1992,Rural regions,East,No,0.71834,907,1209,0.69297,0.74370
1993,Urban regions,West,Yes,0.05289,184,3707,0.04568,0.06009
1993,Urban regions,West,No,0.94711,3523,3707,0.93991,0.95432
1993,Urban regions,East,Yes,0.30916,186,661,0.27390,0.34442
1993,Urban regions,East,No,0.69084,475,661,0.65558,0.72610
1993,Rural regions,West,Yes,0.06327,54,958,0.04784,0.07869
1993,Rural regions,West,No,0.93673,904,958,0.92131,0.95216
1993,Rural regions,East,Yes,0.31177,344,1220,0.28576,0.33777
1993,Rural regions,East,No,0.68823,876,1220,0.66223,0.71424
1994,Urban regions,West,Yes,0.05137,192,3653,0.04421,0.05853
1994,Urban regions,West,No,0.94863,3461,3653,0.94147,0.95579
1994,Urban regions,East,Yes,0.19697,121,660,0.16661,0.22734
1994,Urban regions,East,No,0.80303,539,660,0.77266,0.83339
1994,Rural regions,West,Yes,0.05629,43,961,0.04171,0.07087
1994,Rural regions,West,No,0.94371,918,961,0.92913,0.95829
1994,Rural regions,East,Yes,0.22704,241,1197,0.20330,0.25078
1994,Rural regions,East,No,0.77296,956,1197,0.74922,0.79670
1995,Urban regions,West,Yes,0.04938,212,3830,0.04251,0.05624
1995,Urban regions,West,No,0.95062,3618,3830,0.94376,0.95749
1995,Urban regions,East,Yes,0.16080,91,620,0.13187,0.18974
1995,Urban regions,East,No,0.83920,529,620,0.81026,0.86813
1995,Rural regions,West,Yes,0.05872,61,1027,0.04433,0.07310
1995,Rural regions,West,No,0.94128,966,1027,0.92690,0.95567
1995,Rural regions,East,Yes,0.16216,178,1202,0.14132,0.18301
1995,Rural regions,East,No,0.83784,1024,1202,0.81699,0.85868
1996,Urban regions,West,Yes,0.04675,206,3760,0.04000,0.05350
1996,Urban regions,West,No,0.95325,3554,3760,0.94650,0.96000
1996,Urban regions,East,Yes,0.10736,63,636,0.08328,0.13144
1996,Urban regions,East,No,0.89264,573,636,0.86856,0.91672
1996,Rural regions,West,Yes,0.05900,58,1023,0.04456,0.07345
1996,Rural regions,West,No,0.94100,965,1023,0.92655,0.95544
1996,Rural regions,East,Yes,0.11823,134,1196,0.09992,0.13654
1996,Rural regions,East,No,0.88177,1062,1196,0.86346,0.90008
