year,quintil_oecd_hh,rentown,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Owner,No,0.95710,251,251,0.93198,0.98222
1984,1st Quintile,Tenant,Yes,0.28426,203,943,0.25546,0.31307
1984,1st Quintile,Tenant,No,0.71574,740,943,0.68693,0.74454
1984,2nd Quintile,Owner,No,0.96597,359,359,0.94719,0.98475
1984,2nd Quintile,Tenant,Yes,0.10353,57,822,0.08269,0.12437
1984,2nd Quintile,Tenant,No,0.89647,765,822,0.87563,0.91731
1984,3rd Quintile,Owner,No,0.99094,395,395,0.98158,1.00030
1984,3rd Quintile,Tenant,No,0.97246,756,756,0.96079,0.98413
1984,4th Quintile,Owner,No,0.98462,432,432,0.97300,0.99624
1984,4th Quintile,Tenant,No,0.99332,740,740,0.98745,0.99920
1984,5th Quintile,Owner,No,0.99645,525,525,0.99136,1.00154
1984,5th Quintile,Tenant,No,0.99813,550,550,0.99452,1.00174
1985,1st Quintile,Owner,No,0.94495,221,221,0.91481,0.97509
1985,1st Quintile,Tenant,Yes,0.28596,188,837,0.25533,0.31659
1985,1st Quintile,Tenant,No,0.71404,649,837,0.68341,0.74467
1985,2nd Quintile,Owner,No,0.97095,311,311,0.95226,0.98965
1985,2nd Quintile,Tenant,Yes,0.07156,39,749,0.05309,0.09003
1985,2nd Quintile,Tenant,No,0.92844,710,749,0.90997,0.94691
1985,3rd Quintile,Owner,No,0.97352,374,374,0.95723,0.98982
1985,3rd Quintile,Tenant,No,0.96204,680,680,0.94767,0.97642
1985,4th Quintile,Owner,No,0.98865,420,420,0.97851,0.99879
1985,4th Quintile,Tenant,No,0.98511,608,608,0.97547,0.99474
1985,5th Quintile,Owner,No,0.98570,484,484,0.97511,0.99629
1985,5th Quintile,Tenant,No,0.99555,485,485,0.98962,1.00148
1986,1st Quintile,Owner,No,0.96045,208,208,0.93389,0.98700
1986,1st Quintile,Tenant,Yes,0.27087,171,772,0.23950,0.30224
1986,1st Quintile,Tenant,No,0.72913,601,772,0.69776,0.76050
1986,2nd Quintile,Owner,No,0.98299,340,340,0.96922,0.99675
1986,2nd Quintile,Tenant,Yes,0.08883,48,684,0.06749,0.11017
