year,quintil_oecd_hh,sampreg,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,West,Yes,0.21379,216,1207,0.19065,0.23693
1984,1st Quintile,West,No,0.78621,991,1207,0.76307,0.80935
1984,2nd Quintile,West,Yes,0.07730,71,1195,0.06215,0.09245
1984,2nd Quintile,West,No,0.92270,1124,1195,0.90755,0.93785
1984,3rd Quintile,West,No,0.97967,1151,1151,0.97151,0.98783
1984,4th Quintile,West,No,0.98963,1172,1172,0.98383,0.99543
1984,5th Quintile,West,No,0.99724,1075,1075,0.99411,1.00038
1985,1st Quintile,West,Yes,0.22108,202,1072,0.19622,0.24593
1985,1st Quintile,West,No,0.77892,870,1072,0.75407,0.80378
1985,2nd Quintile,West,Yes,0.05722,51,1072,0.04331,0.07113
1985,2nd Quintile,West,No,0.94278,1021,1072,0.92887,0.95669
1985,3rd Quintile,West,No,0.96666,1054,1054,0.95582,0.97751
1985,4th Quintile,West,No,0.98669,1028,1028,0.97968,0.99370
1985,5th Quintile,West,No,0.99031,969,969,0.98414,0.99648
1986,1st Quintile,West,Yes,0.21184,183,993,0.18642,0.23727
1986,1st Quintile,West,No,0.78816,810,993,0.76273,0.81358
1986,2nd Quintile,West,Yes,0.06175,54,1030,0.04704,0.07645
1986,2nd Quintile,West,No,0.93825,976,1030,0.92355,0.95296
1986,3rd Quintile,West,No,0.97823,1009,1009,0.96923,0.98724
1986,4th Quintile,West,No,0.98770,1005,1005,0.98088,0.99452
1986,5th Quintile,West,No,0.99212,945,945,0.98648,0.99776
1987,1st Quintile,West,Yes,0.23883,209,950,0.21171,0.26596
1987,1st Quintile,West,No,0.76117,741,950,0.73404,0.78829
1987,2nd Quintile,West,Yes,0.08845,75,1012,0.07094,0.10595
1987,2nd Quintile,West,No,0.91155,937,1012,0.89405,0.92906
1987,3rd Quintile,West,No,0.98152,1010,1010,0.97321,0.98983
1987,4th Quintile,West,No,0.99339,1011,1011,0.98840,0.99839
1987,5th Quintile,West,No,0.99714,946,946,0.99373,1.00054
1988,1st Quintile,West,Yes,0.24961,218,941,0.22194,0.27728
1988,1st Quintile,West,No,0.75039,723,941,0.72272,0.77806
1988,2nd Quintile,West,Yes,0.08665,74,967,0.06891,0.10439
1988,2nd Quintile,West,No,0.91335,893,967,0.89561,0.93109
1988,3rd Quintile,West,No,0.97843,962,962,0.96925,0.98762
1988,4th Quintile,West,No,0.98955,970,970,0.98315,0.99595
1988,5th Quintile,West,No,0.99323,883,883,0.98782,0.99864
1989,1st Quintile,West,Yes,0.22768,191,908,0.20039,0.25497
1989,1st Quintile,West,No,0.77232,717,908,0.74503,0.79961
1989,2nd Quintile,West,Yes,0.08184,75,983,0.06470,0.09899
1989,2nd Quintile,West,No,0.91816,908,983,0.90101,0.93530
1989,3rd Quintile,West,No,0.98688,937,937,0.97959,0.99417
1989,4th Quintile,West,No,0.98939,939,939,0.98284,0.99595
1989,5th Quintile,West,No,0.99172,843,843,0.98560,0.99784
1990,1st Quintile,West,No,0.85868,32,32,0.73605,0.98131
1990,2nd Quintile,West,Yes,0.19429,203,1158,0.17149,0.21709
1990,2nd Quintile,West,No,0.80571,955,1158,0.78291,0.82851
1990,3rd Quintile,West,Yes,0.04316,45,1167,0.03150,0.05483
1990,3rd Quintile,West,No,0.95684,1122,1167,0.94517,0.96850
1990,4th Quintile,West,No,0.97976,1132,1132,0.97155,0.98797
1990,5th Quintile,West,No,0.99105,1059,1059,0.98538,0.99673
1991,1st Quintile,West,No,0.91851,33,33,0.82372,1.01330
1991,2nd Quintile,West,Yes,0.22115,221,1139,0.19704,0.24526
1991,2nd Quintile,West,No,0.77885,918,1139,0.75474,0.80296
1991,3rd Quintile,West,Yes,0.04143,42,1172,0.03001,0.05284
1991,3rd Quintile,West,No,0.95857,1130,1172,0.94716,0.96999
1991,4th Quintile,West,No,0.98884,1172,1172,0.98282,0.99485
1991,5th Quintile,West,No,0.99307,1058,1058,0.98807,0.99807
1992,1st Quintile,West,Yes,0.24270,138,581,0.20781,0.27759
1992,1st Quintile,West,No,0.75730,443,581,0.72241,0.79219
1992,1st Quintile,East,Yes,0.45961,344,810,0.42527,0.49395
1992,1st Quintile,East,No,0.54039,466,810,0.50605,0.57473
1992,2nd Quintile,West,Yes,0.09640,85,869,0.07677,0.11604
1992,2nd Quintile,West,No,0.90360,784,869,0.88396,0.92323
1992,2nd Quintile,East,Yes,0.18278,115,615,0.15221,0.21335
1992,2nd Quintile,East,No,0.81722,500,615,0.78665,0.84779
1992,3rd Quintile,West,No,0.96697,986,986,0.95580,0.97813
1992,3rd Quintile,East,Yes,0.11136,33,327,0.07721,0.14550
1992,3rd Quintile,East,No,0.88864,294,327,0.85450,0.92279
1992,4th Quintile,West,No,0.98643,1126,1126,0.97967,0.99319
1992,4th Quintile,East,No,0.91291,118,118,0.86181,0.96400
1992,5th Quintile,West,No,0.99616,1029,1029,0.99238,0.99994
1992,5th Quintile,East,No,0.96597,57,57,0.91849,1.01346
1993,1st Quintile,West,Yes,0.23329,150,699,0.20192,0.26467
1993,1st Quintile,West,No,0.76671,549,699,0.73533,0.79808
1993,1st Quintile,East,Yes,0.50706,291,602,0.46709,0.54703
1993,1st Quintile,East,No,0.49294,311,602,0.45297,0.53291
