"e11102","year","n","percent","lower_confidence_percent","upper_confidence_percent"
"erwerbstätig","1984","7517","0.561380892452058","0.552562641132299","0.570199143771818"
"nicht erwerbstätig","1984","4647","0.438619107547942","0.429800856228182","0.447437358867701"
"erwerbstätig","1985","6808","0.561646817374732","0.552385285406992","0.570908349342473"
"nicht erwerbstätig","1985","4218","0.438353182625268","0.429091650657527","0.447614714593008"
"erwerbstätig","1986","6658","0.571079186003178","0.561649865023685","0.580508506982671"
"nicht erwerbstätig","1986","3925","0.428920813996822","0.419491493017329","0.438350134976316"
"erwerbstätig","1987","6680","0.585759002877435","0.576315471756602","0.595202533998268"
"nicht erwerbstätig","1987","3772","0.414240997122565","0.404797466001732","0.423684528243398"
"erwerbstätig","1988","6425","0.590536878390203","0.580884564860051","0.600189191920354"
"nicht erwerbstätig","1988","3545","0.409463121609797","0.399810808079646","0.419115435139949"
"erwerbstätig","1989","6247","0.590981268663573","0.58117795200449","0.600784585322655"
"nicht erwerbstätig","1989","3415","0.409018731336427","0.399215414677345","0.41882204799551"
"erwerbstätig","1990","6149","0.605349630094336","0.595500701981208","0.615198558207464"
"nicht erwerbstätig","1990","3312","0.394650369905664","0.384801441792536","0.404499298018792"
"erwerbstätig","1991","6168","0.60724226569854","0.597373955201821","0.617110576195259"
"nicht erwerbstätig","1991","3240","0.39275773430146","0.382889423804742","0.402626044798179"
"erwerbstätig","1992","9081","0.622305940220811","0.614071515789783","0.63054036465184"
"nicht erwerbstätig","1992","4235","0.377694059779189","0.36945963534816","0.385928484210217"
"erwerbstätig","1993","8699","0.610424822398172","0.602074416252855","0.618775228543489"
"nicht erwerbstätig","1993","4402","0.389575177601828","0.381224771456511","0.397925583747145"
"erwerbstätig","1994","8328","0.594715951677826","0.586235035801154","0.603196867554498"
"nicht erwerbstätig","1994","4545","0.405284048322174","0.396803132445502","0.413764964198846"
"erwerbstätig","1995","8495","0.583790281478156","0.575407885043167","0.592172677913145"
"nicht erwerbstätig","1995","4789","0.416209718521844","0.407827322086855","0.424592114956833"
"erwerbstätig","1996","8423","0.587367338416418","0.57892013769065","0.595814539142185"
"nicht erwerbstätig","1996","4625","0.412632661583582","0.404185460857815","0.42107986230935"
"erwerbstätig","1997","8127","0.579687435321571","0.571145589162462","0.58822928148068"
"nicht erwerbstätig","1997","4701","0.420312564678429","0.41177071851932","0.428854410837538"
"erwerbstätig","1998","8855","0.571863526247802","0.563735952674407","0.579991099821196"
"nicht erwerbstätig","1998","5383","0.428136473752198","0.420008900178803","0.436264047325593"
"erwerbstätig","1999","8765","0.593671829410774","0.585439703764229","0.601903955057319"
"nicht erwerbstätig","1999","4909","0.406328170589226","0.398096044942681","0.414560296235771"
"erwerbstätig","2000","15114","","",""
"nicht erwerbstätig","2000","8993","0.399906005173974","0.393722067406992","0.406089942940956"
"erwerbstätig","2001","13855","","",""
"nicht erwerbstätig","2001","8066","0.392834636231243","0.386369520690786","0.3992997517717"
"erwerbstätig","2002","14786","","",""
"nicht erwerbstätig","2002","8240","0.400979585724257","0.39464933686221","0.407309834586304"
"erwerbstätig","2003","14027","","",""
"nicht erwerbstätig","2003","8139","0.408973856603395","0.402501602702379","0.415446110504411"
"erwerbstätig","2004","13467","","",""
"nicht erwerbstätig","2004","8145","0.414737316539007","0.408168871272488","0.421305761805527"
"erwerbstätig","2005","12844","","",""
"nicht erwerbstätig","2005","7854","0.403651860071798","0.396967846650747","0.410335873492848"
"erwerbstätig","2006","13450","","",""
"nicht erwerbstätig","2006","8819","0.413403965220092","0.406936194531703","0.41987173590848"
"erwerbstätig","2007","12578","","",""
"nicht erwerbstätig","2007","8272","0.411668184881939","0.404988132303875","0.418348237460003"
"erwerbstätig","2008","11895","","",""
"nicht erwerbstätig","2008","7676","0.400989728937355","0.394123388353878","0.407856069520832"
"erwerbstätig","2009","11218","","",""
"nicht erwerbstätig","2009","7036","0.387341395715114","0.380274555153741","0.394408236276486"
"erwerbstätig","2010","15582","","",""
"nicht erwerbstätig","2010","8746","0.386556983650054","0.380437866572485","0.392676100727623"
"erwerbstätig","2011","18290","","",""
"nicht erwerbstätig","2011","10608","","",""
"erwerbstätig","2012","17881","","",""
"nicht erwerbstätig","2012","10285","","",""
"erwerbstätig","2013","16874","","",""
"nicht erwerbstätig","2013","14303","","",""
"erwerbstätig","2014","17767","","",""
"nicht erwerbstätig","2014","9887","0.382476416049393","0.376748479260971","0.388204352837814"
"erwerbstätig","2015","16625","","",""
"nicht erwerbstätig","2015","10717","","",""
"erwerbstätig","2016","16115","","",""
"nicht erwerbstätig","2016","11683","","",""
"erwerbstätig","2017","18211","","",""
"nicht erwerbstätig","2017","12935","","",""
"erwerbstätig","2018","17844","","",""
"nicht erwerbstätig","2018","11936","","",""
"erwerbstätig","2019","18481","","",""
"nicht erwerbstätig","2019","11187","","",""
"erwerbstätig","2020","18865","","",""
"nicht erwerbstätig","2020","11148","","",""
