"e11102","year","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht erwerbstätig","1984","Schleswig-Holstein","150","","",""
"nicht erwerbstätig","1984","Hamburg","121","","",""
"nicht erwerbstätig","1984","Niedersachsen","538","0.478931758282977","0.451059341238896","0.506804175327057"
"nicht erwerbstätig","1984","Bremen","71","0.647676909637359","0.566185677207443","0.729168142067276"
"nicht erwerbstätig","1984","Nordrhein-Westfalen","1322","","",""
"nicht erwerbstätig","1984","Hessen","460","0.421856357701194","0.394445978690206","0.449266736712183"
"nicht erwerbstätig","1984","Rheinland-Pfalz,Saarland","364","0.474797104910859","0.441246458056208","0.508347751765509"
"nicht erwerbstätig","1984","Baden-Wuerttemberg","759","0.40415524265171","0.383887537972365","0.424422947331055"
"nicht erwerbstätig","1984","Bayern","732","0.400823029708336","0.379817919517389","0.421828139899283"
"nicht erwerbstätig","1984","Saarland","","","",""
"nicht erwerbstätig","1984","Berlin","130","","",""
"nicht erwerbstätig","1984","Brandenburg","","","",""
"nicht erwerbstätig","1984","Mecklenburg-Vorpommern","","","",""
"nicht erwerbstätig","1984","Sachsen","","","",""
"nicht erwerbstätig","1984","Sachsen-Anhalt","","","",""
"nicht erwerbstätig","1984","Thueringen","","","",""
"erwerbstätig","1984","Schleswig-Holstein","236","","",""
"erwerbstätig","1984","Hamburg","188","","",""
"erwerbstätig","1984","Niedersachsen","696","0.521068241717024","0.493195824672943","0.548940658761104"
"erwerbstätig","1984","Bremen","61","0.352323090362641","0.270831857932724","0.433814322792557"
"erwerbstätig","1984","Nordrhein-Westfalen","1932","","",""
"erwerbstätig","1984","Hessen","787","0.578143642298806","0.550733263287817","0.605554021309794"
"erwerbstätig","1984","Rheinland-Pfalz,Saarland","487","0.525202895089141","0.491652248234491","0.558753541943792"
"erwerbstätig","1984","Baden-Wuerttemberg","1493","","",""
"erwerbstätig","1984","Bayern","1359","","",""
"erwerbstätig","1984","Saarland","","","",""
"erwerbstätig","1984","Berlin","278","","",""
"erwerbstätig","1984","Brandenburg","","","",""
"erwerbstätig","1984","Mecklenburg-Vorpommern","","","",""
"erwerbstätig","1984","Sachsen","","","",""
"erwerbstätig","1984","Sachsen-Anhalt","","","",""
"erwerbstätig","1984","Thueringen","","","",""
"nicht erwerbstätig","1985","Schleswig-Holstein","137","","",""
"nicht erwerbstätig","1985","Hamburg","109","","",""
"nicht erwerbstätig","1985","Niedersachsen","482","0.474094569404235","0.44468012845344","0.503509010355029"
"nicht erwerbstätig","1985","Bremen","65","0.653065875943123","0.566445293123257","0.739686458762989"
"nicht erwerbstätig","1985","Nordrhein-Westfalen","1202","","",""
"nicht erwerbstätig","1985","Hessen","424","0.437745604679839","0.408870810957785","0.466620398401894"
"nicht erwerbstätig","1985","Rheinland-Pfalz,Saarland","335","0.482750037672632","0.447500710407601","0.517999364937663"
"nicht erwerbstätig","1985","Baden-Wuerttemberg","679","0.390644393444248","0.369477711103776","0.41181107578472"
"nicht erwerbstätig","1985","Bayern","664","0.407661995037309","0.385548909926508","0.429775080148109"
"nicht erwerbstätig","1985","Saarland","","","",""
"nicht erwerbstätig","1985","Berlin","121","","",""
"nicht erwerbstätig","1985","Brandenburg","","","",""
"nicht erwerbstätig","1985","Mecklenburg-Vorpommern","","","",""
"nicht erwerbstätig","1985","Sachsen","","","",""
"nicht erwerbstätig","1985","Sachsen-Anhalt","","","",""
"nicht erwerbstätig","1985","Thueringen","","","",""
"erwerbstätig","1985","Schleswig-Holstein","216","","",""
"erwerbstätig","1985","Hamburg","171","","",""
"erwerbstätig","1985","Niedersachsen","625","0.525905430595765","0.496490989644971","0.55531987154656"
"erwerbstätig","1985","Bremen","51","0.346934124056877","0.260313541237011","0.433554706876743"
"erwerbstätig","1985","Nordrhein-Westfalen","1759","","",""
"erwerbstätig","1985","Hessen","710","0.562254395320161","0.533379601598106","0.591129189042215"
"erwerbstätig","1985","Rheinland-Pfalz,Saarland","437","0.517249962327368","0.482000635062337","0.552499289592399"
"erwerbstätig","1985","Baden-Wuerttemberg","1362","","",""
"erwerbstätig","1985","Bayern","1233","","",""
"erwerbstätig","1985","Saarland","","","",""
"erwerbstätig","1985","Berlin","244","","",""
"erwerbstätig","1985","Brandenburg","","","",""
"erwerbstätig","1985","Mecklenburg-Vorpommern","","","",""
"erwerbstätig","1985","Sachsen","","","",""
"erwerbstätig","1985","Sachsen-Anhalt","","","",""
"erwerbstätig","1985","Thueringen","","","",""
"nicht erwerbstätig","1986","Schleswig-Holstein","109","","",""
"nicht erwerbstätig","1986","Hamburg","104","","",""
"nicht erwerbstätig","1986","Niedersachsen","461","0.457915931169291","0.428579693903829","0.487252168434752"
"nicht erwerbstätig","1986","Bremen","59","0.65799384357568","0.568937939047373","0.747049748103987"
"nicht erwerbstätig","1986","Nordrhein-Westfalen","1154","","",""
"nicht erwerbstätig","1986","Hessen","384","0.441485695751633","0.411436295006966","0.471535096496301"
"nicht erwerbstätig","1986","Rheinland-Pfalz,Saarland","315","0.467269421978177","0.432006165593222","0.502532678363133"
"nicht erwerbstätig","1986","Baden-Wuerttemberg","638","0.377881290545453","0.356562454794663","0.399200126296242"
"nicht erwerbstätig","1986","Bayern","589","0.392677721881123","0.369946569107596","0.415408874654651"
"nicht erwerbstätig","1986","Saarland","","","",""
"nicht erwerbstätig","1986","Berlin","112","","",""
"nicht erwerbstätig","1986","Brandenburg","","","",""
"nicht erwerbstätig","1986","Mecklenburg-Vorpommern","","","",""
"nicht erwerbstätig","1986","Sachsen","","","",""
"nicht erwerbstätig","1986","Sachsen-Anhalt","","","",""
"nicht erwerbstätig","1986","Thueringen","","","",""
"erwerbstätig","1986","Schleswig-Holstein","214","","",""
"erwerbstätig","1986","Hamburg","152","","",""
"erwerbstätig","1986","Niedersachsen","647","0.542084068830709","0.512747831565248","0.57142030609617"
"erwerbstätig","1986","Bremen","50","0.34200615642432","0.252950251896013","0.431062060952627"
"erwerbstätig","1986","Nordrhein-Westfalen","1703","","",""
"erwerbstätig","1986","Hessen","665","0.558514304248367","0.528464903503699","0.588563704993035"
"erwerbstätig","1986","Rheinland-Pfalz,Saarland","454","0.532730578021823","0.497467321636867","0.567993834406778"
"erwerbstätig","1986","Baden-Wuerttemberg","1349","","",""
"erwerbstätig","1986","Bayern","1184","","",""
"erwerbstätig","1986","Saarland","","","",""
"erwerbstätig","1986","Berlin","240","","",""
"erwerbstätig","1986","Brandenburg","","","",""
"erwerbstätig","1986","Mecklenburg-Vorpommern","","","",""
"erwerbstätig","1986","Sachsen","","","",""
"erwerbstätig","1986","Sachsen-Anhalt","","","",""
"erwerbstätig","1986","Thueringen","","","",""
"nicht erwerbstätig","1987","Schleswig-Holstein","116","","",""
"nicht erwerbstätig","1987","Hamburg","86","0.42453482045133","0.360094149279813","0.488975491622848"
"nicht erwerbstätig","1987","Niedersachsen","428","0.429622040179238","0.400434896480697","0.458809183877779"
"nicht erwerbstätig","1987","Bremen","51","0.619842809400835","0.52517337278586","0.714512246015809"
"nicht erwerbstätig","1987","Nordrhein-Westfalen","1132","","",""
"nicht erwerbstätig","1987","Hessen","369","0.417942198986051","0.388194231321929","0.447690166650173"
"nicht erwerbstätig","1987","Rheinland-Pfalz,Saarland","314","0.462088793399944","0.426782532968323","0.497395053831566"
"nicht erwerbstätig","1987","Baden-Wuerttemberg","607","0.361408601315499","0.340145820190742","0.382671382440257"
"nicht erwerbstätig","1987","Bayern","552","0.380458926017611","0.357534715224113","0.403383136811109"
"nicht erwerbstätig","1987","Saarland","","","",""
"nicht erwerbstätig","1987","Berlin","117","","",""
"nicht erwerbstätig","1987","Brandenburg","","","",""
"nicht erwerbstätig","1987","Mecklenburg-Vorpommern","","","",""
"nicht erwerbstätig","1987","Sachsen","","","",""
"nicht erwerbstätig","1987","Sachsen-Anhalt","","","",""
"nicht erwerbstätig","1987","Thueringen","","","",""
"erwerbstätig","1987","Schleswig-Holstein","210","","",""
"erwerbstätig","1987","Hamburg","140","","",""
"erwerbstätig","1987","Niedersachsen","677","0.570377959820762","0.541190816122221","0.599565103519303"
"erwerbstätig","1987","Bremen","50","0.380157190599165","0.285487753984191","0.47482662721414"
"erwerbstätig","1987","Nordrhein-Westfalen","1694","","",""
"erwerbstätig","1987","Hessen","687","0.582057801013949","0.552309833349827","0.611805768678071"
"erwerbstätig","1987","Rheinland-Pfalz,Saarland","452","0.537911206600056","0.502604946168434","0.573217467031677"
"erwerbstätig","1987","Baden-Wuerttemberg","1354","","",""
"erwerbstätig","1987","Bayern","1171","","",""
"erwerbstätig","1987","Saarland","","","",""
"erwerbstätig","1987","Berlin","245","","",""
"erwerbstätig","1987","Brandenburg","","","",""
"erwerbstätig","1987","Mecklenburg-Vorpommern","","","",""
"erwerbstätig","1987","Sachsen","","","",""
"erwerbstätig","1987","Sachsen-Anhalt","","","",""
"erwerbstätig","1987","Thueringen","","","",""
"nicht erwerbstätig","1988","Schleswig-Holstein","118","","",""
"nicht erwerbstätig","1988","Hamburg","80","0.432829445446042","0.364503186382019","0.501155704510065"
"nicht erwerbstätig","1988","Niedersachsen","406","0.434185417362241","0.404177066130539","0.464193768593942"
"nicht erwerbstätig","1988","Bremen","51","0.608435659982862","0.51276979829299","0.704101521672735"
"nicht erwerbstätig","1988","Nordrhein-Westfalen","1049","","",""
"nicht erwerbstätig","1988","Hessen","349","0.423800715565128","0.393203533524321","0.454397897605935"
"nicht erwerbstätig","1988","Rheinland-Pfalz,Saarland","302","0.460335009409149","0.42435067515155","0.496319343666749"
"nicht erwerbstätig","1988","Baden-Wuerttemberg","587","0.364478130611181","0.342751448947008","0.386204812275355"
"nicht erwerbstätig","1988","Bayern","499","0.361626348493232","0.338422030884618","0.384830666101846"
"nicht erwerbstätig","1988","Saarland","","","",""
"nicht erwerbstätig","1988","Berlin","104","","",""
"nicht erwerbstätig","1988","Brandenburg","","","",""
"nicht erwerbstätig","1988","Mecklenburg-Vorpommern","","","",""
"nicht erwerbstätig","1988","Sachsen","","","",""
"nicht erwerbstätig","1988","Sachsen-Anhalt","","","",""
"nicht erwerbstätig","1988","Thueringen","","","",""
"erwerbstätig","1988","Schleswig-Holstein","206","","",""
"erwerbstätig","1988","Hamburg","122","","",""
"erwerbstätig","1988","Niedersachsen","642","0.565814582637759","0.535806231406058","0.595822933869461"
"erwerbstätig","1988","Bremen","49","0.391564340017138","0.295898478327265","0.48723020170701"
"erwerbstätig","1988","Nordrhein-Westfalen","1643","","",""
"erwerbstätig","1988","Hessen","653","0.576199284434872","0.545602102394064","0.606796466475679"
