"e11102","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"erwerbstätig","1984","(Fach-)Abitur","505","0.532878746895254","0.499687983472068","0.566069510318439"
"erwerbstätig","1984","(noch) kein Abschluss","706","0.358164569510374","0.331908683339619","0.38442045568113"
"erwerbstätig","1984","AkademikerIn","630","0.771514710159286","0.742237089914492","0.800792330404081"
"erwerbstätig","1984","Hauptschule","4388","0.534646064097423","0.523163630994216","0.546128497200631"
"erwerbstätig","1984","Realschule","1236","0.625695312641202","0.603848579822566","0.647542045459838"
"nicht erwerbstätig","1984","(Fach-)Abitur","363","0.467121253104746","0.433930489681561","0.500312016527932"
"nicht erwerbstätig","1984","(noch) kein Abschluss","575","0.641835430489626","0.61557954431887","0.668091316660382"
"nicht erwerbstätig","1984","AkademikerIn","160","0.228485289840714","0.199207669595919","0.257762910085508"
"nicht erwerbstätig","1984","Hauptschule","2861","0.465353935902577","0.453871502799369","0.476836369005784"
"nicht erwerbstätig","1984","Realschule","649","0.374304687358798","0.352457954540162","0.396151420177434"
"erwerbstätig","1985","(Fach-)Abitur","469","0.567317835812365","0.532703305721074","0.601932365903657"
"erwerbstätig","1985","(noch) kein Abschluss","548","0.304477310774835","0.277120438827657","0.331834182722013"
"erwerbstätig","1985","AkademikerIn","605","0.773298272064929","0.74343237594045","0.803164168189408"
"erwerbstätig","1985","Hauptschule","3918","0.534297783918804","0.522115820804612","0.546479747032997"
"erwerbstätig","1985","Realschule","1188","0.620463373828629","0.598138207782276","0.642788539874983"
"nicht erwerbstätig","1985","(Fach-)Abitur","318","0.432682164187635","0.398067634096343","0.467296694278926"
"nicht erwerbstätig","1985","(noch) kein Abschluss","539","0.695522689225165","0.668165817277987","0.722879561172343"
"nicht erwerbstätig","1985","AkademikerIn","150","0.226701727935072","0.196835831810593","0.25656762405955"
"nicht erwerbstätig","1985","Hauptschule","2523","0.465702216081196","0.453520252967003","0.477884179195388"
"nicht erwerbstätig","1985","Realschule","627","0.37953662617137","0.357211460125017","0.401861792217724"
"erwerbstätig","1986","(Fach-)Abitur","491","0.582067019280352","0.548058930247093","0.616075108313611"
"erwerbstätig","1986","(noch) kein Abschluss","507","0.336977661674265","0.308083096037069","0.36587222731146"
"erwerbstätig","1986","AkademikerIn","605","0.775416350493323","0.745530630248282","0.805302070738364"
"erwerbstätig","1986","Hauptschule","3782","0.538814473499796","0.52629468749033","0.551334259509262"
"erwerbstätig","1986","Realschule","1184","0.629389338885122","0.606902165035588","0.651876512734655"
"nicht erwerbstätig","1986","(Fach-)Abitur","317","0.417932980719648","0.383924891686389","0.451941069752907"
"nicht erwerbstätig","1986","(noch) kein Abschluss","521","0.663022338325735","0.634127772688539","0.691916903962931"
"nicht erwerbstätig","1986","AkademikerIn","144","0.224583649506677","0.194697929261636","0.254469369751718"
"nicht erwerbstätig","1986","Hauptschule","2308","0.461185526500204","0.448665740490739","0.47370531250967"
"nicht erwerbstätig","1986","Realschule","588","0.370610661114878","0.348123487265345","0.393097834964412"
"erwerbstätig","1987","(Fach-)Abitur","495","0.608912228952915","0.574665802859325","0.643158655046506"
"erwerbstätig","1987","(noch) kein Abschluss","518","0.394398828229997","0.36415346629627","0.424644190163724"
"erwerbstätig","1987","AkademikerIn","599","0.767204266362738","0.736796175700668","0.797612357024808"
"erwerbstätig","1987","Hauptschule","3758","0.547086080633437","0.53450755196637","0.559664609300505"
"erwerbstätig","1987","Realschule","1205","0.654458569767991","0.632235384134454","0.676681755401528"
"nicht erwerbstätig","1987","(Fach-)Abitur","285","0.391087771047085","0.356841344953494","0.425334197140675"
"nicht erwerbstätig","1987","(noch) kein Abschluss","485","0.605601171770003","0.575355809836276","0.63584653370373"
"nicht erwerbstätig","1987","AkademikerIn","143","0.232795733637262","0.202387642975192","0.263203824299332"
"nicht erwerbstätig","1987","Hauptschule","2258","0.452913919366563","0.440335390699495","0.46549244803363"
"nicht erwerbstätig","1987","Realschule","554","0.345541430232009","0.323318244598472","0.367764615865546"
"erwerbstätig","1988","(Fach-)Abitur","460","0.5999013469992","0.564531122995252","0.635271571003148"
"erwerbstätig","1988","(noch) kein Abschluss","446","0.328755720109115","0.298200731605374","0.359310708612857"
"erwerbstätig","1988","AkademikerIn","572","0.789392645082669","0.75923045728463","0.819554832880708"
"erwerbstätig","1988","Hauptschule","3631","0.550769855928741","0.537906318867645","0.563633392989837"
"erwerbstätig","1988","Realschule","1190","0.668353861946096","0.645980222383609","0.690727501508582"
"nicht erwerbstätig","1988","(Fach-)Abitur","277","0.4000986530008","0.364728428996852","0.435468877004748"
"nicht erwerbstätig","1988","(noch) kein Abschluss","462","0.671244279890885","0.640689291387143","0.701799268394626"
"nicht erwerbstätig","1988","AkademikerIn","130","0.210607354917331","0.180445167119292","0.24076954271537"
"nicht erwerbstätig","1988","Hauptschule","2113","0.449230144071259","0.436366607010163","0.462093681132355"
"nicht erwerbstätig","1988","Realschule","511","0.331646138053904","0.309272498491418","0.354019777616391"
"erwerbstätig","1989","(Fach-)Abitur","473","0.611748321410925","0.576962242140537","0.646534400681313"
"erwerbstätig","1989","(noch) kein Abschluss","437","0.350216078087894","0.318840327156961","0.381591829018827"
"erwerbstätig","1989","AkademikerIn","573","0.78313153191512","0.752558680832141","0.813704382998099"
"erwerbstätig","1989","Hauptschule","3476","0.550230804042004","0.53707640332235","0.563385204761658"
"erwerbstätig","1989","Realschule","1169","0.669827764789644","0.647143411523308","0.692512118055981"
"nicht erwerbstätig","1989","(Fach-)Abitur","281","0.388251678589075","0.353465599318688","0.423037757859463"
"nicht erwerbstätig","1989","(noch) kein Abschluss","451","0.649783921912106","0.618408170981173","0.681159672843039"
"nicht erwerbstätig","1989","AkademikerIn","125","0.21686846808488","0.186295617001901","0.247441319167859"
"nicht erwerbstätig","1989","Hauptschule","2018","0.449769195957996","0.436614795238342","0.46292359667765"
"nicht erwerbstätig","1989","Realschule","482","0.330172235210355","0.307487881944019","0.352856588476692"
"erwerbstätig","1990","(Fach-)Abitur","492","0.656043720117186","0.622001701494375","0.690085738739998"
"erwerbstätig","1990","(noch) kein Abschluss","412","0.361008722204388","0.328625053413698","0.393392390995077"
"erwerbstätig","1990","AkademikerIn","567","0.785986809208942","0.755582341614923","0.816391276802962"
"erwerbstätig","1990","Hauptschule","3365","0.556653966426236","0.54333972402885","0.569968208823623"
"erwerbstätig","1990","Realschule","1181","0.693560954919523","0.671146108039396","0.715975801799649"
"nicht erwerbstätig","1990","(Fach-)Abitur","256","0.343956279882814","0.309914261260002","0.377998298505625"
"nicht erwerbstätig","1990","(noch) kein Abschluss","433","0.638991277795612","0.606607609004923","0.671374946586302"
"nicht erwerbstätig","1990","AkademikerIn","132","0.214013190791058","0.183608723197039","0.244417658385078"
"nicht erwerbstätig","1990","Hauptschule","1983","0.443346033573764","0.430031791176377","0.45666027597115"
"nicht erwerbstätig","1990","Realschule","444","0.306439045080477","0.284024198200351","0.328853891960604"
"erwerbstätig","1991","(Fach-)Abitur","510","0.669544134537191","0.636255441353463","0.702832827720918"
"erwerbstätig","1991","(noch) kein Abschluss","417","0.400612291339904","0.367174531968929","0.434050050710879"
"erwerbstätig","1991","AkademikerIn","578","0.777061266911664","0.746638126548558","0.807484407274769"
"erwerbstätig","1991","Hauptschule","3339","0.557906534905725","0.544476344728536","0.571336725082915"
"erwerbstätig","1991","Realschule","1177","0.682114069934835","0.659542936435835","0.704685203433835"
"nicht erwerbstätig","1991","(Fach-)Abitur","257","0.330455865462809","0.297167172279082","0.363744558646537"
"nicht erwerbstätig","1991","(noch) kein Abschluss","408","0.599387708660096","0.565949949289121","0.632825468031071"
"nicht erwerbstätig","1991","AkademikerIn","141","0.222938733088336","0.192515592725231","0.253361873451442"
"nicht erwerbstätig","1991","Hauptschule","1914","0.442093465094275","0.428663274917085","0.455523655271464"
"nicht erwerbstätig","1991","Realschule","458","0.317885930065165","0.295314796566165","0.340457063564165"
"erwerbstätig","1992","(Fach-)Abitur","590","0.665780876913096","0.63491112241564","0.696650631410553"
"erwerbstätig","1992","(noch) kein Abschluss","423","0.414495285770341","0.381797763489263","0.447192808051418"
"erwerbstätig","1992","AkademikerIn","1384","0.800012290296477","0.780741519995474","0.81928306059748"
"erwerbstätig","1992","Hauptschule","4074","0.546556169114319","0.534489939887754","0.558622398340883"
"erwerbstätig","1992","Realschule","2437","0.722390205511938","0.70663621601741","0.738144195006466"
"nicht erwerbstätig","1992","(Fach-)Abitur","307","0.334219123086904","0.303349368589447","0.36508887758436"
"nicht erwerbstätig","1992","(noch) kein Abschluss","449","0.58550471422966","0.552807191948582","0.618202236510737"
"nicht erwerbstätig","1992","AkademikerIn","271","0.199987709703523","0.18071693940252","0.219258480004526"
"nicht erwerbstätig","1992","Hauptschule","2465","0.453443830885682","0.441377601659117","0.465510060112246"
"nicht erwerbstätig","1992","Realschule","667","0.277609794488062","0.261855804993534","0.29336378398259"
"erwerbstätig","1993","(Fach-)Abitur","631","0.702088146439911","0.672373736741399","0.731802556138424"
"erwerbstätig","1993","(noch) kein Abschluss","380","0.377881985696944","0.345286826152005","0.410477145241883"
"erwerbstätig","1993","AkademikerIn","1313","0.769231387987373","0.748815263326949","0.789647512647797"
"erwerbstätig","1993","Hauptschule","3829","0.53442647586254","0.522154854066822","0.546698097658258"
