"e11102","year","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"erwerbstätig","1985","Laendlicher Raum","1420","0.541347592242911","0.521294992173646","0.561400192312177"
"erwerbstätig","1985","Staedtischer Raum","5388","0.568317586451446","0.557881987718631","0.57875318518426"
"nicht erwerbstätig","1985","Laendlicher Raum","952","0.458652407757089","0.438599807687823","0.478705007826354"
"nicht erwerbstätig","1985","Staedtischer Raum","3266","0.431682413548554","0.42124681481574","0.442118012281369"
"erwerbstätig","1986","Laendlicher Raum","1420","0.571561596101343","0.551159744326094","0.591963447876592"
"erwerbstätig","1986","Staedtischer Raum","5238","0.570923423738018","0.560290211614675","0.581556635861362"
"nicht erwerbstätig","1986","Laendlicher Raum","840","0.428438403898657","0.408036552123408","0.448840255673905"
"nicht erwerbstätig","1986","Staedtischer Raum","3085","0.429076576261982","0.418443364138638","0.439709788385325"
"erwerbstätig","1987","Laendlicher Raum","1439","0.588440181598777","0.5680059579827","0.608874405214854"
"erwerbstätig","1987","Staedtischer Raum","5241","0.584910563975222","0.574261238191385","0.595559889759059"
"nicht erwerbstätig","1987","Laendlicher Raum","789","0.411559818401223","0.391125594785146","0.4319940420173"
"nicht erwerbstätig","1987","Staedtischer Raum","2983","0.415089436024778","0.404440110240941","0.425738761808615"
"erwerbstätig","1988","Laendlicher Raum","1365","0.594345112885994","0.573289078785884","0.615401146986105"
"erwerbstätig","1988","Staedtischer Raum","5060","0.58934898214804","0.578487723701261","0.600210240594818"
"nicht erwerbstätig","1988","Laendlicher Raum","724","0.405654887114006","0.384598853013895","0.426710921214116"
"nicht erwerbstätig","1988","Staedtischer Raum","2821","0.41065101785196","0.399789759405182","0.421512276298739"
"erwerbstätig","1989","Laendlicher Raum","1291","0.583685327353733","0.561988962237623","0.605381692469844"
"erwerbstätig","1989","Staedtischer Raum","4956","0.593187249364976","0.582200001068577","0.604174497661375"
"nicht erwerbstätig","1989","Laendlicher Raum","692","0.416314672646267","0.394618307530156","0.438011037762378"
"nicht erwerbstätig","1989","Staedtischer Raum","2723","0.406812750635024","0.395825502338625","0.417799998931423"
"erwerbstätig","1990","Laendlicher Raum","1293","0.592070361760218","0.570412566779655","0.613728156740781"
"erwerbstätig","1990","Staedtischer Raum","4856","0.609361215068311","0.598306811821325","0.620415618315297"
"nicht erwerbstätig","1990","Laendlicher Raum","685","0.407929638239782","0.386271843259219","0.429587433220345"
"nicht erwerbstätig","1990","Staedtischer Raum","2627","0.390638784931689","0.379584381684703","0.401693188178675"
"erwerbstätig","1991","Laendlicher Raum","1321","0.601531362901061","0.580133605184716","0.622929120617407"
"erwerbstätig","1991","Staedtischer Raum","4847","0.609038479253248","0.597918354601725","0.620158603904771"
