"e11102","year","age_gr","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht erwerbstätig","1984","17-29","männlich","487","0.284815804002071","0.263566739926057","0.306064868078085"
"nicht erwerbstätig","1984","17-29","weiblich","716","0.391148549857341","0.367964203951184","0.414332895763498"
"nicht erwerbstätig","1984","30-45","männlich","79","0.0469662854184063","0.0375445583469899","0.0563880124898228"
"nicht erwerbstätig","1984","30-45","weiblich","851","0.427419852218215","0.405568882206141","0.449270822230288"
"nicht erwerbstätig","1984","46-65","männlich","285","0.180157729147643","0.162293930474727","0.198021527820559"
"nicht erwerbstätig","1984","46-65","weiblich","1026","0.606016753975801","0.583304334261123","0.62872917369048"
"nicht erwerbstätig","1984","66","männlich","","","",""
"nicht erwerbstätig","1984","66","weiblich","","","",""
"erwerbstätig","1984","17-29","männlich","1246","0.715184195997929","0.693935131921915","0.736433260073943"
"erwerbstätig","1984","17-29","weiblich","986","0.608851450142659","0.585667104236502","0.632035796048816"
"erwerbstätig","1984","30-45","männlich","1858","0.953033714581594","0.943611987510177","0.96245544165301"
"erwerbstätig","1984","30-45","weiblich","1118","0.572580147781785","0.550729177769712","0.594431117793859"
"erwerbstätig","1984","46-65","männlich","1493","0.819842270852357","0.801978472179441","0.837706069525273"
"erwerbstätig","1984","46-65","weiblich","752","0.393983246024198","0.37127082630952","0.416695665738877"
"erwerbstätig","1984","66","männlich","","","",""
"erwerbstätig","1984","66","weiblich","","","",""
"nicht erwerbstätig","1985","17-29","männlich","478","0.298565597822332","0.276218880554339","0.320912315090325"
"nicht erwerbstätig","1985","17-29","weiblich","627","0.364266502236225","0.340145712997284","0.388387291475166"
"nicht erwerbstätig","1985","30-45","männlich","68","0.0423062640328707","0.0327575037301929","0.0518550243355484"
"nicht erwerbstätig","1985","30-45","weiblich","751","0.40556859765396","0.382681538438526","0.428455656869394"
"nicht erwerbstätig","1985","46-65","männlich","272","0.190236419054117","0.171315700934206","0.209157137174027"
"nicht erwerbstätig","1985","46-65","weiblich","960","0.608157129494913","0.584609975164275","0.63170428382555"
"nicht erwerbstätig","1985","66","männlich","","","",""
"nicht erwerbstätig","1985","66","weiblich","","","",""
"erwerbstätig","1985","17-29","männlich","1133","0.701434402177668","0.679087684909675","0.723781119445661"
"erwerbstätig","1985","17-29","weiblich","902","0.635733497763775","0.611612708524834","0.659854287002716"
"erwerbstätig","1985","30-45","männlich","1639","0.957693735967129","0.948144975664452","0.967242496269807"
"erwerbstätig","1985","30-45","weiblich","1017","0.59443140234604","0.571544343130607","0.617318461561474"
"erwerbstätig","1985","46-65","männlich","1381","0.809763580945883","0.790842862825973","0.828684299065794"
"erwerbstätig","1985","46-65","weiblich","691","0.391842870505087","0.36829571617445","0.415390024835725"
"erwerbstätig","1985","66","männlich","","","",""
"erwerbstätig","1985","66","weiblich","","","",""
"nicht erwerbstätig","1986","17-29","männlich","465","0.286614955659718","0.264367976295026","0.308861935024409"
"nicht erwerbstätig","1986","17-29","weiblich","538","0.319216731028892","0.295369809472198","0.343063652585586"
"nicht erwerbstätig","1986","30-45","männlich","55","0.0359473278719493","0.0267681616303625","0.0451264941135362"
"nicht erwerbstätig","1986","30-45","weiblich","701","0.403377985193565","0.379982125961709","0.426773844425421"
"nicht erwerbstätig","1986","46-65","männlich","266","0.188323039237442","0.169429710706128","0.207216367768756"
"nicht erwerbstätig","1986","46-65","weiblich","911","0.600768420433432","0.576643070300824","0.62489377056604"
"nicht erwerbstätig","1986","66","männlich","","","",""
"nicht erwerbstätig","1986","66","weiblich","","","",""
"erwerbstätig","1986","17-29","männlich","1122","0.713385044340282","0.691138064975591","0.735632023704974"
"erwerbstätig","1986","17-29","weiblich","930","0.680783268971108","0.656936347414414","0.704630190527802"
"erwerbstätig","1986","30-45","männlich","1525","0.964052672128051","0.954873505886464","0.973231838369638"
"erwerbstätig","1986","30-45","weiblich","988","0.596622014806435","0.573226155574579","0.620017874038291"
"erwerbstätig","1986","46-65","männlich","1379","0.811676960762558","0.792783632231245","0.830570289293872"
"erwerbstätig","1986","46-65","weiblich","672","0.399231579566568","0.37510622943396","0.423356929699176"
"erwerbstätig","1986","66","männlich","","","",""
