"e11102","year","age_gr","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht erwerbstätig","1984","17-29","Schleswig-Holstein","31","0.315489858525035","0.222530071596664","0.408449645453405"
"nicht erwerbstätig","1984","17-29","Hamburg","28","","",""
"nicht erwerbstätig","1984","17-29","Niedersachsen","150","0.444914734184657","0.391698525388321","0.498130942980993"
"nicht erwerbstätig","1984","17-29","Bremen","9","","",""
"nicht erwerbstätig","1984","17-29","Nordrhein-Westfalen","383","0.378574865642746","0.348035747056588","0.409113984228904"
"nicht erwerbstätig","1984","17-29","Hessen","133","0.327334055597168","0.280030094676725","0.374638016517612"
"nicht erwerbstätig","1984","17-29","Rheinland-Pfalz,Saarland","74","0.285671430684738","0.229221559876342","0.342121301493135"
"nicht erwerbstätig","1984","17-29","Baden-Württemberg","207","0.31335313585634","0.277693643541782","0.349012628170897"
"nicht erwerbstätig","1984","17-29","Bayern","161","0.260950996160387","0.224867546089947","0.297034446230828"
"nicht erwerbstätig","1984","17-29","Saarland","","","",""
"nicht erwerbstätig","1984","17-29","Berlin","27","","",""
"nicht erwerbstätig","1984","17-29","Brandenburg","","","",""
"nicht erwerbstätig","1984","17-29","Mecklenburg-Vorpommern","","","",""
"nicht erwerbstätig","1984","17-29","Sachsen","","","",""
"nicht erwerbstätig","1984","17-29","Sachsen-Anhalt","","","",""
"nicht erwerbstätig","1984","17-29","Thüringen","","","",""
"nicht erwerbstätig","1984","30-45","Schleswig-Holstein","39","0.262183943337811","0.190096907342494","0.334270979333127"
"nicht erwerbstätig","1984","30-45","Hamburg","23","","",""
"nicht erwerbstätig","1984","30-45","Niedersachsen","92","0.218180217888457","0.177190323382593","0.259170112394321"
"nicht erwerbstätig","1984","30-45","Bremen","7","","",""
"nicht erwerbstätig","1984","30-45","Nordrhein-Westfalen","306","0.273945572375261","0.247493877541851","0.300397267208671"
"nicht erwerbstätig","1984","30-45","Hessen","87","0.201466423941602","0.160541975243715","0.242390872639489"
"nicht erwerbstätig","1984","30-45","Rheinland-Pfalz,Saarland","57","0.284908257023561","0.223567402300286","0.346249111746836"
"nicht erwerbstätig","1984","30-45","Baden-Württemberg","156","0.21830419783234","0.188560913664794","0.248047481999885"
"nicht erwerbstätig","1984","30-45","Bayern","141","0.214316826754135","0.183337640626811","0.245296012881459"
"nicht erwerbstätig","1984","30-45","Saarland","","","",""
"nicht erwerbstätig","1984","30-45","Berlin","22","","",""
"nicht erwerbstätig","1984","30-45","Brandenburg","","","",""
"nicht erwerbstätig","1984","30-45","Mecklenburg-Vorpommern","","","",""
"nicht erwerbstätig","1984","30-45","Sachsen","","","",""
"nicht erwerbstätig","1984","30-45","Sachsen-Anhalt","","","",""
"nicht erwerbstätig","1984","30-45","Thüringen","","","",""
"nicht erwerbstätig","1984","46-65","Schleswig-Holstein","40","0.364450689704248","0.271506233080489","0.457395146328006"
"nicht erwerbstätig","1984","46-65","Hamburg","27","","",""
"nicht erwerbstätig","1984","46-65","Niedersachsen","145","0.426106833123261","0.374738216723497","0.477475449523025"
"nicht erwerbstätig","1984","46-65","Bremen","23","","",""
"nicht erwerbstätig","1984","46-65","Nordrhein-Westfalen","366","0.446239929429382","0.413959899010719","0.478519959848044"
