"e11102","year","age_gr","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht erwerbstätig","1984","17-29","1203","0.337308607830452","0.32149779865311","0.353119417007795"
"nicht erwerbstätig","1984","30-45","930","0.235636504874146","0.222327265795279","0.248945743953013"
"nicht erwerbstätig","1984","46-65","1311","0.404852336341006","0.388718861865367","0.420985810816645"
"nicht erwerbstätig","1984","66","","","",""
"erwerbstätig","1984","17-29","2232","0.662691392169548","0.646880582992205","0.67850220134689"
"erwerbstätig","1984","30-45","2976","0.764363495125854","0.751054256046987","0.777672734204721"
"erwerbstätig","1984","46-65","2245","0.595147663658994","0.579014189183355","0.611281138134633"
"erwerbstätig","1984","66","","","",""
"nicht erwerbstätig","1985","17-29","1105","0.330949789913499","0.314491160087255","0.347408419739743"
"nicht erwerbstätig","1985","30-45","819","0.223112156790717","0.209269754500848","0.236954559080586"
"nicht erwerbstätig","1985","46-65","1232","0.409100493085556","0.392335634788482","0.42586535138263"
"nicht erwerbstätig","1985","66","","","",""
"erwerbstätig","1985","17-29","2035","0.669050210086501","0.652591580260257","0.685508839912745"
"erwerbstätig","1985","30-45","2656","0.776887843209283","0.763045440919414","0.790730245499152"
"erwerbstätig","1985","46-65","2072","0.590899506914444","0.57413464861737","0.607664365211518"
"erwerbstätig","1985","66","","","",""
"nicht erwerbstätig","1986","17-29","1003","0.302499122174444","0.28621077856629","0.318787465782599"
"nicht erwerbstätig","1986","30-45","756","0.218477925189107","0.204312975481005","0.232642874897209"
"nicht erwerbstätig","1986","46-65","1177","0.403360483037425","0.386437223713788","0.420283742361061"
"nicht erwerbstätig","1986","66","","","",""
"erwerbstätig","1986","17-29","2052","0.697500877825555","0.681212534217401","0.71378922143371"
"erwerbstätig","1986","30-45","2513","0.781522074810893","0.767357125102791","0.795687024518995"
"erwerbstätig","1986","46-65","2051","0.596639516962576","0.579716257638939","0.613562776286212"
"erwerbstätig","1986","66","","","",""
"nicht erwerbstätig","1987","17-29","891","0.254184586101261","0.23862494920313","0.269744222999393"
"nicht erwerbstätig","1987","30-45","705","0.208273585102031","0.194133234802982","0.22241393540108"
"nicht erwerbstätig","1987","46-65","1152","0.387862771595812","0.371001343460045","0.40472419973158"
"nicht erwerbstätig","1987","66","","","",""
"erwerbstätig","1987","17-29","2117","0.745815413898739","0.730255777000607","0.76137505079687"
"erwerbstätig","1987","30-45","2463","0.791726414897969","0.77758606459892","0.805866765197018"
"erwerbstätig","1987","46-65","2056","0.612137228404187","0.59527580026842","0.628998656539955"
"erwerbstätig","1987","66","","","",""
"nicht erwerbstätig","1988","17-29","844","0.26648919458096","0.250316791586598","0.282661597575322"
"nicht erwerbstätig","1988","30-45","617","0.193325556561467","0.179079859718187","0.207571253404747"
"nicht erwerbstätig","1988","46-65","1096","0.376290582543673","0.359267001958417","0.393314163128929"
"nicht erwerbstätig","1988","66","","","",""
"erwerbstätig","1988","17-29","2027","0.73351080541904","0.717338402424678","0.749683208413402"
"erwerbstätig","1988","30-45","2335","0.806674443438533","0.792428746595253","0.820920140281813"
"erwerbstätig","1988","46-65","2015","0.623709417456327","0.606685836871071","0.640732998041583"
"erwerbstätig","1988","66","","","",""
"nicht erwerbstätig","1989","17-29","824","0.278756054543465","0.262227364655502","0.295284744431428"
"nicht erwerbstätig","1989","30-45","574","0.187955583500175","0.173592305631974","0.202318861368375"
"nicht erwerbstätig","1989","46-65","1053","0.376651215493118","0.359260016812537","0.3940424141737"
"nicht erwerbstätig","1989","66","","","",""
"erwerbstätig","1989","17-29","2003","0.721243945456535","0.704715255568572","0.737772635344498"
"erwerbstätig","1989","30-45","2268","0.812044416499826","0.797681138631625","0.826407694368026"
"erwerbstätig","1989","46-65","1929","0.623348784506882","0.6059575858263","0.640739983187463"
"erwerbstätig","1989","66","","","",""
"nicht erwerbstätig","1990","17-29","742","0.252478986067394","0.23613765247815","0.268820319656637"
"nicht erwerbstätig","1990","30-45","533","0.179292003599119","0.165063305105742","0.193520702092497"
"nicht erwerbstätig","1990","46-65","1040","0.368298680173358","0.350785730860725","0.385811629485991"
"nicht erwerbstätig","1990","66","","","",""
"erwerbstätig","1990","17-29","1973","0.747521013932606","0.731179680343363","0.76386234752185"
"erwerbstätig","1990","30-45","2259","0.820707996400881","0.806479297907503","0.834936694894258"
"erwerbstätig","1990","46-65","1874","0.631701319826642","0.614188370514009","0.649214269139275"
"erwerbstätig","1990","66","","","",""
"nicht erwerbstätig","1991","17-29","728","0.250435897516385","0.234044744090231","0.26682705094254"
"nicht erwerbstätig","1991","30-45","510","0.170902452334844","0.157004380271618","0.18480052439807"
"nicht erwerbstätig","1991","46-65","989","0.356402921326353","0.338828749638863","0.373977093013844"
"nicht erwerbstätig","1991","66","","","",""
"erwerbstätig","1991","17-29","1956","0.749564102483614","0.73317294905746","0.765955255909769"
"erwerbstätig","1991","30-45","2308","0.829097547665156","0.81519947560193","0.842995619728382"
"erwerbstätig","1991","46-65","1864","0.643597078673646","0.626022906986156","0.661171250361137"
"erwerbstätig","1991","66","","","",""
"nicht erwerbstätig","1992","17-29","945","0.247245657236776","0.233101997885262","0.26138931658829"
"nicht erwerbstätig","1992","30-45","571","0.141848496998034","0.131372709579071","0.152324284416996"
"nicht erwerbstätig","1992","46-65","1308","0.342872154547798","0.32822076306351","0.357523546032086"
"nicht erwerbstätig","1992","66","","","",""
"erwerbstätig","1992","17-29","2629","0.752754342763224","0.73861068341171","0.766898002114738"
"erwerbstätig","1992","30-45","3690","0.858151503001966","0.847675715583004","0.868627290420929"
"erwerbstätig","1992","46-65","2724","0.657127845452203","0.642476453967915","0.671779236936491"
"erwerbstätig","1992","66","","","",""
"nicht erwerbstätig","1993","17-29","945","0.259614948387342","0.245052735490452","0.274177161284231"
"nicht erwerbstätig","1993","30-45","625","0.14903171465826","0.138259055719657","0.159804373596863"
"nicht erwerbstätig","1993","46-65","1398","0.363293075716793","0.348294573561151","0.378291577872435"
"nicht erwerbstätig","1993","66","","","",""
"erwerbstätig","1993","17-29","2537","0.740385051612658","0.725822838715769","0.754947264509548"
"erwerbstätig","1993","30-45","3573","0.85096828534174","0.840195626403137","0.861740944280343"
"erwerbstätig","1993","46-65","2552","0.636706924283207","0.621708422127565","0.651705426438849"
"erwerbstätig","1993","66","","","",""
"nicht erwerbstätig","1994","17-29","967","0.288463575863624","0.273108250734759","0.303818900992489"
"nicht erwerbstätig","1994","30-45","660","0.157592116612593","0.146504015627423","0.168680217597764"
"nicht erwerbstätig","1994","46-65","1466","0.378411137274335","0.363168409740255","0.393653864808415"
"nicht erwerbstätig","1994","66","","","",""
"erwerbstätig","1994","17-29","2377","0.711536424136376","0.696181099007511","0.726891749265241"
"erwerbstätig","1994","30-45","3488","0.842407883387407","0.831319782402236","0.853495984372577"
"erwerbstätig","1994","46-65","2423","0.621588862725665","0.606346135191585","0.636831590259745"
"erwerbstätig","1994","66","","","",""
"nicht erwerbstätig","1995","17-29","1063","0.309863969682795","0.29421611804911","0.32551182131648"
"nicht erwerbstätig","1995","30-45","776","0.176287459239331","0.165078761593998","0.187496156884664"
"nicht erwerbstätig","1995","46-65","1471","0.38435014883615","0.369212884079203","0.399487413593097"
"nicht erwerbstätig","1995","66","","","",""
"erwerbstätig","1995","17-29","2292","0.690136030317205","0.67448817868352","0.70578388195089"
"erwerbstätig","1995","30-45","3664","0.823712540760669","0.812503843115336","0.834921238406003"
"erwerbstätig","1995","46-65","2496","0.61564985116385","0.600512586406903","0.630787115920797"
"erwerbstätig","1995","66","","","",""
"nicht erwerbstätig","1996","17-29","983","0.31266011035348","0.296504606474806","0.328815614232154"
"nicht erwerbstätig","1996","30-45","705","0.159659833411703","0.148879636939655","0.170440029883752"
"nicht erwerbstätig","1996","46-65","1440","0.380974259883478","0.365737008606433","0.396211511160524"
"nicht erwerbstätig","1996","66","","","",""
"erwerbstätig","1996","17-29","2180","0.68733988964652","0.671184385767846","0.703495393525194"
"erwerbstätig","1996","30-45","3730","0.840340166588297","0.829559970116248","0.851120363060345"
"erwerbstätig","1996","46-65","2462","0.619025740116522","0.603788488839476","0.634262991393567"
"erwerbstätig","1996","66","","","",""
"nicht erwerbstätig","1997","17-29","1010","0.332372547748446","0.315594175645255","0.349150919851637"
"nicht erwerbstätig","1997","30-45","735","0.160140204654303","0.14926068922366","0.171019720084947"
"nicht erwerbstätig","1997","46-65","1428","0.387751531133864","0.372366825143665","0.403136237124062"
"nicht erwerbstätig","1997","66","","","",""
"erwerbstätig","1997","17-29","2018","0.667627452251554","0.650849080148363","0.684405824354745"
"erwerbstätig","1997","30-45","3630","0.839859795345697","0.828980279915053","0.85073931077634"
"erwerbstätig","1997","46-65","2425","0.612248468866136","0.596863762875938","0.627633174856335"
"erwerbstätig","1997","66","","","",""
"nicht erwerbstätig","1998","17-29","1061","0.344229987302194","0.3276723402013","0.360787634403088"
"nicht erwerbstätig","1998","30-45","833","0.171931002529239","0.161286636458622","0.182575368599857"
"nicht erwerbstätig","1998","46-65","1692","0.391882801633781","0.37744705554876","0.406318547718802"
"nicht erwerbstätig","1998","66","","","",""
"erwerbstätig","1998","17-29","2102","0.655770012697806","0.639212365596912","0.6723276597987"
"erwerbstätig","1998","30-45","3994","0.828068997470761","0.817424631400143","0.838713363541378"
"erwerbstätig","1998","46-65","2701","0.608117198366219","0.593681452281198","0.62255294445124"
"erwerbstätig","1998","66","","","",""
