"e11102","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"nicht erwerbstätig","1985","Staedtischer Raum","Westdeutschland","3266","0.431682413548554","0.42124681481574","0.442118012281369"
"nicht erwerbstätig","1985","Staedtischer Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","Laendlicher Raum","Westdeutschland","952","0.458652407757089","0.438599807687823","0.478705007826354"
"nicht erwerbstätig","1985","Laendlicher Raum","Ostdeutschland","","","",""
"erwerbstätig","1985","Staedtischer Raum","Westdeutschland","5388","0.568317586451446","0.557881987718631","0.57875318518426"
"erwerbstätig","1985","Staedtischer Raum","Ostdeutschland","","","",""
"erwerbstätig","1985","Laendlicher Raum","Westdeutschland","1420","0.541347592242911","0.521294992173646","0.561400192312177"
"erwerbstätig","1985","Laendlicher Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","Staedtischer Raum","Westdeutschland","3085","0.429076576261982","0.418443364138638","0.439709788385325"
"nicht erwerbstätig","1986","Staedtischer Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","Laendlicher Raum","Westdeutschland","840","0.428438403898657","0.408036552123408","0.448840255673905"
"nicht erwerbstätig","1986","Laendlicher Raum","Ostdeutschland","","","",""
"erwerbstätig","1986","Staedtischer Raum","Westdeutschland","5238","0.570923423738018","0.560290211614675","0.581556635861362"
"erwerbstätig","1986","Staedtischer Raum","Ostdeutschland","","","",""
"erwerbstätig","1986","Laendlicher Raum","Westdeutschland","1420","0.571561596101343","0.551159744326094","0.591963447876592"
"erwerbstätig","1986","Laendlicher Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","Staedtischer Raum","Westdeutschland","2983","0.415089436024778","0.404440110240941","0.425738761808615"
"nicht erwerbstätig","1987","Staedtischer Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","Laendlicher Raum","Westdeutschland","789","0.411559818401223","0.391125594785146","0.4319940420173"
"nicht erwerbstätig","1987","Laendlicher Raum","Ostdeutschland","","","",""
"erwerbstätig","1987","Staedtischer Raum","Westdeutschland","5241","0.584910563975222","0.574261238191385","0.595559889759059"
"erwerbstätig","1987","Staedtischer Raum","Ostdeutschland","","","",""
"erwerbstätig","1987","Laendlicher Raum","Westdeutschland","1439","0.588440181598777","0.5680059579827","0.608874405214854"
"erwerbstätig","1987","Laendlicher Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","Staedtischer Raum","Westdeutschland","2821","0.41065101785196","0.399789759405182","0.421512276298739"
"nicht erwerbstätig","1988","Staedtischer Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1988","Laendlicher Raum","Westdeutschland","724","0.405654887114006","0.384598853013895","0.426710921214116"
"nicht erwerbstätig","1988","Laendlicher Raum","Ostdeutschland","","","",""
"erwerbstätig","1988","Staedtischer Raum","Westdeutschland","5060","0.58934898214804","0.578487723701261","0.600210240594818"
"erwerbstätig","1988","Staedtischer Raum","Ostdeutschland","","","",""
"erwerbstätig","1988","Laendlicher Raum","Westdeutschland","1365","0.594345112885994","0.573289078785884","0.615401146986105"
"erwerbstätig","1988","Laendlicher Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","Staedtischer Raum","Westdeutschland","2723","0.406812750635024","0.395825502338625","0.417799998931423"
"nicht erwerbstätig","1989","Staedtischer Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1989","Laendlicher Raum","Westdeutschland","692","0.416314672646267","0.394618307530156","0.438011037762378"
"nicht erwerbstätig","1989","Laendlicher Raum","Ostdeutschland","","","",""
"erwerbstätig","1989","Staedtischer Raum","Westdeutschland","4956","0.593187249364976","0.582200001068577","0.604174497661375"
"erwerbstätig","1989","Staedtischer Raum","Ostdeutschland","","","",""
"erwerbstätig","1989","Laendlicher Raum","Westdeutschland","1291","0.583685327353733","0.561988962237623","0.605381692469844"
"erwerbstätig","1989","Laendlicher Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1990","Staedtischer Raum","Westdeutschland","2627","0.390638784931689","0.379584381684703","0.401693188178675"
"nicht erwerbstätig","1990","Staedtischer Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1990","Laendlicher Raum","Westdeutschland","685","0.407929638239782","0.386271843259219","0.429587433220345"
"nicht erwerbstätig","1990","Laendlicher Raum","Ostdeutschland","","","",""
"erwerbstätig","1990","Staedtischer Raum","Westdeutschland","4856","0.609361215068311","0.598306811821325","0.620415618315297"
"erwerbstätig","1990","Staedtischer Raum","Ostdeutschland","","","",""
"erwerbstätig","1990","Laendlicher Raum","Westdeutschland","1293","0.592070361760218","0.570412566779655","0.613728156740781"
"erwerbstätig","1990","Laendlicher Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1991","Staedtischer Raum","Westdeutschland","2550","0.390961520746752","0.379841396095229","0.402081645398275"
"nicht erwerbstätig","1991","Staedtischer Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1991","Laendlicher Raum","Westdeutschland","690","0.398468637098939","0.377070879382593","0.419866394815284"
"nicht erwerbstätig","1991","Laendlicher Raum","Ostdeutschland","","","",""
"erwerbstätig","1991","Staedtischer Raum","Westdeutschland","4847","0.609038479253248","0.597918354601725","0.620158603904771"
"erwerbstätig","1991","Staedtischer Raum","Ostdeutschland","","","",""
"erwerbstätig","1991","Laendlicher Raum","Westdeutschland","1321","0.601531362901061","0.580133605184716","0.622929120617407"
"erwerbstätig","1991","Laendlicher Raum","Ostdeutschland","","","",""
"nicht erwerbstätig","1992","Staedtischer Raum","Westdeutschland","2522","0.3928401660005","0.381654469444452","0.404025862556549"
"nicht erwerbstätig","1992","Staedtischer Raum","Ostdeutschland","307","0.284910129906878","0.260541862924447","0.309278396889309"
"nicht erwerbstätig","1992","Laendlicher Raum","Westdeutschland","679","0.392057799513377","0.370682833788751","0.413432765238003"
"nicht erwerbstätig","1992","Laendlicher Raum","Ostdeutschland","700","0.340659083476604","0.32227158047852","0.359046586474689"
"erwerbstätig","1992","Staedtischer Raum","Westdeutschland","4801","0.6071598339995","0.595974137443451","0.618345530555548"
"erwerbstätig","1992","Staedtischer Raum","Ostdeutschland","1011","0.715089870093122","0.690721603110691","0.739458137075553"
"erwerbstätig","1992","Laendlicher Raum","Westdeutschland","1325","0.607942200486623","0.586567234761997","0.629317166211249"
"erwerbstätig","1992","Laendlicher Raum","Ostdeutschland","1852","0.659340916523396","0.640953413525311","0.67772841952148"
"nicht erwerbstätig","1993","Staedtischer Raum","Westdeutschland","2480","0.387494096293694","0.37629074747935","0.398697445108038"
"nicht erwerbstätig","1993","Staedtischer Raum","Ostdeutschland","389","0.342045869195049","0.316376147664228","0.36771559072587"
"nicht erwerbstätig","1993","Laendlicher Raum","Westdeutschland","677","0.398167315593051","0.376756316885913","0.41957831430019"
"nicht erwerbstätig","1993","Laendlicher Raum","Ostdeutschland","856","0.413301320124768","0.394063873184822","0.432538767064713"
"erwerbstätig","1993","Staedtischer Raum","Westdeutschland","4784","0.612505903706306","0.601302554891962","0.62370925252065"
"erwerbstätig","1993","Staedtischer Raum","Ostdeutschland","923","0.657954130804951","0.63228440927413","0.683623852335772"
"erwerbstätig","1993","Laendlicher Raum","Westdeutschland","1331","0.601832684406949","0.58042168569981","0.623243683114087"
"erwerbstätig","1993","Laendlicher Raum","Ostdeutschland","1661","0.586698679875232","0.567461232935287","0.605936126815178"
"nicht erwerbstätig","1994","Staedtischer Raum","Westdeutschland","2560","0.40424451009652","0.392863147492812","0.415625872700227"
"nicht erwerbstätig","1994","Staedtischer Raum","Ostdeutschland","437","0.382856662968903","0.356514262603081","0.409199063334726"
"nicht erwerbstätig","1994","Laendlicher Raum","Westdeutschland","661","0.395343938924122","0.373676608137908","0.417011269710335"
"nicht erwerbstätig","1994","Laendlicher Raum","Ostdeutschland","887","0.43745497871736","0.417879660045316","0.457030297389404"
"erwerbstätig","1994","Staedtischer Raum","Westdeutschland","4582","0.59575548990348","0.584374127299773","0.607136852507188"
"erwerbstätig","1994","Staedtischer Raum","Ostdeutschland","871","0.617143337031097","0.590800936665274","0.643485737396919"
"erwerbstätig","1994","Laendlicher Raum","Westdeutschland","1295","0.604656061075878","0.582988730289665","0.626323391862092"
"erwerbstätig","1994","Laendlicher Raum","Ostdeutschland","1580","0.56254502128264","0.542969702610596","0.582120339954684"
