"e11102","year","age_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"nicht erwerbstätig","1984","17-34","(noch) kein Abschluss","321","0.761755232351168","0.724998013091961","0.798512451610376"
"nicht erwerbstätig","1984","17-34","Hauptschule","559","0.231288717141624","0.213780200666213","0.248797233617034"
"nicht erwerbstätig","1984","17-34","Realschule","274","0.263825520035795","0.236592369844392","0.291058670227198"
"nicht erwerbstätig","1984","17-34","(Fach-)Abitur","271","0.487034542949996","0.446037363427867","0.528031722472124"
"nicht erwerbstätig","1984","17-34","AkademikerIn","44","0.156238519487403","0.110866883151237","0.201610155823568"
"nicht erwerbstätig","1984","35-65","(noch) kein Abschluss","237","0.359706312010932","0.325291022304948","0.394121601716916"
"nicht erwerbstätig","1984","35-65","Hauptschule","1379","0.377695447529779","0.362786379527761","0.392604515531797"
"nicht erwerbstätig","1984","35-65","Realschule","208","0.308351088134541","0.274188943532964","0.342513232736119"
"nicht erwerbstätig","1984","35-65","(Fach-)Abitur","51","0.261353322922259","0.206779948933224","0.315926696911294"
"nicht erwerbstätig","1984","35-65","AkademikerIn","63","0.140241231669431","0.109209806742727","0.171272656596135"
"nicht erwerbstätig","1984","66 +","(noch) kein Abschluss","","","",""
"nicht erwerbstätig","1984","66 +","Hauptschule","923","0.963062819758627","0.951125743588301","0.974999895928952"
"nicht erwerbstätig","1984","66 +","Realschule","167","0.952206290102307","0.920778607934924","0.983633972269689"
"nicht erwerbstätig","1984","66 +","(Fach-)Abitur","41","0.891161010424095","0.803056567082091","0.979265453766098"
"nicht erwerbstätig","1984","66 +","AkademikerIn","53","0.872698895412399","0.790393915085235","0.955003875739564"
"erwerbstätig","1984","17-34","(noch) kein Abschluss","195","0.238244767648832","0.201487548389624","0.275001986908039"
"erwerbstätig","1984","17-34","Hauptschule","1669","0.768711282858376","0.751202766382966","0.786219799333787"
"erwerbstätig","1984","17-34","Realschule","732","0.736174479964205","0.708941329772802","0.763407630155608"
"erwerbstätig","1984","17-34","(Fach-)Abitur","300","0.512965457050004","0.471968277527876","0.553962636572133"
"erwerbstätig","1984","17-34","AkademikerIn","202","0.843761480512597","0.798389844176432","0.889133116848763"
"erwerbstätig","1984","35-65","(noch) kein Abschluss","510","0.640293687989068","0.605878398283084","0.674708977695052"
"erwerbstätig","1984","35-65","Hauptschule","2683","0.622304552470221","0.607395484468203","0.637213620472239"
"erwerbstätig","1984","35-65","Realschule","494","0.691648911865459","0.657486767263881","0.725811056467036"
"erwerbstätig","1984","35-65","(Fach-)Abitur","198","0.738646677077741","0.684073303088706","0.793220051066776"
"erwerbstätig","1984","35-65","AkademikerIn","418","0.859758768330569","0.828727343403865","0.890790193257273"
"erwerbstätig","1984","66 +","(noch) kein Abschluss","","","",""
"erwerbstätig","1984","66 +","Hauptschule","36","0.0369371802413734","0.0250001040710482","0.0488742564116987"
"erwerbstätig","1984","66 +","Realschule","","","",""
"erwerbstätig","1984","66 +","(Fach-)Abitur","","","",""
"erwerbstätig","1984","66 +","AkademikerIn","","","",""
"nicht erwerbstätig","1985","17-34","(noch) kein Abschluss","306","0.818163279238756","0.781916931744739","0.854409626732772"
"nicht erwerbstätig","1985","17-34","Hauptschule","481","0.216914895731486","0.198494132579096","0.235335658883877"
"nicht erwerbstätig","1985","17-34","Realschule","261","0.260081000295914","0.232488892430822","0.287673108161006"
"nicht erwerbstätig","1985","17-34","(Fach-)Abitur","227","0.42287234253496","0.380411656804018","0.465333028265902"
"nicht erwerbstätig","1985","17-34","AkademikerIn","40","0.130081703984856","0.0873444165624444","0.172818991407267"
"nicht erwerbstätig","1985","35-65","(noch) kein Abschluss","216","0.381742344609915","0.343956324797824","0.419528364422005"
"nicht erwerbstätig","1985","35-65","Hauptschule","1245","0.378195117855201","0.362556993282522","0.393833242427881"
"nicht erwerbstätig","1985","35-65","Realschule","206","0.314190923293867","0.279275956327455","0.34910589026028"
"nicht erwerbstätig","1985","35-65","(Fach-)Abitur","56","0.300869284147091","0.240808333809186","0.360930234484997"
"nicht erwerbstätig","1985","35-65","AkademikerIn","59","0.135914013247088","0.104631025283737","0.167197001210439"
"nicht erwerbstätig","1985","66 +","(noch) kein Abschluss","","","",""
"nicht erwerbstätig","1985","66 +","Hauptschule","797","0.970543765047464","0.958999117869065","0.982088412225862"
"nicht erwerbstätig","1985","66 +","Realschule","160","0.970871552796609","0.945212201430647","0.99653090416257"
"nicht erwerbstätig","1985","66 +","(Fach-)Abitur","35","0.843678292789498","0.735132762293844","0.952223823285152"
"nicht erwerbstätig","1985","66 +","AkademikerIn","51","0.945438389703244","0.885952455876788","1.0049243235297"
"erwerbstätig","1985","17-34","(noch) kein Abschluss","129","0.181836720761245","0.145590373267228","0.218083068255261"
