"e11102","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"erwerbstätig","1984","(Fach-)Abitur","männlich","322","0.544162449747701","0.501231336205698","0.587093563289705"
"erwerbstätig","1984","(Fach-)Abitur","weiblich","183","0.516639518708225","0.464360922838993","0.568918114577456"
"erwerbstätig","1984","(noch) kein Abschluss","männlich","413","0.464681261904914","0.423844191124635","0.505518332685193"
"erwerbstätig","1984","(noch) kein Abschluss","weiblich","293","0.261152330196321","0.228796252560078","0.293508407832565"
"erwerbstätig","1984","AkademikerIn","männlich","454","0.830579002813331","0.798792313964467","0.862365691662196"
"erwerbstätig","1984","AkademikerIn","weiblich","176","0.650637767471171","0.592120287865018","0.709155247077324"
"erwerbstätig","1984","Hauptschule","männlich","2798","0.744754209078021","0.73030979776843","0.759198620387612"
"erwerbstätig","1984","Hauptschule","weiblich","1590","0.360550460944504","0.34518036644419","0.375920555444818"
"erwerbstätig","1984","Realschule","männlich","615","0.770791635870489","0.741388273915552","0.800194997825427"
"erwerbstätig","1984","Realschule","weiblich","621","0.527865740091938","0.498364094306847","0.55736738587703"
"nicht erwerbstätig","1984","(Fach-)Abitur","männlich","195","0.455837550252299","0.412906436710295","0.498768663794302"
"nicht erwerbstätig","1984","(Fach-)Abitur","weiblich","168","0.483360481291775","0.431081885422544","0.535639077161007"
"nicht erwerbstätig","1984","(noch) kein Abschluss","männlich","160","0.535318738095086","0.494481667314807","0.576155808875365"
"nicht erwerbstätig","1984","(noch) kein Abschluss","weiblich","415","0.738847669803679","0.706491592167435","0.771203747439922"
"nicht erwerbstätig","1984","AkademikerIn","männlich","81","0.169420997186669","0.137634308337804","0.201207686035533"
"nicht erwerbstätig","1984","AkademikerIn","weiblich","79","0.349362232528829","0.290844752922676","0.407879712134982"
"nicht erwerbstätig","1984","Hauptschule","männlich","702","0.255245790921979","0.240801379612388","0.26969020223157"
"nicht erwerbstätig","1984","Hauptschule","weiblich","2159","0.639449539055496","0.624079444555182","0.65481963355581"
"nicht erwerbstätig","1984","Realschule","männlich","170","0.229208364129511","0.199805002174573","0.258611726084448"
"nicht erwerbstätig","1984","Realschule","weiblich","479","0.472134259908062","0.44263261412297","0.501635905693153"
"erwerbstätig","1985","(Fach-)Abitur","männlich","292","0.579575105617892","0.534611961856075","0.62453824937971"
"erwerbstätig","1985","(Fach-)Abitur","weiblich","177","0.55041295814204","0.496246953392492","0.604578962891588"
"erwerbstätig","1985","(noch) kein Abschluss","männlich","319","0.359035849124859","0.316987508076236","0.401084190173481"
"erwerbstätig","1985","(noch) kein Abschluss","weiblich","229","0.244193428629458","0.209439703771587","0.27894715348733"
"erwerbstätig","1985","AkademikerIn","männlich","437","0.834692617709959","0.80242264408494","0.866962591334977"
"erwerbstätig","1985","AkademikerIn","weiblich","168","0.649880335277942","0.590272206677518","0.709488463878367"
"erwerbstätig","1985","Hauptschule","männlich","2508","0.740956052125755","0.725602895911705","0.756309208339804"
"erwerbstätig","1985","Hauptschule","weiblich","1410","0.36264865072995","0.346277852312377","0.379019449147522"
"erwerbstätig","1985","Realschule","männlich","579","0.744786339870135","0.713667010633212","0.775905669107058"
"erwerbstätig","1985","Realschule","weiblich","609","0.537820840523214","0.507821314590767","0.567820366455661"
"nicht erwerbstätig","1985","(Fach-)Abitur","männlich","171","0.420424894382108","0.37546175062029","0.465388038143925"
"nicht erwerbstätig","1985","(Fach-)Abitur","weiblich","147","0.44958704185796","0.395421037108412","0.503753046607508"
"nicht erwerbstätig","1985","(noch) kein Abschluss","männlich","181","0.640964150875141","0.598915809826519","0.683012491923764"
"nicht erwerbstätig","1985","(noch) kein Abschluss","weiblich","358","0.755806571370542","0.72105284651267","0.790560296228413"
"nicht erwerbstätig","1985","AkademikerIn","männlich","72","0.165307382290041","0.133037408665023","0.19757735591506"
"nicht erwerbstätig","1985","AkademikerIn","weiblich","78","0.350119664722058","0.290511536121633","0.409727793322482"
"nicht erwerbstätig","1985","Hauptschule","männlich","620","0.259043947874245","0.243690791660196","0.274397104088295"
"nicht erwerbstätig","1985","Hauptschule","weiblich","1903","0.63735134927005","0.620980550852478","0.653722147687623"
"nicht erwerbstätig","1985","Realschule","männlich","175","0.255213660129865","0.224094330892942","0.286332989366787"
"nicht erwerbstätig","1985","Realschule","weiblich","452","0.462179159476786","0.432179633544339","0.492178685409233"
"erwerbstätig","1986","(Fach-)Abitur","männlich","286","0.562457679688695","0.517608539626212","0.607306819751177"
"erwerbstätig","1986","(Fach-)Abitur","weiblich","205","0.607637001835898","0.555582790708261","0.659691212963534"
"erwerbstätig","1986","(noch) kein Abschluss","männlich","292","0.398975155730269","0.355167843202178","0.44278246825836"
"erwerbstätig","1986","(noch) kein Abschluss","weiblich","215","0.268898816343893","0.231775992840704","0.306021639847082"
"erwerbstätig","1986","AkademikerIn","männlich","438","0.84257600547864","0.810811477238394","0.874340533718886"
"erwerbstätig","1986","AkademikerIn","weiblich","167","0.638893098294451","0.578625321566514","0.699160875022387"
"erwerbstätig","1986","Hauptschule","männlich","2411","0.739893274371231","0.724137270635729","0.755649278106733"
"erwerbstätig","1986","Hauptschule","weiblich","1371","0.37027512647095","0.353309652771032","0.387240600170868"
"erwerbstätig","1986","Realschule","männlich","578","0.765399963814008","0.734827660041535","0.795972267586481"
"erwerbstätig","1986","Realschule","weiblich","606","0.537415275019811","0.507024731401957","0.567805818637665"
"nicht erwerbstätig","1986","(Fach-)Abitur","männlich","184","0.437542320311305","0.392693180248823","0.482391460373788"
"nicht erwerbstätig","1986","(Fach-)Abitur","weiblich","133","0.392362998164102","0.340308787036466","0.444417209291739"
"nicht erwerbstätig","1986","(noch) kein Abschluss","männlich","188","0.601024844269731","0.55721753174164","0.644832156797822"
"nicht erwerbstätig","1986","(noch) kein Abschluss","weiblich","333","0.731101183656107","0.693978360152918","0.768224007159296"
"nicht erwerbstätig","1986","AkademikerIn","männlich","67","0.15742399452136","0.125659466281114","0.189188522761606"
"nicht erwerbstätig","1986","AkademikerIn","weiblich","77","0.361106901705549","0.300839124977613","0.421374678433486"
"nicht erwerbstätig","1986","Hauptschule","männlich","567","0.260106725628769","0.244350721893267","0.275862729364271"
"nicht erwerbstätig","1986","Hauptschule","weiblich","1741","0.62972487352905","0.612759399829132","0.646690347228968"
"nicht erwerbstätig","1986","Realschule","männlich","160","0.234600036185992","0.204027732413519","0.265172339958465"
"nicht erwerbstätig","1986","Realschule","weiblich","428","0.462584724980189","0.432194181362335","0.492975268598043"
"erwerbstätig","1987","(Fach-)Abitur","männlich","290","0.597499440489327","0.552389509752795","0.64260937122586"
"erwerbstätig","1987","(Fach-)Abitur","weiblich","205","0.624496257092217","0.571929480593657","0.677063033590777"
