"e11102","year","bula_h","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht erwerbstätig","1985","Schleswig-Holstein","Staedtischer Raum","58","0.373388559847374","0.300245501817165","0.446531617877582"
"nicht erwerbstätig","1985","Schleswig-Holstein","Laendlicher Raum","79","0.478602960395301","0.406619255129942","0.550586665660661"
"nicht erwerbstätig","1985","Hamburg","Staedtischer Raum","106","","",""
"nicht erwerbstätig","1985","Hamburg","Laendlicher Raum","3","","",""
"nicht erwerbstätig","1985","Niedersachsen","Staedtischer Raum","227","","",""
"nicht erwerbstätig","1985","Niedersachsen","Laendlicher Raum","255","","",""
"nicht erwerbstätig","1985","Bremen","Staedtischer Raum","65","0.653065875943123","0.566445293123257","0.739686458762989"
"nicht erwerbstätig","1985","Bremen","Laendlicher Raum","","","",""
"nicht erwerbstätig","1985","Nordrhein-Westfalen","Staedtischer Raum","1175","","",""
"nicht erwerbstätig","1985","Nordrhein-Westfalen","Laendlicher Raum","27","","",""
"nicht erwerbstätig","1985","Hessen","Staedtischer Raum","354","0.419959305609755","0.389042858350052","0.450875752869458"
"nicht erwerbstätig","1985","Hessen","Laendlicher Raum","70","0.527980065120813","0.449389361888446","0.60657076835318"
"nicht erwerbstätig","1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","262","","",""
"nicht erwerbstätig","1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","73","0.544931041741233","0.46244253285222","0.627419550630246"
"nicht erwerbstätig","1985","Baden-Wuerttemberg","Staedtischer Raum","574","0.384338004561466","0.361514716395704","0.407161292727228"
"nicht erwerbstätig","1985","Baden-Wuerttemberg","Laendlicher Raum","105","","",""
"nicht erwerbstätig","1985","Bayern","Staedtischer Raum","324","0.389663350194414","0.359068193134331","0.420258507254497"
"nicht erwerbstätig","1985","Bayern","Laendlicher Raum","340","0.424480191097104","0.39255914406013","0.456401238134078"
"nicht erwerbstätig","1985","Saarland","Staedtischer Raum","","","",""
"nicht erwerbstätig","1985","Saarland","Laendlicher Raum","","","",""
"nicht erwerbstätig","1985","Berlin","Staedtischer Raum","121","","",""
"nicht erwerbstätig","1985","Berlin","Laendlicher Raum","","","",""
"nicht erwerbstätig","1985","Brandenburg","Staedtischer Raum","","","",""
"nicht erwerbstätig","1985","Brandenburg","Laendlicher Raum","","","",""
"nicht erwerbstätig","1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"nicht erwerbstätig","1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"nicht erwerbstätig","1985","Sachsen","Staedtischer Raum","","","",""
"nicht erwerbstätig","1985","Sachsen","Laendlicher Raum","","","",""
"nicht erwerbstätig","1985","Sachsen-Anhalt","Staedtischer Raum","","","",""
"nicht erwerbstätig","1985","Sachsen-Anhalt","Laendlicher Raum","","","",""
"nicht erwerbstätig","1985","Thueringen","Staedtischer Raum","","","",""
"nicht erwerbstätig","1985","Thueringen","Laendlicher Raum","","","",""
"erwerbstätig","1985","Schleswig-Holstein","Staedtischer Raum","110","","",""
"erwerbstätig","1985","Schleswig-Holstein","Laendlicher Raum","106","","",""
"erwerbstätig","1985","Hamburg","Staedtischer Raum","168","","",""
"erwerbstätig","1985","Hamburg","Laendlicher Raum","3","","",""
"erwerbstätig","1985","Niedersachsen","Staedtischer Raum","284","","",""
"erwerbstätig","1985","Niedersachsen","Laendlicher Raum","341","0.517460499514965","0.477343356379907","0.557577642650022"
"erwerbstätig","1985","Bremen","Staedtischer Raum","51","0.346934124056877","0.260313541237011","0.433554706876743"
"erwerbstätig","1985","Bremen","Laendlicher Raum","","","",""
"erwerbstätig","1985","Nordrhein-Westfalen","Staedtischer Raum","1713","","",""
"erwerbstätig","1985","Nordrhein-Westfalen","Laendlicher Raum","46","0.58308699283802","0.469983488749688","0.696190496926352"
"erwerbstätig","1985","Hessen","Staedtischer Raum","625","0.580040694390245","0.549124247130542","0.610957141649948"
"erwerbstätig","1985","Hessen","Laendlicher Raum","85","0.472019934879187","0.39342923164682","0.550610638111554"
"erwerbstätig","1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","370","0.533161629047507","0.494265868537419","0.572057389557595"
"erwerbstätig","1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","67","0.455068958258767","0.372580449369754","0.53755746714778"
"erwerbstätig","1985","Baden-Wuerttemberg","Staedtischer Raum","1171","","",""
"erwerbstätig","1985","Baden-Wuerttemberg","Laendlicher Raum","191","","",""
"erwerbstätig","1985","Bayern","Staedtischer Raum","652","0.610336649805586","0.579741492745503","0.640931806865669"
"erwerbstätig","1985","Bayern","Laendlicher Raum","581","0.575519808902896","0.543598761865922","0.607440855939871"
"erwerbstätig","1985","Saarland","Staedtischer Raum","","","",""
"erwerbstätig","1985","Saarland","Laendlicher Raum","","","",""
"erwerbstätig","1985","Berlin","Staedtischer Raum","244","","",""
"erwerbstätig","1985","Berlin","Laendlicher Raum","","","",""
"erwerbstätig","1985","Brandenburg","Staedtischer Raum","","","",""
"erwerbstätig","1985","Brandenburg","Laendlicher Raum","","","",""
"erwerbstätig","1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"erwerbstätig","1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"erwerbstätig","1985","Sachsen","Staedtischer Raum","","","",""
