"e11102","year","bildungsniveau","bula_h","n","percent","lowerconfidence_percent","upperconfidence_percent"
"nicht erwerbstätig","1984","(noch) kein Abschluss","Schleswig-Holstein","16","","",""
"nicht erwerbstätig","1984","(noch) kein Abschluss","Hamburg","14","","",""
"nicht erwerbstätig","1984","(noch) kein Abschluss","Niedersachsen","63","0.875542596426352","0.809509527361246","0.941575665491458"
"nicht erwerbstätig","1984","(noch) kein Abschluss","Bremen","2","","",""
"nicht erwerbstätig","1984","(noch) kein Abschluss","Nordrhein-Westfalen","205","0.651376686845672","0.604851311412116","0.697902062279228"
"nicht erwerbstätig","1984","(noch) kein Abschluss","Hessen","53","0.521320357692113","0.439156893832197","0.60348382155203"
"nicht erwerbstätig","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","24","","",""
"nicht erwerbstätig","1984","(noch) kein Abschluss","Baden-Wuerttemberg","127","0.570007384673192","0.516913366120344","0.623101403226041"
"nicht erwerbstätig","1984","(noch) kein Abschluss","Bayern","49","0.569489410153265","0.484698911583135","0.654279908723395"
"nicht erwerbstätig","1984","(noch) kein Abschluss","Saarland","","","",""
"nicht erwerbstätig","1984","(noch) kein Abschluss","Berlin","22","","",""
"nicht erwerbstätig","1984","(noch) kein Abschluss","Brandenburg","","","",""
"nicht erwerbstätig","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"nicht erwerbstätig","1984","(noch) kein Abschluss","Sachsen","","","",""
"nicht erwerbstätig","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"nicht erwerbstätig","1984","(noch) kein Abschluss","Thueringen","","","",""
"nicht erwerbstätig","1984","Hauptschule","Schleswig-Holstein","94","0.462346740869685","0.39720012304737","0.527493358691999"
"nicht erwerbstätig","1984","Hauptschule","Hamburg","73","0.559713538764218","0.48350478487218","0.635922292656256"
"nicht erwerbstätig","1984","Hauptschule","Niedersachsen","325","0.489525820664589","0.453701993250086","0.525349648079093"
"nicht erwerbstätig","1984","Hauptschule","Bremen","53","0.695595244878497","0.601567029002494","0.789623460754499"
"nicht erwerbstätig","1984","Hauptschule","Nordrhein-Westfalen","792","0.491838652397475","0.469197874501666","0.514479430293285"
"nicht erwerbstätig","1984","Hauptschule","Hessen","274","0.461634818863928","0.424861442929433","0.498408194798423"
"nicht erwerbstätig","1984","Hauptschule","Rheinland-Pfalz,Saarland","276","0.511940789778818","0.471709230251569","0.552172349306068"
"nicht erwerbstätig","1984","Hauptschule","Baden-Wuerttemberg","445","0.406666331240483","0.38051179348807","0.432820868992896"
"nicht erwerbstätig","1984","Hauptschule","Bayern","462","0.419257433087864","0.392267749410797","0.446247116764931"
"nicht erwerbstätig","1984","Hauptschule","Saarland","","","",""
"nicht erwerbstätig","1984","Hauptschule","Berlin","67","0.412180221168087","0.345606303415203","0.478754138920971"
"nicht erwerbstätig","1984","Hauptschule","Brandenburg","","","",""
"nicht erwerbstätig","1984","Hauptschule","Mecklenburg-Vorpommern","","","",""
"nicht erwerbstätig","1984","Hauptschule","Sachsen","","","",""
"nicht erwerbstätig","1984","Hauptschule","Sachsen-Anhalt","","","",""
"nicht erwerbstätig","1984","Hauptschule","Thueringen","","","",""
"nicht erwerbstätig","1984","Realschule","Schleswig-Holstein","24","","",""
"nicht erwerbstätig","1984","Realschule","Hamburg","18","","",""
"nicht erwerbstätig","1984","Realschule","Niedersachsen","94","0.445326375748634","0.380814653825397","0.50983809767187"
"nicht erwerbstätig","1984","Realschule","Bremen","8","","",""
"nicht erwerbstätig","1984","Realschule","Nordrhein-Westfalen","161","0.376618219629795","0.332435258507318","0.420801180752271"
"nicht erwerbstätig","1984","Realschule","Hessen","56","0.32225171196139","0.255447938038189","0.389055485884591"
"nicht erwerbstätig","1984","Realschule","Rheinland-Pfalz,Saarland","39","0.363215039248125","0.272930548591957","0.453499529904294"
