"e11102","year","age_gr","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht erwerbstätig","1995","17-29","1 Einkommensschwächstes Quintil","600","0.419638559215628","0.393797161980602","0.445479956450653"
"nicht erwerbstätig","1995","17-29","2","246","0.248137318710552","0.220392074125402","0.275882563295702"
"nicht erwerbstätig","1995","17-29","3","127","0.257460268099523","0.220445020975544","0.294475515223502"
"nicht erwerbstätig","1995","17-29","4","63","0.173220479665186","0.134917996460673","0.211522962869699"
"nicht erwerbstätig","1995","17-29","5 Einkommensstärkstes Quintil","27","","",""
"nicht erwerbstätig","1995","30-45","1 Einkommensschwächstes Quintil","499","0.308226752643854","0.28663542951292","0.329818075774788"
"nicht erwerbstätig","1995","30-45","2","172","0.153922122823161","0.133795527981218","0.174048717665103"
"nicht erwerbstätig","1995","30-45","3","74","0.10456819112874","0.082263562374853","0.126872819882627"
"nicht erwerbstätig","1995","30-45","4","20","","",""
"nicht erwerbstätig","1995","30-45","5 Einkommensstärkstes Quintil","11","","",""
"nicht erwerbstätig","1995","46-65","1 Einkommensschwächstes Quintil","724","0.571107707800566","0.544418860695787","0.597796554905344"
"nicht erwerbstätig","1995","46-65","2","440","0.410658953638285","0.382457932864363","0.438859974412206"
"nicht erwerbstätig","1995","46-65","3","171","0.294534664730749","0.261052452778787","0.328016876682711"
"nicht erwerbstätig","1995","46-65","4","91","0.195968252965224","0.161070347995242","0.230866157935207"
"nicht erwerbstätig","1995","46-65","5 Einkommensstärkstes Quintil","45","0.185735830759351","0.139176020412808","0.232295641105894"
"nicht erwerbstätig","1995","66","1 Einkommensschwächstes Quintil","","","",""
"nicht erwerbstätig","1995","66","2","","","",""
"nicht erwerbstätig","1995","66","3","","","",""
"nicht erwerbstätig","1995","66","4","","","",""
"nicht erwerbstätig","1995","66","5 Einkommensstärkstes Quintil","","","",""
"erwerbstätig","1995","17-29","1 Einkommensschwächstes Quintil","801","0.580361440784373","0.554520043549347","0.606202838019398"
"erwerbstätig","1995","17-29","2","685","0.751862681289448","0.724117436704298","0.779607925874598"
"erwerbstätig","1995","17-29","3","409","0.742539731900477","0.705524484776498","0.779554979024456"
"erwerbstätig","1995","17-29","4","312","0.826779520334814","0.788477037130301","0.865082003539327"
