"e11102","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"nicht erwerbstätig","1985","kein Migrationshintergrund","Staedtischer Raum","2416","0.441077480010074","0.428489973456445","0.453664986563703"
"nicht erwerbstätig","1985","kein Migrationshintergrund","Laendlicher Raum","842","0.462758728636404","0.440917450561884","0.484600006710925"
"nicht erwerbstätig","1985","direkter Migrationshintergrund","Staedtischer Raum","788","0.354030467160357","0.335483881013408","0.372577053307305"
"nicht erwerbstätig","1985","direkter Migrationshintergrund","Laendlicher Raum","102","0.386239999770214","0.33537668333489","0.437103316205539"
"nicht erwerbstätig","1985","indirekter Migrationshintergrund","Staedtischer Raum","62","0.421856607072789","0.334580423637429","0.509132790508149"
"nicht erwerbstätig","1985","indirekter Migrationshintergrund","Laendlicher Raum","8","","",""
"nicht erwerbstätig","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"nicht erwerbstätig","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"erwerbstätig","1985","kein Migrationshintergrund","Staedtischer Raum","3561","0.558922519989926","0.546335013436297","0.571510026543555"
"erwerbstätig","1985","kein Migrationshintergrund","Laendlicher Raum","1160","0.537241271363596","0.515399993289075","0.559082549438116"
"erwerbstätig","1985","direkter Migrationshintergrund","Staedtischer Raum","1766","0.645969532839643","0.627422946692695","0.664516118986592"
"erwerbstätig","1985","direkter Migrationshintergrund","Laendlicher Raum","250","0.613760000229785","0.562896683794461","0.66462331666511"
"erwerbstätig","1985","indirekter Migrationshintergrund","Staedtischer Raum","61","0.578143392927211","0.490867209491851","0.665419576362571"
"erwerbstätig","1985","indirekter Migrationshintergrund","Laendlicher Raum","10","","",""
"erwerbstätig","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"erwerbstätig","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"nicht erwerbstätig","1986","kein Migrationshintergrund","Staedtischer Raum","2272","0.437401539870644","0.424553883186385","0.450249196554903"
"nicht erwerbstätig","1986","kein Migrationshintergrund","Laendlicher Raum","736","0.433400396044393","0.410982299252054","0.455818492836732"
"nicht erwerbstätig","1986","direkter Migrationshintergrund","Staedtischer Raum","756","0.362728926831092","0.343737514414646","0.381720339247537"
"nicht erwerbstätig","1986","direkter Migrationshintergrund","Laendlicher Raum","99","0.364764689238162","0.315246074251046","0.414283304225277"
"nicht erwerbstätig","1986","indirekter Migrationshintergrund","Staedtischer Raum","57","0.430762557215105","0.346920602587756","0.514604511842453"
"nicht erwerbstätig","1986","indirekter Migrationshintergrund","Laendlicher Raum","5","","",""
"nicht erwerbstätig","1986","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"nicht erwerbstätig","1986","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"erwerbstätig","1986","kein Migrationshintergrund","Staedtischer Raum","3455","0.562598460129356","0.549750803445097","0.575446116813615"
