"e11102","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"erwerbstätig","1985","Laendlicher Raum","maennlich","881","0.712665385011273","0.68661325842437","0.738717511598175"
"erwerbstätig","1985","Laendlicher Raum","weiblich","539","0.388754886449457","0.361322516992276","0.416187255906638"
"erwerbstätig","1985","Staedtischer Raum","maennlich","3300","0.722730891990796","0.70928042507378","0.736181358907813"
"erwerbstätig","1985","Staedtischer Raum","weiblich","2088","","",""
"nicht erwerbstätig","1985","Laendlicher Raum","maennlich","278","","",""
"nicht erwerbstätig","1985","Laendlicher Raum","weiblich","674","0.611245113550543","0.583812744093362","0.638677483007724"
"nicht erwerbstätig","1985","Staedtischer Raum","maennlich","955","0.277269108009204","0.263818641092187","0.29071957492622"
"nicht erwerbstätig","1985","Staedtischer Raum","weiblich","2311","","",""
"erwerbstätig","1986","Laendlicher Raum","maennlich","852","0.724446594806105","0.698067288388944","0.750825901223266"
"erwerbstätig","1986","Laendlicher Raum","weiblich","568","0.436049944384877","0.407488362910558","0.464611525859196"
"erwerbstätig","1986","Staedtischer Raum","maennlich","3202","0.725735810896917","0.712127648640788","0.739343973153045"
"erwerbstätig","1986","Staedtischer Raum","weiblich","2036","","",""
"nicht erwerbstätig","1986","Laendlicher Raum","maennlich","250","","",""
"nicht erwerbstätig","1986","Laendlicher Raum","weiblich","590","0.563950055615123","0.535388474140804","0.592511637089442"
"nicht erwerbstätig","1986","Staedtischer Raum","maennlich","927","0.274264189103083","0.260656026846955","0.287872351359212"
"nicht erwerbstätig","1986","Staedtischer Raum","weiblich","2158","","",""
"erwerbstätig","1987","Laendlicher Raum","maennlich","852","0.735094056827134","0.708788194025675","0.761399919628593"
"erwerbstätig","1987","Laendlicher Raum","weiblich","587","0.458152706120618","0.429318369482848","0.486987042758388"
"erwerbstätig","1987","Staedtischer Raum","maennlich","3193","0.735943080568405","0.722434670350756","0.749451490786054"
"erwerbstätig","1987","Staedtischer Raum","weiblich","2048","","",""
"nicht erwerbstätig","1987","Laendlicher Raum","maennlich","229","","",""
"nicht erwerbstätig","1987","Laendlicher Raum","weiblich","560","0.541847293879382","0.513012957241612","0.570681630517152"
"nicht erwerbstätig","1987","Staedtischer Raum","maennlich","898","0.264056919431595","0.250548509213946","0.277565329649244"
"nicht erwerbstätig","1987","Staedtischer Raum","weiblich","2085","","",""
"erwerbstätig","1988","Laendlicher Raum","maennlich","808","0.731134996911485","0.703965837725386","0.758304156097583"
"erwerbstätig","1988","Laendlicher Raum","weiblich","557","0.469188259610333","0.439230225094385","0.499146294126281"
"erwerbstätig","1988","Staedtischer Raum","maennlich","3045","0.731296721819179","0.717396885660019","0.745196557978339"
"erwerbstätig","1988","Staedtischer Raum","weiblich","2015","","",""
"nicht erwerbstätig","1988","Laendlicher Raum","maennlich","215","","",""
"nicht erwerbstätig","1988","Laendlicher Raum","weiblich","509","0.530811740389667","0.500853705873719","0.560769774905615"
"nicht erwerbstätig","1988","Staedtischer Raum","maennlich","862","0.268703278180821","0.254803442021661","0.282603114339981"
"nicht erwerbstätig","1988","Staedtischer Raum","weiblich","1959","","",""
"erwerbstätig","1989","Laendlicher Raum","maennlich","763","0.716977672466493","0.688803218242209","0.745152126690778"
"erwerbstätig","1989","Laendlicher Raum","weiblich","528","0.458615406467877","0.427747418758692","0.489483394177063"
"erwerbstätig","1989","Staedtischer Raum","maennlich","2940","","",""
"erwerbstätig","1989","Staedtischer Raum","weiblich","2016","","",""
"nicht erwerbstätig","1989","Laendlicher Raum","maennlich","219","","",""
"nicht erwerbstätig","1989","Laendlicher Raum","weiblich","473","0.541384593532123","0.510516605822937","0.572252581241308"
"nicht erwerbstätig","1989","Staedtischer Raum","maennlich","839","0.268241016347019","0.254115436985549","0.28236659570849"
"nicht erwerbstätig","1989","Staedtischer Raum","weiblich","1884","","",""
"erwerbstätig","1990","Laendlicher Raum","maennlich","750","0.722848163983396","0.694680901232663","0.751015426734128"
"erwerbstätig","1990","Laendlicher Raum","weiblich","543","0.468945362995505","0.438138423860489","0.499752302130521"
"erwerbstätig","1990","Staedtischer Raum","maennlich","2860","","",""
"erwerbstätig","1990","Staedtischer Raum","weiblich","1996","","",""
"nicht erwerbstätig","1990","Laendlicher Raum","maennlich","220","","",""
"nicht erwerbstätig","1990","Laendlicher Raum","weiblich","465","0.531054637004495","0.500247697869479","0.561861576139511"
"nicht erwerbstätig","1990","Staedtischer Raum","maennlich","832","0.255925155348514","0.241849065062132","0.270001245634896"
"nicht erwerbstätig","1990","Staedtischer Raum","weiblich","1795","","",""
"erwerbstätig","1991","Laendlicher Raum","maennlich","771","0.728226904526651","0.700542904216006","0.755910904837297"
"erwerbstätig","1991","Laendlicher Raum","weiblich","550","0.481996876419533","0.451317304167103","0.512676448671963"
"erwerbstätig","1991","Staedtischer Raum","maennlich","2828","","",""
"erwerbstätig","1991","Staedtischer Raum","weiblich","2019","","",""
"nicht erwerbstätig","1991","Laendlicher Raum","maennlich","221","","",""
"nicht erwerbstätig","1991","Laendlicher Raum","weiblich","469","0.518003123580467","0.487323551328037","0.548682695832897"
"nicht erwerbstätig","1991","Staedtischer Raum","maennlich","813","0.259750661196452","0.24550754240322","0.273993779989684"
"nicht erwerbstätig","1991","Staedtischer Raum","weiblich","1737","","",""
"erwerbstätig","1992","Laendlicher Raum","maennlich","1759","","",""
"erwerbstätig","1992","Laendlicher Raum","weiblich","1418","","",""
"erwerbstätig","1992","Staedtischer Raum","maennlich","3290","0.740054065773944","0.726794123450503","0.753314008097384"
"erwerbstätig","1992","Staedtischer Raum","weiblich","2522","","",""
"nicht erwerbstätig","1992","Laendlicher Raum","maennlich","445","0.251527200894399","0.233412849601664","0.269641552187134"
"nicht erwerbstätig","1992","Laendlicher Raum","weiblich","934","0.485030848050461","0.464833017709557","0.505228678391365"
"nicht erwerbstätig","1992","Staedtischer Raum","maennlich","913","0.259945934226056","0.246685991902616","0.273205876549497"
"nicht erwerbstätig","1992","Staedtischer Raum","weiblich","1916","","",""
"erwerbstätig","1993","Laendlicher Raum","maennlich","1683","","",""
"erwerbstätig","1993","Laendlicher Raum","weiblich","1309","","",""
"erwerbstätig","1993","Staedtischer Raum","maennlich","3222","0.729807991166455","0.716352708975788","0.743263273357123"
"erwerbstätig","1993","Staedtischer Raum","weiblich","2485","","",""
"nicht erwerbstätig","1993","Laendlicher Raum","maennlich","498","0.277457172287054","0.258666166195214","0.296248178378894"
"nicht erwerbstätig","1993","Laendlicher Raum","weiblich","1035","","",""
"nicht erwerbstätig","1993","Staedtischer Raum","maennlich","962","0.270192008833545","0.256736726642877","0.283647291024212"
"nicht erwerbstätig","1993","Staedtischer Raum","weiblich","1907","","",""
"erwerbstätig","1994","Laendlicher Raum","maennlich","1616","","",""
"erwerbstätig","1994","Laendlicher Raum","weiblich","1259","","",""
"erwerbstätig","1994","Staedtischer Raum","maennlich","3070","0.711321399323815","0.697415103262093","0.725227695385536"
"erwerbstätig","1994","Staedtischer Raum","weiblich","2383","","",""
"nicht erwerbstätig","1994","Laendlicher Raum","maennlich","520","0.290945172301017","0.271683545961181","0.310206798640853"
"nicht erwerbstätig","1994","Laendlicher Raum","weiblich","1028","","",""
"nicht erwerbstätig","1994","Staedtischer Raum","maennlich","1009","","",""
"nicht erwerbstätig","1994","Staedtischer Raum","weiblich","1988","","",""
"erwerbstätig","1995","Laendlicher Raum","maennlich","1654","","",""
"erwerbstätig","1995","Laendlicher Raum","weiblich","1310","","",""
"erwerbstätig","1995","Staedtischer Raum","maennlich","3128","0.701875530086209","0.688024886864777","0.715726173307641"
"erwerbstätig","1995","Staedtischer Raum","weiblich","2403","","",""
"nicht erwerbstätig","1995","Laendlicher Raum","maennlich","566","0.304302050496133","0.285162382289127","0.323441718703139"
"nicht erwerbstätig","1995","Laendlicher Raum","weiblich","1049","","",""
"nicht erwerbstätig","1995","Staedtischer Raum","maennlich","1062","","",""
"nicht erwerbstätig","1995","Staedtischer Raum","weiblich","2112","","",""
"erwerbstätig","1996","Laendlicher Raum","maennlich","1658","","",""
"erwerbstätig","1996","Laendlicher Raum","weiblich","1311","","",""
"erwerbstätig","1996","Staedtischer Raum","maennlich","3057","0.704140886758264","0.690152787863818","0.718128985652711"
"erwerbstätig","1996","Staedtischer Raum","weiblich","2397","","",""
"nicht erwerbstätig","1996","Laendlicher Raum","maennlich","545","0.30218689402218","0.283011326959758","0.321362461084603"
"nicht erwerbstätig","1996","Laendlicher Raum","weiblich","1023","","",""
"nicht erwerbstätig","1996","Staedtischer Raum","maennlich","1033","","",""
"nicht erwerbstätig","1996","Staedtischer Raum","weiblich","2024","","",""
"erwerbstätig","1997","Laendlicher Raum","maennlich","1607","","",""
"erwerbstätig","1997","Laendlicher Raum","weiblich","1257","","",""
"erwerbstätig","1997","Staedtischer Raum","maennlich","2965","","",""
"erwerbstätig","1997","Staedtischer Raum","weiblich","2298","","",""
"nicht erwerbstätig","1997","Laendlicher Raum","maennlich","558","0.309561493363344","0.290087495882619","0.329035490844068"
"nicht erwerbstätig","1997","Laendlicher Raum","weiblich","1046","","",""
"nicht erwerbstätig","1997","Staedtischer Raum","maennlich","1078","","",""
"nicht erwerbstätig","1997","Staedtischer Raum","weiblich","2018","","",""
"erwerbstätig","1998","Laendlicher Raum","maennlich","1763","","",""
"erwerbstätig","1998","Laendlicher Raum","weiblich","1364","","",""
"erwerbstätig","1998","Staedtischer Raum","maennlich","3205","0.68740669384327","0.673803881877307","0.701009505809232"
"erwerbstätig","1998","Staedtischer Raum","weiblich","2523","","",""
"nicht erwerbstätig","1998","Laendlicher Raum","maennlich","664","0.33286407892121","0.314116127010123","0.351612030832296"
"nicht erwerbstätig","1998","Laendlicher Raum","weiblich","1187","","",""
"nicht erwerbstätig","1998","Staedtischer Raum","maennlich","1256","","",""
"nicht erwerbstätig","1998","Staedtischer Raum","weiblich","2276","","",""
"erwerbstätig","1999","Laendlicher Raum","maennlich","1719","","",""
"erwerbstätig","1999","Laendlicher Raum","weiblich","1373","","",""
"erwerbstätig","1999","Staedtischer Raum","maennlich","3155","0.704448126496249","0.690771763781767","0.718124489210731"
"erwerbstätig","1999","Staedtischer Raum","weiblich","2518","","",""
"nicht erwerbstätig","1999","Laendlicher Raum","maennlich","614","0.312923780523769","0.294108423456867","0.33173913759067"
"nicht erwerbstätig","1999","Laendlicher Raum","weiblich","1104","","",""
"nicht erwerbstätig","1999","Staedtischer Raum","maennlich","1121","","",""
"nicht erwerbstätig","1999","Staedtischer Raum","weiblich","2070","","",""
"erwerbstätig","2000","Laendlicher Raum","maennlich","2918","","",""
"erwerbstätig","2000","Laendlicher Raum","weiblich","2390","","",""
"erwerbstätig","2000","Staedtischer Raum","maennlich","5398","0.705108418984297","0.694788492670718","0.715428345297875"
"erwerbstätig","2000","Staedtischer Raum","weiblich","4408","0.50756018169697","0.496723457935791","0.51839690545815"
"nicht erwerbstätig","2000","Laendlicher Raum","maennlich","1165","","",""
"nicht erwerbstätig","2000","Laendlicher Raum","weiblich","1958","","",""
"nicht erwerbstätig","2000","Staedtischer Raum","maennlich","2102","","",""
"nicht erwerbstätig","2000","Staedtischer Raum","weiblich","3768","0.49243981830303","0.48160309454185","0.503276542064209"
"erwerbstätig","2001","Laendlicher Raum","maennlich","2616","","",""
"erwerbstätig","2001","Laendlicher Raum","weiblich","2180","","",""
"erwerbstätig","2001","Staedtischer Raum","maennlich","4880","0.704232396632138","0.693390543576639","0.715074249687637"
"erwerbstätig","2001","Staedtischer Raum","weiblich","4179","0.528592864286346","0.517269071617362","0.539916656955329"
"nicht erwerbstätig","2001","Laendlicher Raum","maennlich","1102","","",""
"nicht erwerbstätig","2001","Laendlicher Raum","weiblich","1751","","",""
"nicht erwerbstätig","2001","Staedtischer Raum","maennlich","1927","","",""
"nicht erwerbstätig","2001","Staedtischer Raum","weiblich","3286","0.471407135713654","0.460083343044671","0.482730928382638"
"erwerbstätig","2002","Laendlicher Raum","maennlich","2655","","",""
"erwerbstätig","2002","Laendlicher Raum","weiblich","2275","","",""
"erwerbstätig","2002","Staedtischer Raum","maennlich","5306","0.689282053808985","0.678691231382621","0.699872876235349"
"erwerbstätig","2002","Staedtischer Raum","weiblich","4550","0.521068261421294","0.510054485922682","0.532082036919906"
"nicht erwerbstätig","2002","Laendlicher Raum","maennlich","1137","","",""
"nicht erwerbstätig","2002","Laendlicher Raum","weiblich","1721","","",""
"nicht erwerbstätig","2002","Staedtischer Raum","maennlich","2029","","",""
"nicht erwerbstätig","2002","Staedtischer Raum","weiblich","3353","0.478931738578706","0.467917963080094","0.489945514077318"
"erwerbstätig","2003","Laendlicher Raum","maennlich","2497","","",""
"erwerbstätig","2003","Laendlicher Raum","weiblich","2165","","",""
"erwerbstätig","2003","Staedtischer Raum","maennlich","5000","0.676619417338515","0.665706610651797","0.687532224025234"
"erwerbstätig","2003","Staedtischer Raum","weiblich","4365","0.517105061940137","0.505901392275293","0.528308731604981"
"nicht erwerbstätig","2003","Laendlicher Raum","maennlich","1122","","",""
"nicht erwerbstätig","2003","Laendlicher Raum","weiblich","1682","","",""
"nicht erwerbstätig","2003","Staedtischer Raum","maennlich","2058","","",""
"nicht erwerbstätig","2003","Staedtischer Raum","weiblich","3277","0.482894938059863","0.471691268395019","0.494098607724707"
"erwerbstätig","2004","Laendlicher Raum","maennlich","2397","","",""
"erwerbstätig","2004","Laendlicher Raum","weiblich","2107","","",""
"erwerbstätig","2004","Staedtischer Raum","maennlich","4742","0.662458311890277","0.651260991805123","0.673655631975431"
"erwerbstätig","2004","Staedtischer Raum","weiblich","4221","0.517582229285691","0.506250684561364","0.528913774010018"
"nicht erwerbstätig","2004","Laendlicher Raum","maennlich","1132","","",""
"nicht erwerbstätig","2004","Laendlicher Raum","weiblich","1655","","",""
"nicht erwerbstätig","2004","Staedtischer Raum","maennlich","2109","","",""
"nicht erwerbstätig","2004","Staedtischer Raum","weiblich","3249","0.482417770714309","0.471086225989982","0.493749315438636"
"erwerbstätig","2005","Laendlicher Raum","maennlich","2248","","",""
"erwerbstätig","2005","Laendlicher Raum","weiblich","2025","","",""
"erwerbstätig","2005","Staedtischer Raum","maennlich","4485","0.672300389456599","0.660927278532814","0.683673500380383"
"erwerbstätig","2005","Staedtischer Raum","weiblich","4086","0.530281307203218","0.51873887130032","0.541823743106115"
"nicht erwerbstätig","2005","Laendlicher Raum","maennlich","1108","","",""
"nicht erwerbstätig","2005","Laendlicher Raum","weiblich","1592","","",""
"nicht erwerbstätig","2005","Staedtischer Raum","maennlich","2058","","",""
"nicht erwerbstätig","2005","Staedtischer Raum","weiblich","3096","0.469718692796782","0.458176256893885","0.48126112869968"
"erwerbstätig","2006","Laendlicher Raum","maennlich","2383","","",""
"erwerbstätig","2006","Laendlicher Raum","weiblich","2188","","",""
"erwerbstätig","2006","Staedtischer Raum","maennlich","4638","0.664192077522591","0.653087283674693","0.675296871370489"
"erwerbstätig","2006","Staedtischer Raum","weiblich","4241","0.518927350822961","0.507729549306841","0.53012515233908"
"nicht erwerbstätig","2006","Laendlicher Raum","maennlich","1298","","",""
"nicht erwerbstätig","2006","Laendlicher Raum","weiblich","1804","","",""
"nicht erwerbstätig","2006","Staedtischer Raum","maennlich","2310","","",""
"nicht erwerbstätig","2006","Staedtischer Raum","weiblich","3407","0.481072649177039","0.46987484766092","0.492270450693159"
"erwerbstätig","2007","Laendlicher Raum","maennlich","2261","","",""
"erwerbstätig","2007","Laendlicher Raum","weiblich","2059","","",""
"erwerbstätig","2007","Staedtischer Raum","maennlich","4263","0.658796298249389","0.64723390087713","0.670358695621649"
"erwerbstätig","2007","Staedtischer Raum","weiblich","3995","0.526938869883449","0.515376699479019","0.538501040287879"
"nicht erwerbstätig","2007","Laendlicher Raum","maennlich","1232","","",""
"nicht erwerbstätig","2007","Laendlicher Raum","weiblich","1676","","",""
