"e11102","year","quintil_oecd","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"erwerbstätig","1995","1 Einkommensschwächstes Quintil","männlich","1561","0.610631716697946","0.590738722587932","0.630524710807959"
"erwerbstätig","1995","1 Einkommensschwächstes Quintil","weiblich","1107","0.350332227971502","0.332333891939085","0.368330564003919"
"erwerbstätig","1995","2","männlich","1358","0.675735919130449","0.65435919254873","0.697112645712168"
"erwerbstätig","1995","2","weiblich","1129","0.458404694566064","0.436675962725578","0.480133426406551"
"erwerbstätig","1995","3","männlich","882","0.741262426676965","0.71546418989971","0.76706066345422"
"erwerbstätig","1995","3","weiblich","723","0.579871087505202","0.550742639377866","0.608999535632538"
"erwerbstätig","1995","4","männlich","659","0.820030899364748","0.793001816346872","0.847059982382624"
"erwerbstätig","1995","4","weiblich","506","0.663156175408854","0.628193735017218","0.698118615800491"
"erwerbstätig","1995","5 Einkommensstärkstes Quintil","männlich","322","0.829174321567362","0.791183654868173","0.867164988266552"
"erwerbstätig","1995","5 Einkommensstärkstes Quintil","weiblich","248","0.640431625831745","0.590157885562795","0.690705366100695"
"nicht erwerbstätig","1995","1 Einkommensschwächstes Quintil","männlich","747","0.389368283302054","0.369475289192041","0.409261277412068"
"nicht erwerbstätig","1995","1 Einkommensschwächstes Quintil","weiblich","1592","0.649667772028498","0.631669435996081","0.667666108060915"
"nicht erwerbstätig","1995","2","männlich","484","0.324264080869551","0.302887354287832","0.34564080745127"
"nicht erwerbstätig","1995","2","weiblich","891","0.541595305433936","0.519866573593449","0.563324037274422"
"nicht erwerbstätig","1995","3","männlich","225","0.258737573323035","0.23293933654578","0.28453581010029"
"nicht erwerbstätig","1995","3","weiblich","380","0.420128912494798","0.391000464367462","0.449257360622134"
"nicht erwerbstätig","1995","4","männlich","117","0.179969100635252","0.152940017617376","0.206998183653128"
"nicht erwerbstätig","1995","4","weiblich","196","0.336843824591146","0.301881384199509","0.371806264982782"
"nicht erwerbstätig","1995","5 Einkommensstärkstes Quintil","männlich","55","0.170825678432637","0.132835011733448","0.208816345131827"
"nicht erwerbstätig","1995","5 Einkommensstärkstes Quintil","weiblich","102","0.359568374168255","0.309294633899305","0.409842114437205"
"erwerbstätig","1996","1 Einkommensschwächstes Quintil","männlich","1408","0.621331423267802","0.600329048461803","0.642333798073801"
"erwerbstätig","1996","1 Einkommensschwächstes Quintil","weiblich","1044","0.359002200982653","0.339999330471009","0.378005071494296"
"erwerbstätig","1996","2","männlich","1347","0.661951878430419","0.640465623429716","0.683438133431123"
"erwerbstätig","1996","2","weiblich","1092","0.458560854900889","0.436717717944765","0.480403991857013"
"erwerbstätig","1996","3","männlich","923","0.75721908354646","0.732394965331754","0.782043201761165"
"erwerbstätig","1996","3","weiblich","773","0.59505888614375","0.566846868764106","0.623270903523394"
"erwerbstätig","1996","4","männlich","657","0.785810550991618","0.757220310141546","0.81440079184169"
"erwerbstätig","1996","4","weiblich","532","0.634717883478522","0.60041704598079","0.669018720976254"
"erwerbstätig","1996","5 Einkommensstärkstes Quintil","männlich","380","0.823643623927351","0.788233019576185","0.859054228278517"
"erwerbstätig","1996","5 Einkommensstärkstes Quintil","weiblich","267","0.606971339742807","0.558372216867191","0.655570462618422"
"nicht erwerbstätig","1996","1 Einkommensschwächstes Quintil","männlich","641","0.378668576732198","0.357666201926199","0.399670951538197"
"nicht erwerbstätig","1996","1 Einkommensschwächstes Quintil","weiblich","1404","0.640997799017347","0.621994928505704","0.660000669528991"
"nicht erwerbstätig","1996","2","männlich","515","0.338048121569581","0.316561866568877","0.359534376570284"
"nicht erwerbstätig","1996","2","weiblich","907","0.541439145099111","0.519596008142987","0.563282282055234"
"nicht erwerbstätig","1996","3","männlich","223","0.24278091645354","0.217956798238835","0.267605034668246"
"nicht erwerbstätig","1996","3","weiblich","390","0.40494111385625","0.376729096476606","0.433153131235894"
"nicht erwerbstätig","1996","4","männlich","134","0.214189449008382","0.18559920815831","0.242779689858454"
"nicht erwerbstätig","1996","4","weiblich","225","0.365282116521478","0.330981279023746","0.39958295401921"
"nicht erwerbstätig","1996","5 Einkommensstärkstes Quintil","männlich","65","0.176356376072649","0.140945771721483","0.211766980423815"
"nicht erwerbstätig","1996","5 Einkommensstärkstes Quintil","weiblich","121","0.393028660257193","0.344429537381578","0.441627783132809"
"erwerbstätig","1997","1 Einkommensschwächstes Quintil","männlich","1318","0.618651906730012","0.597284500684542","0.640019312775483"
"erwerbstätig","1997","1 Einkommensschwächstes Quintil","weiblich","931","0.34987514126678","0.330294322035874","0.369455960497687"
"erwerbstätig","1997","2","männlich","1278","0.635499150996076","0.6132712735275","0.657727028464652"
"erwerbstätig","1997","2","weiblich","1045","0.445876147166099","0.424129868586292","0.467622425745906"
"erwerbstätig","1997","3","männlich","923","0.746237209708668","0.721291649800689","0.771182769616646"
"erwerbstätig","1997","3","weiblich","775","0.569519156475587","0.541315635927148","0.597722677024027"
"erwerbstätig","1997","4","männlich","676","0.784939535616883","0.756679775692952","0.813199295540814"
"erwerbstätig","1997","4","weiblich","536","0.624334147739624","0.590082861477211","0.658585434002037"
"erwerbstätig","1997","5 Einkommensstärkstes Quintil","männlich","377","0.844781600535433","0.810985031022938","0.878578170047927"
"erwerbstätig","1997","5 Einkommensstärkstes Quintil","weiblich","268","0.64556307564786","0.597594675920377","0.693531475375342"
"nicht erwerbstätig","1997","1 Einkommensschwächstes Quintil","männlich","667","0.381348093269987","0.359980687224517","0.402715499315457"
"nicht erwerbstätig","1997","1 Einkommensschwächstes Quintil","weiblich","1348","0.65012485873322","0.630544039502313","0.669705677964127"
"nicht erwerbstätig","1997","2","männlich","523","0.364500849003924","0.342272971535348","0.3867287264725"
"nicht erwerbstätig","1997","2","weiblich","962","0.554123852833901","0.532377574254094","0.575870131413708"
"nicht erwerbstätig","1997","3","männlich","246","0.253762790291332","0.228817230383354","0.278708350199311"
"nicht erwerbstätig","1997","3","weiblich","409","0.430480843524413","0.402277322975973","0.458684364072852"
"nicht erwerbstätig","1997","4","männlich","136","0.215060464383117","0.186800704459186","0.243320224307048"
"nicht erwerbstätig","1997","4","weiblich","232","0.375665852260376","0.341414565997963","0.409917138522789"
"nicht erwerbstätig","1997","5 Einkommensstärkstes Quintil","männlich","64","0.155218399464567","0.121421829952073","0.189014968977062"
"nicht erwerbstätig","1997","5 Einkommensstärkstes Quintil","weiblich","114","0.35443692435214","0.306468524624658","0.402405324079623"
"erwerbstätig","1998","1 Einkommensschwächstes Quintil","männlich","1406","0.600301286172309","0.579672680356058","0.62092989198856"
"erwerbstätig","1998","1 Einkommensschwächstes Quintil","weiblich","1011","0.357771788585488","0.338806539656589","0.376737037514388"
"erwerbstätig","1998","2","männlich","1345","0.638517306049203","0.61712225278168","0.659912359316725"
"erwerbstätig","1998","2","weiblich","1103","0.432733130066374","0.411882360044571","0.453583900088177"
"erwerbstätig","1998","3","männlich","972","0.718477745642656","0.693674447030075","0.743281044255238"
"erwerbstätig","1998","3","weiblich","816","0.546067052998583","0.519106345604831","0.573027760392336"
"erwerbstätig","1998","4","männlich","792","0.762730921117187","0.736123756549162","0.789338085685212"
"erwerbstätig","1998","4","weiblich","627","0.625825820951112","0.594972932223078","0.656678709679147"
"erwerbstätig","1998","5 Einkommensstärkstes Quintil","männlich","453","0.837306788256269","0.806176851846585","0.868436724665953"
"erwerbstätig","1998","5 Einkommensstärkstes Quintil","weiblich","330","0.611163608907962","0.567185222895672","0.655141994920253"
"nicht erwerbstätig","1998","1 Einkommensschwächstes Quintil","männlich","760","0.399698713827691","0.37907010801144","0.420327319643942"
"nicht erwerbstätig","1998","1 Einkommensschwächstes Quintil","weiblich","1443","0.642228211414512","0.623262962485612","0.661193460343411"
"nicht erwerbstätig","1998","2","männlich","592","0.361482693950797","0.340087640683275","0.38287774721832"
"nicht erwerbstätig","1998","2","weiblich","1066","0.567266869933626","0.546416099911823","0.588117639955429"
"nicht erwerbstätig","1998","3","männlich","291","0.281522254357344","0.256718955744762","0.306325552969925"
"nicht erwerbstätig","1998","3","weiblich","494","0.453932947001417","0.426972239607664","0.480893654395169"
"nicht erwerbstätig","1998","4","männlich","190","0.237269078882813","0.210661914314788","0.263876243450838"
"nicht erwerbstätig","1998","4","weiblich","318","0.374174179048888","0.343321290320853","0.405027067776922"
"nicht erwerbstätig","1998","5 Einkommensstärkstes Quintil","männlich","87","0.162693211743731","0.131563275334047","0.193823148153415"
"nicht erwerbstätig","1998","5 Einkommensstärkstes Quintil","weiblich","142","0.388836391092038","0.344858005079747","0.432814777104328"
"erwerbstätig","1999","1 Einkommensschwächstes Quintil","männlich","1180","0.628427284550824","0.606010237401915","0.650844331699733"
"erwerbstätig","1999","1 Einkommensschwächstes Quintil","weiblich","889","0.36648371256973","0.345761502388762","0.387205922750698"
"erwerbstätig","1999","2","männlich","1393","0.660522839729908","0.639462145724496","0.681583533735319"
"erwerbstätig","1999","2","weiblich","1126","0.465550494772635","0.444500123772639","0.486600865772631"
"erwerbstätig","1999","3","männlich","959","0.711100225007941","0.686152699573104","0.736047750442779"
"erwerbstätig","1999","3","weiblich","808","0.562988595190714","0.535941974008981","0.590035216372446"
"erwerbstätig","1999","4","männlich","839","0.77180256292629","0.746047862976894","0.797557262875687"
"erwerbstätig","1999","4","weiblich","681","0.630146155674969","0.599982341547673","0.660309969802265"
"erwerbstätig","1999","5 Einkommensstärkstes Quintil","männlich","503","0.825606654585639","0.795092143538235","0.856121165633043"
"erwerbstätig","1999","5 Einkommensstärkstes Quintil","weiblich","387","0.616305117783493","0.575848228236527","0.656762007330458"
"nicht erwerbstätig","1999","1 Einkommensschwächstes Quintil","männlich","605","0.371572715449176","0.349155668300267","0.393989762598085"
"nicht erwerbstätig","1999","1 Einkommensschwächstes Quintil","weiblich","1188","0.63351628743027","0.612794077249302","0.654238497611238"
"nicht erwerbstätig","1999","2","männlich","549","0.339477160270092","0.318416466264681","0.360537854275504"
"nicht erwerbstätig","1999","2","weiblich","1031","0.534449505227365","0.513399134227369","0.555499876227361"
