"e11102","year","bula_h","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht erwerbstätig","1984","Schleswig-Holstein","maennlich","47","0.260761954590829","0.198168134422562","0.323355774759096"
"nicht erwerbstätig","1984","Schleswig-Holstein","weiblich","103","","",""
"nicht erwerbstätig","1984","Hamburg","maennlich","43","0.378154384577079","0.300551418669257","0.4557573504849"
"nicht erwerbstätig","1984","Hamburg","weiblich","78","0.570853968444994","0.493920627712912","0.647787309177077"
"nicht erwerbstätig","1984","Niedersachsen","maennlich","156","","",""
"nicht erwerbstätig","1984","Niedersachsen","weiblich","382","0.63807494314001","0.600638773474601","0.67551111280542"
"nicht erwerbstätig","1984","Bremen","maennlich","24","","",""
"nicht erwerbstätig","1984","Bremen","weiblich","47","0.772002916463689","0.673011471872145","0.870994361055233"
"nicht erwerbstätig","1984","Nordrhein-Westfalen","maennlich","357","0.268297261379938","0.2466073993261","0.289987123433776"
"nicht erwerbstätig","1984","Nordrhein-Westfalen","weiblich","965","0.624193492319623","0.600831153356261","0.647555831282984"
"nicht erwerbstätig","1984","Hessen","maennlich","142","","",""
"nicht erwerbstätig","1984","Hessen","weiblich","318","0.560083083480738","0.521042720217171","0.599123446744306"
"nicht erwerbstätig","1984","Rheinland-Pfalz,Saarland","maennlich","107","","",""
"nicht erwerbstätig","1984","Rheinland-Pfalz,Saarland","weiblich","257","","",""
"nicht erwerbstätig","1984","Baden-Wuerttemberg","maennlich","203","","",""
"nicht erwerbstätig","1984","Baden-Wuerttemberg","weiblich","556","0.542770050251842","0.513788245050549","0.571751855453135"
"nicht erwerbstätig","1984","Bayern","maennlich","199","","",""
"nicht erwerbstätig","1984","Bayern","weiblich","533","0.543491073913324","0.514055494212222","0.572926653614426"
"nicht erwerbstätig","1984","Saarland","maennlich","","","",""
"nicht erwerbstätig","1984","Saarland","weiblich","","","",""
"nicht erwerbstätig","1984","Berlin","maennlich","39","0.242276426676719","0.182445468624908","0.30210738472853"
"nicht erwerbstätig","1984","Berlin","weiblich","91","0.527475744529229","0.460112939444234","0.594838549614224"
"nicht erwerbstätig","1984","Brandenburg","maennlich","","","",""
"nicht erwerbstätig","1984","Brandenburg","weiblich","","","",""
"nicht erwerbstätig","1984","Mecklenburg-Vorpommern","maennlich","","","",""
"nicht erwerbstätig","1984","Mecklenburg-Vorpommern","weiblich","","","",""
"nicht erwerbstätig","1984","Sachsen","maennlich","","","",""
"nicht erwerbstätig","1984","Sachsen","weiblich","","","",""
"nicht erwerbstätig","1984","Sachsen-Anhalt","maennlich","","","",""
"nicht erwerbstätig","1984","Sachsen-Anhalt","weiblich","","","",""
"nicht erwerbstätig","1984","Thueringen","maennlich","","","",""
"nicht erwerbstätig","1984","Thueringen","weiblich","","","",""
"erwerbstätig","1984","Schleswig-Holstein","maennlich","142","","",""
"erwerbstätig","1984","Schleswig-Holstein","weiblich","94","0.445944997349484","0.376533395594431","0.515356599104537"
"erwerbstätig","1984","Hamburg","maennlich","107","","",""
"erwerbstätig","1984","Hamburg","weiblich","81","0.429146031555006","0.352212690822923","0.506079372287088"
"erwerbstätig","1984","Niedersachsen","maennlich","445","0.705316529840052","0.668867936371853","0.741765123308251"
"erwerbstätig","1984","Niedersachsen","weiblich","251","","",""
