"e11102","year","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"erwerbstätig","1995","1 Einkommensschwächstes Quintil","2668","0.467538094992227","0.453717966922902","0.481358223061552"
"erwerbstätig","1995","2","2487","0.560972523761532","0.54532092874848","0.576624118774584"
"erwerbstätig","1995","3","1605","0.660336467467984","0.640591380259827","0.680081554676141"
"erwerbstätig","1995","4","1165","0.746331264000615","0.724148780672739","0.768513747328492"
"erwerbstätig","1995","5 Einkommensstärkstes Quintil","570","0.739890133775826","0.708000985744581","0.771779281807071"
"nicht erwerbstätig","1995","1 Einkommensschwächstes Quintil","2339","0.532461905007773","0.518641776938448","0.546282033077098"
"nicht erwerbstätig","1995","2","1375","0.439027476238468","0.423375881225416","0.45467907125152"
"nicht erwerbstätig","1995","3","605","0.339663532532016","0.319918445323859","0.359408619740173"
"nicht erwerbstätig","1995","4","313","0.253668735999385","0.231486252671508","0.275851219327261"
"nicht erwerbstätig","1995","5 Einkommensstärkstes Quintil","157","0.260109866224174","0.228220718192929","0.291999014255419"
"erwerbstätig","1996","1 Einkommensschwächstes Quintil","2452","0.473700579000826","0.45910722723244","0.488293930769212"
"erwerbstätig","1996","2","2439","0.55544294096588","0.539768874955319","0.571117006976441"
"erwerbstätig","1996","3","1696","0.675956986909081","0.656867379973209","0.695046593844952"
"erwerbstätig","1996","4","1189","0.714626080009875","0.692129878990741","0.737122281029008"
"erwerbstätig","1996","5 Einkommensstärkstes Quintil","647","0.72519442012926","0.694878860442313","0.755509979816207"
"nicht erwerbstätig","1996","1 Einkommensschwächstes Quintil","2045","0.526299420999174","0.511706069230787","0.54089277276756"
"nicht erwerbstätig","1996","2","1422","0.44455705903412","0.428882993023559","0.460231125044681"
"nicht erwerbstätig","1996","3","613","0.324043013090919","0.304953406155048","0.343132620026791"
"nicht erwerbstätig","1996","4","359","0.285373919990125","0.262877718970992","0.307870121009259"
"nicht erwerbstätig","1996","5 Einkommensstärkstes Quintil","186","0.27480557987074","0.244490020183793","0.305121139557687"
"erwerbstätig","1997","1 Einkommensschwächstes Quintil","2249","0.4710781316839","0.456095719989932","0.486060543377867"
"erwerbstätig","1997","2","2323","0.533145187751444","0.517299419942577","0.54899095556031"
"erwerbstätig","1997","3","1698","0.657995819586783","0.638828366810072","0.677163272363494"
"erwerbstätig","1997","4","1212","0.709470897207862","0.687084631117894","0.731857163297831"
"erwerbstätig","1997","5 Einkommensstärkstes Quintil","645","0.755379383712287","0.726011188031781","0.784747579392793"
"nicht erwerbstätig","1997","1 Einkommensschwächstes Quintil","2015","0.5289218683161","0.513939456622133","0.543904280010068"
"nicht erwerbstätig","1997","2","1485","0.466854812248557","0.45100904443969","0.482700580057423"
"nicht erwerbstätig","1997","3","655","0.342004180413217","0.322836727636506","0.361171633189928"
"nicht erwerbstätig","1997","4","368","0.290529102792138","0.26814283670217","0.312915368882106"
"nicht erwerbstätig","1997","5 Einkommensstärkstes Quintil","178","0.244620616287713","0.215252420607207","0.273988811968219"
"erwerbstätig","1998","1 Einkommensschwächstes Quintil","2417","0.469980487083214","0.455588758959945","0.484372215206482"
"erwerbstätig","1998","2","2448","0.528559883897616","0.513291292074051","0.543828475721181"
"erwerbstätig","1998","3","1788","0.630470540890877","0.611820270591816","0.649120811189939"
"erwerbstätig","1998","4","1419","0.696094297172979","0.675558541129497","0.716630053216461"
"erwerbstätig","1998","5 Einkommensstärkstes Quintil","783","0.7356273393444","0.708457001643407","0.762797677045392"
"nicht erwerbstätig","1998","1 Einkommensschwächstes Quintil","2203","0.530019512916786","0.515627784793517","0.544411241040055"
"nicht erwerbstätig","1998","2","1658","0.471440116102384","0.456171524278819","0.486708707925949"
"nicht erwerbstätig","1998","3","785","0.369529459109123","0.350879188810061","0.388179729408184"
"nicht erwerbstätig","1998","4","508","0.303905702827021","0.283369946783539","0.324441458870503"
"nicht erwerbstätig","1998","5 Einkommensstärkstes Quintil","229","0.264372660655601","0.237202322954608","0.291542998356593"
"erwerbstätig","1999","1 Einkommensschwächstes Quintil","2069","0.486082780136473","0.470319606506611","0.501845953766334"
"erwerbstätig","1999","2","2519","0.557137370434761","0.541931027023754","0.572343713845768"
"erwerbstätig","1999","3","1767","0.637805259850144","0.619186822567614","0.656423697132673"
"erwerbstätig","1999","4","1520","0.701981804197856","0.681956295799825","0.722007312595887"
"erwerbstätig","1999","5 Einkommensstärkstes Quintil","890","0.726630596594","0.700860273136811","0.752400920051189"
"nicht erwerbstätig","1999","1 Einkommensschwächstes Quintil","1793","0.513917219863528","0.498154046233666","0.529680393493389"
"nicht erwerbstätig","1999","2","1580","0.442862629565239","0.427656286154232","0.458068972976246"
"nicht erwerbstätig","1999","3","793","0.362194740149856","0.343576302867326","0.380813177432386"
"nicht erwerbstätig","1999","4","484","0.298018195802144","0.277992687404113","0.318043704200175"
"nicht erwerbstätig","1999","5 Einkommensstärkstes Quintil","259","0.273369403406","0.247599079948811","0.299139726863189"
"erwerbstätig","2000","1 Einkommensschwächstes Quintil","3246","0.488139935798287","0.4757673032858","0.500512568310775"
"erwerbstätig","2000","2","4007","0.551560559817699","0.539758098954673","0.563363020680725"
"erwerbstätig","2000","3","3139","0.647861319003418","0.6341447263654","0.661577911641437"
"erwerbstätig","2000","4","2822","0.708238421093156","0.69386643823376","0.722610403952551"
"erwerbstätig","2000","5 Einkommensstärkstes Quintil","1900","0.72889290792812","0.711519644774263","0.746266171081976"
"nicht erwerbstätig","2000","1 Einkommensschwächstes Quintil","3024","0.511860064201713","0.499487431689225","0.5242326967142"
"nicht erwerbstätig","2000","2","2814","0.448439440182301","0.436636979319275","0.460241901045327"
"nicht erwerbstätig","2000","3","1519","0.352138680996582","0.338422088358563","0.3658552736346"
"nicht erwerbstätig","2000","4","1021","0.291761578906844","0.277389596047449","0.30613356176624"
"nicht erwerbstätig","2000","5 Einkommensstärkstes Quintil","615","0.27110709207188","0.253733828918024","0.288480355225737"
"erwerbstätig","2001","1 Einkommensschwächstes Quintil","2738","0.492950852516935","0.479422005453458","0.506479699580411"
"erwerbstätig","2001","2","3543","0.560983022777608","0.548394451531662","0.573571594023555"
"erwerbstätig","2001","3","2975","0.630949054081947","0.616893913620437","0.645004194543457"
"erwerbstätig","2001","4","2718","0.70912151192368","0.694515109103803","0.723727914743556"
"erwerbstätig","2001","5 Einkommensstärkstes Quintil","1881","0.740185565121163","0.722866763849483","0.757504366392844"
"nicht erwerbstätig","2001","1 Einkommensschwächstes Quintil","2508","0.507049147483065","0.493520300419589","0.520577994546542"
"nicht erwerbstätig","2001","2","2427","0.439016977222392","0.426428405976445","0.451605548468338"
"nicht erwerbstätig","2001","3","1553","0.369050945918053","0.354995805456543","0.383106086379563"
"nicht erwerbstätig","2001","4","996","0.29087848807632","0.276272085256444","0.305484890896197"
"nicht erwerbstätig","2001","5 Einkommensstärkstes Quintil","582","0.259814434878837","0.242495633607156","0.277133236150517"
"erwerbstätig","2002","1 Einkommensschwächstes Quintil","2366","0.483014537006073","0.468664017760182","0.497365056251964"
"erwerbstätig","2002","2","3109","0.56421125262392","0.550909229941938","0.577513275305903"
"erwerbstätig","2002","3","2848","0.620922638338384","0.606579264326194","0.635266012350575"
"erwerbstätig","2002","4","3062","0.692122623496759","0.67819515204957","0.706050094943949"
"erwerbstätig","2002","5 Einkommensstärkstes Quintil","3401","0.735415273213928","0.722403651006871","0.748426895420985"
"nicht erwerbstätig","2002","1 Einkommensschwächstes Quintil","2292","0.516985462993927","0.502634943748036","0.531335982239818"
"nicht erwerbstätig","2002","2","2229","0.43578874737608","0.422486724694097","0.449090770058062"
"nicht erwerbstätig","2002","3","1547","0.379077361661616","0.364733987649425","0.393420735673807"
"nicht erwerbstätig","2002","4","1158","0.307877376503241","0.293949905056051","0.32180484795043"
"nicht erwerbstätig","2002","5 Einkommensstärkstes Quintil","1014","0.264584726786072","0.251573104579015","0.277596348993129"
"erwerbstätig","2003","1 Einkommensschwächstes Quintil","2168","0.463371475292254","0.44853759660863","0.478205353975879"
"erwerbstätig","2003","2","2971","0.55663269119092","0.542993156029362","0.570272226352478"
