"e11102","year","age_gr","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht erwerbstätig","1984","17-29","Westdeutschland","1203","0.337308607830452","0.32149779865311","0.353119417007795"
"nicht erwerbstätig","1984","17-29","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","30-45","Westdeutschland","930","0.235636504874146","0.222327265795279","0.248945743953013"
"nicht erwerbstätig","1984","30-45","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","46-65","Westdeutschland","1311","0.404852336341006","0.388718861865367","0.420985810816645"
"nicht erwerbstätig","1984","46-65","Ostdeutschland","","","",""
"nicht erwerbstätig","1984","66","Westdeutschland","","","",""
"nicht erwerbstätig","1984","66","Ostdeutschland","","","",""
"erwerbstätig","1984","17-29","Westdeutschland","2232","0.662691392169548","0.646880582992205","0.67850220134689"
"erwerbstätig","1984","17-29","Ostdeutschland","","","",""
"erwerbstätig","1984","30-45","Westdeutschland","2976","0.764363495125854","0.751054256046987","0.777672734204721"
"erwerbstätig","1984","30-45","Ostdeutschland","","","",""
"erwerbstätig","1984","46-65","Westdeutschland","2245","0.595147663658994","0.579014189183355","0.611281138134633"
"erwerbstätig","1984","46-65","Ostdeutschland","","","",""
"erwerbstätig","1984","66","Westdeutschland","","","",""
"erwerbstätig","1984","66","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","17-29","Westdeutschland","1105","0.330949789913499","0.314491160087255","0.347408419739743"
"nicht erwerbstätig","1985","17-29","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","30-45","Westdeutschland","819","0.223112156790717","0.209269754500848","0.236954559080586"
"nicht erwerbstätig","1985","30-45","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","46-65","Westdeutschland","1232","0.409100493085556","0.392335634788482","0.42586535138263"
"nicht erwerbstätig","1985","46-65","Ostdeutschland","","","",""
"nicht erwerbstätig","1985","66","Westdeutschland","","","",""
"nicht erwerbstätig","1985","66","Ostdeutschland","","","",""
"erwerbstätig","1985","17-29","Westdeutschland","2035","0.669050210086501","0.652591580260257","0.685508839912745"
"erwerbstätig","1985","17-29","Ostdeutschland","","","",""
"erwerbstätig","1985","30-45","Westdeutschland","2656","0.776887843209283","0.763045440919414","0.790730245499152"
"erwerbstätig","1985","30-45","Ostdeutschland","","","",""
"erwerbstätig","1985","46-65","Westdeutschland","2072","0.590899506914444","0.57413464861737","0.607664365211518"
"erwerbstätig","1985","46-65","Ostdeutschland","","","",""
"erwerbstätig","1985","66","Westdeutschland","","","",""
"erwerbstätig","1985","66","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","17-29","Westdeutschland","1003","0.302499122174444","0.28621077856629","0.318787465782599"
"nicht erwerbstätig","1986","17-29","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","30-45","Westdeutschland","756","0.218477925189107","0.204312975481005","0.232642874897209"
"nicht erwerbstätig","1986","30-45","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","46-65","Westdeutschland","1177","0.403360483037425","0.386437223713788","0.420283742361061"
"nicht erwerbstätig","1986","46-65","Ostdeutschland","","","",""
"nicht erwerbstätig","1986","66","Westdeutschland","","","",""
"nicht erwerbstätig","1986","66","Ostdeutschland","","","",""
"erwerbstätig","1986","17-29","Westdeutschland","2052","0.697500877825555","0.681212534217401","0.71378922143371"
"erwerbstätig","1986","17-29","Ostdeutschland","","","",""
"erwerbstätig","1986","30-45","Westdeutschland","2513","0.781522074810893","0.767357125102791","0.795687024518995"
"erwerbstätig","1986","30-45","Ostdeutschland","","","",""
"erwerbstätig","1986","46-65","Westdeutschland","2051","0.596639516962576","0.579716257638939","0.613562776286212"
"erwerbstätig","1986","46-65","Ostdeutschland","","","",""
"erwerbstätig","1986","66","Westdeutschland","","","",""
"erwerbstätig","1986","66","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","17-29","Westdeutschland","891","0.254184586101261","0.23862494920313","0.269744222999393"
"nicht erwerbstätig","1987","17-29","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","30-45","Westdeutschland","705","0.208273585102031","0.194133234802982","0.22241393540108"
"nicht erwerbstätig","1987","30-45","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","46-65","Westdeutschland","1152","0.387862771595812","0.371001343460045","0.40472419973158"
"nicht erwerbstätig","1987","46-65","Ostdeutschland","","","",""
"nicht erwerbstätig","1987","66","Westdeutschland","","","",""
"nicht erwerbstätig","1987","66","Ostdeutschland","","","",""
"erwerbstätig","1987","17-29","Westdeutschland","2117","0.745815413898739","0.730255777000607","0.76137505079687"
"erwerbstätig","1987","17-29","Ostdeutschland","","","",""
"erwerbstätig","1987","30-45","Westdeutschland","2463","0.791726414897969","0.77758606459892","0.805866765197018"
"erwerbstätig","1987","30-45","Ostdeutschland","","","",""
