"e11102","year","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"erwerbstätig","1984","männlich","4636","0.729575530213158","0.718292174676703","0.740858885749612"
"erwerbstätig","1984","weiblich","2881","0.412375289863735","0.400132971526057","0.424617608201412"
"nicht erwerbstätig","1984","männlich","1317","0.270424469786842","0.259141114250388","0.281707825323297"
"nicht erwerbstätig","1984","weiblich","3330","0.587624710136265","0.575382391798587","0.599867028473943"
"erwerbstätig","1985","männlich","4181","0.72023816909517","0.708281195707603","0.732195142482737"
"erwerbstätig","1985","weiblich","2627","0.420723074641538","0.407807000171953","0.433639149111123"
"nicht erwerbstätig","1985","männlich","1233","0.27976183090483","0.267804857517263","0.291718804292397"
"nicht erwerbstätig","1985","weiblich","2985","0.579276925358462","0.566360850888877","0.592192999828047"
"erwerbstätig","1986","männlich","4054","0.725423123115022","0.713328748711869","0.737517497518175"
"erwerbstätig","1986","weiblich","2604","0.432632443522097","0.419359054290081","0.445905832754113"
"nicht erwerbstätig","1986","männlich","1177","0.274576876884978","0.262482502481825","0.286671251288131"
"nicht erwerbstätig","1986","weiblich","2748","0.567367556477903","0.554094167245887","0.580640945709919"
"erwerbstätig","1987","männlich","4045","0.735740105334532","0.723723088300855","0.747757122368209"
"erwerbstätig","1987","weiblich","2635","0.451132207073431","0.437710216789024","0.464554197357837"
"nicht erwerbstätig","1987","männlich","1127","0.264259894665468","0.252242877631791","0.276276911699145"
"nicht erwerbstätig","1987","weiblich","2645","0.548867792926569","0.535445802642163","0.562289783210976"
"erwerbstätig","1988","männlich","3853","0.731258117640654","0.718883617672905","0.743632617608404"
"erwerbstätig","1988","weiblich","2572","0.462749937408367","0.448984365972517","0.476515508844217"
"nicht erwerbstätig","1988","männlich","1077","0.268741882359345","0.256367382391596","0.281116382327095"
"nicht erwerbstätig","1988","weiblich","2468","0.537250062591633","0.523484491155783","0.551015634027483"
"erwerbstätig","1989","männlich","3703","0.728272533771359","0.715636443045041","0.740908624497676"
"erwerbstätig","1989","weiblich","2544","0.466026684174535","0.452060720458635","0.479992647890434"
"nicht erwerbstätig","1989","männlich","1058","0.271727466228641","0.259091375502324","0.284363556954959"
"nicht erwerbstätig","1989","weiblich","2357","0.533973315825465","0.520007352109566","0.547939279541365"
"erwerbstätig","1990","männlich","3610","0.739090241980777","0.726484864614475","0.751695619347079"
"erwerbstätig","1990","weiblich","2539","0.482339126453275","0.468201658523955","0.496476594382596"
"nicht erwerbstätig","1990","männlich","1052","0.260909758019223","0.248304380652921","0.273515135385525"
"nicht erwerbstätig","1990","weiblich","2260","0.517660873546725","0.503523405617404","0.531798341476046"
"erwerbstätig","1991","männlich","3599","0.737321125746354","0.724648755507893","0.749993495984816"
"erwerbstätig","1991","weiblich","2569","0.488652212986501","0.474474064237535","0.502830361735466"
"nicht erwerbstätig","1991","männlich","1034","0.262678874253646","0.250006504015184","0.275351244492108"
"nicht erwerbstätig","1991","weiblich","2206","0.511347787013499","0.497169638264534","0.525525935762465"
"erwerbstätig","1992","männlich","5098","0.743412323860954","0.7327644281727","0.754060219549208"
"erwerbstätig","1992","weiblich","3983","0.510791331547623","0.498956105525757","0.522626557569489"
"nicht erwerbstätig","1992","männlich","1365","0.256587676139046","0.245939780450793","0.267235571827299"
"nicht erwerbstätig","1992","weiblich","2870","0.489208668452377","0.477373442430511","0.501043894474243"
