"e11102","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"erwerbstätig","1985","(Fach-)Abitur","Laendlicher Raum","65","0.531937787636139","0.439111963546353","0.624763611725925"
"erwerbstätig","1985","(Fach-)Abitur","Staedtischer Raum","404","0.57415013901976","0.536875303554573","0.611424974484946"
"erwerbstätig","1985","(noch) kein Abschluss","Laendlicher Raum","60","0.202188490034926","0.136816387512103","0.26756059255775"
"erwerbstätig","1985","(noch) kein Abschluss","Staedtischer Raum","488","0.331385344326041","0.301326157037701","0.361444531614382"
"erwerbstätig","1985","AkademikerIn","Laendlicher Raum","92","0.702861075451067","0.621768200862504","0.78395395003963"
"erwerbstätig","1985","AkademikerIn","Staedtischer Raum","513","0.788457525767169","0.756642360963369","0.820272690570969"
"erwerbstätig","1985","Hauptschule","Laendlicher Raum","923","0.525948431445253","0.501217721249904","0.550679141640601"
"erwerbstätig","1985","Hauptschule","Staedtischer Raum","2995","0.537434447376602","0.523438246254448","0.551430648498755"
"erwerbstätig","1985","Realschule","Laendlicher Raum","270","0.62273069462843","0.575698647529946","0.669762741726913"
"erwerbstätig","1985","Realschule","Staedtischer Raum","918","0.619775701341967","0.594410503807544","0.645140898876391"
"nicht erwerbstätig","1985","(Fach-)Abitur","Laendlicher Raum","46","0.468062212363861","0.375236388274075","0.560888036453647"
"nicht erwerbstätig","1985","(Fach-)Abitur","Staedtischer Raum","272","0.42584986098024","0.388575025515054","0.463124696445427"
"nicht erwerbstätig","1985","(noch) kein Abschluss","Laendlicher Raum","85","0.797811509965074","0.73243940744225","0.863183612487897"
"nicht erwerbstätig","1985","(noch) kein Abschluss","Staedtischer Raum","454","0.668614655673959","0.638555468385618","0.698673842962299"
"nicht erwerbstätig","1985","AkademikerIn","Laendlicher Raum","30","0.297138924548933","0.21604604996037","0.378231799137496"
"nicht erwerbstätig","1985","AkademikerIn","Staedtischer Raum","120","0.211542474232831","0.179727309429032","0.243357639036631"
"nicht erwerbstätig","1985","Hauptschule","Laendlicher Raum","643","0.474051568554747","0.449320858359399","0.498782278750095"
"nicht erwerbstätig","1985","Hauptschule","Staedtischer Raum","1880","0.462565552623398","0.448569351501245","0.476561753745552"
"nicht erwerbstätig","1985","Realschule","Laendlicher Raum","138","0.37726930537157","0.330237258273087","0.424301352470053"
"nicht erwerbstätig","1985","Realschule","Staedtischer Raum","489","0.380224298658033","0.354859101123609","0.405589496192456"
"erwerbstätig","1986","(Fach-)Abitur","Laendlicher Raum","76","0.580381217206583","0.492811830122473","0.667950604290692"
"erwerbstätig","1986","(Fach-)Abitur","Staedtischer Raum","415","0.582417946779678","0.545513872109876","0.619322021449479"
"erwerbstätig","1986","(noch) kein Abschluss","Laendlicher Raum","62","0.288299301191798","0.209827504348724","0.366771098034873"
"erwerbstätig","1986","(noch) kein Abschluss","Staedtischer Raum","445","0.347530153877269","0.316419917894385","0.378640389860152"
"erwerbstätig","1986","AkademikerIn","Laendlicher Raum","97","0.717327058086257","0.638387660021025","0.796266456151489"
"erwerbstätig","1986","AkademikerIn","Staedtischer Raum","508","0.788188381086352","0.756129696382796","0.820247065789908"
"erwerbstätig","1986","Hauptschule","Laendlicher Raum","899","0.54735948416123","0.521940408495895","0.572778559826565"
"erwerbstätig","1986","Hauptschule","Staedtischer Raum","2883","0.535666917795173","0.521281238308521","0.550052597281826"
"erwerbstätig","1986","Realschule","Laendlicher Raum","273","0.65359814116775","0.606494924217112","0.700701358118388"
"erwerbstätig","1986","Realschule","Staedtischer Raum","911","0.622008543430877","0.596425764691028","0.647591322170726"
"nicht erwerbstätig","1986","(Fach-)Abitur","Laendlicher Raum","46","0.419618782793417","0.332049395709307","0.507188169877526"
"nicht erwerbstätig","1986","(Fach-)Abitur","Staedtischer Raum","271","0.417582053220322","0.380677978550521","0.454486127890124"
"nicht erwerbstätig","1986","(noch) kein Abschluss","Laendlicher Raum","66","0.711700698808202","0.633228901965127","0.790172495651276"
"nicht erwerbstätig","1986","(noch) kein Abschluss","Staedtischer Raum","455","0.652469846122731","0.621359610139848","0.683580082105614"
"nicht erwerbstätig","1986","AkademikerIn","Laendlicher Raum","28","","",""
"nicht erwerbstätig","1986","AkademikerIn","Staedtischer Raum","116","0.211811618913648","0.179752934210092","0.243870303617204"
"nicht erwerbstätig","1986","Hauptschule","Laendlicher Raum","574","0.45264051583877","0.427221440173435","0.478059591504105"
"nicht erwerbstätig","1986","Hauptschule","Staedtischer Raum","1734","0.464333082204827","0.449947402718174","0.478718761691479"
"nicht erwerbstätig","1986","Realschule","Laendlicher Raum","119","0.34640185883225","0.299298641881612","0.393505075782888"
"nicht erwerbstätig","1986","Realschule","Staedtischer Raum","469","0.377991456569123","0.352408677829273","0.403574235308972"
