year,sampreg,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2010,East,female,2156,164.47804438904453,164.10184674932444,164.8253426596598,160.0,165.0,168.0,148.0,180.0,165.0,165.0,166.0
2011,West,male,,,,,,,,,,,,
2011,West,female,,,,,,,,,,,,
2011,East,male,,,,,,,,,,,,
2011,East,female,,,,,,,,,,,,
2012,West,male,7560,178.26902215528057,178.0566300225567,178.51221931306844,173.0,178.0,183.0,158.0,198.0,178.0,178.0,178.0
2012,West,female,8496,165.2224330007472,165.04715239824387,165.39941630403342,160.0,165.0,170.0,145.0,185.0,165.0,165.0,165.0
2012,East,male,2325,177.83134456910045,177.44101410249127,178.255996987792,173.0,178.0,182.0,159.5,195.5,178.0,178.0,178.0
2012,East,female,2571,164.65508655804427,164.34333636566004,164.97428699314568,160.0,165.0,169.0,146.5,182.5,165.0,165.0,166.0
2013,West,male,,,,,,,,,,,,
2013,West,female,,,,,,,,,,,,
2013,East,male,,,,,,,,,,,,
2013,East,female,,,,,,,,,,,,
2014,West,male,10103,178.49886603601823,178.274674859091,178.7136787993964,174.0,178.0,183.0,160.5,196.5,178.0,178.0,178.0
2014,West,female,11812,165.46523342425127,165.28152418678343,165.6258981522518,160.0,165.0,170.0,145.0,185.0,165.0,165.0,165.0
2014,East,male,2580,178.11865238402,177.7139347598705,178.5936469294503,173.0,178.0,183.0,158.0,198.0,178.0,178.0,178.0
2014,East,female,3072,164.62252151744576,164.20931846048117,164.96078963155608,160.0,165.0,169.0,146.5,182.5,165.0,165.0,166.0
2015,West,male,,,,,,,,,,,,
2015,West,female,,,,,,,,,,,,
2015,East,male,,,,,,,,,,,,
2015,East,female,,,,,,,,,,,,
2016,West,male,8945,178.71436070755172,178.5081621781124,178.99078300362268,174.0,178.0,184.0,159.0,199.0,178.0,177.0,178.0
2016,West,female,10524,165.55678100713655,165.35441569090602,165.76787580707443,161.0,165.0,170.0,147.5,183.5,165.0,165.0,165.0
2016,East,male,2323,178.08509881656,177.5991563238278,178.53629334986158,173.0,178.0,183.0,158.0,198.0,178.0,178.0,178.0
2016,East,female,2786,164.77355112157355,164.36581760092193,165.13817267800744,160.0,165.0,169.0,146.5,182.5,165.0,165.0,166.0
2017,West,male,,,,,,,,,,,,
2017,West,female,,,,,,,,,,,,
2017,East,male,,,,,,,,,,,,
2017,East,female,,,,,,,,,,,,
2018,West,male,11079,178.88085091592572,178.68418081997598,179.14253961282247,174.0,178.0,184.0,159.0,199.0,178.0,177.0,178.0
