year,quintil_oecd,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,1st Quintile,"No, definitely not",0.35808,923,1567,0.33433,0.38182
1994,1st Quintile,Probably not,0.01618,68,1567,0.00993,0.02243
1994,1st Quintile,Probably,0.03631,142,1567,0.02705,0.04558
1994,1st Quintile,"Yes, definitely",0.11526,434,1567,0.09944,0.13108
1994,2nd Quintile,"No, definitely not",0.29625,768,1250,0.27093,0.32157
1994,2nd Quintile,Probably not,0.01821,58,1250,0.01080,0.02563
1994,2nd Quintile,Probably,0.03187,127,1250,0.02213,0.04161
1994,2nd Quintile,"Yes, definitely",0.07435,297,1250,0.05981,0.08890
1994,3rd Quintile,"No, definitely not",0.23963,566,946,0.21241,0.26684
1994,3rd Quintile,Probably not,0.01460,43,946,0.00696,0.02225
1994,3rd Quintile,Probably,0.02362,85,946,0.01393,0.03330
1994,3rd Quintile,"Yes, definitely",0.06578,252,946,0.04998,0.08159
1994,4th Quintile,"No, definitely not",0.19825,460,766,0.17000,0.22650
1994,4th Quintile,Probably not,0.01287,42,766,0.00489,0.02086
1994,4th Quintile,Probably,0.01873,65,766,0.00912,0.02833
1994,4th Quintile,"Yes, definitely",0.05826,199,766,0.04166,0.07486
1994,5th Quintile,"No, definitely not",0.17271,376,598,0.14239,0.20303
1994,5th Quintile,Probably not,0.01423,38,598,0.00473,0.02373
1994,5th Quintile,Probably,0.01722,56,598,0.00678,0.02765
1994,5th Quintile,"Yes, definitely",0.03979,128,598,0.02411,0.05547
1995,1st Quintile,"No, definitely not",0.29407,803,1520,0.27116,0.31699
1995,1st Quintile,Probably not,0.01789,76,1520,0.01122,0.02456
1995,1st Quintile,Probably,0.04260,180,1520,0.03245,0.05276
1995,1st Quintile,"Yes, definitely",0.12316,461,1520,0.10663,0.13968
1995,2nd Quintile,"No, definitely not",0.31070,817,1340,0.28592,0.33549
1995,2nd Quintile,Probably not,0.01671,66,1340,0.00984,0.02357
