year,migback,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,No migration background,"No, definitely not",0.25720,2411,3965,0.24360,0.27081
1994,No migration background,Probably not,0.01597,199,3965,0.01207,0.01987
1994,No migration background,Probably,0.02489,350,3965,0.02004,0.02974
1994,No migration background,"Yes, definitely",0.06957,1005,3965,0.06165,0.07749
1994,Direct migration background,"No, definitely not",0.32725,653,980,0.29785,0.35664
1994,Direct migration background,Probably not,0.01470,45,980,0.00716,0.02224
1994,Direct migration background,Probably,0.03751,102,980,0.02561,0.04941
1994,Direct migration background,"Yes, definitely",0.07121,180,980,0.05510,0.08732
1994,Indirect migration background,"No, definitely not",0.02714,32,159,0.00180,0.05247
1994,Indirect migration background,"Yes, definitely",0.09015,127,159,0.04549,0.13480
1995,No migration background,"No, definitely not",0.25779,2362,3868,0.24400,0.27157
1995,No migration background,Probably not,0.01821,230,3868,0.01399,0.02242
1995,No migration background,Probably,0.02432,335,3868,0.01946,0.02917
1995,No migration background,"Yes, definitely",0.06372,941,3868,0.05602,0.07142
1995,Direct migration background,"No, definitely not",0.29107,715,1208,0.26545,0.31670
1995,Direct migration background,Probably not,0.01096,43,1208,0.00509,0.01684
1995,Direct migration background,Probably,0.04248,153,1208,0.03110,0.05386
1995,Direct migration background,"Yes, definitely",0.10586,297,1208,0.08850,0.12322
1995,Indirect migration background,"No, definitely not",0.03724,39,160,0.00781,0.06667
1995,Indirect migration background,"Yes, definitely",0.07153,121,160,0.03147,0.11159
1996,No migration background,"No, definitely not",0.26169,2374,3891,0.24787,0.27550
1996,No migration background,Probably not,0.01737,206,3891,0.01326,0.02148
1996,No migration background,Probably,0.02456,355,3891,0.01970,0.02943
1996,No migration background,"Yes, definitely",0.06656,956,3891,0.05872,0.07439
1996,Direct migration background,"No, definitely not",0.29457,706,1151,0.26823,0.32092
1996,Direct migration background,Probably not,0.01594,45,1151,0.00870,0.02317
1996,Direct migration background,Probably,0.04723,126,1151,0.03497,0.05949
1996,Direct migration background,"Yes, definitely",0.09946,274,1151,0.08216,0.11675
1996,Indirect migration background,"No, definitely not",0.03634,36,215,0.01127,0.06142
1996,Indirect migration background,Probably,0.01693,33,215,-0.00036,0.03421
1996,Indirect migration background,"Yes, definitely",0.08756,146,215,0.04969,0.12544
1997,No migration background,"No, definitely not",0.26539,2403,3903,0.25154,0.27924
1997,No migration background,Probably not,0.01845,215,3903,0.01423,0.02267
1997,No migration background,Probably,0.02745,358,3903,0.02233,0.03258
1997,No migration background,"Yes, definitely",0.06575,927,3903,0.05797,0.07353
1997,Direct migration background,"No, definitely not",0.29461,678,1127,0.26798,0.32124
1997,Direct migration background,Probably not,0.01858,61,1127,0.01069,0.02647
1997,Direct migration background,Probably,0.04432,129,1127,0.03230,0.05634
1997,Direct migration background,"Yes, definitely",0.09673,259,1127,0.07947,0.11400
1997,Indirect migration background,"No, definitely not",0.03561,36,181,0.00854,0.06269
