year,age_gr,bula_h,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,17-29 y.,Lower Saxony,"Yes, definitely",0.20893,60,60,0.10519,0.31267
1994,17-29 y.,North Rhine-Westphalia,Probably,0.05518,41,223,0.02515,0.08522
1994,17-29 y.,North Rhine-Westphalia,"Yes, definitely",0.28011,182,223,0.22104,0.33918
1994,17-29 y.,Hesse,"Yes, definitely",0.24314,54,54,0.12764,0.35863
1994,17-29 y.,"Rhineland-Palatinate, Saarland","Yes, definitely",0.26321,34,34,0.11296,0.41346
1994,17-29 y.,Baden-Wuerttemberg,"No, definitely not",0.02578,31,184,0.00282,0.04874
1994,17-29 y.,Baden-Wuerttemberg,Probably,0.05635,35,184,0.02294,0.08977
1994,17-29 y.,Baden-Wuerttemberg,"Yes, definitely",0.25315,118,184,0.19015,0.31614
1994,17-29 y.,Bavaria,"Yes, definitely",0.18582,67,67,0.09198,0.27966
1994,17-29 y.,Berlin,"Yes, definitely",0.27942,42,42,0.14207,0.41677
1994,17-29 y.,Brandenburg,"Yes, definitely",0.21206,36,36,0.07663,0.34748
1994,17-29 y.,Mecklenburg-Western Pomerania,"Yes, definitely",0.29379,32,32,0.13345,0.45414
1994,17-29 y.,Saxony,"Yes, definitely",0.30361,73,73,0.19740,0.40982
1994,17-29 y.,Saxony-Anhalt,"Yes, definitely",0.22600,39,39,0.09302,0.35897
1994,17-29 y.,Thuringa,"Yes, definitely",0.32068,46,46,0.18431,0.45705
1994,30-45 y.,North Rhine-Westphalia,"No, definitely not",0.05659,55,171,0.02186,0.09132
1994,30-45 y.,North Rhine-Westphalia,Probably,0.06245,55,171,0.02607,0.09882
1994,30-45 y.,North Rhine-Westphalia,"Yes, definitely",0.06380,61,171,0.02706,0.10054
1994,30-45 y.,Baden-Wuerttemberg,"No, definitely not",0.07053,38,75,0.01219,0.12886
1994,30-45 y.,Baden-Wuerttemberg,"Yes, definitely",0.05652,37,75,0.00390,0.10913
1994,30-45 y.,Bavaria,"Yes, definitely",0.07546,31,31,-0.01906,0.16997
1994,30-45 y.,Brandenburg,"Yes, definitely",0.12494,31,31,0.00662,0.24326
1994,30-45 y.,Saxony,"Yes, definitely",0.13754,47,47,0.03801,0.23708
1994,30-45 y.,Saxony-Anhalt,"Yes, definitely",0.16827,34,34,0.04063,0.29592
1994,30-45 y.,Thuringa,"Yes, definitely",0.16163,33,33,0.03409,0.28917
1994,46-65 y.,Lower Saxony,"No, definitely not",0.36127,110,110,0.27109,0.45145
1994,46-65 y.,North Rhine-Westphalia,"No, definitely not",0.36925,251,251,0.30942,0.42907
1994,46-65 y.,Hesse,"No, definitely not",0.32614,93,93,0.23034,0.42193
1994,46-65 y.,"Rhineland-Palatinate, Saarland","No, definitely not",0.38641,72,72,0.27314,0.49967
1994,46-65 y.,Baden-Wuerttemberg,"No, definitely not",0.31680,160,160,0.24448,0.38911
1994,46-65 y.,Bavaria,"No, definitely not",0.32343,141,141,0.24594,0.40091
1994,46-65 y.,Berlin,"No, definitely not",0.30970,61,61,0.19270,0.42669
1994,46-65 y.,Brandenburg,"No, definitely not",0.38786,64,64,0.26753,0.50818
1994,46-65 y.,Mecklenburg-Western Pomerania,"No, definitely not",0.39864,49,49,0.26012,0.53715
1994,46-65 y.,Saxony,"No, definitely not",0.38253,125,125,0.29699,0.46808
1994,46-65 y.,Saxony-Anhalt,"No, definitely not",0.39290,84,84,0.28783,0.49797
1994,46-65 y.,Thuringa,"No, definitely not",0.42834,74,74,0.31482,0.54186
1994,66 and older,Schleswig-Holstein,"No, definitely not",0.94011,33,33,0.85790,1.02232
1994,66 and older,Hamburg,"No, definitely not",0.97024,31,31,0.90944,1.03105
1994,66 and older,Lower Saxony,"No, definitely not",0.96536,115,115,0.93179,0.99893
1994,66 and older,North Rhine-Westphalia,"No, definitely not",0.95196,257,257,0.92577,0.97816
1994,66 and older,Hesse,"No, definitely not",0.96918,110,110,0.93673,1.00162
1994,66 and older,"Rhineland-Palatinate, Saarland","No, definitely not",0.98914,95,95,0.96818,1.01009
1994,66 and older,Baden-Wuerttemberg,"No, definitely not",0.92260,162,162,0.88132,0.96388
1994,66 and older,Bavaria,"No, definitely not",0.91165,179,179,0.86996,0.95334
1994,66 and older,Berlin,"No, definitely not",0.91470,48,48,0.83484,0.99456
1994,66 and older,Saxony,"No, definitely not",0.95826,128,128,0.92348,0.99304
1994,66 and older,Saxony-Anhalt,"No, definitely not",0.99065,70,70,0.96795,1.01336
1994,66 and older,Thuringa,"No, definitely not",0.99097,74,74,0.96927,1.01267
1995,17-29 y.,Lower Saxony,"Yes, definitely",0.28076,78,78,0.18039,0.38114
1995,17-29 y.,North Rhine-Westphalia,"No, definitely not",0.05734,46,251,0.02852,0.08616
1995,17-29 y.,North Rhine-Westphalia,Probably,0.04636,37,251,0.02030,0.07243
1995,17-29 y.,North Rhine-Westphalia,"Yes, definitely",0.25296,168,251,0.19907,0.30685
1995,17-29 y.,Hesse,"Yes, definitely",0.24213,43,43,0.11257,0.37168
1995,17-29 y.,"Rhineland-Palatinate, Saarland","Yes, definitely",0.30960,47,47,0.17600,0.44321
1995,17-29 y.,Baden-Wuerttemberg,"No, definitely not",0.03176,32,175,0.00570,0.05781
1995,17-29 y.,Baden-Wuerttemberg,Probably,0.07158,34,175,0.03328,0.10989
1995,17-29 y.,Baden-Wuerttemberg,"Yes, definitely",0.21265,109,175,0.15185,0.27345
1995,17-29 y.,Bavaria,"Yes, definitely",0.22539,94,94,0.14047,0.31032
1995,17-29 y.,Berlin,"Yes, definitely",0.28251,41,41,0.14298,0.42203
1995,17-29 y.,Brandenburg,"Yes, definitely",0.21809,33,33,0.07501,0.36117
1995,17-29 y.,Saxony,"Yes, definitely",0.24554,62,62,0.13753,0.35355
1995,17-29 y.,Saxony-Anhalt,"Yes, definitely",0.17399,34,34,0.04465,0.30334
1995,17-29 y.,Thuringa,"Yes, definitely",0.26961,43,43,0.13540,0.40382
1995,30-45 y.,Lower Saxony,"Yes, definitely",0.10899,33,33,0.00102,0.21697
1995,30-45 y.,North Rhine-Westphalia,"No, definitely not",0.06223,64,196,0.02832,0.09614
1995,30-45 y.,North Rhine-Westphalia,Probably,0.05103,51,196,0.02015,0.08192
