year,age_gr,bula_h,ple0020,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,Schleswig-Holstein,No,0.93000,84,84,0.87510,0.98489
2009,17-29 y.,Hamburg,No,0.97791,58,58,0.93975,1.01607
2009,17-29 y.,Lower Saxony,No,0.96403,226,226,0.93969,0.98836
2009,17-29 y.,North Rhine-Westphalia,No,0.92193,537,537,0.89922,0.94465
2009,17-29 y.,Hesse,No,0.94246,188,188,0.90908,0.97584
2009,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.86179,156,156,0.80746,0.91612
2009,17-29 y.,Baden-Wuerttemberg,No,0.93006,401,401,0.90507,0.95506
2009,17-29 y.,Bavaria,No,0.92154,410,410,0.89549,0.94760
2009,17-29 y.,Berlin,No,0.92543,119,119,0.87803,0.97283
2009,17-29 y.,Brandenburg,No,0.95978,106,106,0.92220,0.99736
2009,17-29 y.,Mecklenburg-Western Pomerania,No,0.96754,61,61,0.92270,1.01238
2009,17-29 y.,Saxony,No,0.97459,227,227,0.95408,0.99511
2009,17-29 y.,Saxony-Anhalt,No,0.98068,135,135,0.95738,1.00399
2009,17-29 y.,Thuringa,No,0.95919,132,132,0.92530,0.99307
2009,30-45 y.,Lower Saxony,No,0.99876,452,452,0.99552,1.00201
2009,30-45 y.,Saxony-Anhalt,No,0.98312,170,170,0.96370,1.00254
2009,46-65 y.,North Rhine-Westphalia,No,0.99946,1237,1237,0.99816,1.00076
2009,46-65 y.,Hesse,No,0.99341,462,462,0.98602,1.00079
2009,46-65 y.,Baden-Wuerttemberg,No,0.98877,675,675,0.98081,0.99672
2009,46-65 y.,Bavaria,No,0.99584,918,918,0.99168,1.00001
2009,66 and older,Schleswig-Holstein,No,0.99573,136,136,0.98473,1.00673
2009,66 and older,Lower Saxony,No,0.99379,419,419,0.98626,1.00132
2009,66 and older,North Rhine-Westphalia,No,0.99210,847,847,0.98614,0.99807
2009,66 and older,Hesse,No,0.97572,245,245,0.95641,0.99504
2009,66 and older,"Rhineland-Palatinate, Saarland",No,0.98677,218,218,0.97157,1.00197
2009,66 and older,Baden-Wuerttemberg,No,0.98247,441,441,0.97020,0.99473
2009,66 and older,Bavaria,No,0.99524,554,554,0.98951,1.00098
2009,66 and older,Berlin,No,0.96926,144,144,0.94097,0.99755
2009,66 and older,Brandenburg,No,0.97958,213,213,0.96054,0.99862
2009,66 and older,Mecklenburg-Western Pomerania,No,0.99170,107,107,0.97442,1.00897
2009,66 and older,Saxony,No,0.99567,321,321,0.98848,1.00286
2009,66 and older,Saxony-Anhalt,No,0.99657,180,180,0.98799,1.00514
2009,66 and older,Thuringa,No,0.98716,204,204,0.97167,1.00265
2011,17-29 y.,Schleswig-Holstein,No,0.83556,123,123,0.76978,0.90133
2011,17-29 y.,Hamburg,No,0.81413,49,49,0.70408,0.92418
2011,17-29 y.,Lower Saxony,No,0.79559,247,247,0.74519,0.84598
2011,17-29 y.,North Rhine-Westphalia,No,0.82071,608,608,0.79020,0.85123
2011,17-29 y.,Hesse,No,0.84350,192,192,0.79197,0.89502
2011,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.86126,176,176,0.81004,0.91247
2011,17-29 y.,Baden-Wuerttemberg,No,0.84867,405,405,0.81372,0.88361
2011,17-29 y.,Bavaria,No,0.83621,440,440,0.80159,0.87083
2011,17-29 y.,Berlin,No,0.85275,107,107,0.78529,0.92021
