year,migback,ple0020,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Yes,0.00271,41,15653,0.00190,0.00353
2009,No migration background,No,0.85425,15612,15653,0.84873,0.85978
2009,Direct migration background,No,0.96913,1652,1652,0.96079,0.97747
2009,Indirect migration background,No,0.52976,706,706,0.49292,0.56660
2011,No migration background,Yes,0.00251,49,17940,0.00178,0.00325
2011,No migration background,No,0.78930,17891,17940,0.78333,0.79527
2011,Direct migration background,No,0.82410,2006,2006,0.80743,0.84076
2011,Indirect migration background,No,0.39963,790,790,0.36545,0.43381
2013,No migration background,Yes,0.00244,48,16436,0.00168,0.00319
2013,No migration background,No,0.78907,16388,16436,0.78284,0.79531
2013,Direct migration background,No,0.49816,1720,1720,0.47453,0.52180
2013,Indirect migration background,No,0.24211,700,700,0.21035,0.27386
2015,No migration background,Yes,0.00341,55,19063,0.00258,0.00424
2015,No migration background,No,0.85685,19008,19063,0.85188,0.86182
2015,Direct migration background,No,0.83276,4406,4406,0.82174,0.84379
2015,Indirect migration background,No,0.48191,1561,1561,0.45712,0.50671
2017,No migration background,Yes,0.00347,53,20158,0.00266,0.00428
2017,No migration background,No,0.85665,20105,20158,0.85181,0.86148
2017,Direct migration background,No,0.90119,4746,4746,0.89270,0.90968
2017,Indirect migration background,No,0.50676,1635,1635,0.48252,0.53100
2019,No migration background,Yes,0.00345,69,20183,0.00264,0.00425
2019,No migration background,No,0.85528,20114,20183,0.85043,0.86013
2019,Direct migration background,No,0.89748,3952,3952,0.88802,0.90694
2019,Indirect migration background,No,0.51291,1577,1577,0.48823,0.53759
2021,No migration background,Yes,0.00244,31,13109,0.00160,0.00329
2021,No migration background,No,0.84546,13078,13109,0.83928,0.85165
2021,Direct migration background,No,0.92126,5107,5107,0.91387,0.92864
2021,Indirect migration background,No,0.47610,935,935,0.44407,0.50813
