year,age_gr,migback,plh0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,17-29 y.,No migration background,Seldom,0.04988,132,2662,0.04161,0.05815
2007,17-29 y.,No migration background,Sometimes,0.24289,665,2662,0.22660,0.25919
2007,17-29 y.,No migration background,Often,0.46119,1435,2662,0.44225,0.48013
2007,17-29 y.,No migration background,Very often,0.15193,430,2662,0.13829,0.16557
2007,17-29 y.,Direct migration background,Sometimes,0.24607,63,247,0.19225,0.29990
2007,17-29 y.,Direct migration background,Often,0.46940,140,247,0.40703,0.53176
2007,17-29 y.,Direct migration background,Very often,0.12830,44,247,0.08650,0.17009
2007,17-29 y.,Indirect migration background,Sometimes,0.28620,143,412,0.24250,0.32989
2007,17-29 y.,Indirect migration background,Often,0.42946,202,412,0.38160,0.47731
2007,17-29 y.,Indirect migration background,Very often,0.12495,67,412,0.09298,0.15692
2007,30-45 y.,No migration background,Very seldom,0.02213,74,4738,0.01794,0.02632
2007,30-45 y.,No migration background,Seldom,0.08525,365,4738,0.07730,0.09321
2007,30-45 y.,No migration background,Sometimes,0.30365,1407,4738,0.29055,0.31674
2007,30-45 y.,No migration background,Often,0.49027,2434,4738,0.47604,0.50451
2007,30-45 y.,No migration background,Very often,0.09578,458,4738,0.08740,0.10416
2007,30-45 y.,Direct migration background,Very seldom,0.04259,31,683,0.02743,0.05775
2007,30-45 y.,Direct migration background,Seldom,0.09987,56,683,0.07737,0.12237
2007,30-45 y.,Direct migration background,Sometimes,0.35149,250,683,0.31566,0.38732
2007,30-45 y.,Direct migration background,Often,0.39743,290,683,0.36071,0.43416
2007,30-45 y.,Direct migration background,Very often,0.10369,56,683,0.08081,0.12657
2007,30-45 y.,Indirect migration background,Sometimes,0.30429,84,244,0.24644,0.36214
2007,30-45 y.,Indirect migration background,Often,0.43613,127,244,0.37377,0.49848
2007,30-45 y.,Indirect migration background,Very often,0.16026,33,244,0.11413,0.20638
2007,46-65 y.,No migration background,Very seldom,0.03365,160,6205,0.02916,0.03814
2007,46-65 y.,No migration background,Seldom,0.10993,607,6205,0.10215,0.11772
2007,46-65 y.,No migration background,Sometimes,0.39791,2388,6205,0.38574,0.41009
2007,46-65 y.,No migration background,Often,0.40407,2725,6205,0.39186,0.41629
2007,46-65 y.,No migration background,Very often,0.05050,325,6205,0.04505,0.05595
2007,46-65 y.,Direct migration background,Seldom,0.16248,110,755,0.13615,0.18881
2007,46-65 y.,Direct migration background,Sometimes,0.42033,340,755,0.38510,0.45557
2007,46-65 y.,Direct migration background,Often,0.32965,273,755,0.29609,0.36320
2007,46-65 y.,Direct migration background,Very often,0.04170,32,755,0.02743,0.05597
2007,66 and older,No migration background,Very seldom,0.04376,162,3932,0.03737,0.05016
2007,66 and older,No migration background,Seldom,0.14209,508,3932,0.13118,0.15301
2007,66 and older,No migration background,Sometimes,0.39730,1553,3932,0.38200,0.41259
2007,66 and older,No migration background,Often,0.35944,1498,3932,0.34444,0.37444
2007,66 and older,No migration background,Very often,0.04875,211,3932,0.04202,0.05548
2007,66 and older,Direct migration background,Seldom,0.19154,65,336,0.14940,0.23368
2007,66 and older,Direct migration background,Sometimes,0.42378,163,336,0.37086,0.47670
2007,66 and older,Direct migration background,Often,0.26506,108,336,0.21780,0.31233
2008,17-29 y.,No migration background,Seldom,0.05068,135,2468,0.04202,0.05933
2008,17-29 y.,No migration background,Sometimes,0.27171,692,2468,0.25415,0.28926
2008,17-29 y.,No migration background,Often,0.47249,1290,2468,0.45279,0.49219
2008,17-29 y.,No migration background,Very often,0.12176,351,2468,0.10886,0.13467
2008,17-29 y.,Direct migration background,Sometimes,0.34427,69,211,0.28001,0.40853
2008,17-29 y.,Direct migration background,Often,0.46113,106,211,0.39371,0.52855
