year,regtyp,plh0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Urban regions,Very seldom,0.02805,366,13398,0.02526,0.03085
2007,Urban regions,Seldom,0.08930,1230,13398,0.08447,0.09413
2007,Urban regions,Sometimes,0.28931,4604,13398,0.28163,0.29699
2007,Urban regions,Often,0.35197,6070,13398,0.34388,0.36006
2007,Urban regions,Very often,0.07010,1128,13398,0.06578,0.07443
2007,Rural regions,Very seldom,0.01969,153,7042,0.01644,0.02293
2007,Rural regions,Seldom,0.08727,682,7042,0.08068,0.09387
2007,Rural regions,Sometimes,0.30737,2476,7042,0.29659,0.31814
2007,Rural regions,Often,0.35772,3182,7042,0.34652,0.36891
2007,Rural regions,Very often,0.06530,549,7042,0.05952,0.07107
2008,Urban regions,Very seldom,0.02727,328,12616,0.02443,0.03012
2008,Urban regions,Seldom,0.08737,1128,12616,0.08244,0.09229
2008,Urban regions,Sometimes,0.29598,4343,12616,0.28802,0.30395
2008,Urban regions,Often,0.35657,5778,12616,0.34821,0.36492
2008,Urban regions,Very often,0.06479,1039,12616,0.06049,0.06908
2008,Rural regions,Very seldom,0.02352,157,6624,0.01987,0.02717
2008,Rural regions,Seldom,0.08520,627,6624,0.07847,0.09192
2008,Rural regions,Sometimes,0.30420,2343,6624,0.29312,0.31528
2008,Rural regions,Often,0.36544,2993,6624,0.35385,0.37704
2008,Rural regions,Very often,0.06315,504,6624,0.05730,0.06901
2009,Urban regions,Very seldom,0.03000,346,11621,0.02689,0.03310
2009,Urban regions,Seldom,0.09618,1184,11621,0.09081,0.10154
2009,Urban regions,Sometimes,0.29032,4002,11621,0.28207,0.29857
2009,Urban regions,Often,0.35462,5190,11621,0.34592,0.36332
2009,Urban regions,Very often,0.06360,899,11621,0.05916,0.06804
2009,Rural regions,Very seldom,0.02238,148,6302,0.01873,0.02604
2009,Rural regions,Seldom,0.09148,628,6302,0.08436,0.09860
2009,Rural regions,Sometimes,0.30280,2231,6302,0.29146,0.31415
2009,Rural regions,Often,0.36533,2841,6302,0.35344,0.37722
2009,Rural regions,Very often,0.05729,454,6302,0.05155,0.06303
2010,Urban regions,Very seldom,0.02302,283,10851,0.02020,0.02584
2010,Urban regions,Seldom,0.08523,1035,10851,0.07997,0.09048
2010,Urban regions,Sometimes,0.26920,3697,10851,0.26085,0.27754
2010,Urban regions,Often,0.31949,4990,10851,0.31072,0.32826
2010,Urban regions,Very often,0.05981,846,10851,0.05535,0.06428
2010,Rural regions,Very seldom,0.01962,134,5735,0.01603,0.02321
2010,Rural regions,Seldom,0.06865,481,5735,0.06211,0.07520
2010,Rural regions,Sometimes,0.28542,2026,5735,0.27373,0.29710
2010,Rural regions,Often,0.33576,2635,5735,0.32354,0.34798
2010,Rural regions,Very often,0.05551,459,5735,0.04958,0.06143
2011,Urban regions,Very seldom,0.02294,328,13286,0.02040,0.02549
2011,Urban regions,Seldom,0.07678,1206,13286,0.07225,0.08130
2011,Urban regions,Sometimes,0.25701,4339,13286,0.24958,0.26444
2011,Urban regions,Often,0.33578,6160,13286,0.32775,0.34381
2011,Urban regions,Very often,0.06838,1253,13286,0.06409,0.07267
2011,Rural regions,Very seldom,0.01888,170,7347,0.01577,0.02199
2011,Rural regions,Seldom,0.08066,688,7347,0.07443,0.08689
2011,Rural regions,Sometimes,0.26217,2396,7347,0.25211,0.27223
2011,Rural regions,Often,0.33878,3414,7347,0.32796,0.34961
2011,Rural regions,Very often,0.06286,679,7347,0.05731,0.06841
2012,Urban regions,Very seldom,0.01770,266,12999,0.01544,0.01997
2012,Urban regions,Seldom,0.06684,1014,12999,0.06255,0.07114
2012,Urban regions,Sometimes,0.25339,4154,12999,0.24591,0.26086
2012,Urban regions,Often,0.35558,6357,12999,0.34735,0.36381
2012,Urban regions,Very often,0.07207,1208,12999,0.06763,0.07652
2012,Rural regions,Very seldom,0.01733,146,7424,0.01436,0.02030
2012,Rural regions,Seldom,0.06917,593,7424,0.06339,0.07494
2012,Rural regions,Sometimes,0.25388,2365,7424,0.24398,0.26379
2012,Rural regions,Often,0.36577,3625,7424,0.35481,0.37672
2012,Rural regions,Very often,0.06447,695,7424,0.05889,0.07006
2013,Urban regions,Very seldom,0.01913,333,16235,0.01702,0.02124
2013,Urban regions,Seldom,0.06750,1282,16235,0.06364,0.07136
2013,Urban regions,Sometimes,0.24539,4892,16235,0.23877,0.25201
2013,Urban regions,Often,0.35315,8225,16235,0.34579,0.36050
2013,Urban regions,Very often,0.06468,1503,16235,0.06090,0.06847
2013,Rural regions,Very seldom,0.02017,180,9365,0.01732,0.02302
2013,Rural regions,Seldom,0.06859,712,9365,0.06347,0.07371
2013,Rural regions,Sometimes,0.26641,2846,9365,0.25746,0.27537
2013,Rural regions,Often,0.38233,4741,9365,0.37249,0.39217
2013,Rural regions,Very often,0.06595,886,9365,0.06092,0.07097
2014,Urban regions,Very seldom,0.01702,304,17576,0.01511,0.01893
2014,Urban regions,Seldom,0.07007,1306,17576,0.06630,0.07385
2014,Urban regions,Sometimes,0.25461,5140,17576,0.24816,0.26105
2014,Urban regions,Often,0.40702,8946,17576,0.39976,0.41429
2014,Urban regions,Very often,0.08542,1880,17576,0.08129,0.08955
2014,Rural regions,Very seldom,0.01761,170,9427,0.01496,0.02027
2014,Rural regions,Seldom,0.06692,669,9427,0.06187,0.07196
2014,Rural regions,Sometimes,0.27534,2792,9427,0.26632,0.28435
2014,Rural regions,Often,0.41022,4780,9427,0.40029,0.42015
2014,Rural regions,Very often,0.07990,1016,9427,0.07442,0.08537
2015,Urban regions,Very seldom,0.02022,298,16137,0.01805,0.02239
2015,Urban regions,Seldom,0.06686,1178,16137,0.06300,0.07071
2015,Urban regions,Sometimes,0.25087,4736,16137,0.24418,0.25756
2015,Urban regions,Often,0.39860,8244,16137,0.39105,0.40616
