year,bula_h,plh0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Schleswig-Holstein,Seldom,0.06072,47,594,0.04150,0.07994
2007,Schleswig-Holstein,Sometimes,0.31525,216,594,0.27786,0.35265
2007,Schleswig-Holstein,Often,0.37185,275,594,0.33295,0.41075
2007,Schleswig-Holstein,Very often,0.07444,56,594,0.05332,0.09557
2007,Hamburg,Sometimes,0.34929,116,243,0.28922,0.40935
2007,Hamburg,Often,0.34992,127,243,0.28982,0.41001
2007,Lower Saxony,Very seldom,0.01823,34,1819,0.01208,0.02438
2007,Lower Saxony,Seldom,0.08082,151,1819,0.06829,0.09335
2007,Lower Saxony,Sometimes,0.26153,564,1819,0.24132,0.28173
2007,Lower Saxony,Often,0.38141,895,1819,0.35908,0.40374
2007,Lower Saxony,Very often,0.07981,175,1819,0.06735,0.09227
2007,Bremen,Sometimes,0.30687,43,113,0.22146,0.39229
2007,Bremen,Often,0.42527,70,113,0.33371,0.51683
2007,North Rhine-Westphalia,Very seldom,0.02913,106,4187,0.02404,0.03423
2007,North Rhine-Westphalia,Seldom,0.09095,420,4187,0.08224,0.09966
2007,North Rhine-Westphalia,Sometimes,0.29217,1507,4187,0.27840,0.30595
2007,North Rhine-Westphalia,Often,0.33740,1818,4187,0.32307,0.35172
2007,North Rhine-Westphalia,Very often,0.06970,336,4187,0.06198,0.07741
2007,Hesse,Very seldom,0.02547,40,1389,0.01718,0.03376
2007,Hesse,Seldom,0.08803,118,1389,0.07312,0.10293
2007,Hesse,Sometimes,0.27125,449,1389,0.24786,0.29464
2007,Hesse,Often,0.35401,651,1389,0.32885,0.37917
2007,Hesse,Very often,0.07514,131,1389,0.06127,0.08901
2007,"Rhineland-Palatinate, Saarland",Very seldom,0.03382,46,1169,0.02346,0.04419
2007,"Rhineland-Palatinate, Saarland",Seldom,0.10050,124,1169,0.08326,0.11775
2007,"Rhineland-Palatinate, Saarland",Sometimes,0.33280,441,1169,0.30578,0.35983
2007,"Rhineland-Palatinate, Saarland",Often,0.29567,481,1169,0.26950,0.32185
2007,"Rhineland-Palatinate, Saarland",Very often,0.04982,77,1169,0.03734,0.06229
2007,Baden-Wuerttemberg,Very seldom,0.02047,58,2476,0.01489,0.02605
2007,Baden-Wuerttemberg,Seldom,0.07459,200,2476,0.06424,0.08494
2007,Baden-Wuerttemberg,Sometimes,0.28933,856,2476,0.27146,0.30719
2007,Baden-Wuerttemberg,Often,0.35761,1162,2476,0.33872,0.37649
2007,Baden-Wuerttemberg,Very often,0.07001,200,2476,0.05996,0.08007
2007,Bavaria,Very seldom,0.02547,71,2942,0.01978,0.03116
2007,Bavaria,Seldom,0.08496,263,2942,0.07488,0.09504
2007,Bavaria,Sometimes,0.28377,971,2942,0.26748,0.30007
2007,Bavaria,Often,0.35660,1372,2942,0.33929,0.37391
2007,Bavaria,Very often,0.07488,265,2942,0.06536,0.08439
2007,Berlin,Seldom,0.12289,94,721,0.09891,0.14687
2007,Berlin,Sometimes,0.27902,241,721,0.24626,0.31178
2007,Berlin,Often,0.37227,332,721,0.33696,0.40758
2007,Berlin,Very often,0.04943,54,721,0.03359,0.06526
2007,Brandenburg,Seldom,0.10736,94,841,0.08643,0.12830
2007,Brandenburg,Sometimes,0.35693,336,841,0.32454,0.38933
2007,Brandenburg,Often,0.31006,346,841,0.27878,0.34134
2007,Brandenburg,Very often,0.06623,65,841,0.04942,0.08305
2007,Mecklenburg-Western Pomerania,Seldom,0.07870,38,498,0.05503,0.10238
2007,Mecklenburg-Western Pomerania,Sometimes,0.30651,169,498,0.26597,0.34704
2007,Mecklenburg-Western Pomerania,Often,0.41191,245,498,0.36864,0.45518
2007,Mecklenburg-Western Pomerania,Very often,0.06611,46,498,0.04426,0.08796
2007,Saxony,Very seldom,0.02379,35,1512,0.01611,0.03148
2007,Saxony,Seldom,0.10143,149,1512,0.08620,0.11665
2007,Saxony,Sometimes,0.31256,500,1512,0.28919,0.33593
2007,Saxony,Often,0.38666,721,1512,0.36211,0.41122
2007,Saxony,Very often,0.05655,107,1512,0.04490,0.06820
2007,Saxony-Anhalt,Seldom,0.10336,87,845,0.08282,0.12390
2007,Saxony-Anhalt,Sometimes,0.30833,320,845,0.27717,0.33948
2007,Saxony-Anhalt,Often,0.34276,363,845,0.31074,0.37478
2007,Saxony-Anhalt,Very often,0.07509,75,845,0.05731,0.09287
2007,Thuringa,Seldom,0.10522,97,886,0.08501,0.12544
2007,Thuringa,Sometimes,0.34603,351,886,0.31469,0.37737
2007,Thuringa,Often,0.35598,394,886,0.32444,0.38753
2007,Thuringa,Very often,0.03615,44,886,0.02385,0.04845
2008,Schleswig-Holstein,Seldom,0.05415,34,524,0.03476,0.07355
2008,Schleswig-Holstein,Sometimes,0.31950,205,524,0.27954,0.35946
2008,Schleswig-Holstein,Often,0.36767,248,524,0.32634,0.40899
2008,Schleswig-Holstein,Very often,0.05699,37,524,0.03712,0.07686
2008,Hamburg,Sometimes,0.34294,106,238,0.28250,0.40337
2008,Hamburg,Often,0.39181,132,238,0.32966,0.45396
2008,Lower Saxony,Very seldom,0.02581,52,1731,0.01833,0.03328
2008,Lower Saxony,Seldom,0.06836,114,1731,0.05647,0.08025
2008,Lower Saxony,Sometimes,0.27153,544,1731,0.25057,0.29249
2008,Lower Saxony,Often,0.38866,841,1731,0.36569,0.41163
2008,Lower Saxony,Very often,0.07512,180,1731,0.06269,0.08754
2008,Bremen,Sometimes,0.30809,44,100,0.21714,0.39904
2008,Bremen,Often,0.35054,56,100,0.25655,0.44453
2008,North Rhine-Westphalia,Very seldom,0.02673,91,3915,0.02167,0.03178
2008,North Rhine-Westphalia,Seldom,0.09276,386,3915,0.08368,0.10185
2008,North Rhine-Westphalia,Sometimes,0.30827,1398,3915,0.29380,0.32273
2008,North Rhine-Westphalia,Often,0.34706,1772,3915,0.33215,0.36197
2008,North Rhine-Westphalia,Very often,0.05525,268,3915,0.04809,0.06241
2008,Hesse,Very seldom,0.02434,32,1309,0.01599,0.03269
2008,Hesse,Seldom,0.07867,102,1309,0.06408,0.09326
2008,Hesse,Sometimes,0.28353,446,1309,0.25911,0.30796
2008,Hesse,Often,0.34576,604,1309,0.31998,0.37153
2008,Hesse,Very often,0.07486,125,1309,0.06060,0.08912
2008,"Rhineland-Palatinate, Saarland",Very seldom,0.04710,48,1092,0.03453,0.05967
2008,"Rhineland-Palatinate, Saarland",Seldom,0.11573,129,1092,0.09675,0.13471
2008,"Rhineland-Palatinate, Saarland",Sometimes,0.29187,379,1092,0.26490,0.31885
2008,"Rhineland-Palatinate, Saarland",Often,0.30714,461,1092,0.27977,0.33452
2008,"Rhineland-Palatinate, Saarland",Very often,0.05781,75,1092,0.04396,0.07166
2008,Baden-Wuerttemberg,Very seldom,0.02295,53,2349,0.01690,0.02901
2008,Baden-Wuerttemberg,Seldom,0.06863,192,2349,0.05841,0.07886
2008,Baden-Wuerttemberg,Sometimes,0.28675,770,2349,0.26845,0.30504
2008,Baden-Wuerttemberg,Often,0.36670,1133,2349,0.34720,0.38619
2008,Baden-Wuerttemberg,Very often,0.07063,201,2349,0.06027,0.08099
2008,Bavaria,Very seldom,0.02154,57,2737,0.01610,0.02698
2008,Bavaria,Seldom,0.08336,245,2737,0.07300,0.09371
2008,Bavaria,Sometimes,0.29039,959,2737,0.27338,0.30740
2008,Bavaria,Often,0.35614,1215,2737,0.33820,0.37409
2008,Bavaria,Very often,0.07849,261,2737,0.06841,0.08857
2008,Berlin,Seldom,0.15014,104,702,0.12369,0.17658
2008,Berlin,Sometimes,0.29083,247,702,0.25721,0.32445
2008,Berlin,Often,0.36466,309,702,0.32903,0.40029
2008,Berlin,Very often,0.03791,42,702,0.02377,0.05205
2008,Brandenburg,Seldom,0.11785,98,798,0.09546,0.14023
2008,Brandenburg,Sometimes,0.33220,315,798,0.29950,0.36490
2008,Brandenburg,Often,0.32465,335,798,0.29214,0.35716
2008,Brandenburg,Very often,0.04534,50,798,0.03090,0.05979
2008,Mecklenburg-Western Pomerania,Seldom,0.07534,42,480,0.05170,0.09898
2008,Mecklenburg-Western Pomerania,Sometimes,0.31643,150,480,0.27478,0.35808
