year,quintil_oecd,plh0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,1st Quintile,Very seldom,0.04202,143,3165,0.03503,0.04901
2007,1st Quintile,Seldom,0.13263,484,3165,0.12081,0.14445
2007,1st Quintile,Sometimes,0.29793,1153,3165,0.28199,0.31386
2007,1st Quintile,Often,0.25416,1098,3165,0.23899,0.26934
2007,1st Quintile,Very often,0.07601,287,3165,0.06677,0.08524
2007,2nd Quintile,Very seldom,0.03189,128,3541,0.02610,0.03768
2007,2nd Quintile,Seldom,0.09516,373,3541,0.08549,0.10482
2007,2nd Quintile,Sometimes,0.27018,1273,3541,0.25555,0.28481
2007,2nd Quintile,Often,0.32417,1487,3541,0.30875,0.33959
2007,2nd Quintile,Very often,0.06594,280,3541,0.05777,0.07412
2007,3rd Quintile,Very seldom,0.02051,91,3835,0.01602,0.02500
2007,3rd Quintile,Seldom,0.07846,351,3835,0.06994,0.08697
2007,3rd Quintile,Sometimes,0.29896,1359,3835,0.28447,0.31346
2007,3rd Quintile,Often,0.36834,1764,3835,0.35307,0.38361
2007,3rd Quintile,Very often,0.05785,270,3835,0.05046,0.06524
2007,4th Quintile,Very seldom,0.01870,78,4312,0.01466,0.02274
2007,4th Quintile,Seldom,0.07186,341,4312,0.06415,0.07957
2007,4th Quintile,Sometimes,0.29891,1458,4312,0.28524,0.31257
2007,4th Quintile,Often,0.39043,2077,4312,0.37587,0.40500
2007,4th Quintile,Very often,0.07024,358,4312,0.06261,0.07787
2007,5th Quintile,Very seldom,0.01371,79,5584,0.01066,0.01676
2007,5th Quintile,Seldom,0.06494,362,5584,0.05848,0.07141
2007,5th Quintile,Sometimes,0.30973,1836,5584,0.29760,0.32186
2007,5th Quintile,Often,0.43200,2825,5584,0.41900,0.44499
2007,5th Quintile,Very often,0.07279,482,5584,0.06597,0.07960
2008,1st Quintile,Very seldom,0.04344,136,3001,0.03615,0.05073
2008,1st Quintile,Seldom,0.13278,442,3001,0.12063,0.14492
2008,1st Quintile,Sometimes,0.31169,1142,3001,0.29511,0.32826
2008,1st Quintile,Often,0.24825,1040,3001,0.23279,0.26371
2008,1st Quintile,Very often,0.05900,241,3001,0.05057,0.06743
2008,2nd Quintile,Very seldom,0.02870,99,3348,0.02305,0.03436
2008,2nd Quintile,Seldom,0.08777,332,3348,0.07819,0.09736
2008,2nd Quintile,Sometimes,0.29536,1257,3348,0.27990,0.31081
2008,2nd Quintile,Often,0.33506,1398,3348,0.31907,0.35105
2008,2nd Quintile,Very often,0.06044,262,3348,0.05237,0.06852
2008,3rd Quintile,Very seldom,0.02272,91,3750,0.01795,0.02749
2008,3rd Quintile,Seldom,0.07884,333,3750,0.07021,0.08747
2008,3rd Quintile,Sometimes,0.27916,1254,3750,0.26480,0.29352
2008,3rd Quintile,Often,0.38472,1791,3750,0.36914,0.40029
2008,3rd Quintile,Very often,0.06097,281,3750,0.05331,0.06863
2008,4th Quintile,Very seldom,0.01917,82,3919,0.01488,0.02347
2008,4th Quintile,Seldom,0.07962,337,3919,0.07114,0.08810
2008,4th Quintile,Sometimes,0.29184,1340,3919,0.27761,0.30608
2008,4th Quintile,Often,0.38600,1818,3919,0.37076,0.40125
2008,4th Quintile,Very often,0.07659,342,3919,0.06826,0.08491
2008,5th Quintile,Very seldom,0.01558,76,5220,0.01222,0.01894
2008,5th Quintile,Seldom,0.05431,310,5220,0.04816,0.06046
2008,5th Quintile,Sometimes,0.31524,1693,5220,0.30264,0.32785
2008,5th Quintile,Often,0.44342,2724,5220,0.42994,0.45690
2008,5th Quintile,Very often,0.06438,417,5220,0.05773,0.07104
2009,1st Quintile,Very seldom,0.04683,141,2860,0.03908,0.05457
2009,1st Quintile,Seldom,0.14397,461,2860,0.13111,0.15684
2009,1st Quintile,Sometimes,0.29668,1061,2860,0.27994,0.31343
2009,1st Quintile,Often,0.26527,986,2860,0.24908,0.28145
2009,1st Quintile,Very often,0.05609,211,2860,0.04766,0.06453
2009,2nd Quintile,Very seldom,0.02835,105,3142,0.02255,0.03415
2009,2nd Quintile,Seldom,0.09613,352,3142,0.08582,0.10644
2009,2nd Quintile,Sometimes,0.29624,1163,3142,0.28027,0.31221
2009,2nd Quintile,Often,0.32530,1338,3142,0.30892,0.34169
2009,2nd Quintile,Very often,0.05043,184,3142,0.04278,0.05808
2009,3rd Quintile,Very seldom,0.02439,85,3423,0.01922,0.02956
2009,3rd Quintile,Seldom,0.09012,319,3423,0.08052,0.09971
2009,3rd Quintile,Sometimes,0.30668,1279,3423,0.29123,0.32213
