year,plh0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Very seldom,0.02536,519,20440,0.02321,0.02752
2007,Seldom,0.08865,1912,20440,0.08475,0.09255
2007,Sometimes,0.29511,7080,20440,0.28886,0.30137
2007,Often,0.35382,9252,20440,0.34726,0.36037
2007,Very often,0.06856,1677,20440,0.06509,0.07202
2008,Very seldom,0.02608,485,19240,0.02382,0.02833
2008,Seldom,0.08668,1755,19240,0.08270,0.09065
2008,Sometimes,0.29860,6686,19240,0.29214,0.30507
2008,Often,0.35940,8771,19240,0.35262,0.36618
2008,Very often,0.06427,1543,19240,0.06080,0.06773
2009,Very seldom,0.02753,494,17923,0.02514,0.02993
2009,Seldom,0.09466,1812,17923,0.09037,0.09894
2009,Sometimes,0.29436,6233,17923,0.28768,0.30103
2009,Often,0.35809,8031,17923,0.35107,0.36510
2009,Very often,0.06156,1353,17923,0.05804,0.06508
2010,Very seldom,0.02194,417,16586,0.01971,0.02417
2010,Seldom,0.07997,1516,16586,0.07584,0.08409
2010,Sometimes,0.27435,5723,16586,0.26756,0.28114
2010,Often,0.32466,7625,16586,0.31753,0.33178
2010,Very often,0.05845,1305,16586,0.05488,0.06202
2011,Very seldom,0.02162,498,20633,0.01964,0.02360
2011,Seldom,0.07804,1894,20633,0.07438,0.08170
2011,Sometimes,0.25869,6735,20633,0.25271,0.26467
2011,Often,0.33676,9574,20633,0.33031,0.34320
2011,Very often,0.06658,1932,20633,0.06318,0.06998
2012,Very seldom,0.01758,412,20423,0.01578,0.01938
2012,Seldom,0.06760,1607,20423,0.06416,0.07105
2012,Sometimes,0.25355,6519,20423,0.24758,0.25952
2012,Often,0.35890,9982,20423,0.35232,0.36548
2012,Very often,0.06959,1903,20423,0.06610,0.07308
2013,Very seldom,0.01947,513,25600,0.01778,0.02116
2013,Seldom,0.06786,1994,25600,0.06477,0.07094
2013,Sometimes,0.25224,7738,25600,0.24692,0.25756
2013,Often,0.36266,12966,25600,0.35677,0.36855
2013,Very often,0.06510,2389,25600,0.06207,0.06812
2014,Very seldom,0.01721,474,27003,0.01566,0.01876
2014,Seldom,0.06906,1975,27003,0.06603,0.07208
2014,Sometimes,0.26128,7932,27003,0.25604,0.26652
2014,Often,0.40805,13726,27003,0.40219,0.41391
2014,Very often,0.08364,2896,27003,0.08034,0.08694
2015,Very seldom,0.01883,460,24981,0.01714,0.02051
2015,Seldom,0.06842,1834,24981,0.06529,0.07155
2015,Sometimes,0.26163,7426,24981,0.25618,0.26708
2015,Often,0.39498,12711,24981,0.38891,0.40104
2015,Very often,0.07866,2550,24981,0.07532,0.08200
2016,Very seldom,0.01814,481,24106,0.01646,0.01983
2016,Seldom,0.06932,1781,24106,0.06612,0.07253
2016,Sometimes,0.25466,7070,24106,0.24916,0.26016
2016,Often,0.41195,12364,24106,0.40573,0.41816
2016,Very often,0.07757,2410,24106,0.07419,0.08094
2017,Very seldom,0.01619,415,26379,0.01467,0.01771
2017,Seldom,0.06011,1750,26379,0.05724,0.06298
2017,Sometimes,0.24675,7411,26379,0.24154,0.25195
2017,Often,0.42540,14043,26379,0.41944,0.43137
2017,Very often,0.08049,2760,26379,0.07720,0.08377
2018,Very seldom,0.01383,427,25531,0.01240,0.01526
2018,Seldom,0.06453,1748,25531,0.06152,0.06755
2018,Sometimes,0.25275,7349,25531,0.24742,0.25809
2018,Often,0.42391,13335,25531,0.41785,0.42997
2018,Very often,0.07836,2672,25531,0.07506,0.08165
2019,Very seldom,0.01715,427,25684,0.01556,0.01874
2019,Seldom,0.06258,1666,25684,0.05962,0.06554
2019,Sometimes,0.24810,7139,25684,0.24281,0.25338
2019,Often,0.41828,13608,25684,0.41225,0.42431
2019,Very often,0.08308,2844,25684,0.07971,0.08646
2020,Very seldom,0.01772,460,25616,0.01611,0.01934
2020,Seldom,0.06860,1856,25616,0.06551,0.07170
2020,Sometimes,0.24914,7315,25616,0.24384,0.25444
2020,Often,0.41517,13211,25616,0.40913,0.42120
2020,Very often,0.07530,2774,25616,0.07207,0.07853
2021,Very seldom,0.01404,260,17183,0.01228,0.01580
2021,Seldom,0.06798,1309,17183,0.06421,0.07174
2021,Sometimes,0.22306,4384,17183,0.21684,0.22929
2021,Often,0.42961,9212,17183,0.42221,0.43702
2021,Very often,0.08731,2018,17183,0.08309,0.09153
