"year","bildungsniveau","quintil_oecd","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2003","(Fach-)Abitur","1 Einkommensschwächstes Quintil","4.66","3.5","421","1","2","6","10","20","4.31","5.01","0","25","4","4"
"2003","(Fach-)Abitur","2","4.67","3.5","464","2","3","6","10","15","4.36","4.98","0","30","4","4"
"2003","(Fach-)Abitur","3","4.57","3.5","474","1","2","5","10","15","4.22","4.92","0","50","3","4"
"2003","(Fach-)Abitur","4","4.52","3.5","507","2","3","5","8","25","4.24","4.8","0","30","4","4"
"2003","(Fach-)Abitur","5 Einkommensstärkstes Quintil","5.19","3.5","496","2","3","6","10","25.29","4.8","5.58","0","35","4","5"
"2003","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","3.98","2.5","276","0","2","5","8","20","3.51","4.45","0","36","3","4"
"2003","(noch) kein Abschluss","2","4.62","2.5","211","1","2","5","10","20","3.76","5.48","0","60","3","4"
"2003","(noch) kein Abschluss","3","5.41","4.5","140","1","3","7","10","20","4.79","6.03","0","20","4","5"
"2003","(noch) kein Abschluss","4","4.4","3.5","126","1","2","6","10","15","3.86","4.94","0","15","4","5"
"2003","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","5.69","4.5","114","2","3","8","10","20","4.83","6.55","1","30","5","6"
"2003","AkademikerIn","1 Einkommensschwächstes Quintil","4.56","2.5","290","1","2","6","10","15","4.12","5","0","25","3","4"
"2003","AkademikerIn","2","4.04","2.5","450","1","2","5","8","12","3.74","4.34","0","30","3","4"
"2003","AkademikerIn","3","4.7","3.5","634","2","2","6","10","15","4.41","4.99","0","30","4","4"
"2003","AkademikerIn","4","4.72","3.5","1045","2","3","6","10","16","4.49","4.95","0","30","4","4"
"2003","AkademikerIn","5 Einkommensstärkstes Quintil","5.25","3.5","1827","2","3","6","10","20","5.05","5.45","0","50","4","5"
"2003","Hauptschule","1 Einkommensschwächstes Quintil","3.83","2.5","2039","0","1","5","10","20","3.66","4","0","37","3","3"
"2003","Hauptschule","2","4.13","2.5","2385","0","2","5","10","20","3.95","4.31","0","50","3","3"
"2003","Hauptschule","3","4.5","2.5","1696","1","2","6","10","20","4.25","4.75","0","99","3","4"
"2003","Hauptschule","4","4.35","3.5","1361","1","2","6","10","20","4.14","4.56","0","50","3","4"
"2003","Hauptschule","5 Einkommensstärkstes Quintil","4.9","3.5","623","1","2","6","10","25","4.5","5.3","0","50","3","4"
"2003","Realschule","1 Einkommensschwächstes Quintil","4.39","2.5","1049","1","2","5","10","20","4.14","4.64","0","50","3","4"
"2003","Realschule","2","4.59","3.5","1336","1","2","5","10","25","4.38","4.8","0","40","3","4"
"2003","Realschule","3","4.35","2.5","1208","1","2","5","10","20","4.15","4.55","0","30","3","4"
"2003","Realschule","4","4.61","3.5","1148","1","2","6","10","20","4.38","4.84","0","35","3","4"
