year,pgisced97,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Pre-primary Level,male,30,1.37210,0.96191,1.78228,1.00000,1.00000,1.00000,1.00000,1.00000,1.0,1.00000,1.00000
1984,Pre-primary Level,female,64,1.33193,1.13124,1.53262,1.00000,1.00000,1.00000,1.00000,1.00000,1.0,1.00000,1.00000
1984,Primary Level,male,172,2.02830,1.74489,2.31171,1.00000,2.00000,2.00000,1.0,3.50000,2.0,1.00000,2.00000
1984,Primary Level,female,557,6.46756,6.15123,6.78389,3.00000,5.92101,10.00000,1.0,20.50000,6.0,5.00000,7.00000
1984,Lower Secondary Level,male,489,2.03049,1.86670,2.19427,1.00000,1.00000,2.00000,1.0,3.50000,1.0,1.00000,2.00000
1984,Lower Secondary Level,female,2150,5.42869,5.29385,5.56353,3.00000,5.00000,8.00000,1.0,15.50000,5.0,5.00000,5.00000
1984,Upper Secondary Level,male,1560,1.88752,1.82000,1.95505,1.00000,1.00000,2.00000,1.0,3.50000,1.0,1.00000,2.00000
1984,Upper Secondary Level,female,2407,5.36438,5.22828,5.50048,3.00000,5.00000,8.00000,1.0,15.50000,5.0,4.00000,5.00000
1984,Post-secondary Non-tertiary Level,male,107,1.65644,1.48279,1.83008,1.00000,1.00000,2.00000,1.0,3.50000,1.0,1.00000,2.00000
1984,Post-secondary Non-tertiary Level,female,110,3.68503,3.01139,4.35866,1.00000,2.00000,5.00000,1.0,11.00000,2.0,2.00000,2.00000
1984,First Stage of Tertiary Education,male,200,1.69290,1.54865,1.83715,1.00000,1.00000,2.00000,1.0,3.50000,1.0,1.00000,2.00000
1984,First Stage of Tertiary Education,female,262,5.52885,5.05698,6.00071,2.00000,5.00000,8.00000,1.0,17.00000,5.0,4.00000,5.00000
1984,Second Stage of Tertiary Education,male,299,1.60737,1.46785,1.74688,1.00000,1.00000,2.00000,1.0,3.50000,1.0,1.00000,1.00000
1984,Second Stage of Tertiary Education,female,246,4.39142,4.02156,4.76128,2.00000,4.00000,6.00000,1.0,12.00000,4.0,3.00000,4.00000
1985,Pre-primary Level,male,105,0.59998,0.46516,0.73480,0.00000,1.00000,1.00000,0.0,2.50000,1.0,0.00000,1.00000
1985,Pre-primary Level,female,69,1.11589,0.88639,1.34539,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
1985,Primary Level,male,304,1.19005,0.99440,1.38569,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
1985,Primary Level,female,481,4.41534,4.15439,4.67628,2.00000,4.00000,6.00000,0.0,12.00000,4.0,4.00000,4.00000
1985,Lower Secondary Level,male,917,1.12898,1.03609,1.22187,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
1985,Lower Secondary Level,female,1993,4.32742,4.20948,4.44537,2.00000,4.00000,6.00000,0.0,12.00000,4.0,4.00000,4.00000
1985,Upper Secondary Level,male,2568,1.22212,1.16709,1.27715,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
1985,Upper Secondary Level,female,2315,4.09412,3.99360,4.19464,2.00000,4.00000,5.00000,0.0,9.50000,4.0,4.00000,4.00000
1985,Post-secondary Non-tertiary Level,male,150,1.27904,1.10954,1.44853,0.00000,1.00000,2.00000,0.0,4.0,1.0,1.00000,2.00000
1985,Post-secondary Non-tertiary Level,female,102,2.85781,2.46744,3.24819,1.00000,2.00000,4.00000,0.0,8.50000,2.0,2.00000,3.00000
1985,First Stage of Tertiary Education,male,336,1.15848,1.02636,1.29061,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
1985,First Stage of Tertiary Education,female,258,3.83117,3.53002,4.13231,2.00000,3.00000,5.00000,0.0,9.50000,3.0,3.00000,4.00000
1985,Second Stage of Tertiary Education,male,481,1.04882,0.95270,1.14493,0.00000,1.00000,1.00000,0.0,2.50000,1.0,1.00000,1.00000
1985,Second Stage of Tertiary Education,female,244,3.05958,2.80447,3.31470,2.00000,3.00000,4.00000,0.0,7.00000,3.0,2.00000,3.00000
1986,Pre-primary Level,male,106,0.75434,0.51400,0.99467,0.00000,0.00000,1.00000,0.0,2.50000,0.0,0.00000,1.00000
1986,Pre-primary Level,female,68,1.03260,0.84263,1.22257,1.00000,1.00000,1.00000,1.00000,1.00000,1.0,1.00000,1.00000
1986,Primary Level,male,296,1.12169,0.97035,1.27303,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
1986,Primary Level,female,453,4.50693,4.22968,4.78417,3.00000,4.00000,6.00000,0.0,10.50000,4.0,4.00000,4.00000
1986,Lower Secondary Level,male,926,1.05999,0.98118,1.13879,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
1986,Lower Secondary Level,female,1871,4.24406,4.12550,4.36262,2.00000,4.00000,6.00000,0.0,12.00000,4.0,4.00000,4.00000
1986,Upper Secondary Level,male,2529,1.19113,1.14047,1.24179,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
1986,Upper Secondary Level,female,2242,3.92427,3.82429,4.02425,2.00000,4.00000,5.00000,0.0,9.50000,4.0,3.00000,4.00000
1986,Post-secondary Non-tertiary Level,male,156,1.33108,1.15816,1.50399,1.00000,1.00000,2.00000,0.0,3.50000,1.0,1.00000,1.00000
1986,Post-secondary Non-tertiary Level,female,111,3.17566,2.64445,3.70687,1.00000,2.00000,4.00000,0.0,8.50000,2.0,2.00000,3.00000
1986,First Stage of Tertiary Education,male,313,1.19623,1.03527,1.35720,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
1986,First Stage of Tertiary Education,female,246,3.81275,3.51635,4.10915,2.00000,3.00000,5.00000,0.0,9.50000,3.0,3.00000,4.00000
1986,Second Stage of Tertiary Education,male,474,0.98761,0.89524,1.07997,0.00000,1.00000,1.00000,0.0,2.50000,1.0,1.00000,1.00000
1986,Second Stage of Tertiary Education,female,244,3.04127,2.77757,3.30498,1.00000,3.00000,4.00000,0.0,8.50000,3.0,2.00000,3.00000
1987,Pre-primary Level,male,99,0.77595,0.63427,0.91763,0.00000,1.00000,1.00000,0.0,2.50000,1.0,1.00000,1.00000
1987,Pre-primary Level,female,84,1.06505,0.89957,1.23053,0.40132,1.00000,2.00000,0.0,4.0,1.0,1.00000,1.00000
1987,Primary Level,male,300,1.36716,1.07174,1.66258,0.00000,1.00000,2.00000,0.0,5.00000,1.0,0.00000,1.00000
1987,Primary Level,female,438,4.17020,3.93334,4.40705,2.00000,4.00000,6.00000,0.0,12.00000,4.0,4.00000,4.00000
1987,Lower Secondary Level,male,940,1.22728,1.13383,1.32073,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
1987,Lower Secondary Level,female,1805,4.26173,4.14715,4.37631,2.00000,4.00000,6.00000,0.0,12.00000,4.0,4.00000,4.00000
1987,Upper Secondary Level,male,2575,1.24289,1.19120,1.29458,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
1987,Upper Secondary Level,female,2213,3.97487,3.87441,4.07532,2.00000,4.00000,5.00000,0.0,9.50000,4.0,3.00000,4.00000
1987,Post-secondary Non-tertiary Level,male,150,1.30994,1.12700,1.49288,1.00000,1.00000,2.00000,0.0,3.50000,1.0,1.00000,1.00000
1987,Post-secondary Non-tertiary Level,female,114,2.60870,2.24532,2.97208,1.00000,2.00000,4.00000,0.0,8.50000,2.0,2.00000,3.00000
1987,First Stage of Tertiary Education,male,300,1.19741,1.03287,1.36195,0.00000,1.00000,1.00000,0.0,2.50000,1.0,1.00000,1.00000
1987,First Stage of Tertiary Education,female,241,3.99053,3.67774,4.30333,2.00000,4.00000,5.00000,0.0,9.50000,4.0,3.00000,4.00000
1987,Second Stage of Tertiary Education,male,476,1.01639,0.92508,1.10770,0.00000,1.00000,1.00000,0.0,2.50000,1.0,1.00000,1.00000
1987,Second Stage of Tertiary Education,female,248,3.11928,2.86564,3.37291,2.00000,3.00000,4.00000,0.0,7.00000,3.0,2.00000,3.00000
1988,Pre-primary Level,male,85,0.60175,0.47292,0.73058,0.00000,1.00000,1.00000,0.0,2.50000,1.0,0.00000,1.00000
1988,Pre-primary Level,female,71,0.99774,0.78744,1.20805,0.99477,1.00000,1.00000,0.98693,1.00784,1.0,1.00000,1.00000
1988,Primary Level,male,259,1.10704,0.94293,1.27115,0.00000,1.00000,2.00000,0.0,5.00000,1.0,0.00000,1.00000
1988,Primary Level,female,415,4.55749,4.30444,4.81053,3.00000,4.00000,6.00000,0.0,10.50000,4.0,4.00000,5.00000
1988,Lower Secondary Level,male,930,1.09537,1.01473,1.17600,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
1988,Lower Secondary Level,female,1727,4.14308,4.02436,4.26179,2.00000,4.00000,6.00000,0.0,12.00000,4.0,4.00000,4.00000
1988,Upper Secondary Level,male,2462,1.21158,1.15957,1.26359,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
1988,Upper Secondary Level,female,2138,3.88160,3.78087,3.98233,2.00000,3.00000,5.00000,0.0,9.50000,3.0,3.00000,4.00000
1988,Post-secondary Non-tertiary Level,male,144,1.43073,1.20628,1.65519,1.00000,1.00000,2.00000,0.0,3.50000,1.0,1.00000,1.00000
1988,Post-secondary Non-tertiary Level,female,115,2.58392,2.24888,2.91897,1.00000,2.00000,3.00000,0.0,6.00000,2.0,2.00000,2.02500
1988,First Stage of Tertiary Education,male,290,1.21461,1.07086,1.35837,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
1988,First Stage of Tertiary Education,female,226,3.86101,3.55810,4.16392,2.00000,3.00000,5.00000,0.0,9.50000,3.0,3.00000,4.00000
1988,Second Stage of Tertiary Education,male,453,0.99395,0.90088,1.08702,0.00000,1.00000,1.00000,0.0,2.50000,1.0,1.00000,1.00000
1988,Second Stage of Tertiary Education,female,230,2.95728,2.71438,3.20018,2.00000,2.00000,4.00000,0.0,7.00000,2.0,2.00000,3.00000
1989,Pre-primary Level,male,86,0.70772,0.54094,0.87450,0.00000,1.00000,1.00000,0.0,2.50000,1.0,0.00000,1.00000
