year,sampreg,pli0092_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,West,At least once per week,0.19766,2460,10888,0.19018,0.20514
1985,West,At least once per month,0.03994,540,10888,0.03626,0.04362
1985,West,Seldom,0.10545,1431,10888,0.09968,0.11122
1985,West,Never,0.48416,6457,10888,0.47477,0.49355
1986,West,At least once per week,0.20384,2532,10467,0.19613,0.21156
1986,West,At least once per month,0.04384,564,10467,0.03992,0.04777
1986,West,Seldom,0.09880,1274,10467,0.09308,0.10451
1986,West,Never,0.48104,6097,10467,0.47147,0.49061
1988,West,At least once per week,0.20676,2415,9865,0.19877,0.21475
1988,West,At least once per month,0.04409,520,9865,0.04004,0.04814
1988,West,Seldom,0.11205,1331,9865,0.10582,0.11827
1988,West,Never,0.46248,5599,9865,0.45265,0.47232
1990,West,At least once per week,0.23999,2591,9400,0.23136,0.24863
1990,West,At least once per month,0.07240,802,9400,0.06716,0.07764
1990,West,Seldom,0.16405,1789,9400,0.15656,0.17153
1990,West,Never,0.35240,4218,9400,0.34274,0.36205
1990,East,At least once per week,0.09629,575,4287,0.08746,0.10512
1990,East,At least once per month,0.02343,147,4287,0.01890,0.02796
1990,East,Seldom,0.10090,628,4287,0.09188,0.10992
1990,East,Never,0.53604,2937,4287,0.52111,0.55097
1992,West,At least once per week,0.20689,2289,9144,0.19859,0.21519
1992,West,At least once per month,0.05448,617,9144,0.04982,0.05913
1992,West,Seldom,0.12850,1473,9144,0.12164,0.13536
1992,West,Never,0.41616,4765,9144,0.40605,0.42626
1992,East,At least once per week,0.09725,497,3926,0.08798,0.10652
1992,East,At least once per month,0.02916,145,3926,0.02390,0.03443
1992,East,Seldom,0.12732,709,3926,0.11689,0.13775
1992,East,Never,0.54992,2575,3926,0.53436,0.56548
1994,West,At least once per week,0.20456,2190,8950,0.19620,0.21291
1994,West,At least once per month,0.05241,625,8950,0.04779,0.05703
1994,West,Seldom,0.14317,1625,8950,0.13591,0.15042
1994,West,Never,0.40406,4510,8950,0.39389,0.41422
1994,East,At least once per week,0.09391,461,3712,0.08453,0.10330
1994,East,At least once per month,0.03059,149,3712,0.02505,0.03613
1994,East,Seldom,0.12263,649,3712,0.11208,0.13319
1994,East,Never,0.55760,2453,3712,0.54162,0.57358
1995,West,At least once per week,0.24716,2756,9521,0.23850,0.25583
1995,West,At least once per month,0.06154,727,9521,0.05671,0.06637
1995,West,Seldom,0.16410,1910,9521,0.15666,0.17154
1995,West,Never,0.34000,4128,9521,0.33048,0.34952
1995,East,At least once per week,0.14768,713,3662,0.13619,0.15917
1995,East,At least once per month,0.04742,228,3662,0.04053,0.05430
1995,East,Seldom,0.20357,1018,3662,0.19053,0.21662
1995,East,Never,0.41844,1703,3662,0.40246,0.43442
1996,West,At least once per week,0.21548,2294,9291,0.20712,0.22384
1996,West,At least once per month,0.06079,714,9291,0.05593,0.06565
1996,West,Seldom,0.15967,1890,9291,0.15222,0.16711
1996,West,Never,0.37578,4393,9291,0.36593,0.38563
1996,East,At least once per week,0.12000,583,3653,0.10946,0.13054
1996,East,At least once per month,0.03842,203,3653,0.03219,0.04466
1996,East,Seldom,0.16489,803,3653,0.15286,0.17693
1996,East,Never,0.49611,2064,3653,0.47990,0.51233
1997,West,At least once per week,0.22162,2371,9099,0.21309,0.23015
1997,West,At least once per month,0.04941,598,9099,0.04496,0.05387
1997,West,Seldom,0.14645,1709,9099,0.13919,0.15372
1997,West,Never,0.38937,4421,9099,0.37935,0.39939
1997,East,At least once per week,0.12346,587,3590,0.11270,0.13422
1997,East,At least once per month,0.03293,159,3590,0.02709,0.03876
1997,East,Seldom,0.16326,764,3590,0.15117,0.17536
1997,East,Never,0.50361,2080,3590,0.48725,0.51997
1998,West,At least once per week,0.25877,3080,10279,0.25030,0.26723
1998,West,At least once per month,0.06611,853,10279,0.06130,0.07091
1998,West,Seldom,0.16259,2154,10279,0.15546,0.16972
1998,West,Never,0.32745,4192,10279,0.31838,0.33652
1998,East,At least once per week,0.17225,854,3832,0.16029,0.18421
1998,East,At least once per month,0.04974,249,3832,0.04285,0.05662
1998,East,Seldom,0.21274,1037,3832,0.19978,0.22570
1998,East,Never,0.39438,1692,3832,0.37890,0.40985
1999,West,At least once per week,0.22615,2613,9797,0.21787,0.23444
1999,West,At least once per month,0.05506,709,9797,0.05055,0.05958
1999,West,Seldom,0.15201,1967,9797,0.14490,0.15912
1999,West,Never,0.38031,4508,9797,0.37069,0.38992
1999,East,At least once per week,0.13772,657,3739,0.12667,0.14876
1999,East,At least once per month,0.04317,210,3739,0.03665,0.04968
1999,East,Seldom,0.17149,808,3739,0.15940,0.18357
1999,East,Never,0.48068,2064,3739,0.46466,0.49670
2001,West,At least once per week,0.23401,4731,16329,0.22752,0.24051
2001,West,At least once per month,0.05271,1083,16329,0.04928,0.05614
2001,West,Seldom,0.12870,2676,16329,0.12356,0.13384
2001,West,Never,0.39739,7839,16329,0.38989,0.40490
2001,East,At least once per week,0.17239,1122,5393,0.16231,0.18247
2001,East,At least once per month,0.04181,279,5393,0.03647,0.04715
2001,East,Seldom,0.14259,999,5393,0.13326,0.15192
2001,East,Never,0.49402,2993,5393,0.48067,0.50736
2003,West,At least once per week,0.28193,6266,16706,0.27511,0.28876
2003,West,At least once per month,0.06251,1327,16706,0.05883,0.06618
2003,West,Seldom,0.14983,3051,16706,0.14442,0.15525
2003,West,Never,0.32421,6062,16706,0.31711,0.33131
2003,East,At least once per week,0.24249,1562,5323,0.23097,0.25400
2003,East,At least once per month,0.06059,398,5323,0.05418,0.06700
2003,East,Seldom,0.18570,1216,5323,0.17525,0.19615
2003,East,Never,0.37558,2147,5323,0.36257,0.38859
