year,pli0092_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,At least once per week,0.19766,2460,10888,0.19018,0.20514
1985,At least once per month,0.03994,540,10888,0.03626,0.04362
1985,Seldom,0.10545,1431,10888,0.09968,0.11122
1985,Never,0.48416,6457,10888,0.47477,0.49355
1986,At least once per week,0.20384,2532,10467,0.19613,0.21156
1986,At least once per month,0.04384,564,10467,0.03992,0.04777
1986,Seldom,0.09880,1274,10467,0.09308,0.10451
1986,Never,0.48104,6097,10467,0.47147,0.49061
1988,At least once per week,0.20676,2415,9865,0.19877,0.21475
1988,At least once per month,0.04409,520,9865,0.04004,0.04814
1988,Seldom,0.11205,1331,9865,0.10582,0.11827
1988,Never,0.46248,5599,9865,0.45265,0.47232
1990,At least once per week,0.21020,3166,13687,0.20337,0.21702
1990,At least once per month,0.06225,949,13687,0.05820,0.06630
1990,Seldom,0.15096,2417,13687,0.14496,0.15695
1990,Never,0.39047,7155,13687,0.38230,0.39865
1992,At least once per week,0.18452,2786,13070,0.17787,0.19117
1992,At least once per month,0.04931,762,13070,0.04560,0.05302
1992,Seldom,0.12826,2182,13070,0.12253,0.13400
1992,Never,0.44345,7340,13070,0.43493,0.45196
1994,At least once per week,0.18253,2651,12662,0.17580,0.18926
1994,At least once per month,0.04806,774,12662,0.04434,0.05179
1994,Seldom,0.13908,2274,12662,0.13305,0.14511
1994,Never,0.43462,6963,12662,0.42599,0.44326
1995,At least once per week,0.22796,3469,13183,0.22080,0.23512
1995,At least once per month,0.05881,955,13183,0.05480,0.06283
1995,Seldom,0.17172,2928,13183,0.16528,0.17816
1995,Never,0.35514,5831,13183,0.34697,0.36331
1996,At least once per week,0.19740,2877,12944,0.19054,0.20426
1996,At least once per month,0.05655,917,12944,0.05257,0.06053
1996,Seldom,0.16066,2693,12944,0.15433,0.16698
1996,Never,0.39857,6457,12944,0.39013,0.40700
1997,At least once per week,0.20319,2958,12689,0.19619,0.21019
1997,At least once per month,0.04632,757,12689,0.04266,0.04997
1997,Seldom,0.14961,2473,12689,0.14340,0.15582
1997,Never,0.41082,6501,12689,0.40226,0.41938
1998,At least once per week,0.24237,3934,14111,0.23530,0.24944
1998,At least once per month,0.06301,1102,14111,0.05900,0.06702
1998,Seldom,0.17209,3191,14111,0.16586,0.17832
1998,Never,0.34013,5884,14111,0.33232,0.34795
1999,At least once per week,0.20978,3270,13536,0.20292,0.21664
1999,At least once per month,0.05286,919,13536,0.04909,0.05663
1999,Seldom,0.15561,2775,13536,0.14951,0.16172
1999,Never,0.39889,6572,13536,0.39064,0.40714
2001,At least once per week,0.22273,5853,21722,0.21720,0.22826
2001,At least once per month,0.05072,1362,21722,0.04780,0.05363
2001,Seldom,0.13124,3675,21722,0.12675,0.13573
2001,Never,0.41509,10832,21722,0.40853,0.42164
2003,At least once per week,0.27479,7828,22029,0.26890,0.28069
2003,At least once per month,0.06216,1725,22029,0.05897,0.06535
2003,Seldom,0.15633,4267,22029,0.15153,0.16112
2003,Never,0.33351,8209,22029,0.32729,0.33974
2005,At least once per week,0.25490,6751,20559,0.24895,0.26086
2005,At least once per month,0.06627,1618,20559,0.06287,0.06967
2005,Seldom,0.15324,3866,20559,0.14832,0.15817
2005,Never,0.35978,8324,20559,0.35322,0.36634
2007,At least once per week,0.27599,7116,20390,0.26986,0.28213
2007,At least once per month,0.05874,1498,20390,0.05551,0.06197
2007,Seldom,0.14755,3629,20390,0.14268,0.15242
2007,Never,0.34583,8147,20390,0.33930,0.35236
2008,At least once per week,0.32410,7767,19210,0.31748,0.33072
2008,At least once per month,0.06437,1479,19210,0.06090,0.06784
2008,Seldom,0.15812,3645,19210,0.15296,0.16328
2008,Never,0.28733,6319,19210,0.28093,0.29373
2009,At least once per week,0.29780,6515,17919,0.29110,0.30449
2009,At least once per month,0.06426,1330,17919,0.06067,0.06785
2009,Seldom,0.14946,3209,17919,0.14424,0.15469
2009,Never,0.32579,6865,17919,0.31892,0.33265
2011,At least once per week,0.30447,10347,28258,0.29910,0.30983
2011,At least once per month,0.05388,1806,28258,0.05125,0.05652
2011,Seldom,0.13468,4583,28258,0.13070,0.13866
2011,Never,0.33895,11522,28258,0.33343,0.34447
2013,At least once per week,0.36523,12054,25384,0.35931,0.37115
2013,At least once per month,0.03935,1248,25384,0.03695,0.04174
2013,Seldom,0.10884,3654,25384,0.10501,0.11267
2013,Never,0.24585,8428,25384,0.24055,0.25114
2015,At least once per week,0.36249,11232,26690,0.35672,0.36825
2015,At least once per month,0.04720,1439,26690,0.04466,0.04975
2015,Seldom,0.11367,3673,26690,0.10987,0.11748
2015,Never,0.31660,10346,26690,0.31101,0.32218
2017,At least once per week,0.38065,13101,30424,0.37520,0.38611
2017,At least once per month,0.04331,1563,30424,0.04102,0.04559
2017,Seldom,0.10933,4081,30424,0.10582,0.11283
2017,Never,0.30261,11679,30424,0.29745,0.30777
2019,At least once per week,0.45054,15268,28750,0.44479,0.45629
2019,At least once per month,0.03938,1335,28750,0.03713,0.04163
2019,Seldom,0.11029,3769,28750,0.10667,0.11392
2019,Never,0.23442,8378,28750,0.22952,0.23932
2021,At least once per week,0.45670,9870,17189,0.44925,0.46414
2021,At least once per month,0.07074,1440,17189,0.06691,0.07458
2021,Seldom,0.12105,2430,17189,0.11617,0.12592
2021,Never,0.17383,3449,17189,0.16817,0.17950
