year,sex,pli0092_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,male,At least once per week,0.22361,1418,5347,0.21244,0.23478
1985,male,At least once per month,0.04894,333,5347,0.04316,0.05472
1985,male,Seldom,0.11282,752,5347,0.10434,0.12130
1985,male,Never,0.43002,2844,5347,0.41675,0.44329
1985,female,At least once per week,0.17400,1042,5541,0.16401,0.18398
1985,female,At least once per month,0.03173,207,5541,0.02711,0.03634
1985,female,Seldom,0.09873,679,5541,0.09087,0.10659
1985,female,Never,0.53353,3613,5541,0.52039,0.54667
1986,male,At least once per week,0.23739,1484,5174,0.22579,0.24898
1986,male,At least once per month,0.04938,323,5174,0.04347,0.05528
1986,male,Seldom,0.10926,681,5174,0.10076,0.11776
1986,male,Never,0.42305,2686,5174,0.40959,0.43652
1986,female,At least once per week,0.17315,1048,5293,0.16295,0.18334
1986,female,At least once per month,0.03878,241,5293,0.03358,0.04398
1986,female,Seldom,0.08922,593,5293,0.08154,0.09690
1986,female,Never,0.53412,3411,5293,0.52068,0.54756
1988,male,At least once per week,0.23057,1379,4888,0.21876,0.24238
1988,male,At least once per month,0.04820,291,4888,0.04219,0.05420
1988,male,Seldom,0.12165,703,4888,0.11248,0.13081
1988,male,Never,0.41693,2515,4888,0.40311,0.43076
1988,female,At least once per week,0.18463,1036,4977,0.17385,0.19541
1988,female,At least once per month,0.04027,229,4977,0.03481,0.04573
1988,female,Seldom,0.10312,628,4977,0.09467,0.11157
1988,female,Never,0.50482,3084,4977,0.49093,0.51872
1990,male,At least once per week,0.23128,1769,6684,0.22117,0.24139
1990,male,At least once per month,0.07211,555,6684,0.06590,0.07831
1990,male,Seldom,0.16721,1291,6684,0.15826,0.17615
1990,male,Never,0.33425,3069,6684,0.32294,0.34556
1990,female,At least once per week,0.19054,1397,7003,0.18134,0.19974
1990,female,At least once per month,0.05303,394,7003,0.04779,0.05828
1990,female,Seldom,0.13580,1126,7003,0.12777,0.14382
1990,female,Never,0.44345,4086,7003,0.43181,0.45509
1992,male,At least once per week,0.19959,1518,6358,0.18976,0.20941
1992,male,At least once per month,0.06166,461,6358,0.05575,0.06757
1992,male,Seldom,0.14111,1150,6358,0.13255,0.14966
1992,male,Never,0.39654,3229,6358,0.38451,0.40856
1992,female,At least once per week,0.17030,1268,6712,0.16131,0.17930
1992,female,At least once per month,0.03766,301,6712,0.03310,0.04221
1992,female,Seldom,0.11614,1032,6712,0.10848,0.12381
1992,female,Never,0.48772,4111,6712,0.47576,0.49968
1994,male,At least once per week,0.19750,1463,6117,0.18753,0.20748
1994,male,At least once per month,0.05372,445,6117,0.04806,0.05937
1994,male,Seldom,0.15824,1200,6117,0.14910,0.16739
1994,male,Never,0.38580,3009,6117,0.37360,0.39800
1994,female,At least once per week,0.16831,1188,6545,0.15924,0.17737
1994,female,At least once per month,0.04270,329,6545,0.03780,0.04760
1994,female,Seldom,0.12087,1074,6545,0.11298,0.12877
1994,female,Never,0.48100,3954,6545,0.46890,0.49311
1995,male,At least once per week,0.23973,1827,6370,0.22925,0.25022
1995,male,At least once per month,0.07126,536,6370,0.06495,0.07758
1995,male,Seldom,0.18346,1494,6370,0.17395,0.19296
1995,male,Never,0.30968,2513,6370,0.29832,0.32103
1995,female,At least once per week,0.21676,1642,6813,0.20698,0.22655
1995,female,At least once per month,0.04697,419,6813,0.04195,0.05200
1995,female,Seldom,0.16055,1434,6813,0.15183,0.16927
1995,female,Never,0.39840,3318,6813,0.38677,0.41002
1996,male,At least once per week,0.21209,1558,6251,0.20196,0.22223
1996,male,At least once per month,0.06345,510,6251,0.05740,0.06949
1996,male,Seldom,0.17623,1407,6251,0.16679,0.18568
1996,male,Never,0.35092,2776,6251,0.33909,0.36275
1996,female,At least once per week,0.18339,1319,6693,0.17412,0.19266
1996,female,At least once per month,0.04998,407,6693,0.04476,0.05520
1996,female,Seldom,0.14580,1286,6693,0.13734,0.15425
1996,female,Never,0.44402,3681,6693,0.43211,0.45592
1997,male,At least once per week,0.21675,1587,6152,0.20646,0.22705
1997,male,At least once per month,0.05532,450,6152,0.04960,0.06103
1997,male,Seldom,0.15827,1258,6152,0.14915,0.16739
1997,male,Never,0.37199,2857,6152,0.35991,0.38407
1997,female,At least once per week,0.19023,1371,6537,0.18071,0.19974
1997,female,At least once per month,0.03772,307,6537,0.03310,0.04234
1997,female,Seldom,0.14134,1215,6537,0.13289,0.14978
1997,female,Never,0.44792,3644,6537,0.43587,0.45998
1998,male,At least once per week,0.25574,2052,6837,0.24540,0.26608
1998,male,At least once per month,0.06834,586,6837,0.06236,0.07432
1998,male,Seldom,0.18689,1639,6837,0.17765,0.19613
1998,male,Never,0.29913,2560,6837,0.28828,0.30998
1998,female,At least once per week,0.22959,1882,7274,0.21993,0.23926
1998,female,At least once per month,0.05791,516,7274,0.05254,0.06328
1998,female,Seldom,0.15795,1552,7274,0.14956,0.16633
