year,age_gr,migback,pli0092_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,No migration background,At least once per week,0.39681,859,2189,0.37631,0.41731
1985,17-29 y.,No migration background,At least once per month,0.07779,175,2189,0.06657,0.08902
1985,17-29 y.,No migration background,Seldom,0.20683,452,2189,0.18986,0.22381
1985,17-29 y.,No migration background,Never,0.31207,703,2189,0.29266,0.33148
1985,17-29 y.,Direct migration background,At least once per week,0.29022,189,814,0.25902,0.32141
1985,17-29 y.,Direct migration background,At least once per month,0.06486,60,814,0.04793,0.08179
1985,17-29 y.,Direct migration background,Seldom,0.16346,139,814,0.13804,0.18888
1985,17-29 y.,Direct migration background,Never,0.46906,426,814,0.43476,0.50336
1985,17-29 y.,Indirect migration background,At least once per week,0.46052,44,75,0.34695,0.57408
1985,17-29 y.,Indirect migration background,Never,0.22735,31,75,0.13185,0.32284
1985,30-45 y.,No migration background,At least once per week,0.31210,694,2255,0.29298,0.33123
1985,30-45 y.,No migration background,At least once per month,0.06098,142,2255,0.05111,0.07086
1985,30-45 y.,No migration background,Seldom,0.17939,410,2255,0.16356,0.19523
1985,30-45 y.,No migration background,Never,0.43763,1009,2255,0.41715,0.45811
1985,30-45 y.,Direct migration background,At least once per week,0.17959,141,1175,0.15763,0.20155
1985,30-45 y.,Direct migration background,At least once per month,0.03330,37,1175,0.02304,0.04357
1985,30-45 y.,Direct migration background,Seldom,0.11361,116,1175,0.09546,0.13176
1985,30-45 y.,Direct migration background,Never,0.66982,881,1175,0.64292,0.69672
1985,46-65 y.,No migration background,At least once per week,0.16227,394,2389,0.14748,0.17705
1985,46-65 y.,No migration background,At least once per month,0.03503,85,2389,0.02766,0.04241
1985,46-65 y.,No migration background,Seldom,0.08547,216,2389,0.07425,0.09668
1985,46-65 y.,No migration background,Never,0.69988,1694,2389,0.68150,0.71826
1985,46-65 y.,Direct migration background,At least once per week,0.09270,52,840,0.07307,0.11232
1985,46-65 y.,Direct migration background,Seldom,0.05723,43,840,0.04152,0.07295
1985,46-65 y.,Direct migration background,Never,0.81381,745,840,0.78747,0.84015
1985,66 and older,No migration background,At least once per week,0.07321,80,996,0.05703,0.08940
1985,66 and older,No migration background,Never,0.86310,916,996,0.84174,0.88446
1985,66 and older,Direct migration background,Never,0.81745,31,31,0.67922,0.95569
1986,17-29 y.,No migration background,At least once per week,0.41367,884,2125,0.39273,0.43461
1986,17-29 y.,No migration background,At least once per month,0.07494,154,2125,0.06374,0.08614
1986,17-29 y.,No migration background,Seldom,0.20564,428,2125,0.18845,0.22283
1986,17-29 y.,No migration background,Never,0.30219,659,2125,0.28266,0.32172
1986,17-29 y.,Direct migration background,At least once per week,0.32032,243,792,0.28780,0.35284
1986,17-29 y.,Direct migration background,At least once per month,0.06864,51,792,0.05102,0.08626
1986,17-29 y.,Direct migration background,Seldom,0.15576,110,792,0.13049,0.18103
1986,17-29 y.,Direct migration background,Never,0.44624,388,792,0.41160,0.48089
1986,17-29 y.,Indirect migration background,At least once per week,0.46117,54,92,0.35875,0.56359
1986,17-29 y.,Indirect migration background,Never,0.30853,38,92,0.21363,0.40343
1986,30-45 y.,No migration background,At least once per week,0.31271,670,2135,0.29304,0.33238
1986,30-45 y.,No migration background,At least once per month,0.08083,174,2135,0.06927,0.09240
1986,30-45 y.,No migration background,Seldom,0.16787,357,2135,0.15201,0.18373
1986,30-45 y.,No migration background,Never,0.43076,934,2135,0.40975,0.45177
1986,30-45 y.,Direct migration background,At least once per week,0.14893,122,1093,0.12782,0.17005
1986,30-45 y.,Direct migration background,At least once per month,0.06085,50,1093,0.04667,0.07503
1986,30-45 y.,Direct migration background,Seldom,0.12652,106,1093,0.10681,0.14624
1986,30-45 y.,Direct migration background,Never,0.65876,815,1093,0.63064,0.68688
1986,46-65 y.,No migration background,At least once per week,0.17996,427,2297,0.16425,0.19568
1986,46-65 y.,No migration background,At least once per month,0.03409,84,2297,0.02666,0.04151
1986,46-65 y.,No migration background,Seldom,0.07536,181,2297,0.06457,0.08616
1986,46-65 y.,No migration background,Never,0.68954,1605,2297,0.67061,0.70846
1986,46-65 y.,Direct migration background,At least once per week,0.10341,50,843,0.08285,0.12398
1986,46-65 y.,Direct migration background,Seldom,0.05371,51,843,0.03848,0.06894
1986,46-65 y.,Direct migration background,Never,0.80138,742,843,0.77443,0.82832
1986,66 and older,No migration background,At least once per week,0.07045,72,929,0.05399,0.08692
1986,66 and older,No migration background,Never,0.88205,857,929,0.86129,0.90280
1986,66 and older,Direct migration background,Never,0.87037,41,41,0.76628,0.97447
1988,17-29 y.,No migration background,At least once per week,0.40994,787,1908,0.38786,0.43201
1988,17-29 y.,No migration background,At least once per month,0.07707,151,1908,0.06510,0.08904
1988,17-29 y.,No migration background,Seldom,0.20889,400,1908,0.19065,0.22714
1988,17-29 y.,No migration background,Never,0.30027,570,1908,0.27969,0.32084
1988,17-29 y.,Direct migration background,At least once per week,0.29264,212,762,0.26031,0.32496
1988,17-29 y.,Direct migration background,At least once per month,0.06424,47,762,0.04682,0.08166
1988,17-29 y.,Direct migration background,Seldom,0.16262,109,762,0.13640,0.18884
1988,17-29 y.,Direct migration background,Never,0.47384,394,762,0.43837,0.50932
