year,migback,pli0092_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,At least once per week,0.20659,2027,7873,0.19765,0.21554
1985,No migration background,At least once per month,0.04157,420,7873,0.03716,0.04598
1985,No migration background,Seldom,0.10916,1104,7873,0.10227,0.11605
1985,No migration background,Never,0.48485,4322,7873,0.47381,0.49589
1985,Direct migration background,At least once per week,0.15653,385,2878,0.14326,0.16981
1985,Direct migration background,At least once per month,0.03380,110,2878,0.02719,0.04040
1985,Direct migration background,Seldom,0.09444,300,2878,0.08375,0.10512
1985,Direct migration background,Never,0.61764,2083,2878,0.59988,0.63540
1985,Indirect migration background,At least once per week,0.04615,48,100,0.00482,0.08748
1985,Indirect migration background,Never,0.06096,52,100,0.01383,0.10809
1986,No migration background,At least once per week,0.21436,2053,7517,0.20508,0.22364
1986,No migration background,At least once per month,0.04499,430,7517,0.04030,0.04967
1986,No migration background,Seldom,0.10194,979,7517,0.09510,0.10878
1986,No migration background,Never,0.48172,4055,7517,0.47042,0.49302
1986,Direct migration background,At least once per week,0.15364,419,2798,0.14027,0.16700
1986,Direct migration background,At least once per month,0.04553,122,2798,0.03780,0.05325
1986,Direct migration background,Seldom,0.09377,271,2798,0.08297,0.10457
1986,Direct migration background,Never,0.61962,1986,2798,0.60162,0.63761
1986,Indirect migration background,At least once per week,0.05363,60,116,0.01246,0.09481
1986,Indirect migration background,Never,0.06082,56,116,0.01713,0.10450
1988,No migration background,At least once per week,0.21827,1943,7010,0.20860,0.22794
1988,No migration background,At least once per month,0.04705,417,7010,0.04209,0.05201
1988,No migration background,Seldom,0.11677,1040,7010,0.10925,0.12429
1988,No migration background,Never,0.46009,3610,7010,0.44842,0.47175
1988,Direct migration background,At least once per week,0.15769,387,2638,0.14378,0.17160
1988,Direct migration background,At least once per month,0.02825,85,2638,0.02192,0.03457
1988,Direct migration background,Seldom,0.10157,253,2638,0.09004,0.11310
1988,Direct migration background,Never,0.63518,1913,2638,0.61681,0.65355
